Sample,X,Y,Z
0,-0.0266,-0.0007,1.0247
1,0.0425,-0.0659,0.9612
2,0.0132,-0.0405,0.9729
3,-0.0178,-0.0251,0.9907
4,-0.0410,0.0027,0.9905
5,-0.0403,-0.0500,0.9829
6,-0.0317,-0.0071,0.9856
7,0.0110,0.0872,0.9587
8,0.0227,-0.0142,0.9348
9,0.0186,-0.0017,1.0002
10,0.0088,-0.0029,0.9534
11,-0.0491,-0.0305,0.9868
12,-0.0254,0.0242,1.0129
13,-0.0713,0.0093,0.9858
14,0.0049,-0.0071,1.0032
15,-0.0020,-0.0366,0.9712
16,-0.0063,-0.0127,0.9768
17,0.0173,-0.1160,0.9631
18,-0.0212,-0.0569,0.9946
19,0.0027,0.0498,0.9592
20,-0.0042,0.0786,0.9260
21,-0.0400,0.0720,0.9819
22,-0.0298,-0.0242,0.9585
23,-0.0229,-0.0801,1.0103
24,0.0098,0.0320,0.9973
25,0.0193,0.0164,0.9634
26,0.0166,-0.0464,1.0269
27,0.0188,-0.0876,0.9797
28,-0.0525,-0.0261,1.0015
29,-0.0879,0.0286,0.9507
30,-0.0710,0.0005,0.9495
31,-0.0618,0.0315,0.9856
32,-0.0159,-0.0281,0.9309
33,0.0498,0.0276,1.0044
34,0.1196,0.0059,0.9583
35,0.0640,0.0103,0.9927
36,0.0369,0.0198,0.9846
37,-0.0608,-0.0876,0.9944
38,-0.1238,-0.0425,0.9983
39,-0.1113,-0.0789,0.9661
40,-0.1060,0.0710,0.9905
41,-0.0088,-0.0244,0.9399
42,0.0662,0.0457,0.9966
43,0.0825,-0.0474,0.9583
44,0.0847,0.0544,0.9741
45,-0.0056,-0.0178,0.9690
46,-0.0510,-0.0171,0.9807
47,-0.0981,-0.0730,0.9817
48,-0.0947,0.0203,1.0002
49,-0.0183,-0.0415,0.9573
50,0.0173,0.0193,0.9917
51,0.0703,0.0217,0.9690
52,0.0085,0.0134,0.9753
53,-0.0039,-0.0063,0.9849
54,-0.0532,0.0103,0.9888
55,-0.0398,-0.0366,0.9622
56,-0.0298,-0.0469,0.9963
57,-0.0156,-0.0413,0.9690
58,0.0107,-0.0610,0.9622
59,0.0039,0.0298,0.9731
60,0.0071,0.0503,0.9546
61,0.0117,0.0425,0.9683
62,-0.0547,-0.0288,0.9954
63,-0.0254,-0.0205,0.9817
64,-0.0195,-0.0405,0.9915
65,-0.0442,0.0999,0.9995
66,-0.0100,-0.0557,0.9563
67,0.0193,-0.0525,1.0269
68,0.0281,-0.0625,0.9592
69,0.0237,0.0298,0.9653
70,0.0474,-0.0005,0.9446
