Sample,X,Y,Z
0,-0.0437,0.0293,0.9653
1,-0.0076,-0.0938,0.9565
2,0.0532,0.0417,0.9907
3,0.0586,0.0669,0.9214
4,0.0132,0.0476,0.9595
5,0.0183,-0.0364,0.9907
6,-0.0806,-0.1003,0.9985
7,-0.0920,0.0093,0.9976
8,-0.0437,0.0249,0.9805
9,-0.0596,-0.0623,1.0034
10,0.0291,-0.0354,0.9966
11,0.0515,-0.0510,0.9604
12,0.0386,0.0740,0.9856
13,0.0154,-0.0540,0.9194
14,-0.0444,0.0088,1.0061
15,-0.0779,0.0396,0.9563
16,-0.0791,0.0396,0.9465
17,-0.0203,-0.0244,1.0078
18,0.0291,-0.0276,0.9985
19,0.0657,-0.0864,0.9614
20,0.0237,0.0281,1.0337
21,0.0173,-0.0234,0.9634
22,-0.0840,-0.0481,0.9924
23,-0.0962,0.0227,0.9885
24,-0.0964,-0.0356,0.9368
25,-0.0256,0.0732,0.9790
26,-0.0015,-0.0203,0.9495
27,0.0874,0.0190,0.9878
28,0.0764,-0.0161,0.9546
29,0.0374,0.0393,0.9915
30,0.0149,-0.0439,0.9846
31,-0.0767,-0.0784,1.0308
32,-0.0830,-0.0352,0.9954
33,-0.1118,-0.0051,0.9790
34,-0.0654,0.0559,0.9790
35,-0.0105,-0.0425,0.9351
36,0.0476,0.0271,0.9817
37,0.0630,-0.0044,0.9387
38,0.0742,0.0278,0.9875
39,0.0244,-0.0569,0.9731
40,-0.0615,-0.0303,1.0200
41,-0.0811,-0.0098,0.9739
42,-0.1003,-0.0276,0.9846
43,-0.0627,-0.0283,0.9856
44,-0.0005,-0.0088,0.9778
45,0.0911,-0.0037,0.9573
46,0.0623,0.0356,0.9917
47,0.0720,-0.0042,0.9624
48,-0.0442,-0.0386,0.9846
49,-0.1013,0.0286,0.9973
50,-0.1216,-0.0144,0.9458
51,-0.0947,-0.0586,1.0015
52,-0.0183,-0.0256,0.9885
53,0.0374,-0.0400,0.9534
54,0.0691,0.0547,0.9956
55,0.1069,0.0176,0.9641
56,0.0710,-0.0347,0.9771
57,-0.0520,-0.0349,1.0024
