Sample,X,Y,Z
0,-0.0217,-0.0535,0.9846
1,0.0266,-0.0535,1.0117
2,0.0190,-0.0364,0.9895
3,0.0186,-0.0491,0.9712
4,-0.0100,-0.0237,0.9927
5,-0.0234,0.0366,0.9553
6,-0.0164,0.0603,0.9719
7,-0.0413,0.0239,0.9534
8,-0.0479,-0.0515,0.9663
9,-0.0356,0.0139,1.0239
10,-0.0735,-0.0322,0.9602
11,-0.0083,-0.0542,0.9788
12,0.0698,-0.0027,0.9895
13,0.0625,0.0386,0.9709
14,0.0847,0.0278,0.9829
15,-0.0088,-0.0979,0.9875
16,-0.1138,-0.0657,1.0063
17,-0.1411,-0.0281,0.9585
18,-0.1396,0.0220,0.9771
19,-0.0066,0.0693,0.9602
20,0.1055,0.0452,0.9661
21,0.1670,0.0530,0.9692
22,0.1340,-0.0823,0.9819
23,-0.0103,-0.0803,1.0188
24,-0.1689,-0.0679,0.9700
25,-0.2166,0.0178,0.9836
26,-0.1594,-0.0276,0.9749
27,-0.0134,0.0398,0.9985
28,0.1033,0.0154,0.9456
29,0.1777,-0.0032,0.9858
30,0.1609,-0.0256,0.9749
31,0.0439,-0.0159,0.9692
32,-0.0767,0.0293,0.9673
33,-0.1882,-0.0156,0.9807
34,-0.2087,-0.0452,1.0042
35,-0.1592,-0.0557,0.9895
36,-0.0259,-0.0110,0.9749
37,0.1182,0.0422,0.9644
38,0.1978,0.0159,0.9768
39,0.1890,-0.0586,0.9661
40,0.0854,-0.0022,0.9888
41,-0.0684,-0.0125,0.9485
42,-0.1663,0.0271,1.0032
43,-0.2319,0.0234,0.9780
44,-0.1992,-0.0488,0.9641
45,-0.0303,-0.0505,1.0278
46,0.0679,-0.0156,0.9692
47,0.1707,-0.0208,0.9456
48,0.1602,-0.0049,0.9817
49,0.0930,0.0417,0.9741
50,0.0022,0.0420,0.9829
51,-0.1431,0.0144,0.9712
52,-0.1882,-0.0813,0.9563
53,-0.1340,-0.0154,1.0298
54,-0.0913,-0.0525,0.9641
55,0.0635,-0.0278,0.9934
56,0.1323,-0.0073,0.9729
57,0.0991,-0.0125,0.9661
58,0.0757,0.1013,0.9858
59,-0.0593,-0.0022,0.9360
60,-0.1155,0.0054,0.9856
61,-0.1101,-0.0569,0.9612
62,-0.0718,0.0107,1.0200
63,0.0168,-0.0354,0.9731
64,0.0491,-0.0820,0.9954
65,0.0781,-0.0039,0.9868
66,0.0166,-0.0205,0.9595
67,-0.0486,0.0327,0.9934
68,-0.0713,-0.0056,0.9358
69,-0.0613,0.0308,0.9749
70,-0.0146,0.0386,0.9592
71,0.0203,0.0535,0.9797
72,0.0125,-0.0759,0.9839
73,0.0254,-0.0886,1.0288
74,0.0083,-0.0491,0.9761
75,-0.0393,-0.0420,0.9722
76,-0.0283,0.0027,0.9749
77,-0.0676,-0.0273,0.9729
78,-0.0452,0.0889,0.9729
79,-0.0247,0.0146,0.9504
80,0.0308,0.0544,0.9897
81,0.0598,-0.0171,0.9585
82,0.0454,0.0020,1.0024
83,0.0315,-0.0996,0.9700
84,-0.0281,-0.1008,1.0229
85,-0.0693,-0.0530,0.9880
86,-0.1196,0.0496,0.9702
87,-0.1404,0.0100,0.9495
88,-0.0532,0.0168,0.9858
89,0.0576,0.0542,0.9778
90,0.1350,0.0349,0.9475
91,0.1475,0.0068,0.9673
92,0.0610,-0.0869,0.9739
93,-0.0896,-0.0430,1.0249
94,-0.1738,-0.0317,0.9866
95,-0.1641,-0.0205,0.9954
96,-0.0781,-0.0308,0.9722
97,0.0281,-0.0164,0.9729
98,0.1228,0.0437,0.9661
99,0.1116,0.0051,0.9495
100,0.0698,0.0312,0.9976
101,-0.0193,0.0105,0.9604
102,-0.1228,-0.0176,0.9778
103,-0.1421,-0.0332,0.9917
104,-0.0842,-0.0640,0.9897
105,-0.0068,0.0088,1.0117
106,0.0457,-0.0134,0.9409
107,0.0952,-0.0764,0.9915
108,0.0986,-0.0098,1.0142
109,-0.0220,0.0239,0.9312
110,-0.0713,0.0625,0.9517
111,-0.0879,0.0149,0.9712
112,-0.0999,0.0039,0.9946
113,-0.0176,-0.0273,0.9846
114,0.0171,-0.0581,0.9858
115,0.0479,-0.0525,0.9966
116,0.0295,-0.1047,0.9641
117,-0.0066,0.0271,1.0090
118,-0.0198,0.0637,0.9409
119,-0.0491,0.0251,0.9592
120,-0.0249,-0.0049,0.9778
121,-0.0029,0.0237,0.9788
122,0.0029,0.0056,0.9807
123,-0.0134,-0.0581,0.9690
124,0.0115,-0.0803,0.9993
125,-0.0034,-0.0503,0.9995
126,-0.0667,-0.0469,0.9661
127,-0.0598,-0.0056,0.9741
128,-0.0710,0.0374,0.9622
129,-0.0354,0.0649,0.9575
130,0.0891,0.0813,0.9702
131,0.0930,-0.0027,0.9709
132,0.0850,-0.0547,0.9858
133,-0.0056,-0.0996,0.9993
134,-0.0981,-0.0979,1.0022
135,-0.1262,-0.0444,1.0002
136,-0.1292,0.0269,0.9543
137,-0.0657,0.0496,0.9585
138,0.0298,0.0508,0.9768
139,0.0613,-0.0522,0.9595
140,0.1155,0.0066,0.9907
141,0.0796,0.0210,0.9495
142,0.0000,0.0291,0.9839
143,-0.0708,-0.0430,0.9800
144,-0.1321,-0.0522,1.0120
145,-0.1436,-0.0266,0.9966
146,-0.0823,-0.0671,0.9653
147,0.0342,-0.0415,0.9993
148,0.0916,-0.0046,0.9670
149,0.1135,0.0344,0.9653
150,0.0667,0.0784,0.9683
151,-0.0381,0.0276,0.9553
152,-0.0938,0.0188,0.9790
153,-0.1262,-0.0222,0.9741
154,-0.0798,-0.0862,0.9856
155,0.0386,-0.0642,1.0356
156,0.0491,-0.0415,0.9634
157,0.0530,-0.0498,0.9712
158,0.0300,0.0325,1.0032
159,-0.0447,0.0383,0.9690
160,-0.0706,0.0630,0.9565
161,-0.0781,0.0266,0.9319
162,-0.0447,-0.0261,0.9858
163,0.0232,-0.0361,1.0024
164,0.0391,-0.0400,0.9963
165,0.0315,-0.0264,0.9771
166,0.0166,-0.0698,0.9983
167,-0.0276,-0.0225,1.0110
168,-0.0791,-0.0461,0.9351
169,-0.0615,0.0276,0.9729
170,-0.0559,0.0571,0.9543
171,-0.0215,0.0420,0.9631
172,0.0483,0.0361,0.9956
173,0.0564,-0.0024,0.9741
174,0.0596,-0.0764,0.9878
175,0.0127,-0.0779,1.0044
176,-0.0630,-0.1011,0.9661
177,-0.0593,-0.0081,1.0056
178,-0.0996,-0.0027,0.9604
179,-0.0808,0.0269,0.9524
180,0.0139,0.0574,0.9856
181,0.0432,0.0720,0.9631
182,0.0874,0.0149,0.9631
183,0.0552,-0.0291,0.9739
184,-0.0317,-0.0796,1.0002
185,-0.0684,-0.0559,1.0237
186,-0.1089,-0.0776,0.9807
187,-0.0750,-0.0266,0.9641
188,-0.0115,0.0178,0.9622
189,0.0420,0.0435,0.9915
190,0.0469,0.0095,0.9719
191,0.0642,0.0254,0.9673
192,0.0081,0.0029,0.9624
193,-0.0081,0.0095,0.9836
194,-0.0740,-0.0564,0.9680
195,-0.1079,-0.0547,0.9858
196,-0.0474,-0.0439,0.9966
197,-0.0127,0.0293,1.0239
198,0.0203,-0.0132,0.9448
199,0.0952,-0.0261,1.0002
200,0.0398,-0.0139,0.9543
201,-0.0574,-0.0430,0.9456
202,-0.0659,0.0813,0.9934
203,-0.1130,-0.0129,0.9504
204,-0.0110,0.0437,1.0305
205,0.0225,-0.0208,0.9446
206,0.0681,-0.0337,0.9819
207,0.0762,-0.0854,1.0042
208,-0.0383,-0.0667,0.9866
209,-0.0469,-0.0056,0.9749
210,-0.0757,0.0029,0.9712
211,-0.0925,0.0215,0.9653
212,-0.0125,0.0962,0.9595
213,-0.0127,0.0164,0.9604
214,0.0256,-0.0366,0.9983
215,0.0701,-0.0496,1.0051
216,0.0166,-0.0415,0.9692
217,0.0300,-0.0713,0.9702
218,-0.0088,-0.0220,1.0005
219,-0.1040,0.0012,0.9634
220,-0.1016,0.0120,0.9846
221,-0.0957,0.0151,0.9866
222,-0.0151,0.0320,0.9563
223,0.0911,0.0366,0.9644
224,0.1133,-0.0188,0.9602
225,0.1072,-0.0334,1.0024
226,-0.0095,-0.0603,0.9910
227,-0.1335,-0.0571,0.9944
228,-0.1482,-0.0015,0.9885
229,-0.1379,-0.0264,0.9780
230,-0.0383,-0.0017,0.9790
231,0.0732,-0.0054,0.9609
232,0.1006,0.0256,0.9690
233,0.1111,0.0205,0.9634
234,0.0574,0.0452,0.9817
235,-0.0417,-0.0410,0.9771
236,-0.0774,-0.0200,1.0051
237,-0.1379,-0.0623,0.9680
238,-0.1179,-0.0374,0.9963
239,-0.0588,-0.0620,0.9780
240,0.0242,0.0046,0.9944
241,0.0769,0.0420,0.9497
242,0.1157,0.0247,0.9827
243,0.0920,0.0276,0.9822
244,-0.0017,-0.0159,0.9380
245,-0.0500,-0.0527,0.9805
246,-0.1226,-0.0325,0.9973
247,-0.1816,-0.0266,0.9888
248,-0.1208,-0.0198,0.9856
249,-0.0134,0.0076,1.0071
250,0.0830,0.0115,0.9546
251,0.1880,0.0222,0.9553
252,0.1616,-0.0129,0.9778
253,0.0176,-0.0723,0.9829
254,-0.0818,-0.0811,0.9956
255,-0.2219,0.0085,0.9927
256,-0.1946,0.0801,0.9631
257,-0.1011,0.0469,0.9556
258,0.0520,0.0024,0.9683
259,0.1499,-0.0610,0.9954
260,0.1699,-0.0439,0.9985
261,0.0908,-0.0598,0.9888
262,-0.0278,-0.0312,0.9788
263,-0.1389,-0.0393,0.9583
264,-0.1704,0.0798,0.9807
265,-0.1409,0.0364,0.9526
266,-0.0315,-0.0144,0.9937
267,0.1089,-0.0190,0.9915
268,0.1323,-0.0225,0.9690
269,0.1008,-0.0017,0.9800
270,0.0125,-0.0281,0.9780
271,-0.1379,-0.0447,0.9807
272,-0.1323,-0.0266,0.9800
273,-0.1235,0.0146,0.9829
274,-0.0234,-0.0054,0.9651
275,0.0825,-0.0105,0.9866
276,0.0972,-0.0125,0.9758
277,0.0972,0.0024,0.9641
278,0.0078,0.0376,0.9758
279,-0.0872,0.0054,0.9631
280,-0.0718,-0.0081,0.9917
281,-0.0950,-0.0789,0.9895
282,-0.0723,-0.0476,0.9829
283,0.0190,0.0071,0.9907
284,0.0208,-0.0203,0.9897
285,0.0586,-0.0085,0.9749
286,0.0015,0.0049,0.9546
287,-0.0420,0.0247,0.9563
288,-0.0220,-0.0164,0.9812
289,-0.0134,0.0308,0.9875
290,0.0330,0.0322,0.9612
291,0.0581,-0.0056,0.9937
292,-0.0344,-0.0947,1.0032
293,-0.0923,-0.0669,0.9941
294,-0.1145,-0.0447,0.9868
295,-0.0798,0.0073,0.9817
296,0.0110,0.0190,0.9585
297,0.0698,0.0261,0.9661
298,0.1089,-0.0002,0.9673
299,0.0725,-0.0071,0.9878
300,-0.0220,0.0129,0.9712
301,-0.0767,0.0225,0.9683
302,-0.1023,-0.0354,0.9944
303,-0.1221,-0.0454,0.9819
304,-0.0447,-0.0300,0.9729
305,0.0408,-0.0195,1.0161
306,0.0684,-0.0469,0.9976
307,0.0872,-0.0190,0.9731
308,0.0510,0.0029,0.9546
309,-0.0579,-0.0176,0.9465
310,-0.0959,0.0149,0.9692
311,-0.0964,0.1069,0.9800
312,-0.0967,0.0435,0.9702
313,0.0068,-0.0720,0.9949
314,0.0972,-0.0510,1.0142
315,0.0603,-0.0251,0.9683
316,0.0105,-0.1477,0.9683
317,-0.0359,-0.0349,1.0308
318,-0.1179,0.0042,0.9426
319,-0.0688,0.0913,0.9653
320,0.0029,0.0732,0.9465
321,0.0310,0.0667,0.9585
322,0.0913,-0.0012,0.9817
323,0.0222,-0.0835,1.0100
324,-0.0173,-0.0750,1.0171
325,-0.0713,-0.0842,0.9670
326,-0.1208,-0.0437,0.9800
327,-0.0850,0.0129,0.9692
328,-0.0142,0.0457,0.9771
329,0.0525,0.0471,0.9866
330,0.0781,-0.0034,0.9282
331,0.1233,0.0405,0.9878
332,0.0386,0.0112,0.9885
333,-0.0718,-0.0720,0.9956
334,-0.1355,-0.0684,0.9709
335,-0.1885,-0.0798,0.9651
336,-0.1084,0.0227,1.0178
337,0.0381,0.0173,0.9712
338,0.1128,0.0388,0.9641
339,0.1826,0.0332,0.9487
340,0.1323,0.0000,0.9895
341,-0.0442,-0.0239,0.9915
342,-0.1624,-0.0894,0.9683
343,-0.2102,-0.0349,0.9895
344,-0.1384,0.0044,0.9946
345,0.0024,0.0798,0.9846
346,0.0713,-0.0784,0.9282
347,0.1467,-0.0427,1.0044
348,0.1277,0.0183,0.9927
349,0.0044,0.0574,0.9749
350,-0.0781,-0.0088,0.9495
351,-0.1509,-0.0505,0.9819
352,-0.1338,-0.0288,0.9985
353,-0.0251,0.0051,0.9827
354,0.0303,-0.0559,0.9644
355,0.1042,-0.0496,0.9849
356,0.0867,-0.0203,0.9927
357,-0.0247,0.0623,0.9771
358,-0.0547,0.0095,0.9521
