Sample,X,Y,Z
0,-0.0645,0.0493,0.9456
1,-0.0339,0.0200,0.9524
2,0.0369,0.0437,0.9614
3,-0.0039,0.0295,0.9524
4,0.0256,0.0312,0.9836
5,-0.0361,-0.0532,0.9944
6,-0.0645,-0.0342,1.0237
7,-0.0559,-0.1052,0.9897
8,-0.0295,-0.0486,1.0190
9,0.0156,0.0061,0.9485
10,0.0410,0.0046,0.9543
11,0.0493,0.0745,0.9868
12,0.0190,0.0732,0.9309
13,-0.0190,0.0566,0.9644
14,-0.0596,-0.0549,0.9819
15,-0.0872,-0.0430,1.0149
16,-0.0701,-0.0813,0.9807
17,-0.0330,-0.0120,1.0015
18,0.0215,-0.0403,0.9819
19,0.0388,-0.0115,0.9797
20,0.0479,0.0701,0.9709
21,0.0208,0.0139,0.9397
22,-0.0247,-0.0251,0.9966
23,-0.0386,-0.0029,0.9573
24,-0.0173,0.0288,0.9819
25,-0.0315,0.0198,0.9963
26,-0.0227,-0.0322,0.9937
27,-0.0139,-0.0144,0.9976
28,-0.0693,-0.0491,0.9614
29,-0.0479,0.0002,0.9832
30,-0.0312,-0.0435,0.9644
31,0.0283,-0.0071,0.9885
32,0.0886,0.0317,0.9749
33,0.0940,0.0732,0.9556
34,0.0439,0.0474,0.9729
35,-0.0779,-0.0422,0.9849
36,-0.1582,-0.0566,1.0002
37,-0.1497,-0.0183,0.9885
38,-0.1011,-0.0532,0.9810
39,0.0535,-0.0239,0.9924
40,0.1240,-0.0312,0.9377
41,0.1411,0.0300,0.9924
42,0.0842,0.0461,0.9729
43,-0.0535,-0.0132,0.9780
44,-0.0881,0.0430,0.9868
45,-0.1729,0.0220,0.9478
46,-0.1726,0.0327,0.9885
47,-0.0710,-0.0876,0.9670
48,0.0486,-0.0630,1.0249
49,0.1326,0.0039,0.9878
50,0.1387,-0.0332,0.9563
51,0.0986,0.0137,1.0171
52,-0.0144,-0.0225,0.9536
53,-0.1411,0.0254,0.9790
54,-0.1731,0.0188,0.9399
55,-0.1458,0.0269,0.9702
56,-0.0352,-0.0315,0.9800
57,0.0603,-0.0176,1.0046
58,0.1138,-0.0042,0.9797
59,0.1228,-0.0186,0.9927
60,0.0588,-0.0259,1.0054
61,-0.0212,-0.0186,0.9866
62,-0.1213,-0.0068,0.9595
63,-0.1538,0.0061,0.9497
64,-0.1204,-0.0200,0.9641
65,-0.0442,0.0435,1.0024
66,0.0635,0.0269,0.9534
67,0.1089,0.0386,0.9885
68,0.0940,-0.0518,0.9712
69,0.0369,-0.0557,1.0181
70,-0.0181,-0.0010,1.0012
71,-0.1233,-0.0193,0.9709
72,-0.1211,-0.0635,0.9624
73,-0.0657,-0.0439,0.9692
74,-0.0137,0.0874,0.9702
75,0.0173,0.0574,0.9417
76,0.0203,0.0037,1.0103
77,0.0483,-0.0400,0.9827
78,0.0435,-0.0110,0.9817
79,0.0103,0.0261,0.9771
80,-0.0190,-0.0305,0.9690
81,-0.0491,-0.0476,0.9995
82,-0.0906,-0.0369,0.9790
83,-0.0735,0.0381,0.9839
84,-0.0544,-0.0371,0.9692
85,0.0183,-0.0520,0.9790
86,0.0422,-0.0249,0.9690
87,0.0425,0.0281,0.9800
88,0.0281,0.0676,0.9868
89,-0.0164,0.0486,0.9517
90,-0.0315,0.0188,0.9631
91,-0.0474,0.0010,0.9905
92,-0.0544,-0.0195,0.9807
93,-0.0205,-0.0869,1.0010
94,-0.0198,-0.0762,1.0024
95,0.0220,-0.0557,0.9778
96,0.0137,-0.0024,0.9951
97,-0.0112,-0.0278,0.9358
98,0.0095,0.0420,0.9614
99,-0.0588,0.0410,0.9573
100,-0.0469,0.0320,0.9456
101,-0.0278,0.0203,0.9924
102,-0.0825,0.0198,1.0444
103,-0.1506,0.0708,1.0376
104,-0.1318,0.4524,1.0188
105,-0.1909,0.7700,0.8130
106,-0.0662,0.9944,0.7825
107,0.0681,1.0854,0.8843
108,0.2603,1.3450,1.0051
109,0.3047,1.2795,1.0129
110,0.1489,1.2466,0.9194
111,-0.0037,1.2620,1.0266
112,-0.0173,1.0142,0.9272
113,-0.0945,0.7112,1.1086
