Sample,X,Y,Z
0,-0.0391,-0.0139,0.9827
1,-0.0500,-0.0327,0.9758
2,-0.0432,0.0457,1.0073
3,-0.0386,-0.0039,0.9536
4,0.0046,-0.0435,0.9827
5,0.0735,-0.0212,0.9995
6,0.0396,-0.0229,0.9641
7,0.0237,0.0623,0.9849
8,-0.0676,-0.0298,0.9807
9,-0.1047,-0.0205,0.9927
10,-0.0732,-0.0212,0.9985
11,-0.0166,0.0251,0.9658
12,0.0134,-0.0403,0.9702
13,0.1113,0.0115,1.0002
14,0.0994,-0.0312,0.9692
15,0.0693,-0.0017,0.9836
16,-0.0415,0.0017,0.9771
17,-0.0869,-0.0168,0.9963
18,-0.1353,-0.0017,0.9849
19,-0.1013,0.0281,0.9573
20,-0.0442,-0.0161,0.9827
21,0.0488,-0.0154,0.9634
22,0.1262,0.0288,0.9888
23,0.1062,0.0188,0.9856
24,0.0605,-0.0776,0.9839
25,-0.0215,0.0425,1.0151
26,-0.0940,-0.0178,0.9624
27,-0.1179,-0.0305,0.9692
28,-0.0742,-0.0173,1.0056
29,-0.0151,0.0220,0.9846
30,0.0542,-0.0459,0.9575
31,0.0762,0.0115,0.9827
32,0.0454,-0.0056,0.9644
33,0.0122,-0.0083,0.9644
34,-0.0378,0.0249,0.9915
35,-0.0627,-0.0344,0.9797
36,-0.0293,-0.0022,1.0049
37,-0.0173,-0.0056,0.9729
38,-0.0137,0.0132,1.0093
39,0.0232,-0.0562,0.9778
40,0.0330,-0.0315,1.0061
41,0.0049,0.0459,0.9624
42,-0.0317,-0.0193,0.9338
43,-0.0234,-0.0017,0.9888
44,-0.0012,-0.0044,0.9875
45,-0.0061,0.0444,0.9927
46,0.0032,-0.0063,0.9651
47,0.0071,-0.0330,1.0022
48,0.0212,-0.0134,0.9915
49,-0.0134,-0.0461,0.9690
50,-0.0437,-0.0229,1.0073
51,-0.0403,-0.0303,0.9624
52,-0.0459,0.0276,0.9829
53,-0.0037,0.0059,0.9478
54,0.0122,-0.0100,0.9778
55,0.0605,0.0664,1.0022
56,0.0591,0.0005,0.9492
57,-0.0244,-0.0215,1.0054
58,-0.0156,-0.0103,0.9858
59,-0.0647,-0.0703,1.0002
60,-0.0500,0.0046,0.9924
61,-0.0076,-0.0081,0.9690
62,0.0144,-0.0452,0.9768
63,0.0344,0.0093,0.9768
64,0.0322,0.0659,0.9683
65,-0.0181,-0.0093,0.9670
66,-0.0205,0.0171,0.9797
67,-0.0288,-0.0005,0.9895
68,-0.0281,-0.0129,0.9866
69,-0.0308,-0.0386,0.9849
70,-0.0002,-0.0168,1.0247
71,0.0374,-0.0391,0.9661
72,0.0012,-0.0068,0.9771
73,0.0144,0.0134,0.9780
74,-0.0098,-0.0662,0.9709
75,-0.0493,0.0510,0.9983
76,-0.0464,0.0420,0.9475
77,-0.0469,-0.0781,0.9575
78,0.0039,0.0049,1.0032
79,0.0620,0.0452,0.9858
80,0.0605,-0.0569,0.9673
81,0.0503,-0.0122,1.0024
82,-0.0063,0.0168,1.0012
83,-0.0854,-0.0500,0.9517
84,-0.0833,0.0217,1.0063
85,-0.0928,0.0117,0.9829
86,-0.0139,-0.0254,0.9709
87,0.0515,0.0032,0.9692
88,0.0859,0.0540,0.9778
89,0.0747,-0.0349,0.9680
90,0.0234,-0.0347,1.0054
91,-0.0376,0.0225,0.9807
92,-0.1038,-0.0339,0.9692
93,-0.0779,-0.0833,0.9856
94,-0.0554,0.0439,0.9966
95,0.0261,0.0095,0.9553
96,0.0376,-0.0444,0.9673
97,0.0974,0.0479,1.0132
98,0.0630,0.0183,0.9602
99,0.0022,0.0122,0.9829
100,-0.0400,0.0024,0.9751
101,-0.1018,-0.0540,1.0051
102,-0.0474,0.0032,1.0229
103,0.1831,-0.0168,1.0364
104,0.4507,0.0015,1.0051
105,0.7444,0.2085,0.9370
106,0.9495,0.5464,0.8735
107,0.9214,0.6917,0.8235
108,0.7415,0.8604,0.9272
