Sample,X,Y,Z
0,-0.0210,-0.0549,0.9739
1,-0.0212,-0.0103,0.9829
2,-0.0068,-0.0366,0.9683
3,-0.0488,-0.0054,0.9792
4,0.0088,0.0396,0.9790
5,0.0557,-0.0068,0.9702
6,0.0129,0.0139,0.9973
7,0.0176,0.0007,0.9739
8,-0.0532,-0.0168,0.9819
9,-0.0862,0.0037,0.9963
10,-0.0471,-0.0513,0.9739
11,-0.0186,-0.0271,0.9954
12,0.0674,-0.0168,0.9749
13,0.0759,-0.0154,0.9651
14,0.0146,0.0417,0.9973
15,-0.0027,-0.0020,0.9614
16,-0.0571,-0.0217,0.9963
17,-0.0740,0.0581,0.9888
18,-0.0234,-0.0342,0.9526
19,-0.0010,-0.0027,1.0090
20,0.0625,-0.0283,0.9856
21,0.0298,-0.0691,0.9829
22,0.0088,0.0178,0.9954
23,-0.0420,-0.0471,0.9680
24,-0.0776,0.0105,0.9856
25,-0.0532,0.0078,0.9663
26,-0.0112,0.0239,0.9749
27,0.0547,0.0332,0.9839
28,0.0525,-0.0093,0.9927
29,0.0515,-0.0073,0.9856
30,0.0117,-0.0210,0.9819
31,-0.0457,-0.0413,1.0034
32,-0.0671,-0.0459,0.9827
33,-0.0608,-0.0430,0.9897
34,0.0007,0.0159,0.9771
35,-0.0173,-0.0044,0.9644
36,0.0303,0.0227,0.9790
37,0.0442,0.0049,0.9690
38,0.0134,0.0132,0.9905
39,-0.0059,0.0125,0.9761
40,-0.0369,-0.0417,0.9810
41,-0.0505,-0.0222,1.0073
42,-0.0312,-0.0293,0.9866
43,-0.0166,-0.0471,0.9915
44,0.0237,0.0120,0.9954
45,0.0527,-0.0215,0.9634
46,0.0178,0.0288,0.9722
47,-0.0012,0.0190,0.9771
48,-0.0164,-0.0242,0.9641
49,-0.0596,0.0112,0.9976
50,-0.0249,-0.0107,0.9780
51,-0.0535,-0.0469,0.9661
52,0.0002,0.0146,1.0129
53,0.0176,-0.0291,0.9700
54,0.0088,-0.0288,0.9897
55,0.0256,0.0420,1.0083
56,0.0261,-0.0054,0.9673
57,-0.0286,-0.0188,0.9797
58,0.0220,0.0303,0.9946
59,-0.0249,-0.0479,0.9543
60,-0.0315,0.0073,1.0034
61,-0.0100,-0.0215,0.9739
62,-0.0647,-0.0479,0.9878
63,-0.0144,0.0317,0.9780
64,-0.0217,-0.0530,0.9585
65,0.0701,0.0369,0.9956
66,0.0083,-0.0132,0.9680
67,0.0173,0.0364,1.0042
68,-0.0085,-0.0210,0.9751
69,-0.0193,-0.0002,1.0090
70,-0.0393,-0.0120,0.9761
71,-0.0244,-0.0525,0.9819
72,-0.0137,-0.0068,0.9954
73,-0.0664,-0.0212,0.9790
74,0.0061,-0.0132,0.9631
75,-0.0164,-0.0176,0.9810
76,0.0522,0.0403,0.9788
77,0.0615,-0.0088,0.9602
78,0.0183,0.0186,0.9954
79,-0.0029,-0.0110,0.9944
80,-0.0725,-0.0264,0.9927
81,-0.0747,-0.0417,0.9790
82,-0.0562,-0.0339,0.9956
83,-0.0222,-0.0264,0.9817
84,0.0610,-0.0076,0.9670
85,0.0574,-0.0137,0.9790
86,0.0547,0.0361,0.9917
87,-0.0171,0.0022,0.9761
88,-0.0723,0.0300,0.9849
89,-0.0762,0.0022,0.9788
90,-0.0559,-0.0415,0.9846
91,0.0022,-0.0159,0.9863
92,0.0471,-0.0530,0.9888
93,0.0559,0.0054,0.9917
94,0.0273,-0.0359,0.9751
95,0.0105,0.0034,0.9868
96,-0.0542,0.0063,0.9856
97,-0.0222,0.0020,0.9758
98,-0.0603,-0.0105,0.9741
99,-0.0237,0.0432,0.9856
100,0.0232,0.0046,0.9709
101,0.0173,-0.0249,0.9915
102,0.1272,-0.0222,0.9712
103,0.3833,-0.0210,0.9319
104,0.5298,0.0222,1.0129
105,0.7271,-0.0298,1.0305
106,0.7954,-0.4058,1.0715
107,0.8306,-0.4341,1.1633
108,0.7192,-0.6543,1.0110
109,0.5696,-0.7224,0.9634
110,0.4036,-0.7390,0.9409
111,0.2024,-0.7732,0.9077
112,0.0154,-0.6052,0.9380
113,-0.0535,-0.5681,0.9185
114,0.0378,-0.6050,0.9465
115,0.0383,-0.4348,0.9338
116,0.1731,-0.5652,0.9761
117,0.2119,-0.5486,1.0483
118,0.3225,-0.5164,1.1060
119,0.4563,-0.4900,1.0503
120,0.6028,-0.4568,1.0483
121,0.8120,-0.3608,1.0872
122,0.9253,-0.4536,1.0061
123,0.9973,-0.3069,0.9653
124,0.9419,-0.1799,0.9299
125,0.7993,0.0034,0.9153
126,0.5728,-0.0432,0.9202
127,0.4656,-0.1213,1.0073
128,0.3967,-0.4402,1.0249
129,0.3718,-0.6489,1.0657
130,0.3320,-0.8479,1.0464
131,0.3569,-0.8247,1.0403
132,0.1973,-0.6448,0.9839
133,0.0200,-0.4802,0.9253
134,0.0298,-0.4390,0.9006
135,0.0334,-0.4587,0.9487
136,0.2578,-0.5085,0.9888
137,0.5295,-0.5935,1.0415
138,0.7534,-0.4243,1.0803
139,0.7805,-0.3118,1.0181
140,0.6938,-0.2070,1.0017
141,0.4973,-0.2390,0.9585
142,0.2795,-0.2903,0.9761
143,0.1375,-0.2866,1.0042
144,0.1787,-0.3064,0.8813
145,0.2903,-0.1501,0.9448
146,0.4194,0.0049,0.9026
147,0.4624,0.0918,0.8860
148,0.4595,-0.0134,1.0364
149,0.4600,-0.3369,1.1311
150,0.2896,-0.7358,1.2043
151,0.2832,-0.9438,1.2268
152,0.3174,-0.8721,1.1165
153,0.1436,-0.3633,1.0344
154,0.0210,0.2104,0.7915
155,-0.3462,0.2939,0.6499
156,-0.7222,0.3086,0.6733
157,-1.0437,0.0317,0.6799
