Sample,X,Y,Z
0,0.0349,-0.0876,0.9741
1,0.0791,-0.0288,1.0452
2,0.0549,0.0413,0.9514
3,0.0115,-0.0449,0.9231
4,-0.0388,0.0378,1.0120
5,-0.0928,0.0022,0.9868
6,-0.0615,0.0505,0.9885
7,-0.0164,-0.0623,0.9233
8,0.0557,0.0469,1.0415
9,0.0720,-0.0273,0.9644
10,0.0149,-0.1045,0.9780
11,-0.0054,-0.0325,1.0129
12,-0.0659,-0.0256,0.9956
13,-0.0605,0.0151,0.9604
14,-0.0525,0.0303,0.9253
15,-0.0063,0.0659,0.9829
16,0.0569,0.0356,0.9788
17,0.0579,-0.0093,1.0044
18,0.0420,-0.0210,0.9768
19,0.0005,-0.0459,0.9956
20,-0.0430,-0.0591,1.0054
21,-0.0901,-0.1174,0.9810
22,-0.0686,-0.0176,1.0051
23,-0.0581,-0.0012,0.9565
24,0.0183,0.0806,0.9670
25,0.0759,0.0740,0.9497
26,0.1113,0.0698,0.9788
27,0.0835,0.0107,0.9504
28,-0.0098,-0.0347,0.9800
29,-0.0906,-0.0522,1.0210
30,-0.1431,-0.1055,1.0190
31,-0.1355,-0.0952,1.0044
32,-0.0193,-0.0239,0.9924
33,0.0762,0.0183,0.9692
34,0.1133,0.0325,0.9341
35,0.1228,0.0625,0.9524
36,0.0496,0.0471,0.9741
37,-0.0715,0.0637,0.9973
38,-0.1147,-0.0012,0.9556
39,-0.1223,-0.0706,0.9907
40,-0.0493,-0.0769,0.9995
41,0.0352,-0.0569,1.0249
42,0.0959,-0.0852,1.0015
43,0.0979,-0.0413,1.0005
44,0.0430,0.0767,0.9670
45,-0.0520,-0.0129,0.9163
46,-0.0825,0.0613,0.9788
47,-0.0938,0.0605,0.9653
48,-0.0671,0.0513,0.9983
49,0.0227,-0.0166,0.9590
50,0.0569,-0.0667,1.0090
51,0.0945,-0.0647,1.0305
52,0.0623,-0.1316,0.9741
53,-0.0300,-0.0806,0.9963
54,-0.0693,0.0791,0.9954
55,-0.1008,0.0413,0.9504
56,-0.0723,0.0933,0.9517
57,-0.0012,0.0354,0.9260
58,0.0525,0.0107,1.0256
59,0.1062,-0.0559,0.9893
60,0.0662,-0.0635,1.0110
61,0.0220,-0.0266,0.9690
62,-0.0662,-0.0928,0.9836
63,-0.1057,-0.0183,1.0081
64,-0.1104,-0.0237,0.9487
65,-0.0427,0.0818,0.9963
66,0.0220,0.0549,0.9543
67,0.0813,0.0303,0.9927
68,0.1006,-0.0095,0.9644
69,0.0952,-0.0637,0.9788
70,-0.0002,-0.0637,0.9868
71,-0.0879,-0.0361,0.9937
72,-0.1499,-0.0305,1.0024
73,-0.1431,0.0205,0.9995
74,-0.0510,0.0356,0.9700
75,0.0464,-0.0122,0.9592
76,0.1694,-0.0212,0.9836
77,0.1807,0.0205,0.9800
78,0.0828,0.0525,0.9612
79,-0.0493,-0.0288,0.9722
80,-0.1606,-0.0610,1.0217
81,-0.2087,-0.0356,1.0129
82,-0.1418,-0.0256,0.9622
83,-0.0198,-0.0549,0.9797
84,0.1458,0.0532,0.9985
85,0.1772,0.0178,0.9485
86,0.1677,0.0151,0.9670
87,0.0540,-0.0090,0.9836
88,-0.0955,-0.0188,0.9897
89,-0.1860,0.0237,0.9749
90,-0.1877,0.0002,0.9712
91,-0.1055,-0.0637,1.0171
92,0.0552,-0.0464,0.9949
93,0.1194,-0.0383,0.9849
94,0.1716,-0.0049,0.9810
95,0.1021,-0.0149,0.9622
96,-0.0244,0.0530,0.9778
97,-0.0894,0.0271,0.9329
98,-0.1350,0.0127,0.9995
99,-0.1179,-0.0056,0.9768
100,-0.0320,-0.0049,1.0188
101,0.0374,-0.0337,0.9866
102,0.0852,-0.0688,0.9788
103,0.1172,-0.0229,0.9995
104,0.0459,-0.0718,0.9680
105,-0.0029,0.0190,0.9788
106,-0.0679,0.0234,0.9624
107,-0.1218,0.0815,0.9895
108,-0.1121,-0.0217,0.9546
109,-0.0349,0.0044,1.0015
110,0.0129,-0.0388,0.9565
111,0.0969,-0.0139,0.9983
112,0.1272,-0.0369,0.9673
113,0.0593,-0.0564,0.9946
114,0.0361,0.0471,1.0227
115,-0.0820,-0.0400,0.9534
116,-0.1633,-0.0037,0.9956
117,-0.1196,0.0327,0.9468
118,-0.0840,0.0020,0.9983
119,0.0562,0.0005,0.9683
120,0.1401,-0.0745,0.9680
121,0.0913,0.0154,1.0347
122,0.0564,0.0142,0.9456
123,-0.0466,-0.0044,0.9846
124,-0.0745,0.0222,0.9661
125,-0.0659,-0.0417,0.9702
126,-0.0603,-0.0203,1.0112
127,-0.0103,-0.0151,0.9934
128,0.0251,0.0044,1.0103
129,0.0195,0.0095,0.9446
130,0.0312,-0.0552,0.9761
131,0.0054,-0.0012,1.0012
132,-0.0269,-0.0151,0.9468
133,-0.0051,0.0337,1.0061
134,-0.0151,-0.0073,0.9673
135,-0.0012,0.0125,1.0071
136,0.0142,-0.0100,0.9487
137,-0.0256,-0.0615,0.9661
138,0.0369,0.0356,1.0012
139,0.0029,-0.0261,0.9749
140,-0.0149,0.0164,0.9973
141,-0.0522,-0.0281,0.9868
142,-0.0730,-0.0120,1.0208
143,-0.0215,-0.0557,0.9719
144,0.0271,-0.0049,0.9751
145,0.0520,-0.0413,0.9253
146,0.0754,0.0581,1.0068
147,0.0378,0.0256,0.9839
148,-0.0149,0.0286,0.9702
149,-0.0679,0.0364,0.9673
150,-0.1155,-0.0073,0.9858
151,-0.0703,-0.0713,1.0129
152,-0.0127,-0.0864,1.0085
153,0.0645,-0.0408,1.0024
154,0.0969,-0.0623,0.9702
155,0.0771,-0.0034,0.9692
156,0.0132,0.0491,0.9641
157,-0.0735,0.0903,0.9624
158,-0.1223,0.0508,0.9475
159,-0.0859,0.0557,0.9944
160,0.0032,-0.0911,0.9751
161,0.0723,-0.0679,1.0227
162,0.1023,-0.0171,0.9819
163,0.0225,-0.1350,0.9702
164,-0.0266,-0.0027,1.0540
165,-0.1025,-0.0081,0.9504
166,-0.1079,0.0220,0.9761
167,0.0139,0.0835,0.9387
168,0.0425,0.0300,0.9358
169,0.1033,0.0437,0.9771
170,0.0793,-0.0376,0.9839
171,-0.0259,-0.0183,1.0513
172,-0.1125,-0.0696,0.9709
173,-0.1321,-0.0830,0.9878
174,-0.0454,-0.0354,1.0005
175,-0.0103,-0.0461,0.9563
176,0.0833,0.0354,0.9907
177,0.1130,0.0542,0.9897
178,0.0403,0.0288,0.9771
179,0.0283,0.0493,0.9426
180,-0.0686,-0.0469,0.9575
181,-0.0945,-0.0496,1.0042
182,-0.0776,0.0120,0.9915
183,-0.0461,-0.0232,0.9856
184,0.0239,-0.0276,1.0042
185,0.0940,-0.0481,0.9839
186,0.0325,-0.0349,0.9827
187,0.0354,0.0098,0.9751
188,-0.0212,0.0022,0.9749
189,-0.0742,0.0464,0.9634
190,-0.0706,0.0508,0.9524
191,-0.0454,-0.0193,1.0022
192,0.0300,-0.0322,0.9797
193,0.1006,-0.0022,0.9924
194,0.0613,-0.0117,0.9731
195,0.0154,-0.0974,0.9817
196,-0.0349,0.0000,1.0688
197,-0.1304,-0.0569,0.9231
198,-0.0911,-0.0310,0.9807
199,-0.0229,0.0630,0.9712
200,0.0044,0.0559,0.9387
201,0.0942,0.0669,0.9758
202,0.0735,0.0093,0.9946
203,0.0496,-0.0291,1.0044
204,-0.0125,-0.1021,0.9885
205,-0.0876,-0.1006,0.9858
206,-0.0906,-0.0581,0.9946
207,-0.0247,0.0256,1.0034
208,0.0034,0.0286,0.9514
209,0.0867,0.1152,0.9624
210,0.0391,0.0264,0.9412
211,0.0066,0.0051,1.0012
212,-0.0591,-0.0369,0.9944
213,-0.1067,-0.0603,0.9885
214,-0.0469,-0.0701,0.9866
215,0.0188,-0.0181,1.0151
216,0.0637,-0.0496,0.9487
217,0.0703,-0.0098,0.9888
218,0.0320,0.0647,0.9885
219,-0.0364,0.0432,0.9778
220,-0.0544,0.0779,0.9722
221,-0.0725,-0.0520,0.9182
222,-0.0156,-0.0168,1.0200
223,-0.0083,-0.0549,0.9673
224,0.0081,-0.0581,1.0198
225,0.0176,-0.0161,1.0376
226,-0.0068,-0.0740,0.9526
227,0.0222,0.0237,0.9934
228,0.0205,-0.0005,0.9341
229,-0.0049,0.0061,0.9797
230,-0.0090,0.1084,0.9397
231,-0.0535,0.0320,0.9651
232,-0.0212,0.0549,1.0327
233,-0.0251,-0.0649,0.9758
234,0.0034,-0.1169,0.9976
235,0.0388,-0.0889,1.0198
236,0.0156,-0.0691,1.0005
237,-0.0007,-0.0415,0.9636
238,0.0122,0.0706,0.9614
239,-0.0615,0.0500,0.9534
240,-0.0583,0.0876,0.9543
241,-0.0349,0.0574,0.9595
242,0.0081,0.0288,1.0090
243,0.0437,-0.0371,0.9751
244,0.0557,-0.0955,1.0122
245,0.0222,-0.1123,1.0022
246,-0.0061,-0.1567,1.0227
247,-0.0605,0.0193,1.0139
248,-0.0830,0.0212,0.9124
249,-0.0593,0.0981,0.9778
250,-0.0305,0.0554,0.9419
251,0.0757,0.0715,0.9670
252,0.0908,0.0356,0.9673
253,0.0635,-0.0439,0.9761
254,0.0420,-0.0427,1.0210
255,-0.0669,-0.1475,0.9993
256,-0.1355,-0.0781,1.0247
257,-0.1077,-0.0242,0.9927
258,-0.0872,-0.0217,0.9624
259,0.0605,0.0645,0.9858
260,0.1033,0.0579,0.9368
261,0.1074,0.0735,0.9641
262,0.0828,0.0354,0.9575
263,-0.0161,-0.0195,1.0024
264,-0.0520,-0.0193,0.9817
265,-0.1040,-0.0676,0.9888
266,-0.1235,-0.0659,1.0073
267,-0.0706,-0.0947,0.9944
268,0.0059,0.0149,1.0396
269,0.0603,-0.0103,0.9475
270,0.1047,0.0144,0.9634
271,0.1074,0.0210,0.9368
272,0.0361,0.0886,0.9768
273,-0.0503,0.0576,0.9380
274,-0.0928,-0.0347,0.9875
275,-0.1006,-0.0217,1.0520
276,-0.0972,-0.0693,0.9885
277,-0.0132,-0.0505,0.9771
278,0.0505,-0.0938,0.9839
279,0.1064,-0.0193,1.0139
