Sample,X,Y,Z
0,-0.0906,0.0903,0.9692
1,0.0056,0.0469,0.9651
2,0.1033,-0.0549,1.0051
3,0.1562,0.0161,0.9963
4,0.1147,0.0564,1.0071
5,0.0298,-0.0156,1.0032
6,-0.0740,-0.1355,0.9653
7,-0.1667,-0.0901,1.0071
8,-0.1172,0.0615,0.9678
9,-0.0325,-0.0005,0.9319
10,-0.0242,0.0803,0.9978
11,0.0940,0.0137,0.9546
12,0.1165,-0.0427,0.9995
13,0.0925,0.0530,1.0002
14,0.0530,-0.0637,0.9595
15,-0.0117,-0.0356,0.9907
16,-0.1455,-0.0378,0.9905
17,-0.0991,-0.0205,0.9917
18,-0.1252,-0.0603,0.9507
19,-0.0320,0.0481,1.0159
20,0.1023,0.0017,0.9465
21,0.1138,0.0847,1.0066
22,0.1223,0.1074,0.9556
23,0.0576,-0.0420,0.9683
24,-0.0496,-0.0295,1.0139
25,-0.1116,-0.0859,0.9690
26,-0.1426,-0.1206,0.9983
27,-0.1260,-0.0217,0.9829
28,-0.0332,-0.0364,0.9866
29,0.0688,0.0554,0.9729
30,0.1687,0.0400,0.9497
31,0.1643,0.0762,0.9905
32,0.0981,0.0508,0.9836
33,-0.0024,-0.0020,0.9563
34,-0.1570,-0.0071,0.9778
35,-0.2168,-0.0293,0.9934
36,-0.1326,-0.1389,0.9709
37,-0.0610,-0.0188,1.0415
38,0.0813,0.0730,0.9751
39,0.1233,-0.0386,0.9585
40,0.0823,0.0315,1.0334
41,0.1243,-0.0667,0.9065
42,0.0247,-0.0142,0.9749
43,-0.0806,0.1067,0.9719
44,-0.0828,-0.0547,0.9426
45,-0.1018,-0.0110,0.9983
46,-0.0669,-0.0159,0.9731
47,0.0142,0.0015,1.0325
48,0.0593,0.0637,1.0081
49,0.0635,-0.0024,0.9888
50,0.0325,0.0149,0.9661
51,-0.0220,-0.0247,0.9771
52,-0.0159,-0.0427,0.9565
53,-0.0400,-0.0688,0.9722
54,-0.0408,0.0034,0.9700
55,-0.0317,0.0063,0.9680
56,0.0361,0.0322,0.9895
57,0.0479,-0.0103,0.9829
58,0.0398,-0.0071,1.0237
59,0.0173,0.0283,0.9661
60,-0.0369,-0.0017,0.9495
61,-0.0728,-0.0291,0.9653
62,-0.0564,-0.0701,0.9846
63,-0.0017,0.0295,1.0171
64,0.0149,0.0601,0.9565
65,0.0254,0.0251,0.9976
66,0.0618,-0.0444,0.9807
67,0.0588,-0.0557,0.9680
68,0.0215,0.0481,0.9954
69,-0.0056,0.0015,0.9556
70,-0.0884,-0.0657,0.9868
71,-0.1409,-0.0200,0.9788
72,-0.0435,-0.0171,0.9575
73,-0.0186,0.0256,1.0022
74,0.0518,0.0134,0.9937
75,0.1208,-0.0652,0.9663
76,0.0867,0.1121,0.9963
77,0.0593,0.0325,0.9368
78,0.0049,-0.0620,0.9790
79,-0.0938,-0.0479,1.0256
80,-0.0952,-0.0266,0.9839
81,-0.0771,-0.0205,0.9543
82,-0.1089,-0.0100,0.9956
83,-0.0020,0.0002,0.9983
84,0.0735,-0.0107,0.9712
85,0.1013,0.0652,0.9622
86,0.0881,0.0107,0.9524
87,0.0532,-0.0139,0.9829
88,0.0061,-0.0417,0.9790
89,-0.0522,-0.0051,1.0024
90,-0.1208,-0.0127,0.9780
91,-0.1008,0.0205,1.0220
92,-0.0493,-0.0461,0.9399
93,-0.0386,-0.0457,1.0044
94,0.0828,0.0376,0.9810
95,0.1182,-0.0203,0.9524
96,0.0869,0.1147,1.0142
97,0.0444,0.0132,0.9309
98,-0.0234,-0.0896,0.9771
99,-0.1223,-0.0012,1.0295
100,-0.0625,-0.0530,0.9644
101,-0.0647,-0.0786,0.9807
102,-0.1035,0.0356,1.0308
103,-0.0435,0.1418,1.0481
104,-0.0393,0.5217,1.0120
105,0.0310,0.7231,0.7905
106,0.0823,1.0474,0.8267
107,0.0696,1.4683,0.8628
108,-0.0146,1.5728,0.8799
109,-0.3162,1.5598,0.9924
110,-0.6521,1.3528,0.9221
111,-0.6440,1.2417,1.0874
112,-0.4949,1.0686,1.0959
113,-0.1602,0.5503,0.9663
114,0.1851,0.5354,1.1741
115,0.3643,0.4592,1.1096
116,0.2949,0.6138,0.9497
117,0.1626,0.7512,0.8401
118,0.0745,1.0356,0.8540
119,0.2021,0.9751,0.8101
120,0.4492,0.9531,0.8491
121,0.5024,0.6975,0.8694
122,0.3010,0.8032,1.0122
123,-0.0757,0.6704,0.9565
124,-0.4734,0.4797,1.0188
125,-0.5396,0.4097,1.1079
126,-0.2183,0.6738,1.1040
127,0.1709,1.0637,1.0286
128,0.3206,1.2798,0.9663
129,0.2649,1.2505,0.9126
130,-0.0117,1.3489,0.8948
131,-0.2107,0.9407,0.7756
132,-0.2146,0.7590,0.9573
133,-0.1838,0.8569,1.0581
134,-0.1062,0.4973,0.9338
135,-0.0723,0.5342,1.1245
136,-0.0542,0.4854,1.0327
137,0.0276,0.8081,1.0103
138,0.0654,0.8804,0.8408
139,0.0129,0.8979,0.8882
140,-0.0181,1.0129,0.9290
141,-0.0837,0.9211,0.8713
142,-0.1533,0.7173,0.9263
143,-0.2334,0.7593,1.0327
144,-0.1445,0.7546,1.0022
145,-0.0190,0.9009,1.0513
146,0.0872,0.3647,0.9292
147,0.1936,0.4888,1.2241
148,0.1228,0.4436,0.9402
149,-0.0291,0.5637,0.9534
150,-0.1228,1.1653,0.8889
151,-0.1067,1.1353,0.7456
152,0.0991,0.8547,0.8342
153,0.1357,0.8245,1.0256
154,0.1038,0.5090,0.9407
155,-0.3284,0.0833,1.2268
156,-0.6274,-0.8679,1.2866
157,-0.5750,-1.4653,1.2444
158,-0.0667,-1.4685,1.0347
159,0.6428,-1.1472,0.9233
160,1.1096,-1.2185,0.9233
161,0.9458,-1.0317,0.8547
162,0.2373,-0.7673,0.7075
163,-0.4507,-0.5403,0.7759
164,-0.6931,-0.5044,0.9192
165,-0.4490,-0.1345,1.0540
166,-0.0840,0.0479,1.0415
167,0.2161,0.6138,1.1821
168,0.3088,0.8315,0.9233
169,0.2175,0.9680,0.8831
170,-0.0330,1.5081,0.8293
171,-0.1880,1.4058,1.1069
172,-0.2964,1.0034,0.9487
173,-0.3979,0.5635,0.9878
174,-0.3491,0.4170,1.0581
175,-0.2029,-0.2432,1.1252
176,0.1084,-0.5083,1.2112
177,0.4597,-0.3884,0.9819
178,0.5315,-0.3210,0.7578
179,0.3821,-0.2209,0.8257
180,0.1023,-0.5229,0.8459
181,-0.1707,-0.5845,0.9417
182,-0.2273,-0.4053,0.9036
183,-0.1721,-0.4583,0.9360
184,-0.0791,-0.2776,1.1672
185,-0.0833,-0.3833,1.1648
186,-0.1326,-0.3774,1.1653
187,-0.0725,-0.2532,0.9517
188,-0.0867,-0.2083,0.9360
189,-0.0266,0.0640,0.9670
190,0.0469,-0.0310,0.8823
191,0.1079,-0.1362,0.9231
192,0.0894,0.2610,0.9832
193,0.1997,-0.3362,0.7715
194,0.0894,-0.1147,1.1802
195,0.0427,-0.1821,1.0491
196,-0.0942,-0.4346,1.0637
197,-0.0901,-0.0776,1.0786
198,-0.0911,0.0125,0.9094
199,0.0051,0.2834,0.9084
200,-0.0032,0.4194,0.8970
201,-0.0547,0.3547,1.0305
202,-0.0012,0.2612,0.8804
203,0.1384,0.0540,0.9116
204,0.1704,0.2896,1.0784
205,0.1370,-0.1775,0.9800
206,0.1125,-0.0593,1.1177
207,-0.0554,0.0999,0.9797
208,-0.1855,0.1729,1.0122
209,-0.3013,0.3032,0.9966
210,-0.4399,0.3179,0.9243
211,-0.3650,0.3186,0.8167
212,-0.1370,0.3645,0.8938
213,0.2893,0.0911,0.9478
214,0.4321,-0.2900,0.9768
215,0.2256,-0.0432,1.1438
216,-0.0955,0.1375,1.0159
217,-0.3425,-0.1636,1.0588
218,-0.3694,-0.6655,1.0872
219,-0.1897,-0.8726,1.0852
220,0.0664,0.0786,1.0269
221,0.2415,0.1831,0.6313
222,0.2488,0.0400,0.8765
223,0.1196,-0.2217,0.9421
224,0.1392,-0.2739,0.9094
225,0.1333,0.1267,1.0032
226,-0.0408,0.2261,1.0610
227,-0.2207,-0.3850,0.9692
228,-0.2791,-0.4243,1.2454
229,-0.1252,-0.0984,1.0247
230,0.1399,0.2725,0.8599
231,0.2388,0.1819,0.8508
232,0.1670,0.2585,1.0842
233,0.0203,-0.0759,0.9272
234,-0.1301,0.0850,0.9380
235,-0.0930,0.2292,0.8293
236,-0.0820,0.1873,0.9634
237,-0.0027,-0.3831,1.0776
238,-0.0139,-0.3772,1.2131
239,-0.0688,-0.2578,0.9524
240,-0.1028,0.2539,0.9009
241,-0.0266,0.0808,0.8569
242,0.0386,-0.0088,1.0989
243,0.1184,-0.0164,1.0181
244,0.1155,0.1064,0.8794
245,-0.0237,0.6060,0.9077
246,-0.0608,0.3220,0.9009
247,-0.1375,-0.2188,1.0571
248,-0.0586,-0.3210,1.0913
249,0.0842,0.1145,0.9927
250,0.1470,0.2178,0.9553
251,0.0244,0.3210,1.1292
252,-0.0889,-0.0811,0.8843
253,-0.1887,-0.1143,0.9646
254,0.0049,0.2073,0.9495
255,0.1892,0.1233,0.8420
256,0.2073,0.0193,0.9438
257,-0.0581,-0.2322,1.0698
258,-0.1775,-0.1777,1.1018
259,-0.2122,-0.0498,0.9429
260,-0.0574,-0.4062,0.8352
261,0.1289,-0.4165,1.1213
262,0.2522,0.0161,1.1162
263,0.1428,0.1357,0.9087
264,-0.0503,0.1074,0.9573
265,-0.3049,-0.1592,0.9221
266,-0.2839,0.0261,0.9651
267,-0.1140,0.2170,0.8899
268,0.0208,-0.0762,1.0149
269,0.1992,-0.1855,1.0940
270,0.1921,-0.2502,1.0015
271,0.0657,-0.3611,0.9321
272,0.0073,-0.0281,1.0554
273,-0.0300,-0.2080,0.9036
274,0.0164,-0.1484,0.9553
275,0.0806,0.0442,0.9973
276,-0.0779,0.2395,1.0061
277,-0.0645,0.1951,0.9358
278,-0.1262,0.4556,0.9595
279,-0.1191,0.5649,0.9829
280,0.1125,0.0154,0.8462
281,0.0740,-0.1663,1.1135
282,-0.0217,0.0513,1.0562
283,-0.0320,0.1887,0.9944
284,-0.1853,0.0029,1.0247
285,-0.0452,-0.0818,0.9868
286,0.2053,-0.0735,0.8528
287,0.2192,0.1619,0.9954
288,0.1448,0.1831,0.9976
289,-0.1082,-0.1047,0.9641
290,-0.2200,0.0059,0.9536
291,-0.1526,-0.0349,0.8804
292,0.0684,0.0886,1.0598
293,0.1240,0.3083,0.9827
294,-0.0298,-0.0063,1.0161
295,0.0054,-0.0173,1.0393
296,-0.0120,-0.3423,0.9673
297,0.0806,-0.0208,1.0930
298,0.0764,-0.1245,0.9526
299,-0.1116,-0.1367,1.1145
300,-0.1826,0.2024,1.0051
301,-0.0571,-0.1499,0.6440
302,0.0530,0.2317,1.0042
303,0.2461,0.2080,0.8752
304,0.2703,-0.0645,0.9897
305,0.0449,-0.2510,1.0178
306,-0.2263,-0.2227,1.0256
307,-0.1758,0.0310,1.0188
308,-0.0959,0.1687,0.9651
309,0.1023,0.1357,1.1025
310,0.2244,-0.4644,1.0188
311,0.1978,-0.2200,1.0959
312,0.0659,0.2688,0.8713
313,-0.0596,0.1787,0.7783
314,-0.2458,-0.1028,0.9973
315,-0.2356,-0.1548,1.0442
316,-0.1472,0.0767,1.0315
317,-0.0530,0.3508,0.8635
318,0.0989,-0.4001,0.8267
319,0.1450,-0.2122,1.2961
320,0.0552,-0.0781,1.0149
321,-0.0742,0.1052,1.0005
322,-0.0398,0.2656,0.8352
323,-0.1851,0.0376,1.0073
324,-0.0874,0.1101,1.0327
325,0.0020,0.0801,0.9019
326,0.0981,0.0823,0.9011
327,0.1470,0.1560,0.9700
328,0.0732,-0.0601,1.1050
329,-0.0986,-0.1238,1.1782
330,-0.2419,-0.3372,1.0354
331,-0.2610,-0.2371,1.0015
332,-0.1384,0.0308,0.9810
333,0.1382,-0.2944,0.7346
334,0.2393,-0.2090,0.9751
335,0.3088,-0.0107,0.8755
336,0.2600,0.3108,1.0422
337,0.1194,0.2341,0.8403
338,-0.2280,0.0332,0.9390
339,-0.3169,-0.0405,1.0630
340,-0.2727,0.1687,1.1509
341,-0.0520,-0.4031,0.9751
342,0.1624,-0.4031,1.1069
343,0.2263,-0.1292,1.0220
344,0.2107,-0.0378,0.9067
345,0.0583,0.2271,0.9624
346,-0.1912,0.1223,0.8821
