Sample,X,Y,Z
0,-0.0527,-0.0962,0.9485
1,-0.0740,0.0049,0.9905
2,-0.0510,-0.0459,0.9448
3,-0.0364,-0.0063,0.9878
4,0.0105,-0.0583,0.9709
5,0.0476,0.0242,0.9895
6,0.0762,0.0522,0.9814
7,0.0293,0.0354,0.9807
8,-0.0146,-0.0337,0.9888
9,-0.0676,0.0146,1.0002
10,-0.0642,-0.0295,0.9683
11,-0.0330,0.0068,0.9692
12,-0.0227,-0.0615,0.9719
13,-0.0173,-0.0347,0.9670
14,0.0293,-0.0784,0.9438
15,0.0059,0.0652,0.9973
16,0.0017,0.0444,0.9478
17,-0.0024,0.0220,0.9917
18,-0.0303,0.0029,1.0081
19,-0.0466,0.0037,0.9846
20,-0.0337,-0.0540,0.9858
21,0.0029,0.0061,0.9937
22,0.0156,-0.0684,0.9497
23,0.0259,-0.0198,0.9922
24,0.0005,-0.0156,0.9573
25,-0.0283,-0.0161,0.9702
26,-0.0642,0.0464,0.9797
27,-0.0571,0.0168,0.9592
28,-0.0247,-0.0010,0.9817
29,0.0161,-0.0061,0.9839
30,0.0315,-0.0142,0.9858
31,0.0586,-0.0503,0.9722
32,0.0115,-0.0554,0.9983
33,-0.0151,-0.0051,0.9722
34,-0.0486,-0.0439,0.9624
35,-0.0894,0.0437,0.9983
36,-0.0535,0.0286,0.9526
37,-0.0334,0.0286,0.9768
38,0.0227,0.0281,0.9749
39,0.0403,-0.0232,0.9622
40,0.0676,-0.0837,0.9946
41,0.0217,-0.0115,0.9907
42,-0.0098,-0.0237,0.9751
43,-0.0723,-0.0161,0.9966
44,-0.0527,-0.0320,0.9751
45,-0.0686,0.0334,0.9895
46,-0.0378,-0.0229,0.9465
47,0.0059,0.0061,0.9927
48,0.0547,0.0098,0.9495
49,0.0024,0.0093,0.9817
50,0.0327,0.0183,0.9641
51,-0.0071,-0.0408,0.9858
52,-0.0459,-0.0347,0.9946
53,-0.0444,-0.0557,0.9661
54,-0.0334,0.0676,1.0051
55,0.0029,-0.0044,0.9517
56,0.0315,-0.0078,1.0015
57,0.0188,-0.0522,0.9709
58,0.0022,-0.0156,0.9800
59,-0.0486,-0.0376,0.9583
60,-0.0654,0.0222,0.9797
61,-0.0554,0.0161,0.9661
62,-0.0278,-0.0242,0.9834
63,0.0010,0.0061,0.9800
64,0.0615,-0.0176,0.9673
65,0.0471,0.0305,0.9966
66,0.0454,-0.0430,0.9536
67,-0.0200,-0.0227,1.0032
68,-0.0774,0.0339,0.9875
69,-0.1003,-0.0261,0.9553
70,-0.0850,0.0125,1.0090
71,0.0044,-0.0295,0.9614
72,0.0281,-0.0312,0.9817
73,0.1006,-0.0002,0.9700
74,0.0444,-0.0134,0.9856
75,-0.0068,-0.0278,0.9546
76,-0.0720,0.0200,0.9973
77,-0.0801,0.0212,0.9524
78,-0.0505,-0.0107,0.9709
79,-0.0154,0.0139,0.9976
80,0.0288,-0.0791,0.9739
81,0.0432,-0.0735,1.0015
82,-0.0071,0.0054,0.9875
83,-0.0117,0.0637,0.9692
84,-0.0100,-0.0051,0.9585
85,-0.0381,0.0417,0.9966
86,-0.0493,0.0156,0.9497
87,-0.0237,-0.0391,0.9846
88,-0.0146,-0.0146,0.9868
89,0.0054,-0.0439,0.9651
90,0.0349,-0.0383,1.0012
91,0.0337,-0.0447,0.9739
92,-0.0002,-0.0103,0.9712
93,-0.0527,0.0354,0.9915
94,-0.0696,-0.0437,0.9497
95,-0.0488,0.0068,0.9973
96,-0.0232,0.0474,0.9680
97,0.0339,0.0107,0.9509
98,0.0559,0.0032,0.9946
99,0.0349,-0.0085,0.9741
100,-0.0195,-0.0725,0.9849
101,-0.0400,-0.0146,0.9875
102,-0.0718,0.0166,0.9888
103,-0.0422,-0.0554,0.9614
104,-0.0383,-0.0068,1.0032
105,0.0315,0.0310,0.9546
106,0.0083,-0.0015,0.9800
107,0.0237,0.0298,0.9758
108,0.0127,-0.0217,0.9661
109,-0.0410,-0.0176,0.9927
110,-0.0325,-0.0889,0.9583
111,-0.0334,0.0198,1.0012
112,-0.0122,0.0154,0.9670
113,0.0498,0.0430,0.9790
114,0.0374,-0.0464,0.9819
115,-0.0232,-0.0046,0.9973
116,-0.0503,-0.0754,0.9556
117,-0.1147,0.0430,1.0044
118,-0.0745,0.0027,0.9536
119,0.0039,-0.0234,0.9858
120,0.0613,0.0266,0.9797
121,0.0935,0.0217,0.9663
122,0.0637,-0.0193,0.9731
123,-0.0142,-0.0442,0.9846
124,-0.0586,-0.0361,0.9846
125,-0.1118,-0.0637,0.9771
126,-0.0693,-0.0610,0.9973
127,0.1145,0.0317,1.0464
128,0.4019,-0.0012,0.9651
129,0.7932,0.2969,1.0093
130,1.1565,0.6338,0.9263
131,1.3352,0.8325,0.8872
132,1.2542,1.0864,0.9409
133,0.8870,1.0132,0.9185
134,0.3472,0.9006,0.9827
135,-0.0688,0.5432,0.9700
136,-0.2979,0.4626,1.0481
137,-0.2253,0.4749,0.9436
138,0.0835,0.7034,0.9963
139,0.3491,0.7659,0.9983
140,0.4700,0.6206,1.0142
141,0.4189,0.3315,1.0442
142,0.2070,0.1252,1.0171
143,0.0256,-0.0649,1.0168
144,0.1287,-0.1802,1.0005
145,0.4221,0.1143,0.9595
146,0.7961,0.3191,0.8706
147,1.0364,0.2876,0.8979
148,1.0637,0.1128,0.9507
149,0.7854,0.0618,0.9438
