Sample,X,Y,Z
0,-0.0461,0.0090,0.9634
1,0.0154,-0.0178,0.9683
2,0.0752,-0.0093,1.0034
3,0.0845,0.0103,0.9973
4,0.0647,-0.0068,0.9985
5,-0.0361,-0.0730,0.9956
6,-0.0935,-0.0315,1.0044
7,-0.1160,-0.0164,0.9719
8,-0.0911,0.0039,0.9612
9,-0.0256,0.0024,0.9624
10,0.0344,0.0090,0.9504
11,0.0859,0.0454,0.9465
12,0.0500,0.0193,0.9612
13,0.0156,0.0063,0.9924
14,-0.0266,-0.0662,0.9819
15,-0.0569,-0.0317,1.0288
16,-0.0510,-0.0425,0.9890
17,-0.0518,-0.0850,1.0032
18,-0.0349,-0.0398,0.9954
19,-0.0347,-0.0337,0.9456
20,-0.0164,0.0498,0.9534
21,0.0017,0.0728,0.9351
22,0.0579,0.0752,0.9604
23,0.0356,-0.0212,0.9690
24,0.0042,0.0142,1.0090
25,-0.0293,-0.0930,0.9810
26,-0.0408,-0.0271,1.0249
27,-0.0249,-0.0459,0.9778
28,-0.0205,-0.0156,0.9956
29,0.0066,-0.0098,0.9822
30,-0.0254,0.0073,0.9438
31,-0.0449,0.0276,0.9731
32,-0.0347,-0.0339,0.9543
33,-0.0215,-0.0149,0.9758
34,0.0037,0.0337,0.9692
35,0.0286,0.0232,0.9673
36,0.0149,-0.0378,0.9937
37,-0.0132,-0.0283,1.0015
38,-0.0159,-0.0359,0.9868
39,0.0010,-0.0220,0.9788
40,-0.0049,-0.0100,0.9839
41,0.0071,0.0024,0.9612
42,-0.0554,-0.0144,0.9768
43,-0.0593,0.0681,0.9797
44,-0.1079,-0.0386,0.9448
45,-0.0640,0.0244,1.0181
46,0.0461,-0.0571,0.9436
47,0.0916,-0.0232,1.0063
48,0.1587,0.0081,0.9680
49,0.0508,-0.0452,0.9583
50,-0.0408,0.0381,1.0171
51,-0.1465,-0.0605,0.9341
52,-0.2085,0.0181,1.0171
53,-0.1184,0.0300,0.9360
54,0.0002,-0.0107,0.9771
55,0.0835,0.0271,1.0034
56,0.1467,-0.0466,0.9712
57,0.0933,-0.0083,1.0032
58,0.0308,-0.0168,0.9700
59,-0.0818,-0.0266,0.9854
60,-0.1160,-0.0630,0.9680
61,-0.1052,-0.0168,0.9766
62,-0.0664,0.0273,0.9543
63,0.0437,0.0254,0.9563
64,0.0566,0.0247,0.9731
65,0.0479,0.0256,0.9751
66,-0.0217,0.0139,0.9846
67,-0.0664,-0.0085,1.0073
68,-0.0669,-0.0193,0.9907
69,-0.0249,-0.0427,0.9858
70,0.0225,-0.0347,1.0017
71,0.0579,-0.0742,0.9651
72,-0.0012,-0.0627,0.9702
73,-0.0190,0.0393,0.9712
74,-0.0237,0.0093,0.9290
75,-0.0562,0.0173,0.9712
76,-0.0190,0.0793,0.9631
77,-0.0417,-0.0239,0.9553
78,-0.0481,-0.0020,1.0178
79,-0.0264,-0.0269,0.9995
80,0.0349,-0.0215,1.0093
81,0.0828,-0.0393,0.9973
82,0.0693,-0.0076,0.9712
83,-0.0044,-0.0005,0.9614
84,-0.0737,0.0107,0.9680
85,-0.1575,-0.0288,0.9727
86,-0.0833,-0.0149,0.9751
87,-0.0032,-0.0017,0.9495
88,0.0823,0.0334,0.9761
89,0.0959,-0.0330,0.9673
90,0.0173,-0.0579,0.9966
91,-0.0605,0.0193,0.9849
92,-0.1013,-0.0073,0.9788
93,-0.0593,-0.0029,0.9954
94,-0.0049,-0.0447,0.9702
95,0.0520,0.0430,0.9858
96,0.0706,0.0232,0.9631
97,0.0161,-0.0195,0.9878
98,-0.0454,-0.0359,0.9836
99,-0.0857,-0.0107,0.9622
100,-0.0933,0.0215,0.9751
101,-0.0518,0.0132,0.9651
102,0.0020,-0.0720,0.9739
103,0.0364,-0.0303,0.9976
104,0.0896,-0.0227,0.9692
105,0.0596,-0.0364,0.9731
106,0.0081,0.0056,0.9927
107,-0.0552,0.0154,0.9565
108,-0.1274,0.0222,0.9741
109,-0.1125,0.0806,0.9917
110,-0.0505,-0.0330,0.9673
111,0.0200,-0.0474,1.0002
112,0.0916,-0.0195,0.9790
113,0.0859,-0.0203,0.9644
114,0.0354,-0.0093,1.0034
115,-0.0054,-0.0115,0.9709
116,-0.0725,-0.0525,0.9780
117,-0.0710,0.0032,0.9885
118,-0.1072,-0.0486,0.9456
119,-0.0620,0.0051,0.9817
120,0.0020,0.0369,0.9722
121,0.0535,0.0227,0.9680
122,0.1038,0.0181,0.9731
123,0.0698,-0.0364,0.9875
124,0.0061,0.0144,0.9956
125,-0.1096,-0.0806,0.9712
126,-0.0286,0.0454,1.0083
127,0.2581,0.0015,0.9329
