Sample,X,Y,Z
0,-0.0632,-0.0144,0.9827
1,-0.0869,-0.0159,0.9807
2,-0.0823,-0.0637,0.9944
3,-0.0059,0.0015,1.0034
4,0.0710,-0.0049,0.9419
5,0.0764,-0.0227,0.9680
6,0.0510,0.0339,0.9866
7,-0.0391,0.0020,0.9653
8,-0.1138,0.0415,0.9907
9,-0.1025,-0.0166,0.9585
10,-0.0737,-0.0454,0.9858
11,-0.0022,-0.0269,0.9858
12,0.0828,-0.0371,0.9829
13,0.0754,-0.0276,0.9829
14,0.0659,0.0042,0.9778
15,0.0212,0.0171,0.9688
16,-0.0791,-0.0103,0.9915
17,-0.1042,0.0051,0.9749
18,-0.1135,-0.0542,0.9641
19,-0.0681,-0.0039,1.0042
20,0.0200,0.0017,0.9612
21,0.0735,-0.0037,0.9741
22,0.0959,-0.0215,0.9663
23,0.0415,-0.0232,0.9731
24,-0.0422,0.0317,1.0015
25,-0.0679,-0.0024,0.9746
26,-0.1047,-0.0334,0.9680
27,-0.0676,0.0288,0.9885
28,0.0186,-0.0225,0.9670
29,0.0303,-0.0994,1.0239
30,0.0342,-0.0774,0.9751
31,0.0193,-0.0039,0.9497
32,-0.0115,0.0759,0.9731
33,-0.0415,0.0496,0.9673
34,-0.0696,0.0286,0.9624
35,-0.0591,0.0139,0.9700
36,0.0283,0.0029,1.0088
37,0.0200,-0.0562,0.9927
38,0.0537,-0.0686,0.9800
39,0.0342,-0.1035,0.9858
40,-0.0466,-0.0747,0.9934
41,-0.0754,0.0120,0.9702
42,-0.0879,0.0737,0.9585
43,-0.0713,0.0591,0.9546
44,0.0222,0.0413,0.9614
45,0.0435,0.0642,0.9705
46,0.0820,0.0330,0.9907
47,0.0410,-0.1384,0.9810
48,-0.0344,-0.1641,1.0139
49,-0.0522,-0.0315,0.9905
50,-0.0789,-0.0293,0.9712
51,-0.0571,0.0142,0.9917
52,-0.0071,0.0415,0.9497
53,0.0007,0.0718,0.9526
54,0.0488,0.0571,0.9829
55,0.0237,-0.0466,0.9658
56,-0.0081,-0.0127,0.9905
57,-0.0107,-0.0349,0.9712
58,-0.0469,-0.0449,1.0083
59,-0.0459,0.0261,0.9905
60,-0.0212,-0.0415,0.9614
61,-0.0198,-0.0562,1.0063
62,0.0225,-0.0613,0.9868
63,0.0117,-0.0239,0.9785
64,-0.0027,0.0457,0.9680
65,-0.0215,0.0146,0.9397
66,-0.0422,0.0432,0.9856
67,-0.0432,0.0688,0.9634
68,-0.0149,-0.0205,0.9702
69,-0.0098,-0.0532,0.9983
70,-0.0022,-0.0808,0.9849
71,0.0137,-0.0508,0.9949
72,0.0042,-0.0020,0.9976
73,0.0168,0.0020,0.9624
74,-0.0195,0.0239,0.9751
75,-0.0588,-0.0398,0.9563
76,-0.0459,-0.0266,0.9934
77,-0.0505,0.0281,0.9595
78,-0.0010,0.0168,0.9563
79,0.0654,0.0510,0.9973
80,0.0039,-0.0159,0.9663
81,0.0200,-0.0320,0.9810
82,-0.0557,-0.0625,0.9937
83,-0.0710,-0.0339,0.9983
84,-0.0090,-0.0325,0.9836
85,0.0017,-0.0093,0.9712
86,0.0376,-0.0115,0.9556
87,0.0139,-0.0259,0.9797
88,-0.0488,0.0325,0.9976
89,-0.0603,0.0173,0.9585
90,-0.0664,-0.0176,0.9507
91,-0.0144,0.0286,0.9797
92,0.0400,0.0645,0.9651
93,0.0391,0.0005,0.9875
94,0.0386,-0.0706,1.0063
95,0.0071,-0.0989,1.0132
96,-0.0811,-0.1050,0.9778
97,-0.0837,-0.0793,0.9624
98,-0.0500,0.0391,0.9731
99,-0.0200,0.0718,0.9387
100,0.0295,0.0698,0.9526
101,0.0835,0.1328,0.9849
102,0.0205,0.0256,0.9641
103,-0.0356,-0.1228,0.9941
104,-0.0469,-0.0876,1.0151
105,-0.1047,-0.0696,0.9661
106,-0.0254,-0.0588,1.0132
107,0.0142,-0.0513,0.9907
108,0.0259,0.0083,0.9749
