Sample,X,Y,Z
0,-0.0037,0.0637,0.9729
1,-0.0354,-0.0374,0.9595
2,-0.0557,-0.0881,0.9885
3,-0.0027,-0.0271,1.0015
4,0.0134,0.0251,0.9731
5,0.0215,-0.0012,0.9856
6,0.0271,-0.0798,0.9702
7,-0.0210,-0.0354,0.9934
8,-0.0449,0.0518,0.9595
9,-0.0615,0.0708,0.9680
10,-0.0481,0.0176,0.9690
11,-0.0361,-0.0898,0.9631
12,0.0186,-0.0347,0.9927
13,0.0479,0.0049,0.9866
14,0.0459,0.0220,0.9758
15,0.0063,-0.0151,0.9819
16,-0.0251,-0.0271,0.9946
17,-0.0320,-0.0259,0.9729
18,-0.0601,0.0029,0.9885
19,-0.0718,-0.0134,0.9680
20,-0.0479,-0.0410,0.9731
21,0.0042,-0.0317,0.9751
22,0.0349,0.0081,0.9797
23,0.0908,0.0642,0.9534
24,0.0291,0.0559,0.9844
25,-0.0234,-0.0276,0.9536
26,-0.0813,-0.0542,1.0015
27,-0.0676,-0.0232,1.0032
28,-0.0325,-0.0596,0.9905
29,0.0024,-0.0398,0.9739
30,0.0142,-0.0229,0.9807
31,0.0454,-0.0066,0.9722
32,-0.0103,0.0491,0.9829
33,-0.0369,0.0427,0.9397
34,-0.0432,0.0242,0.9602
35,-0.0398,-0.0056,0.9807
36,-0.0142,-0.0471,0.9797
37,0.0312,-0.0244,0.9905
38,0.0078,-0.0195,0.9866
39,-0.0173,-0.0562,1.0005
40,-0.0386,-0.0396,0.9849
41,-0.0322,0.0071,0.9771
42,-0.0081,0.0374,0.9504
43,0.0354,0.0042,0.9788
44,0.0020,-0.0115,0.9761
45,-0.0293,-0.0122,0.9788
46,-0.0535,0.0327,0.9709
47,-0.0195,-0.0022,0.9709
48,0.0078,-0.0461,0.9895
49,0.0229,-0.0366,0.9641
50,0.0400,0.0264,0.9810
51,-0.0032,-0.0027,0.9895
52,-0.0537,-0.0657,0.9983
53,-0.0540,-0.0747,0.9849
54,-0.0713,0.0144,0.9749
55,-0.0508,0.0364,0.9351
56,0.0105,0.0632,1.0012
57,0.0469,0.0273,0.9641
58,0.0447,-0.0059,0.9712
59,0.0334,-0.0366,0.9543
60,-0.0305,-0.0632,1.0063
61,-0.0447,-0.0762,0.9888
62,-0.0786,-0.0864,1.0051
63,-0.0679,-0.0154,0.9517
64,0.0232,0.1272,0.9673
65,0.0454,0.1072,0.9700
66,0.0244,-0.0046,0.9670
67,-0.0188,-0.1074,0.9709
68,-0.0540,-0.0596,1.0093
69,-0.0254,-0.0696,0.9612
70,-0.0254,0.0308,1.0002
71,0.0063,0.0591,0.9741
72,0.0161,-0.0295,0.9563
73,-0.0090,-0.0085,0.9917
74,-0.0154,0.0593,0.9709
75,-0.0156,-0.0676,0.9534
76,-0.0195,-0.0496,1.0168
77,-0.0168,-0.1028,0.9702
78,-0.0005,0.0156,0.9985
79,-0.0093,0.0884,0.9614
80,0.0044,0.0928,0.9741
81,-0.0320,-0.0195,0.9487
82,-0.0281,-0.0659,0.9866
83,-0.0129,-0.0500,0.9827
84,0.0120,-0.0486,0.9951
85,0.0256,-0.0334,0.9924
86,-0.0569,-0.0742,0.9700
87,-0.0261,0.0354,0.9888
88,-0.0676,0.0525,0.9680
89,-0.0237,0.0815,0.9563
90,0.0010,0.0105,0.9661
91,0.0532,-0.0283,0.9868
92,0.0723,-0.0732,0.9644
93,0.0378,-0.0725,0.9934
94,-0.0295,-0.0024,0.9995
95,-0.0974,-0.0212,0.9666
96,-0.1235,0.0142,0.9963
97,-0.0630,-0.0068,0.9458
98,0.0127,-0.0154,0.9670
99,0.0593,0.0686,0.9924
100,0.0759,-0.0437,0.9644
101,0.0095,-0.0959,0.9849
102,-0.0266,-0.0386,0.9924
103,-0.0466,0.0391,0.9592
104,-0.0654,0.0547,0.9631
105,-0.0718,0.0234,0.9768
106,0.0032,0.0039,0.9780
107,0.0254,-0.0281,1.0046
108,0.0510,-0.0520,0.9856
109,0.0537,-0.0566,0.9810
110,0.0090,-0.0347,0.9829
111,-0.0601,-0.0630,0.9719
112,-0.0857,-0.0032,0.9878
113,-0.0696,0.0703,0.9634
114,-0.0642,0.0247,0.9429
115,-0.0012,0.0266,0.9807
116,0.0667,0.0073,0.9631
117,0.0769,-0.0198,0.9761
118,0.0530,-0.0630,0.9858
119,-0.0200,-0.0911,0.9983
120,-0.1069,-0.0127,0.9980
121,-0.1050,0.0161,0.9771
122,-0.0725,-0.0210,0.9790
123,0.0085,0.0229,0.9719
124,0.0837,0.0894,0.9583
125,0.0818,0.0139,0.9612
126,-0.0381,-0.1345,0.9836
127,-0.2446,0.0244,1.0610
128,-0.3662,0.5688,1.0093
129,-0.4741,0.8403,0.8267
130,-0.2834,1.1301,0.8215
131,0.0896,1.2903,0.8069
132,0.3521,1.5862,0.9026
133,0.3196,1.5679,0.9536
134,0.2253,1.6057,0.9397
135,-0.2622,1.3667,1.1079
136,-0.5303,1.0981,1.1089
137,-0.4851,0.5574,1.1238
138,-0.2427,0.3101,1.1470
139,0.2070,0.4641,1.0686
140,0.4136,1.0012,0.8694
141,0.5879,1.0295,0.9055
142,0.4731,0.6018,0.8635
143,0.2805,0.5200,0.8179
144,0.1924,0.8225,0.8538
145,0.1125,1.0884,0.8130
146,-0.0635,0.8203,0.8716
147,0.0215,0.5029,1.0208
148,0.0547,0.3035,1.1458
149,0.0017,0.5100,1.1956
150,-0.0281,0.6848,1.0374
151,0.0276,0.9048,0.9702
152,0.1218,1.1360,0.9504
153,0.1084,1.1675,0.8872
154,-0.0125,1.3313,0.8997
155,-0.1162,1.3040,0.8137
156,-0.1199,1.3215,0.9143
157,-0.0740,1.1733,0.9175
158,0.1011,0.7200,0.9856
159,0.1748,0.4172,1.0930
160,0.0452,0.4932,1.1089
161,-0.1782,0.5532,0.9800
162,-0.4224,0.5376,0.9868
163,-0.4265,0.7048,0.9827
164,-0.0818,0.7190,0.9211
165,0.1633,0.6528,0.8970
166,0.2534,0.9241,0.9377
167,0.2197,0.8628,0.7661
168,-0.0095,0.7766,0.9807
169,-0.1814,0.7041,0.9565
170,-0.2632,0.7690,0.9937
171,-0.0430,0.9026,1.0784
172,0.0359,0.5774,1.0188
173,0.1936,0.7854,1.1340
174,0.2351,0.7761,0.9778
175,0.1516,0.9172,0.9563
176,0.1091,0.8843,0.8481
177,0.0881,0.9165,0.8774
178,-0.0398,0.3928,0.7981
179,-0.0586,-0.2942,1.0093
180,-0.0269,-1.0320,1.1470
181,-0.2078,-1.4556,1.1907
182,-0.4714,-1.4810,1.1145
183,-0.6052,-1.4888,1.0110
184,-0.6597,-1.3601,1.0024
185,-0.4346,-1.2476,0.9309
186,-0.0061,-0.9263,0.9182
187,0.3958,-0.4431,0.8657
188,0.7358,-0.1965,0.9065
189,0.7065,0.0725,0.9661
190,0.3831,0.2876,0.8745
191,-0.0098,0.6626,0.8755
192,-0.2866,1.1567,0.9702
193,-0.3621,1.1936,0.9407
194,-0.2146,1.2581,1.1223
195,0.0774,1.3772,1.0569
196,0.3469,1.4214,1.0161
197,0.5229,1.1946,0.9690
198,0.4136,1.3381,1.0813
199,0.1511,0.7903,0.8274
200,-0.1873,0.3401,1.0295
201,-0.4058,-0.1204,0.9653
202,-0.6003,-0.2646,0.7991
203,-0.3125,-0.2410,1.0735
204,-0.0164,-0.7312,0.9360
205,0.1877,-0.9705,1.1157
206,0.1536,-0.5925,1.0356
207,0.0850,-0.4675,0.8462
208,0.0049,-0.4473,0.9592
209,-0.1460,-0.3137,1.0825
210,-0.1533,-0.2788,0.9622
211,-0.0398,-0.3540,0.9592
212,0.0745,-0.3657,1.0706
213,0.1980,-0.4170,0.9114
214,0.2935,-0.3286,0.9827
215,0.0510,-0.1765,1.0171
216,-0.0913,-0.0540,0.8979
217,-0.2202,-0.1726,0.8926
218,-0.2993,-0.0483,0.9839
219,-0.1028,-0.0020,0.9331
220,0.0359,0.0234,1.0122
221,0.0200,0.0486,1.0139
222,-0.0042,0.2576,1.0247
223,0.0378,0.1479,0.9331
224,0.1143,-0.0361,1.0862
225,0.2119,-0.1038,1.0610
226,0.0989,-0.1423,0.9399
227,-0.0950,0.1218,0.9573
228,-0.2761,0.4143,0.8723
229,-0.2427,0.5161,0.9185
230,-0.2205,0.1877,0.8782
231,0.0349,0.2886,1.1079
232,0.3022,0.5422,0.9260
233,0.3391,0.2480,0.9663
234,0.3032,0.2788,1.1628
235,0.1282,-0.2642,1.0034
236,-0.1042,-0.0640,1.1021
237,-0.2732,-0.0681,0.9280
238,-0.2712,-0.0159,0.9185
239,-0.1023,-0.0444,0.9219
240,0.0022,-0.1511,0.8999
241,0.2351,0.1636,0.9634
242,0.1169,-0.0388,0.8281
243,-0.0398,-0.1809,0.9407
244,-0.1111,0.0144,1.0510
245,-0.2026,-0.2219,1.0396
246,-0.0898,-0.4421,1.1089
247,0.0120,-0.4634,1.0969
248,0.0027,-0.3296,0.9475
249,0.0791,-0.3472,0.9543
250,0.0549,0.0193,1.0139
251,0.0408,-0.0120,0.7942
252,-0.0022,0.0952,0.9309
253,0.0439,0.3718,0.9407
254,-0.0120,0.1436,0.8225
255,-0.0356,-0.1924,1.1060
256,-0.1082,-0.3052,1.0569
257,-0.0972,0.0005,0.9788
258,-0.0667,0.2466,1.0015
259,-0.0652,0.1003,1.0706
260,-0.0063,-0.1995,1.0259
261,-0.1235,-0.1980,1.0288
262,-0.1670,-0.0847,0.9094
263,-0.0107,0.3633,0.9370
264,0.1770,0.3687,0.8989
265,0.2925,-0.0942,0.9280
266,0.1523,-0.2417,1.0745
267,-0.0500,0.0078,0.9104
268,-0.1931,0.2083,0.9016
269,-0.1492,0.3884,0.9739
270,-0.0383,0.0852,0.9585
271,0.0454,-0.3025,1.0259
272,0.1064,0.0354,1.1208
273,-0.0154,0.2854,0.8914
274,-0.1804,0.2078,0.8528
275,-0.0781,0.1594,1.0569
276,-0.0063,-0.1331,0.9487
277,0.1204,-0.0654,1.0776
278,0.1631,0.0078,0.9810
279,-0.0232,-0.2312,0.8931
280,0.0012,0.0088,1.0483
281,0.0164,-0.0374,0.9104
282,0.0220,0.1560,0.9722
283,0.0676,0.0308,0.9026
284,-0.0234,0.0503,0.9563
285,-0.0935,0.0806,0.9446
286,-0.2205,-0.1570,1.0325
287,-0.2361,-0.2983,1.0413
288,-0.2144,-0.2581,1.0454
289,-0.0349,0.0396,0.9448
290,0.1665,-0.0422,0.9583
291,0.2729,0.1235,1.0027
292,0.2012,-0.1353,0.9075
293,0.0293,-0.1643,0.9514
294,-0.2554,0.2808,0.9790
295,-0.2515,0.3091,0.8218
296,-0.1604,0.1082,1.0256
297,0.0081,-0.0078,1.0686
298,0.0918,-0.1218,0.9651
299,0.0637,-0.1077,1.0142
300,0.0090,0.0935,1.0090
301,0.0356,-0.1685,0.9397
302,-0.0144,-0.1248,1.0874
303,0.0330,-0.1580,0.9312
304,-0.0449,0.1501,0.9370
305,-0.0991,0.0525,0.8672
306,-0.1470,-0.0564,0.9048
307,-0.0708,0.2085,1.0044
308,0.1150,0.2671,0.9360
309,0.1311,0.1509,1.0454
310,0.0894,0.1492,1.0171
311,-0.0095,-0.0090,0.9670
312,-0.0442,-0.0942,1.0286
313,-0.1123,-0.0271,1.0610
314,-0.1355,-0.0237,0.9194
315,-0.0852,-0.0669,0.9895
316,-0.0085,-0.2258,0.9612
317,0.0864,-0.0610,0.9856
318,0.1555,-0.2429,0.8823
