Sample,X,Y,Z
0,0.0591,-0.0007,0.9524
1,0.0215,-0.0510,0.9788
2,0.0022,0.0505,1.0054
3,0.0251,-0.0627,0.9292
4,-0.0251,-0.0146,1.0161
5,-0.0200,0.0022,0.9885
6,-0.0273,-0.0762,0.9543
7,-0.0471,0.0681,1.0269
8,-0.0002,0.0112,0.9358
9,0.0186,-0.0178,0.9976
10,0.0337,-0.0039,1.0012
11,0.0447,-0.0530,0.9402
12,-0.0073,0.0352,1.0073
13,-0.0254,0.0178,0.9692
14,-0.0234,-0.0601,0.9739
15,-0.0283,0.0144,1.0083
16,-0.0266,-0.0134,0.9592
17,-0.0056,-0.0691,0.9717
18,-0.0066,-0.0215,1.0112
19,0.0146,0.0061,0.9563
20,0.0320,0.0586,0.9722
21,0.0188,0.0376,0.9797
22,0.0225,-0.0205,0.9780
23,-0.0051,0.0039,0.9885
24,-0.0688,-0.0073,0.9946
25,-0.0342,-0.0562,0.9739
26,-0.0205,-0.0930,0.9963
27,0.0190,0.0312,1.0007
28,0.0579,-0.0083,0.9312
29,0.0344,0.0229,1.0044
30,0.0007,0.0547,0.9788
31,-0.0242,-0.0361,0.9487
32,-0.0554,0.0388,1.0005
33,-0.0227,-0.0469,0.9631
34,0.0159,-0.0435,0.9917
35,0.0181,-0.0293,0.9966
36,0.0491,0.0110,0.9771
37,0.0049,-0.0154,0.9722
38,-0.0232,-0.0146,0.9897
39,-0.0168,-0.0193,0.9749
40,-0.0591,-0.0154,0.9751
41,-0.0303,0.0381,0.9829
42,-0.0095,-0.0146,0.9614
43,0.0022,0.0137,0.9995
44,0.0601,-0.0056,0.9514
45,0.0315,-0.0281,0.9768
46,0.0210,0.0122,1.0027
47,0.0071,-0.0591,0.9631
48,-0.0525,-0.0103,1.0054
49,-0.0576,0.0105,0.9739
50,-0.0349,-0.0266,0.9651
51,-0.0134,-0.0122,0.9934
52,0.0266,0.0417,0.9810
53,0.0552,0.0071,0.9612
54,0.0144,-0.0088,0.9937
55,-0.0061,-0.0198,0.9817
56,-0.0493,-0.0469,0.9722
57,-0.0398,0.0320,0.9895
58,-0.0339,-0.0281,0.9592
59,0.0247,0.0188,0.9944
60,0.0566,-0.0149,0.9836
61,0.0398,-0.0127,0.9758
62,0.0093,-0.0015,0.9780
63,-0.0259,-0.0110,0.9778
64,-0.0525,-0.0188,0.9800
65,-0.0474,-0.0022,0.9888
66,-0.0120,0.0183,0.9712
67,0.0051,-0.0266,0.9856
68,0.0483,0.0144,0.9817
69,0.0286,-0.0405,0.9653
70,0.0120,0.0500,1.0129
71,-0.0242,-0.0662,0.9546
72,-0.0378,-0.0300,1.0129
73,-0.0383,0.0037,0.9700
74,-0.0376,0.0020,0.9739
75,0.0237,0.0032,0.9758
76,0.0505,-0.0322,0.9817
77,0.0425,0.0510,0.9875
78,0.0198,-0.0198,0.9517
79,-0.0198,-0.0151,0.9917
80,-0.0803,-0.0112,1.0034
81,-0.0432,-0.0054,0.9709
82,-0.0388,-0.0422,0.9768
83,0.0256,0.0356,0.9895
84,0.0649,-0.0293,0.9536
85,0.0371,-0.0303,0.9973
86,0.0300,0.0039,0.9719
87,-0.0288,0.0132,0.9771
88,-0.0571,0.0356,0.9824
89,-0.0354,-0.0435,0.9653
90,-0.0337,0.0103,1.0171
91,0.0032,-0.0203,0.9653
92,0.0437,-0.0496,0.9700
93,0.0269,0.0095,1.0012
94,0.0293,-0.0186,0.9680
95,0.0032,0.0073,0.9771
96,-0.0303,0.0242,0.9849
97,-0.0422,0.0149,0.9683
98,-0.0605,-0.0686,0.9712
99,-0.0354,0.0024,0.9924
100,0.0330,-0.0081,0.9556
101,0.0828,0.0049,0.9868
102,0.0793,0.0100,0.9927
103,0.1152,-0.0361,1.0227
104,0.1348,-0.0034,0.9885
105,0.1443,0.0437,0.9673
106,0.2974,0.2878,0.9768
107,0.4167,0.2212,0.9055
108,0.5562,0.3279,0.9866
109,0.7036,0.3250,0.9622
110,0.7075,0.2512,0.9768
111,0.6418,0.3257,1.0103
112,0.5007,0.3499,0.9524
113,0.3567,0.5259,1.0142
114,0.3149,0.5540,0.9612
115,0.3459,0.5952,0.9839
116,0.4683,0.6790,0.9827
117,0.5825,0.6399,0.9553
118,0.5981,0.5452,1.0051
119,0.5833,0.6372,1.0005
120,0.4429,0.6448,0.9280
121,0.3274,0.8579,0.9771
122,0.2888,0.8081,0.8965
123,0.3196,0.8003,0.9800
124,0.4741,0.8196,0.9709
125,0.6155,0.6201,0.9292
