Sample,X,Y,Z
0,-0.0320,0.0115,0.9751
1,0.0120,0.0356,0.9631
2,0.0393,0.0203,0.9585
3,0.0227,-0.0447,0.9751
4,0.0144,0.0232,1.0054
5,-0.0088,-0.0330,0.9563
6,-0.0076,0.0029,1.0061
7,-0.0061,-0.0317,0.9858
8,-0.0012,-0.0615,0.9885
9,-0.0081,0.0095,0.9880
10,-0.0264,-0.0342,0.9602
11,-0.0129,0.0222,1.0002
12,0.0078,0.0125,0.9573
13,0.0029,0.0151,0.9692
14,0.0249,0.0244,0.9731
15,0.0039,-0.0437,0.9797
16,0.0002,0.0063,0.9973
17,-0.0071,-0.0112,0.9797
18,0.0132,-0.0295,0.9915
19,-0.0051,-0.0393,0.9946
20,-0.0012,-0.0200,0.9839
21,0.0037,-0.0183,0.9680
22,-0.0178,0.0244,0.9790
23,-0.0085,0.0256,0.9631
24,0.0012,0.0210,0.9700
25,0.0010,0.0076,0.9817
26,-0.0044,-0.0405,0.9700
27,-0.0090,-0.0413,0.9934
28,-0.0208,0.0127,0.9976
29,-0.0029,-0.0234,0.9670
30,0.0156,-0.0195,0.9976
31,0.0195,-0.0303,0.9807
32,0.0125,0.0012,0.9778
33,0.0034,0.0127,0.9709
34,-0.0042,0.0002,0.9856
35,-0.0151,-0.0093,0.9780
36,-0.0410,-0.0125,0.9741
37,-0.0212,0.0076,0.9797
38,-0.0159,-0.0239,0.9810
39,-0.0054,0.0154,0.9927
40,0.0300,-0.0095,0.9780
41,0.0310,-0.0264,0.9895
42,0.0154,-0.0645,0.9746
43,0.0076,-0.0188,0.9966
44,-0.0146,0.0320,0.9731
45,-0.0217,0.0037,0.9612
46,-0.0129,0.0022,0.9897
47,-0.0283,-0.0083,0.9778
48,-0.0217,-0.0115,0.9702
49,0.0007,0.0200,0.9790
50,0.0195,-0.0264,0.9771
51,0.0190,-0.0371,1.0002
52,0.0200,-0.0352,0.9827
53,0.0122,0.0088,0.9856
54,-0.0034,0.0378,0.9729
55,-0.0142,-0.0134,0.9751
56,-0.0112,-0.0234,0.9895
57,-0.0115,-0.0288,0.9741
58,-0.0085,-0.0049,0.9771
59,0.0061,0.0195,0.9810
60,0.0085,-0.0259,0.9768
61,-0.0137,-0.0132,0.9817
62,-0.0105,-0.0078,0.9768
63,-0.0022,-0.0029,0.9778
64,-0.0154,-0.0198,0.9827
65,0.0039,-0.0073,0.9915
66,0.0173,-0.0110,0.9790
67,0.0156,0.0085,0.9729
68,0.0068,0.0029,0.9846
69,-0.0171,-0.0037,0.9858
70,-0.0466,-0.0320,0.9739
71,-0.0461,-0.0090,0.9868
72,-0.0171,-0.0149,0.9729
73,0.0286,-0.0210,0.9771
74,0.0535,0.0247,0.9846
75,0.0706,0.0000,0.9644
76,0.0310,-0.0288,0.9817
77,-0.0300,-0.0281,0.9915
78,-0.0659,-0.0469,0.9729
79,-0.0774,-0.0002,0.9829
80,-0.0410,0.0312,0.9778
81,0.0288,-0.0205,0.9680
82,0.0613,0.0127,0.9888
83,0.0586,0.0193,0.9778
84,0.0442,0.0051,0.9758
85,-0.0110,-0.0530,0.9905
86,-0.0500,-0.0356,1.0054
87,-0.0554,-0.0625,0.9602
88,-0.0383,0.0071,0.9966
89,0.0039,0.0276,0.9641
90,0.0408,0.0142,0.9780
91,0.0498,0.0303,0.9839
92,0.0227,-0.0413,0.9543
93,-0.0125,-0.0378,0.9956
94,-0.0613,-0.0115,0.9905
95,-0.0574,-0.0308,0.9670
96,-0.0190,0.0344,0.9924
97,0.0205,0.0237,0.9771
98,0.0454,-0.0273,0.9739
99,0.0442,-0.0127,0.9927
100,0.0071,-0.0339,0.9868
101,-0.0176,-0.0059,0.9907
102,-0.0103,-0.0437,0.9583
103,0.1057,0.0222,0.9839
104,0.2205,0.0103,0.9604
105,0.3879,-0.0515,0.9907
106,0.5200,-0.1587,1.0217
107,0.5647,-0.2346,1.0474
108,0.6245,-0.1978,1.0276
109,0.5774,-0.3660,0.9761
110,0.4944,-0.3708,1.0337
111,0.4592,-0.4573,0.9795
112,0.4055,-0.5408,0.9731
113,0.3425,-0.5269,0.9719
114,0.3333,-0.6047,0.9526
115,0.3176,-0.5134,0.9702
116,0.2856,-0.5249,0.9182
117,0.2917,-0.5291,0.9712
118,0.3206,-0.5852,0.9976
119,0.3945,-0.6968,1.0247
120,0.4478,-0.7124,1.0579
121,0.5042,-0.7537,1.0454
122,0.5718,-0.7178,1.0549
123,0.6099,-0.6606,1.0149
124,0.6362,-0.5718,0.9866
125,0.6536,-0.5398,0.9482
126,0.6548,-0.5112,0.9661
127,0.6313,-0.5317,0.9509
128,0.6108,-0.5073,0.9661
129,0.5923,-0.4624,0.9563
130,0.5376,-0.4829,0.9495
131,0.5427,-0.3711,1.0054
132,0.5581,-0.3545,0.9827
133,0.5474,-0.4614,0.9963
134,0.5269,-0.4556,1.0540
135,0.4614,-0.4810,1.0374
136,0.3950,-0.4595,0.9993
137,0.3433,-0.3726,1.0188
138,0.2908,-0.2886,1.0120
139,0.3049,-0.1443,0.9800
140,0.3320,-0.0134,0.9517
141,0.2954,-0.1626,0.9417
142,0.2920,-0.4612,0.9829
143,0.2932,-0.5837,1.0259
144,0.2456,-0.3877,0.9993
145,0.2273,-0.2654,0.9282
146,0.2212,-0.0698,0.9827
147,0.2222,-0.0483,0.9426
148,0.2708,-0.1501,0.9604
149,0.3325,-0.2749,1.0037
150,0.3394,-0.5317,0.9963
151,0.4385,-0.4541,1.0813
152,0.4204,-0.3596,1.0139
153,0.2979,-0.2944,1.0100
154,0.1714,-0.2241,1.0129
155,-0.0493,-0.3247,0.9583
156,-0.1567,-0.1418,0.9495
157,-0.2217,-0.1436,0.8860
158,-0.2695,-0.0505,0.9121
159,-0.2097,0.0137,0.9062
160,-0.1750,0.1431,0.9429
161,-0.2112,0.2117,0.9319
162,-0.2363,0.2300,0.9937
163,-0.1929,0.3013,1.0415
164,-0.1477,0.2029,1.0002
165,-0.0730,0.2605,1.0601
166,-0.0232,0.2202,1.0474
167,0.0647,0.1763,1.0471
168,0.1133,0.1697,1.0259
169,0.1274,0.2312,1.0510
170,0.1672,0.2258,0.9595
171,0.2185,0.1990,0.9504
172,0.2131,0.1421,0.9497
173,0.2239,-0.0359,0.9399
174,0.2175,-0.1047,0.9360
175,0.1404,-0.0815,0.9495
176,0.0837,-0.0359,0.9172
177,0.0383,0.0925,0.9231
178,0.0273,0.1711,0.9114
179,-0.0085,-0.0659,0.9426
180,0.0232,-0.4321,1.0364
181,0.0317,-0.6121,1.0835
182,-0.0159,-0.5691,1.0610
183,-0.0957,-0.4148,1.0132
184,-0.1384,-0.2397,1.0017
