Sample,X,Y,Z
0,0.0767,-0.0095,0.9719
1,0.0686,-0.0933,0.9788
2,-0.0317,0.0198,0.9983
3,-0.0706,0.0066,0.9487
4,-0.0601,-0.0151,0.9790
5,-0.0139,0.0022,1.0034
6,0.0708,-0.0129,0.9709
7,0.0713,-0.0181,0.9724
8,0.0217,0.0261,0.9924
9,-0.0308,-0.0100,0.9771
10,-0.0779,-0.0247,0.9807
11,-0.0327,0.0078,0.9954
12,0.0142,-0.0122,0.9651
13,0.0359,-0.0383,0.9878
14,0.0435,0.0173,1.0002
15,-0.0022,-0.0161,0.9465
16,-0.0361,0.0488,0.9836
17,-0.0293,0.0000,0.9622
18,-0.0015,-0.0774,0.9722
19,0.0020,0.0134,1.0042
20,0.0015,0.0007,0.9595
21,-0.0095,-0.0198,0.9797
22,-0.0103,-0.0051,1.0012
23,0.0107,-0.0125,0.9673
24,0.0312,-0.0198,0.9829
25,0.0386,0.0220,0.9927
26,-0.0063,-0.0171,0.9692
27,-0.0366,0.0022,0.9954
28,-0.0491,-0.0110,0.9741
29,-0.0232,-0.0261,0.9673
30,0.0095,0.0222,0.9846
31,0.0339,-0.0273,0.9641
32,0.0288,-0.0251,0.9878
33,-0.0022,0.0181,0.9858
34,-0.0061,-0.0034,0.9507
35,-0.0020,0.0081,0.9944
36,0.0015,-0.0300,0.9768
37,0.0056,-0.0605,0.9790
38,-0.0054,0.0576,0.9995
39,-0.0247,0.0042,0.9458
40,-0.0139,0.0005,0.9944
41,0.0127,-0.0176,0.9919
42,0.0254,-0.0376,0.9700
43,0.0210,0.0171,0.9868
44,-0.0100,0.0151,0.9670
45,-0.0344,-0.0298,0.9768
46,-0.0291,0.0100,0.9939
47,-0.0137,-0.0254,0.9526
48,0.0032,0.0056,0.9993
49,0.0303,0.0002,0.9690
50,0.0215,-0.0449,0.9758
51,0.0032,0.0642,0.9993
52,-0.0178,-0.0576,0.9390
53,-0.0112,-0.0127,1.0159
54,-0.0056,-0.0098,0.9814
55,-0.0056,-0.0098,0.9683
56,-0.0071,0.0388,0.9927
57,-0.0134,-0.0310,0.9653
58,-0.0029,-0.0325,0.9817
59,-0.0015,-0.0029,0.9827
60,0.0066,0.0029,0.9749
61,0.0154,-0.0085,0.9780
62,0.0098,0.0334,0.9836
