Sample,X,Y,Z
0,0.0234,-0.0171,0.9927
1,-0.0024,-0.0591,0.9973
2,-0.0291,0.0010,1.0076
3,-0.0588,-0.0051,0.9673
4,-0.0571,-0.0271,0.9663
5,-0.0251,0.0288,0.9944
6,0.0100,-0.0435,0.9690
7,0.0874,0.0256,0.9712
8,0.0657,0.0127,0.9458
9,0.0376,-0.0181,0.9680
10,-0.0120,-0.0300,0.9927
11,-0.1001,-0.0168,0.9778
12,-0.1108,0.0305,0.9854
13,-0.0410,-0.0215,0.9753
14,-0.0078,-0.0720,1.0044
15,0.0845,0.0798,1.0374
16,0.1003,-0.0354,0.9309
17,0.0474,-0.0210,0.9583
18,-0.0144,0.0518,1.0227
19,-0.0879,-0.0269,0.9702
20,-0.1077,-0.0322,0.9399
21,-0.0554,0.0444,0.9985
22,0.0227,-0.0376,0.9595
23,0.0571,-0.0291,0.9849
24,0.0752,0.0291,0.9944
25,0.0388,-0.0376,0.9817
26,-0.0210,-0.0146,0.9915
27,-0.0312,0.0203,0.9897
28,-0.0784,-0.0242,0.9680
29,-0.0740,-0.0222,0.9636
30,-0.0232,0.0120,1.0022
31,0.0229,0.0208,0.9653
32,0.0632,-0.0376,0.9575
33,0.0813,0.0295,0.9937
34,0.0159,-0.0051,0.9790
35,-0.0112,0.0020,0.9866
36,-0.0579,-0.0220,0.9709
37,-0.0649,0.0078,0.9995
38,-0.0403,-0.0181,0.9827
39,-0.0134,-0.0403,0.9768
40,0.0049,0.0205,0.9917
41,0.0317,-0.0171,0.9592
42,0.0208,-0.0356,0.9651
43,0.0347,0.0608,0.9954
44,-0.0078,-0.0276,0.9485
45,-0.0195,0.0076,0.9944
46,-0.0188,-0.0076,0.9985
47,-0.0374,-0.0156,0.9800
48,-0.0273,0.0269,0.9907
49,-0.0042,-0.0898,0.9526
50,0.0129,-0.0186,1.0054
51,-0.0027,0.0647,1.0032
52,-0.0037,-0.0767,0.9153
53,0.0132,0.0215,0.9976
54,-0.0010,0.0571,1.0112
55,0.0088,-0.0479,0.9309
56,-0.0195,-0.0029,0.9976
57,-0.0203,0.0081,0.9985
58,-0.0317,-0.0652,0.9683
59,-0.0022,0.0430,0.9917
60,0.0029,-0.0774,0.9573
61,0.0430,-0.0122,0.9976
62,-0.0039,0.0237,0.9875
63,-0.0269,0.0269,0.9653
64,-0.0688,-0.0310,0.9646
65,-0.0327,0.0325,1.0063
66,0.0127,0.0078,0.9846
67,0.0469,-0.0356,0.9370
68,0.0688,-0.0120,0.9807
69,0.0432,0.0234,1.0073
70,-0.0273,-0.0684,0.9641
71,-0.0825,0.0066,1.0073
72,-0.0957,-0.0183,0.9819
73,-0.0369,-0.0188,0.9758
74,-0.0046,0.0327,0.9741
75,0.0520,-0.0154,0.9600
76,0.1006,-0.0071,0.9778
77,0.0532,0.0415,0.9868
78,0.0034,-0.0110,0.9653
79,-0.0669,-0.0569,0.9768
