Sample,X,Y,Z
0,-0.0093,-0.0212,0.9661
1,-0.0291,0.0051,0.9924
2,-0.0701,-0.0193,0.9690
3,-0.0498,-0.0181,0.9712
4,-0.0220,0.0171,0.9780
5,-0.0137,0.0056,0.9768
6,0.0129,-0.0405,0.9670
7,0.0466,0.0076,0.9966
8,0.0249,0.0115,0.9946
9,0.0037,-0.0181,0.9663
10,-0.0181,-0.0295,0.9792
11,-0.0437,0.0305,1.0171
12,-0.0657,-0.0518,0.9526
13,-0.0339,0.0051,0.9778
14,-0.0076,0.0139,0.9751
15,0.0239,-0.0332,0.9741
16,0.0642,0.0010,0.9785
17,0.0247,0.0007,0.9819
18,-0.0010,0.0183,0.9846
19,-0.0291,-0.0422,0.9741
20,-0.0708,0.0229,1.0186
21,-0.0537,-0.0146,0.9722
22,-0.0127,-0.0127,0.9722
23,-0.0042,0.0139,0.9905
24,0.0244,-0.0400,0.9749
25,0.0547,0.0186,0.9727
26,0.0127,-0.0305,0.9634
27,0.0134,0.0315,1.0083
28,-0.0498,-0.0454,0.9680
29,-0.0747,0.0332,1.0044
30,-0.0435,-0.0215,0.9543
31,-0.0046,-0.0386,0.9836
32,0.0137,0.0244,1.0051
33,0.0483,-0.0483,0.9556
34,0.0349,0.0232,0.9729
35,0.0090,-0.0144,0.9670
36,-0.0103,-0.0020,1.0002
37,-0.0442,-0.0010,0.9749
38,-0.0530,-0.0005,0.9807
39,-0.0574,0.0486,1.0032
40,-0.0234,-0.0735,0.9526
41,0.0208,0.0217,1.0151
42,0.0232,-0.0295,0.9634
43,0.0378,-0.0244,0.9604
44,0.0093,0.0186,0.9836
45,-0.0010,-0.0376,0.9810
46,-0.0066,0.0039,0.9866
47,-0.0515,0.0002,0.9751
48,-0.0220,0.0168,0.9849
49,-0.0593,-0.0383,0.9788
50,-0.0200,0.0417,0.9946
51,-0.0002,-0.0242,0.9634
52,0.0667,0.0049,0.9839
53,0.0725,-0.0557,0.9839
54,0.0461,0.0312,1.0093
55,-0.0452,-0.0435,0.9465
56,-0.0840,0.0039,0.9878
57,-0.1289,-0.0098,0.9907
58,-0.0857,-0.0032,0.9622
59,0.0032,-0.0076,0.9595
60,0.0854,0.0347,0.9973
61,0.1262,-0.0281,0.9722
62,0.1094,0.0208,0.9944
63,-0.0029,-0.0312,0.9700
64,-0.0627,-0.0093,0.9937
65,-0.1111,-0.0090,0.9780
66,-0.1169,0.0176,0.9905
67,0.0032,-0.0388,0.9407
68,0.0146,-0.0391,1.0110
69,0.0601,0.0625,1.0061
70,0.0498,-0.0728,0.9250
71,0.0093,0.0601,0.9993
72,-0.0242,-0.0491,0.9634
73,-0.0273,0.0037,1.0022
74,-0.0598,0.0066,0.9602
75,0.0120,-0.0347,0.9810
76,0.0042,0.0378,1.0122
77,0.0117,-0.0525,0.9624
78,0.0352,0.0063,0.9856
79,-0.0264,-0.0273,0.9790
80,-0.0278,-0.0142,0.9944
81,-0.0444,0.0278,0.9788
82,-0.0464,-0.0459,0.9504
83,0.0081,0.0425,1.0103
84,0.0234,-0.0383,0.9661
85,0.0439,0.0261,0.9827
86,0.0469,-0.0203,0.9622
87,0.0088,-0.0208,0.9817
88,-0.0308,0.0012,0.9905
89,-0.0559,-0.0159,0.9624
90,-0.0544,-0.0237,0.9807
91,-0.0378,-0.0012,1.0002
92,-0.0007,0.0085,0.9866
93,0.0190,-0.0142,0.9680
94,0.0295,0.0007,0.9827
95,0.0605,0.0015,0.9893
96,0.0398,-0.0176,0.9622
97,0.0344,0.0095,0.9712
98,-0.0491,-0.0105,0.9761
99,-0.0715,-0.0134,0.9868
100,-0.0969,-0.0459,0.9788
101,-0.0925,0.0232,0.9866
102,0.0852,-0.0024,0.9321
103,0.3792,0.0398,0.9526
104,0.5054,-0.0598,0.9963
105,0.6721,-0.0886,1.0698
106,0.6958,-0.4302,1.0354
107,0.6772,-0.4116,1.1438
108,0.6567,-0.5205,1.0286
109,0.6321,-0.5076,0.9272
110,0.5891,-0.4949,0.9097
111,0.4653,-0.4937,0.9036
112,0.2964,-0.4917,0.9163
113,0.1846,-0.5005,0.9065
114,0.0510,-0.6633,1.0640
115,0.1943,-0.7056,1.0657
116,0.2778,-0.5742,0.9827
117,0.4407,-0.5554,0.9976
118,0.5386,-0.6509,1.0168
119,0.6067,-0.7751,1.1421
120,0.5776,-0.7271,1.0823
121,0.5581,-0.6851,0.9036
122,0.4963,-0.5095,0.9390
123,0.4634,-0.5483,0.9231
124,0.4741,-0.4331,0.9338
125,0.4851,-0.1846,0.9292
126,0.4985,-0.0696,0.9084
127,0.4973,-0.1628,1.0034
128,0.4595,-0.3457,1.0881
129,0.4292,-0.4302,1.1077
130,0.3772,-0.4082,1.1021
131,0.4692,-0.2588,1.0715
132,0.4771,-0.3398,0.9846
133,0.4780,-0.2141,0.9934
134,0.4937,-0.2922,0.8792
135,0.4202,-0.3103,0.8696
136,0.3281,-0.3042,0.9163
137,0.2886,-0.3369,0.9436
138,0.2473,-0.2930,0.9771
139,0.2324,-0.2458,0.9983
140,0.3188,-0.2227,1.0198
141,0.2805,-0.5046,1.0278
142,0.3564,-0.6045,1.0857
143,0.3909,-0.7849,1.0552
144,0.3730,-0.6772,1.0295
145,0.3645,-0.5388,0.9937
146,0.3872,-0.1868,0.9646
147,0.3560,-0.0745,0.8684
148,0.4683,0.0469,0.8743
149,0.5586,-0.1838,0.9077
150,0.5823,-0.3630,1.0337
151,0.6047,-0.4319,1.0776
152,0.5100,-0.4163,1.0698
153,0.2214,-0.5059,1.0520
154,-0.0420,-0.4812,1.0728
155,-0.4048,-0.5134,0.9614
156,-0.6101,-0.1299,0.9163
157,-0.7585,0.0586,0.7942
158,-0.8921,0.3137,0.8491
159,-0.7944,0.3804,0.9038
160,-0.6306,0.4622,1.0042
161,-0.4763,0.7180,1.1155
162,-0.1013,0.4875,1.0403
163,0.1895,0.1917,1.1292
164,0.3511,0.2800,1.2063
165,0.5374,0.5078,1.0181
166,0.5686,0.7896,0.8345
167,0.5823,0.6558,0.8501
168,0.7190,0.2253,0.9116
169,0.5901,-0.0686,0.8979
170,0.5728,-0.1860,0.8308
171,0.4802,-0.3022,0.8752
172,0.2407,-0.2571,1.0786
173,0.0291,-0.3179,1.0959
174,-0.1753,-0.4333,1.0425
175,-0.2827,-0.5134,1.0767
176,-0.2585,-0.7827,1.1360
177,-0.2898,-0.8521,1.1067
178,-0.2642,-0.9155,0.9700
179,-0.1763,-0.6433,0.9116
180,-0.2061,-0.3914,0.8413
181,-0.1638,-0.1467,0.8140
182,-0.0884,0.0168,0.8225
183,-0.0391,0.1970,0.9475
