Sample,X,Y,Z
0,0.0691,-0.0166,0.9263
1,0.0969,-0.0027,0.9700
2,0.0903,-0.0391,0.9915
3,0.0354,-0.0303,0.9897
4,-0.0864,0.0049,0.9790
5,-0.1162,0.0359,0.9690
6,-0.1191,-0.0283,0.9829
7,-0.0513,-0.0078,1.0015
8,0.0696,-0.0315,0.9741
9,0.1228,0.0127,0.9712
10,0.1174,-0.0093,0.9663
11,0.0588,-0.0007,1.0044
12,-0.0740,-0.0400,0.9709
13,-0.0964,0.0061,0.9875
14,-0.1365,-0.0281,0.9622
15,-0.0791,0.0166,0.9976
16,0.0100,-0.0066,0.9856
17,0.0730,-0.0100,0.9692
18,0.1301,0.0283,0.9819
19,0.0942,-0.0269,0.9788
20,-0.0029,-0.0581,0.9612
21,-0.0750,0.0059,0.9995
22,-0.1294,0.0515,0.9810
23,-0.1086,-0.0500,0.9465
24,-0.0046,0.0115,1.0125
25,0.0481,-0.0352,0.9797
26,0.1182,-0.0352,0.9707
27,0.0498,0.0371,0.9875
28,-0.0088,0.0259,0.9866
29,-0.0461,-0.0527,0.9692
30,-0.0679,-0.0007,0.9946
31,-0.0344,-0.0073,0.9771
32,0.0046,-0.0273,0.9546
33,0.0212,0.0178,0.9885
34,0.0251,-0.0027,0.9780
35,-0.0122,-0.0320,0.9661
36,0.0020,0.0217,0.9875
37,-0.0479,-0.0164,0.9827
38,-0.0320,-0.0103,1.0022
39,-0.0032,-0.0505,0.9702
40,0.0073,0.0515,0.9954
41,0.0581,-0.0042,0.9624
42,0.0566,-0.0706,0.9661
43,0.0071,0.0293,1.0276
44,-0.0537,0.0195,0.9741
45,-0.0676,-0.0347,0.9329
46,-0.0930,0.0042,0.9875
47,-0.0295,0.0188,0.9973
48,0.0417,-0.0791,0.9456
49,0.0659,0.0398,0.9973
50,0.0701,0.0476,0.9963
51,0.0571,-0.0742,0.9690
52,-0.0344,-0.0330,1.0032
53,-0.0657,0.0371,1.0022
54,-0.0938,-0.0488,0.9302
55,-0.0730,0.0020,0.9858
56,-0.0183,0.0369,0.9966
57,0.0693,-0.0427,0.9436
58,0.1021,0.0271,0.9836
59,0.0986,0.0227,0.9878
60,0.0327,-0.0764,0.9751
61,-0.0784,0.0144,1.0032
62,-0.1423,-0.0020,0.9790
63,-0.1116,0.0012,0.9644
64,-0.0498,-0.0293,0.9829
65,0.0730,0.0234,1.0171
66,0.1279,-0.0562,0.9458
67,0.1301,0.0007,0.9878
68,0.0139,0.0110,0.9878
69,-0.0767,-0.0190,0.9683
70,-0.1353,0.0107,0.9644
71,-0.1284,0.0186,0.9790
72,-0.0117,-0.0007,0.9702
73,0.0488,-0.0593,0.9790
74,0.1272,0.0527,1.0161
75,0.1323,-0.0554,0.9485
76,0.0186,0.0144,1.0024
77,-0.0659,-0.0354,0.9844
78,-0.1223,-0.0229,0.9807
79,-0.1553,-0.0146,0.9768
80,-0.0435,0.0205,0.9749
81,0.0476,-0.0251,0.9604
82,0.1194,0.0459,0.9858
83,0.1348,-0.0278,0.9634
84,0.0461,0.0176,0.9934
85,-0.0276,-0.0391,0.9653
86,-0.1118,-0.0024,0.9976
87,-0.1616,-0.0232,0.9829
88,-0.0522,-0.0417,0.9866
89,-0.0139,-0.0081,0.9856
90,0.0901,0.0420,0.9917
91,0.1533,-0.0369,0.9407
92,0.0745,-0.0247,0.9868
93,0.0186,0.0806,1.0093
94,-0.0776,-0.0549,0.9351
95,-0.1360,0.0366,0.9878
