Sample,X,Y,Z
0,-0.0405,-0.0823,0.9360
1,0.0093,-0.0332,0.9858
2,0.0193,0.0349,0.9863
3,0.0789,0.0347,0.9780
4,0.0413,-0.0020,0.9429
5,-0.0071,0.0049,1.0151
6,-0.0342,-0.0103,0.9797
7,-0.0334,-0.0234,0.9719
8,-0.0195,-0.0110,0.9858
9,0.0139,-0.0615,0.9739
10,-0.0063,-0.0332,0.9946
11,-0.0269,0.0522,0.9976
12,-0.0024,0.0098,0.9456
13,0.0203,-0.0027,0.9563
14,0.0044,0.0542,1.0190
15,0.0298,-0.0168,0.9634
16,0.0381,-0.0549,0.9719
17,-0.0002,0.0012,0.9839
18,-0.0220,0.0190,0.9839
19,-0.0803,-0.0063,0.9829
20,-0.0720,-0.0134,0.9927
21,0.0012,-0.0798,0.9634
22,0.0247,0.0110,0.9976
23,0.0459,0.0142,0.9690
24,0.0510,-0.0144,0.9585
25,0.0107,0.0161,0.9885
26,-0.0039,0.0154,0.9878
27,-0.0020,-0.0081,0.9634
28,-0.0342,-0.0144,0.9722
29,-0.0593,-0.0103,0.9983
30,-0.0134,0.0215,0.9778
31,0.0073,-0.0430,0.9683
32,0.0015,0.0371,0.9976
33,0.0090,-0.0205,0.9851
34,-0.0020,-0.0171,0.9885
35,-0.0239,-0.0054,0.9719
36,0.0095,0.0134,0.9731
37,0.0120,-0.0183,0.9426
38,0.0251,-0.0063,0.9731
39,0.0330,0.0254,0.9819
40,-0.0012,0.0020,0.9956
41,-0.0403,0.0051,0.9966
42,-0.0581,-0.0684,0.9692
43,-0.0305,-0.0339,0.9731
44,0.0061,0.0220,0.9917
45,0.0430,-0.0129,0.9690
46,0.0366,0.0073,0.9761
47,0.0164,0.0547,0.9829
48,-0.0081,0.0342,0.9690
49,-0.0312,0.0171,0.9739
50,-0.0430,-0.0522,0.9680
51,-0.0447,-0.0300,1.0171
52,-0.0508,-0.0283,0.9709
53,0.0232,-0.0537,0.9768
54,0.0439,0.0125,0.9602
55,0.0383,-0.0215,0.9868
56,0.0281,0.0530,1.0032
57,0.0059,-0.0098,0.9497
58,-0.0249,0.0449,0.9761
59,-0.0623,0.0132,0.9800
60,-0.0283,0.0093,0.9995
61,-0.0317,-0.0708,0.9583
62,0.0237,-0.0229,0.9907
63,0.0295,-0.0022,0.9839
64,0.0232,0.0320,0.9778
65,-0.0154,0.0056,0.9827
66,-0.0295,-0.0081,0.9819
67,-0.0396,-0.0330,0.9878
68,0.0134,0.0222,0.9866
69,0.0342,-0.0527,0.9380
70,0.0024,0.0093,0.9963
71,0.0027,0.0056,0.9800
72,0.0146,-0.0476,0.9604
73,-0.0227,0.0310,0.9729
74,-0.0159,0.0068,0.9905
75,-0.0366,-0.0234,0.9868
76,-0.0479,-0.0159,0.9983
77,-0.0186,0.0178,0.9902
78,0.0264,0.0190,0.9575
79,0.0557,-0.0078,0.9731
80,0.0552,-0.0085,0.9807
81,0.0159,-0.0298,0.9829
82,-0.0251,0.0381,0.9844
83,-0.0791,-0.0366,0.9456
84,-0.0645,0.0046,1.0032
85,-0.0244,0.0312,1.0015
86,0.0134,-0.0381,0.9641
87,0.0427,0.0015,0.9788
88,0.0386,0.0110,0.9993
89,0.0303,-0.0347,0.9634
90,0.0046,-0.0781,0.9585
91,-0.0496,0.0354,1.0012
92,-0.0681,0.0383,0.9880
93,-0.0515,0.0415,0.9817
94,-0.0325,-0.0596,0.9546
95,0.0481,-0.0444,0.9897
96,0.0479,0.0359,1.0315
97,0.0662,0.0247,0.9595
98,0.0342,-0.0923,0.9387
99,-0.0425,0.0649,1.0171
100,-0.0728,-0.0115,0.9670
101,-0.0535,0.0000,0.9817
102,-0.0559,-0.0713,0.9661
103,-0.0928,0.1082,1.0979
104,-0.1462,0.4905,1.0442
105,-0.0056,0.4934,0.7561
106,0.0122,0.6382,0.7769
107,0.0049,0.9780,0.9702
108,0.0549,1.2124,1.0122
109,-0.1812,1.2671,0.9653
110,-0.3396,1.1506,0.9827
111,-0.2488,1.0034,1.0562
112,-0.1455,1.0842,1.0579
113,0.0129,1.1526,0.8635
114,0.1777,1.1997,0.7466
115,0.0710,1.3606,0.9583
116,0.1648,0.8960,1.0356
117,0.1245,0.2981,0.9866
118,0.1841,0.7065,1.1108
119,0.1848,1.1499,1.1235
120,0.0781,0.8442,0.8511
121,-0.1675,0.6040,0.9204
122,-0.2993,0.6060,0.9800
123,-0.1687,0.9702,0.9731
124,0.0242,1.5188,0.7805
125,0.1592,1.2095,0.7510
126,0.0869,1.0220,1.0444
127,-0.1365,0.9954,1.1653
128,-0.3337,0.8547,0.9661
129,-0.4126,0.9634,0.9307
130,-0.3335,0.8491,0.9673
131,-0.1428,0.7239,1.1389
132,0.0518,0.8140,1.0317
133,0.2844,0.8823,0.8911
134,0.3130,1.1770,0.9006
135,0.1963,0.9771,0.8433
136,-0.0254,1.1099,1.0190
137,-0.3296,0.6021,0.8354
138,-0.4126,0.4185,1.0181
139,-0.2429,0.7795,1.0188
140,0.1172,0.7092,0.9065
141,0.3413,0.3330,0.9163
142,0.2192,0.4534,1.2141
143,0.0925,0.3977,1.0588
144,-0.2039,0.7156,0.8665
145,-0.3982,0.9250,0.7893
146,-0.2942,0.7080,0.8970
147,-0.0632,0.6633,1.0627
148,0.1067,0.4673,0.9458
149,0.3174,0.6428,0.9417
150,0.3174,0.7173,0.9976
151,0.1484,0.3098,1.0344
152,-0.0403,0.5378,1.1721
153,-0.3066,0.7554,0.9565
154,-0.2703,0.9485,0.8352
155,-0.2507,0.4197,0.7964
156,-0.2136,-0.3369,1.0549
157,-0.0298,-0.2427,1.3198
158,0.1384,-0.6340,1.0278
159,0.2698,-0.8823,0.8821
160,0.3352,-1.2146,0.8237
161,0.1736,-1.1304,1.0940
162,0.0366,-1.1060,0.9680
163,-0.0234,-0.9285,0.9673
164,-0.1702,-0.6831,1.0588
165,-0.0691,-0.3364,1.0774
166,0.0093,-0.1755,0.8430
167,0.0139,0.1504,0.8218
168,0.0510,0.1458,0.8801
169,-0.0583,0.4475,1.1008
