Sample,X,Y,Z
0,-0.0618,-0.0022,0.9817
1,-0.0063,0.0068,0.9683
2,0.0078,-0.0134,0.9829
3,0.0261,0.0161,0.9817
4,0.0364,-0.0120,0.9700
5,0.0059,-0.0190,0.9836
6,-0.0273,-0.0142,1.0002
7,-0.0120,0.0068,0.9849
8,-0.0208,-0.0332,0.9683
9,-0.0154,-0.0095,0.9966
10,-0.0029,-0.0251,0.9712
11,0.0056,-0.0239,0.9722
12,-0.0007,0.0261,0.9915
13,0.0056,-0.0059,0.9670
14,0.0110,-0.0183,0.9729
15,-0.0088,0.0195,0.9897
16,-0.0149,0.0017,0.9612
17,-0.0193,-0.0474,0.9810
18,-0.0237,0.0122,1.0103
19,0.0007,-0.0259,0.9624
20,0.0205,-0.0383,0.9934
21,0.0168,0.0090,0.9944
22,0.0066,-0.0254,0.9651
23,-0.0056,0.0061,0.9917
24,-0.0151,-0.0002,0.9741
25,-0.0195,0.0088,0.9739
26,-0.0046,-0.0076,0.9729
27,0.0168,-0.0354,0.9783
28,0.0054,0.0125,1.0022
29,-0.0076,-0.0310,0.9604
30,-0.0112,-0.0281,1.0015
31,-0.0286,0.0129,0.9797
32,-0.0315,-0.0220,0.9690
33,0.0076,-0.0095,0.9944
34,0.0232,0.0105,0.9810
35,0.0232,-0.0056,0.9780
36,0.0154,0.0159,0.9946
37,0.0059,-0.0349,0.9758
38,-0.0332,-0.0220,0.9966
39,-0.0444,0.0056,0.9807
40,-0.0249,-0.0425,0.9692
41,-0.0090,0.0007,0.9958
42,0.0000,-0.0217,0.9661
43,0.0271,-0.0010,0.9827
44,0.0244,-0.0005,0.9751
45,0.0015,-0.0142,0.9858
46,-0.0122,-0.0068,0.9817
47,-0.0168,-0.0051,0.9771
48,-0.0259,-0.0188,0.9819
49,-0.0054,0.0142,0.9915
50,0.0054,-0.0237,0.9700
51,0.0105,-0.0391,0.9917
52,0.0029,0.0005,1.0005
53,0.0120,-0.0227,0.9631
54,-0.0037,-0.0173,0.9827
55,-0.0222,0.0391,0.9995
56,-0.0085,-0.0273,0.9487
57,-0.0168,-0.0103,0.9866
58,-0.0190,0.0037,0.9856
59,0.0132,-0.0264,0.9700
60,0.0283,-0.0212,0.9856
61,0.0056,-0.0122,0.9927
62,0.0129,-0.0164,0.9729
63,-0.0066,-0.0076,0.9817
64,-0.0291,0.0032,0.9817
65,-0.0242,-0.0117,0.9780
66,0.0076,-0.0178,0.9849
67,-0.0010,0.0059,0.9866
68,0.0173,-0.0107,0.9709
69,0.0007,-0.0291,0.9900
70,-0.0095,0.0139,0.9878
71,-0.0178,-0.0457,0.9592
72,-0.0100,0.0017,1.0022
73,-0.0051,-0.0071,0.9712
74,0.0010,-0.0105,0.9846
75,0.0024,-0.0017,0.9807
76,-0.0061,-0.0339,0.9868
77,0.0107,0.0210,0.9878
78,0.0032,-0.0413,0.9624
79,-0.0002,0.0125,1.0002
80,-0.0266,-0.0295,0.9739
81,-0.0176,-0.0005,0.9836
82,-0.0261,-0.0027,0.9709
83,-0.0117,0.0039,0.9905
84,0.0288,-0.0359,0.9731
85,0.0334,-0.0320,0.9866
86,0.0156,0.0181,0.9829
87,0.0054,0.0115,0.9739
88,-0.0178,-0.0669,0.9731
89,-0.0452,-0.0083,1.0022
90,-0.0317,0.0144,0.9634
91,-0.0120,-0.0198,0.9712
92,0.0178,0.0100,0.9956
93,0.0212,-0.0139,0.9741
94,0.0327,-0.0081,0.9719
95,-0.0037,-0.0388,0.9888
96,-0.0261,0.0032,0.9907
97,-0.0249,-0.0261,0.9722
98,-0.0159,-0.0051,0.9836
99,-0.0171,-0.0046,0.9817
100,0.0205,-0.0059,0.9780
101,0.0210,-0.0051,0.9702
102,0.0347,-0.0005,0.9797
103,0.1394,0.0083,0.9612
104,0.1846,-0.0244,0.9839
105,0.2573,-0.0801,0.9963
106,0.2742,-0.2041,1.0020
107,0.2639,-0.2073,1.0317
108,0.2410,-0.1270,1.0159
109,0.2690,-0.2104,0.9504
