Sample,X,Y,Z
0,0.0356,-0.0232,0.9788
1,0.0361,0.0032,0.9817
2,0.0017,-0.0176,0.9709
3,-0.0198,-0.0012,0.9905
4,-0.0503,-0.0403,0.9758
5,-0.0408,0.0051,0.9836
6,0.0024,0.0078,0.9778
7,0.0220,-0.0115,0.9612
8,0.0330,0.0063,0.9905
9,0.0269,0.0251,0.9846
10,-0.0232,-0.0698,0.9514
11,-0.0354,-0.0007,1.0139
12,-0.0210,0.0137,0.9810
13,-0.0317,-0.0391,0.9722
14,0.0066,0.0195,0.9976
15,0.0181,-0.0317,0.9690
16,0.0171,0.0103,0.9878
17,0.0049,-0.0132,0.9768
18,0.0027,-0.0034,0.9758
19,-0.0112,-0.0244,0.9771
20,-0.0173,0.0125,0.9817
21,-0.0110,-0.0166,0.9712
22,-0.0095,0.0176,0.9934
23,-0.0112,-0.0120,0.9739
24,0.0024,-0.0298,0.9856
25,0.0051,-0.0237,0.9856
26,-0.0007,-0.0281,0.9875
27,0.0117,-0.0063,0.9827
28,0.0049,-0.0115,0.9709
29,0.0181,0.0232,0.9846
30,0.0032,0.0151,0.9761
31,-0.0056,-0.0159,0.9744
32,-0.0171,0.0046,0.9917
33,-0.0215,-0.0144,0.9749
34,-0.0020,-0.0088,0.9839
35,0.0100,-0.0371,0.9827
36,0.0173,-0.0137,0.9944
37,0.0117,-0.0295,0.9692
38,-0.0100,-0.0071,0.9858
39,-0.0181,-0.0024,0.9739
40,-0.0254,0.0171,0.9829
41,-0.0129,0.0068,0.9692
42,0.0002,-0.0139,0.9731
43,0.0100,0.0093,0.9907
44,0.0095,0.0010,0.9761
45,0.0063,-0.0408,0.9712
46,-0.0066,0.0083,0.9976
47,-0.0046,-0.0181,0.9790
48,-0.0193,-0.0247,0.9875
49,-0.0051,-0.0232,0.9878
50,0.0002,0.0098,0.9797
51,-0.0078,-0.0181,0.9731
52,0.0054,0.0325,0.9827
53,-0.0037,-0.0217,0.9741
54,-0.0110,0.0266,0.9849
55,-0.0056,-0.0247,0.9614
56,0.0007,0.0195,0.9956
57,0.0103,-0.0220,0.9719
58,0.0000,-0.0527,0.9897
59,0.0007,-0.0208,0.9956
60,-0.0039,-0.0305,0.9749
61,-0.0237,0.0103,0.9841
62,-0.0088,0.0066,0.9744
63,0.0166,0.0168,0.9729
64,0.0061,0.0344,0.9846
65,0.0066,-0.0002,0.9761
66,-0.0120,-0.0554,0.9810
67,-0.0210,-0.0251,0.9907
68,-0.0291,-0.0105,0.9751
69,0.0063,-0.0002,0.9771
70,0.0344,-0.0085,0.9856
71,0.0134,-0.0068,0.9829
72,-0.0195,-0.0068,0.9768
73,-0.0359,-0.0269,0.9761
74,-0.0508,0.0017,0.9946
75,-0.0249,-0.0061,0.9751
76,0.0349,0.0110,0.9700
77,0.0549,0.0056,0.9858
78,0.0439,0.0056,0.9817
79,0.0054,-0.0269,0.9778
80,-0.0525,-0.0156,0.9976
81,-0.0647,0.0024,0.9692
82,-0.0518,-0.0437,0.9751
83,-0.0022,0.0381,1.0044
84,0.0449,-0.0449,0.9504
85,0.0530,0.0205,0.9934
86,0.0391,0.0012,0.9602
87,-0.0081,-0.0293,0.9790
88,-0.0361,0.0254,0.9927
89,-0.0342,-0.0295,0.9692
90,-0.0278,0.0105,1.0071
91,-0.0215,-0.0435,0.9712
92,0.0151,-0.0300,0.9829
93,0.0205,0.0151,0.9922
94,0.0393,0.0042,0.9614
95,0.0156,-0.0371,0.9829
96,0.0132,0.0322,0.9976
97,-0.0190,-0.0173,0.9622
98,-0.0510,0.0110,0.9856
99,-0.0278,-0.0156,0.9807
100,-0.0083,-0.0344,0.9827
101,-0.0012,0.0234,0.9878
102,0.0400,-0.0071,0.9624
103,0.1194,-0.0002,1.0259
104,0.1716,-0.0391,0.9927
105,0.2363,0.0566,0.9807
106,0.3215,0.2266,0.9565
107,0.3569,0.2546,0.9397
108,0.4536,0.1897,0.9587
109,0.5366,0.1890,1.0081
110,0.5825,0.2034,0.9846
111,0.6099,0.2344,0.9563
112,0.5901,0.3389,0.9741
113,0.4956,0.4895,0.9875
114,0.4446,0.5503,0.9712
115,0.4033,0.5793,0.9739
116,0.4224,0.5896,0.9856
117,0.4507,0.5535,0.9797
118,0.4819,0.4954,0.9963
119,0.5034,0.6057,1.0061
120,0.5164,0.6948,0.9634
121,0.4795,0.8169,0.9331
122,0.4382,0.8579,0.9302
123,0.4514,0.9185,0.9390
124,0.4053,0.8777,0.9563
125,0.4419,0.8440,0.9602
126,0.5237,0.6694,0.9858
127,0.5930,0.7144,1.0396
128,0.5845,0.8176,0.9290
129,0.6147,0.9641,0.9670
130,0.5667,0.9253,0.9966
131,0.4722,0.5750,1.0188
132,0.4329,0.5073,1.0620
133,0.4468,0.5549,0.9875
134,0.4116,0.3806,0.9436
