Sample,X,Y,Z
0,0.0510,0.0251,0.9507
1,0.0415,0.0286,0.9583
2,0.0186,0.0886,0.9663
3,-0.0203,0.0222,0.9348
4,-0.0486,-0.0234,0.9954
5,-0.0662,-0.0415,1.0181
6,-0.0520,-0.0757,1.0071
7,-0.0139,-0.0508,0.9956
8,0.0369,-0.0591,0.9788
9,0.0684,-0.0010,0.9827
10,0.0508,0.0134,0.9622
11,0.0076,-0.0017,0.9592
12,-0.0312,0.0554,0.9827
13,-0.0515,0.0552,0.9641
14,-0.0476,0.0093,0.9612
15,-0.0332,-0.0500,1.0034
16,0.0203,-0.0774,0.9937
17,0.0076,-0.0652,0.9917
18,0.0322,-0.0259,0.9797
19,0.0300,-0.0300,0.9807
20,0.0176,0.0754,0.9973
21,-0.0120,0.0088,0.9370
22,-0.0334,0.0398,0.9993
23,-0.0383,-0.0251,0.9622
24,-0.0317,-0.0427,1.0112
25,0.0012,-0.0051,0.9868
26,0.0283,-0.0798,0.9700
27,0.0498,0.0437,0.9973
28,0.0181,-0.0195,0.9519
29,0.0022,0.0508,1.0042
30,-0.0540,-0.0310,0.9553
31,-0.0461,-0.0312,1.0032
32,-0.0251,-0.0388,0.9810
33,0.0039,-0.0403,1.0042
34,0.0291,0.0222,0.9841
35,0.0166,-0.0215,0.9602
36,0.0125,0.0352,0.9690
37,-0.0051,0.0132,0.9622
38,-0.0024,0.0142,0.9866
39,-0.0322,-0.0432,0.9944
40,-0.0183,-0.0273,1.0024
41,-0.0125,-0.0461,0.9661
42,0.0330,-0.0007,0.9907
43,0.0417,-0.0071,0.9771
44,0.0056,-0.0208,0.9807
45,-0.0356,-0.0330,0.9778
46,-0.0564,-0.0129,0.9856
47,-0.0247,0.0256,0.9751
48,-0.0020,0.0127,0.9553
49,0.0452,0.0276,0.9788
50,0.0393,-0.0293,0.9709
51,0.0200,-0.0098,0.9985
52,-0.0105,-0.0393,0.9780
53,-0.0269,-0.0298,0.9983
54,-0.0544,-0.0256,0.9827
55,-0.0298,-0.0271,0.9846
56,-0.0081,-0.0244,0.9761
57,0.0237,0.0098,0.9839
58,0.0417,0.0425,0.9575
59,0.0271,0.0151,0.9741
60,0.0066,0.0215,0.9888
61,-0.0244,-0.0308,0.9846
62,-0.0552,-0.0364,0.9998
63,-0.0491,-0.0720,0.9712
64,-0.0142,-0.0320,0.9858
65,0.0354,0.0239,0.9946
66,0.0530,-0.0242,0.9722
67,0.0249,0.0308,1.0020
68,0.0022,-0.0032,0.9465
69,-0.0454,-0.0100,0.9758
70,-0.0608,0.0386,0.9893
71,-0.0374,-0.0532,0.9595
72,0.0002,0.0066,1.0112
73,0.0232,-0.0168,0.9800
74,0.0547,-0.0430,0.9800
75,0.0488,0.0010,1.0073
76,0.0210,-0.0046,0.9622
77,-0.0322,-0.0471,0.9565
78,-0.0610,-0.0085,0.9937
79,-0.0681,-0.0166,0.9780
80,-0.0508,0.0149,0.9915
81,0.0095,0.0066,0.9641
82,0.0630,-0.0034,0.9563
83,0.0720,0.0156,0.9788
84,0.0535,-0.0366,0.9712
85,-0.0059,-0.0205,1.0044
86,-0.0540,0.0156,0.9856
87,-0.0696,-0.0466,0.9673
88,-0.0540,-0.0278,0.9993
89,-0.0005,0.0032,0.9819
90,0.0422,-0.0017,0.9624
91,0.0312,0.0063,0.9946
92,0.0381,-0.0137,0.9749
93,-0.0129,-0.0518,0.9839
94,-0.0281,-0.0117,0.9917
95,-0.0293,-0.0144,0.9595
96,-0.0247,0.0447,0.9702
97,-0.0115,0.0093,0.9634
98,0.0208,0.0354,1.0042
99,0.0115,-0.0042,0.9849
100,0.0183,-0.0647,0.9944
101,0.0024,-0.0605,1.0044
102,-0.0378,-0.0388,0.9836
103,-0.0276,-0.0513,0.9602
104,-0.0105,-0.0037,0.9897
105,0.0134,0.0789,0.9749
106,0.0068,0.0247,0.9436
107,0.0144,0.0020,0.9897
108,-0.0139,-0.0142,0.9849
109,-0.0007,0.0020,0.9741
110,-0.0129,-0.0417,0.9612
111,-0.0068,-0.0110,1.0178
112,0.0000,-0.0408,0.9897
113,-0.0178,-0.0625,1.0044
114,-0.0134,-0.0566,0.9810
115,0.0059,-0.0454,0.9712
116,0.0120,0.0537,0.9683
117,0.0208,0.0566,0.9358
118,0.0085,0.0520,0.9644
119,0.0085,0.0549,0.9885
120,-0.0029,0.0007,0.9866
121,-0.0361,-0.0466,0.9917
122,-0.0359,-0.1541,0.9973
123,-0.0208,-0.1013,1.0366
124,-0.0125,-0.0581,0.9858
125,0.0088,0.0073,0.9641
126,0.0398,0.0610,0.9436
127,0.0435,0.0867,0.9602
128,-0.0005,0.0811,0.9595
129,-0.0322,-0.0076,0.9653
130,-0.0415,-0.0151,0.9976
131,-0.0420,-0.0811,0.9897
132,0.0005,-0.0813,1.0132
133,0.0383,-0.0171,1.0112
134,0.0210,-0.0076,0.9778
135,0.0012,-0.0312,0.9700
136,-0.0269,-0.0090,0.9827
137,-0.0317,0.0220,0.9622
138,-0.0144,-0.0166,0.9546
139,0.0161,0.0176,0.9983
140,0.0334,0.0352,0.9768
141,0.0322,0.0354,0.9651
142,-0.0078,-0.0151,0.9712
143,-0.0217,-0.0422,0.9963
144,-0.0535,-0.0554,1.0027
145,-0.0632,-0.0659,0.9902
146,-0.0203,-0.0957,0.9846
147,0.0293,-0.0349,1.0071
148,0.0767,0.0608,0.9758
149,0.0769,0.1035,0.9390
150,0.0259,0.0857,0.9429
151,-0.0461,0.0034,0.9641
152,-0.0920,-0.0479,1.0054
153,-0.0847,-0.0857,1.0032
154,-0.0405,-0.0864,1.0054
155,0.0315,-0.0728,0.9910
156,0.0840,-0.0415,0.9897
157,0.0964,0.0767,0.9771
158,0.0449,0.0562,0.9348
159,-0.0291,0.0518,0.9680
160,-0.0962,0.0024,0.9749
161,-0.1113,-0.0190,0.9895
162,-0.0674,-0.0503,0.9829
163,0.0171,-0.0461,1.0054
164,0.0889,-0.0066,1.0022
165,0.0894,-0.0249,0.9749
166,0.0564,-0.0339,0.9780
167,-0.0276,-0.0225,0.9810
168,-0.0730,0.0029,0.9690
169,-0.0759,0.0276,0.9644
170,-0.0520,0.0344,0.9944
171,0.0059,-0.0386,0.9575
172,0.0383,0.0032,1.0142
173,0.0581,0.0249,0.9653
174,0.0269,-0.0298,0.9722
175,0.0007,0.0054,0.9983
176,-0.0410,-0.1060,0.9573
177,-0.0479,-0.0234,1.0132
178,-0.0461,-0.0535,0.9673
179,0.0049,-0.0071,1.0081
180,0.0337,0.0525,0.9712
181,0.0557,0.0266,0.9426
182,0.0488,0.0710,0.9614
183,0.0002,0.0156,0.9778
184,-0.0454,-0.0059,0.9917
185,-0.0955,-0.1062,0.9915
186,-0.0513,-0.0989,1.0161
187,-0.0037,-0.0955,0.9885
188,0.0596,0.0129,0.9954
189,0.0764,0.0657,0.9370
190,0.0386,0.0684,0.9634
191,-0.0105,0.0515,0.9663
192,-0.0630,-0.0259,0.9849
193,-0.0764,-0.0046,0.9885
194,-0.0486,-0.0930,0.9680
195,0.0190,-0.0225,1.0200
196,0.0496,-0.0151,0.9807
197,0.0667,-0.0007,0.9780
198,0.0261,0.0027,0.9771
199,-0.0186,-0.0164,0.9819
200,-0.0554,-0.0137,0.9661
201,-0.0691,-0.0137,0.9905
202,-0.0298,0.0078,0.9817
203,0.0100,-0.0212,0.9797
204,0.0505,0.0520,0.9944
205,0.0544,-0.0181,0.9612
206,0.0281,-0.0186,0.9956
207,-0.0259,-0.0332,0.9888
208,-0.0396,-0.0327,0.9700
209,-0.0615,-0.0063,0.9905
210,-0.0310,-0.0298,0.9758
211,0.0105,-0.0557,0.9934
212,0.0481,0.0266,0.9963
213,0.0547,0.0100,0.9456
214,0.0217,0.0396,0.9790
215,-0.0186,-0.0081,0.9595
216,-0.0647,-0.0188,0.9846
217,-0.0698,0.0146,0.9858
218,-0.0291,-0.0669,0.9739
219,0.0278,-0.0254,1.0173
220,0.0542,-0.0332,0.9780
221,0.0686,-0.0090,0.9753
222,0.0310,0.0378,0.9817
223,-0.0159,0.0229,0.9778
224,-0.0815,-0.0278,0.9631
225,-0.0898,-0.0476,0.9966
226,-0.0398,-0.0166,0.9868
227,0.0210,0.0100,0.9749
228,0.0779,0.0337,0.9631
229,0.0659,0.0100,0.9719
230,0.0271,-0.0059,0.9937
231,-0.0312,-0.0374,0.9934
232,-0.0737,-0.0327,0.9858
233,-0.0857,-0.0525,0.9749
234,-0.0459,-0.0486,0.9924
235,0.0171,-0.0234,0.9897
236,0.0889,0.0493,0.9722
237,0.1094,0.0891,0.9514
238,0.0579,0.0391,0.9546
239,-0.0347,-0.0383,0.9946
240,-0.0996,-0.0593,0.9946
241,-0.1311,-0.0652,0.9924
242,-0.0535,-0.0479,0.9875
243,0.0190,-0.0496,0.9976
244,0.0977,0.0430,0.9983
245,0.1018,-0.0010,0.9370
246,0.0691,0.0320,0.9856
247,-0.0090,0.0005,0.9504
248,-0.0769,0.0032,0.9788
249,-0.1030,-0.0242,0.9663
250,-0.0876,-0.0312,1.0178
251,-0.0095,0.0283,0.9849
252,0.0317,-0.0698,0.9604
253,0.0935,0.0005,1.0093
254,0.0710,-0.0537,0.9807
255,0.0256,0.0359,0.9868
256,-0.0664,-0.0457,0.9487
257,-0.0654,-0.0171,1.0032
258,-0.0698,0.0078,0.9790
259,-0.0178,0.0569,0.9749
260,0.0315,-0.0125,0.9446
261,0.0532,-0.0076,1.0061
262,0.0500,0.0186,0.9780
263,0.0076,-0.0552,0.9731
264,-0.0300,-0.0269,1.0044
265,-0.0498,-0.0593,0.9956
266,-0.0391,-0.0017,0.9875
267,-0.0266,-0.0134,0.9673
268,0.0291,0.0225,0.9741
269,0.0359,0.0034,0.9614
270,0.0332,0.0376,0.9888
271,0.0107,-0.0107,0.9644
272,-0.0061,-0.0168,0.9995
273,-0.0347,-0.0188,0.9761
274,-0.0459,-0.0632,0.9775
275,-0.0208,-0.0125,0.9917
276,-0.0098,-0.0264,0.9739
277,0.0261,0.0010,0.9758
278,0.0342,-0.0037,0.9729
279,0.0332,0.0386,0.9768
280,0.0066,-0.0122,0.9653
281,-0.0051,-0.0093,0.9958
282,-0.0352,0.0073,0.9751
283,-0.0417,-0.0317,0.9719
284,-0.0247,-0.0447,0.9966
285,-0.0154,-0.0576,1.0015
286,0.0093,-0.0083,0.9788
287,0.0344,-0.0212,0.9517
288,0.0435,0.0266,0.9944
289,0.0269,0.0295,0.9712
290,-0.0227,0.0227,0.9641
291,-0.0601,0.0061,0.9780
292,-0.0435,-0.0437,0.9849
293,-0.0266,-0.0195,1.0015
294,0.0090,-0.0276,0.9768
295,0.0383,-0.0615,0.9875
296,0.0408,0.0208,1.0090
297,0.0139,0.0029,0.9475
298,-0.0251,-0.0051,0.9661
299,-0.0486,-0.0183,0.9858
