Sample,X,Y,Z
0,-0.0366,0.0034,0.9634
1,-0.0327,-0.0220,0.9673
2,-0.0085,-0.0171,0.9829
3,0.0291,0.0093,0.9729
4,0.0415,0.0474,0.9683
5,0.0349,-0.0073,0.9712
6,0.0149,-0.0295,0.9993
7,-0.0193,-0.0364,0.9866
8,-0.0481,0.0125,0.9878
9,-0.0366,-0.0110,0.9680
10,-0.0146,-0.0400,0.9888
11,0.0090,-0.0156,0.9800
12,0.0085,0.0142,0.9612
13,0.0288,0.0259,0.9641
14,0.0212,-0.0178,0.9670
15,0.0090,-0.0190,0.9934
16,0.0159,-0.0078,0.9731
17,0.0024,0.0090,0.9819
18,-0.0195,0.0093,0.9897
19,-0.0098,-0.0029,0.9868
20,-0.0137,-0.0271,0.9819
21,-0.0134,-0.0110,0.9907
22,-0.0166,-0.0122,0.9771
23,-0.0032,-0.0090,0.9731
24,0.0083,-0.0154,0.9819
25,0.0234,-0.0061,0.9888
26,0.0195,-0.0417,0.9771
27,0.0186,0.0095,0.9993
28,0.0132,0.0254,0.9788
29,-0.0212,-0.0171,0.9778
30,-0.0410,-0.0166,0.9917
31,-0.0273,0.0093,0.9739
32,-0.0137,0.0129,0.9670
33,0.0083,-0.0146,0.9739
34,0.0254,-0.0479,0.9934
35,0.0283,-0.0193,0.9790
36,0.0183,0.0112,0.9692
37,-0.0051,-0.0002,0.9810
38,-0.0251,-0.0129,0.9856
39,-0.0298,0.0034,0.9741
40,-0.0225,0.0261,0.9739
41,0.0059,-0.0208,0.9700
42,0.0203,-0.0208,0.9810
43,0.0271,-0.0100,0.9697
44,0.0271,0.0100,0.9790
45,0.0195,0.0110,0.9683
46,-0.0142,-0.0164,0.9749
47,-0.0254,0.0200,1.0063
48,-0.0198,-0.0007,0.9714
49,-0.0161,-0.0330,0.9807
50,-0.0068,-0.0181,0.9856
51,0.0110,-0.0029,0.9858
52,0.0256,-0.0107,0.9741
53,0.0251,-0.0212,0.9612
54,0.0164,0.0161,0.9905
55,0.0010,0.0059,0.9758
56,-0.0161,-0.0393,0.9905
57,-0.0132,-0.0071,0.9915
58,0.0046,0.0110,0.9702
59,0.0081,0.0085,0.9878
60,0.0093,0.0066,0.9973
61,0.0088,-0.0278,0.9758
62,-0.0271,-0.0173,0.9849
63,-0.0457,-0.0127,0.9651
64,-0.0295,-0.0366,0.9829
65,-0.0037,-0.0078,0.9817
66,0.0281,-0.0117,0.9749
67,0.0605,0.0227,0.9670
68,0.0242,0.0056,0.9653
69,-0.0015,0.0325,0.9983
70,-0.0161,0.0071,0.9644
71,-0.0381,-0.0396,0.9761
72,-0.0425,-0.0139,0.9917
73,-0.0144,-0.0291,0.9836
74,0.0205,-0.0151,0.9761
75,0.0469,-0.0073,0.9690
76,0.0308,0.0176,0.9805
77,0.0024,0.0281,0.9702
78,-0.0315,0.0298,0.9624
79,-0.0435,0.0063,0.9751
80,-0.0320,-0.0425,0.9915
81,0.0068,-0.0337,0.9983
82,0.0283,-0.0278,0.9868
83,0.0225,0.0039,0.9846
84,0.0051,-0.0449,0.9624
85,-0.0032,-0.0081,0.9868
86,-0.0107,0.0315,0.9700
87,0.0071,0.0178,0.9749
88,0.0078,-0.0132,0.9917
89,0.0017,0.0073,0.9963
90,-0.0146,-0.0046,0.9729
91,-0.0222,0.0095,0.9849
92,-0.0239,-0.0200,0.9807
93,0.0044,-0.0215,0.9924
94,0.0261,-0.0295,0.9893
95,0.0317,-0.0427,0.9885
96,0.0205,-0.0024,0.9758
97,-0.0205,-0.0110,0.9751
98,-0.0427,0.0339,0.9827
99,-0.0254,-0.0125,0.9517
100,-0.0098,0.0376,0.9915
101,0.0405,0.0444,0.9749
102,0.0356,-0.0361,0.9934
103,0.0146,0.0388,1.0298
104,-0.0410,0.2107,0.9866
105,-0.0022,0.3735,0.9351
106,0.0754,0.3794,0.9067
107,0.1523,0.5071,0.9553
108,0.3040,0.7515,0.9448
109,0.4204,1.0159,0.9436
110,0.4194,1.0657,0.9260
111,0.3396,1.0950,1.0032
112,0.1304,0.9983,1.0022
113,-0.0342,1.0256,1.0217
114,-0.0449,1.2249,0.9202
115,-0.0420,1.1648,0.9924
116,0.0032,0.7114,1.0552
117,-0.0967,0.8228,1.1646
118,-0.2605,0.9456,0.9915
119,-0.5847,0.8508,0.9124
120,-0.7195,1.1975,0.9827
121,-0.6675,1.2095,0.7104
122,-0.4399,1.3735,0.8296
123,-0.1787,1.3745,0.8481
124,-0.0356,1.1528,0.8882
125,0.0181,1.1782,1.0386
126,0.0750,1.1167,1.0298
127,0.1064,1.0344,1.0461
128,0.1094,0.9023,1.0981
129,0.1213,0.9199,1.1235
130,0.0620,1.0999,0.9875
131,0.0415,1.1956,0.8674
132,0.0562,1.2659,0.8967
133,-0.0291,1.1956,0.8586
134,-0.1921,1.0139,0.8928
135,-0.2244,1.0588,0.9563
136,-0.2200,0.7583,0.8569
137,-0.1130,0.6060,0.9565
138,0.0227,0.5696,1.0667
139,0.0723,0.5098,1.0679
140,0.0132,0.5630,1.0425
141,-0.0859,0.5161,1.0044
142,-0.1001,0.3369,1.0171
143,-0.0730,0.6997,1.0005
144,-0.0042,0.8098,0.8333
145,0.1211,0.6741,0.8518
146,0.2542,0.3462,0.9517
147,0.1567,0.5647,1.0862
148,0.1111,0.4670,0.8967
149,0.0193,0.4976,1.0073
150,-0.1428,0.3589,0.9761
151,-0.1228,0.4915,0.9963
152,-0.2224,0.2087,0.9456
153,-0.1809,0.7095,1.0854
154,0.0024,0.7065,0.7993
155,-0.0520,0.2046,0.9780
156,-0.2632,-0.1011,1.1860
157,-0.5203,-0.2158,1.0627
158,-0.6882,-0.0544,0.9934
159,-0.6326,-0.3613,0.9397
160,-0.4897,-0.7937,0.9189
161,-0.1272,-0.5906,1.0239
162,0.2263,-0.4275,0.8804
163,0.5259,-0.8042,0.8088
164,0.6694,-0.6978,1.2297
165,0.7356,-0.4934,0.9624
166,0.6584,-0.2927,0.9351
167,0.5366,-0.2612,0.9797
168,0.3174,-0.2671,1.0032
169,0.2344,0.0171,1.0510
170,0.2144,0.1860,1.0139
171,0.2505,0.3567,1.0266
172,0.1509,0.1816,0.9563
173,0.0344,0.4268,1.0903
174,-0.1089,0.5210,0.9702
175,-0.2095,0.5500,0.8977
176,-0.2661,0.4604,0.8394
177,-0.1599,0.6167,0.9253
178,-0.1248,0.7815,0.9290
179,-0.3257,0.4365,0.9565
180,-0.4890,0.3206,1.1047
181,-0.6355,0.1428,0.9700
182,-0.4519,0.2241,0.8899
183,-0.1133,0.2258,1.0354
184,0.2605,0.1948,1.0669
185,0.3740,-0.2402,0.9595
186,0.2502,-0.0623,1.1147
187,-0.0378,-0.1372,0.9524
188,-0.2266,-0.1162,0.9583
189,-0.1833,-0.1841,1.0237
190,0.0281,-0.0022,1.0288
191,0.2932,-0.0247,0.8530
192,0.2761,-0.3123,0.9504
193,0.2463,-0.1824,1.0303
194,0.1045,-0.2637,0.8723
195,0.0747,-0.2258,0.9817
196,-0.0654,-0.1919,1.0574
197,-0.1477,-0.5093,1.0344
198,-0.1245,-0.3074,1.0522
199,-0.0471,-0.1624,1.0229
200,-0.0461,-0.2512,0.9360
201,0.1633,-0.2312,0.9692
202,0.2292,-0.3376,0.9380
203,0.1279,0.0137,0.9966
204,0.0371,0.2632,0.9038
205,-0.2046,-0.1858,0.9390
206,-0.2097,-0.1382,1.1194
207,-0.0295,0.2446,0.9595
208,0.0671,0.2571,0.8489
209,0.1853,0.3013,1.0630
210,0.1472,-0.0403,1.0393
211,0.0400,0.2739,1.0425
212,-0.0281,0.1643,0.8215
213,-0.0273,0.3335,1.0239
214,0.0244,0.2695,0.9712
215,0.0713,0.1438,1.0259
216,0.0142,0.1121,0.9702
217,-0.0757,0.0291,0.9087
218,-0.0503,0.2500,0.9448
219,-0.0210,-0.1821,0.8743
220,0.1125,0.2522,1.1567
221,0.0969,0.1077,0.9253
222,-0.0530,-0.1001,1.0022
223,-0.2407,-0.1226,1.1128
224,-0.3159,-0.2334,0.9683
225,-0.2544,0.2168,1.0063
226,0.0232,0.0103,0.8423
227,0.1938,0.0508,0.9985
228,0.1411,0.0120,0.9409
229,0.0920,0.1343,0.9292
230,-0.0337,0.0227,0.9038
231,-0.1611,-0.0457,1.0259
232,-0.1501,-0.1479,1.0383
233,0.0195,-0.1731,1.0247
234,0.1042,-0.0720,0.9534
235,0.0745,0.0195,0.9429
236,-0.0210,-0.0955,1.0344
237,-0.0129,-0.2993,1.0325
238,0.0103,-0.2039,0.9653
239,0.0811,-0.0845,0.9319
240,0.0276,0.0464,1.0325
241,-0.0486,-0.1450,0.9758
242,-0.1123,-0.2043,0.9937
243,-0.1206,-0.2444,0.9153
244,0.0894,-0.1167,0.9465
245,0.1929,-0.1145,0.9270
246,0.0625,-0.0935,1.0464
247,-0.0291,-0.0178,1.0042
248,-0.3083,-0.2908,0.8833
249,-0.2163,-0.0591,1.0444
250,0.0220,-0.2461,0.9377
251,0.1736,-0.0134,1.1663
252,0.3525,0.0859,0.9875
253,0.2454,-0.1160,0.9165
254,-0.0388,0.2363,1.0042
255,-0.1003,0.2893,0.8518
256,-0.1328,0.2456,0.9683
257,-0.0032,-0.0112,1.0110
258,0.0588,0.0198,1.0227
259,-0.0308,0.3782,0.9817
260,-0.0083,0.2339,0.8225
261,-0.1702,0.1079,1.0659
262,-0.1196,0.0164,1.0190
263,0.0396,-0.0078,0.9963
264,-0.0073,0.1074,0.9573
265,0.0815,0.4094,0.9836
266,0.0491,0.2244,0.9084
267,-0.0901,-0.0679,0.9944
268,-0.0330,-0.2661,1.0178
269,-0.0422,0.1929,1.0459
270,0.0364,-0.0181,0.7698
271,0.0330,0.0669,1.0562
272,-0.0708,-0.1682,0.9966
273,-0.0662,0.0056,1.0461
274,-0.0847,0.1125,0.9426
275,-0.0759,-0.2495,0.9241
276,-0.0381,-0.1582,1.0803
277,-0.1294,-0.1389,0.9810
278,-0.0183,0.0840,0.9849
279,0.0061,-0.1226,0.8772
280,0.0435,-0.0640,0.9739
281,0.1807,0.0693,0.9976
282,0.1504,0.0420,1.0051
283,0.1201,0.1323,1.0132
284,0.0149,-0.1357,0.9480
285,0.0002,-0.1606,0.9924
286,0.0032,0.0483,1.0051
287,0.1548,0.0549,0.9390
288,0.1521,-0.0022,0.9937
289,-0.0303,-0.0757,0.9995
290,-0.1638,-0.1265,0.9856
291,-0.2148,0.0986,0.9875
292,-0.1143,-0.0269,0.8508
293,0.0913,-0.1772,1.0793
294,0.1455,-0.3481,1.0364
295,0.1082,-0.0898,1.0581
296,0.0486,0.3401,0.9197
297,-0.0889,0.0247,0.8833
298,-0.1257,-0.0198,1.1245
299,-0.1980,-0.2371,0.9341
300,-0.0461,0.1721,0.9534
301,-0.0952,0.1919,0.9233
302,-0.0625,0.0159,0.9341
303,-0.0254,0.0037,1.0220
304,0.0068,-0.0933,0.9875
305,0.1150,0.0186,1.0483
306,0.1218,0.0847,0.9634
307,-0.0242,0.0271,0.9329
308,-0.1372,0.0386,1.0288
309,-0.0981,0.0967,0.9985
310,0.1282,0.1060,0.8608
311,0.1130,0.1455,0.9751
312,0.2498,0.3816,1.0444
313,0.0903,0.0654,0.9563
314,-0.1602,-0.2310,1.0139
315,-0.3318,-0.1719,1.0413
316,-0.1584,0.0610,1.0151
317,0.0349,-0.0098,0.8853
318,0.2363,-0.1372,1.0005
319,0.1946,-0.0210,1.0640
320,0.0527,0.0808,0.9165
321,-0.0447,0.1443,0.9358
322,-0.0876,-0.1116,0.8826
323,0.0750,0.0632,1.0930
324,0.1458,-0.0566,1.0005
325,0.0984,-0.0112,1.0464
326,0.0312,-0.1055,0.9094
327,-0.0107,-0.1440,1.0579
328,0.0000,-0.0996,1.0315
329,0.0835,-0.0107,1.0374
330,0.1851,0.0415,0.9495
331,-0.0430,-0.0461,0.8948
332,-0.1672,0.2026,0.9905
333,-0.2185,0.2844,0.8137
334,-0.0981,0.1213,0.9858
335,0.1562,-0.1023,1.0200
336,0.0378,-0.3818,1.0352
337,0.0571,0.0745,1.1196
338,-0.1057,-0.1152,0.8958
339,-0.1743,-0.0225,0.9963
340,-0.0723,-0.1421,0.9260
341,0.1208,-0.0078,0.9868
342,0.2114,0.2937,0.9817
343,0.1567,0.0627,0.9124
344,-0.0129,0.0881,1.0266
345,-0.1748,-0.1870,0.9731
346,-0.1963,-0.1294,1.0442
347,-0.0176,-0.0845,0.9797
348,0.1299,-0.1772,0.9788
349,0.1414,-0.0049,1.0393
350,0.0845,0.0037,0.9514
351,-0.1335,0.1521,0.9690
352,-0.0640,0.2725,0.8706
353,-0.0376,0.0442,0.9614
354,0.0701,-0.0703,0.9771
355,0.1763,0.0654,1.0637
356,0.1252,0.0317,0.9321
357,0.0488,-0.1475,0.9985
358,0.0229,-0.0579,1.0520
359,-0.0103,-0.0364,0.9897
360,0.0134,-0.1306,0.9211
361,0.0693,-0.0098,1.0913
362,0.0549,0.1611,0.9250
363,-0.0381,0.0986,0.9097
364,-0.1406,-0.0859,0.9622
365,-0.2146,-0.1409,1.0491
366,-0.0955,0.0222,0.9553
367,0.0530,0.0532,0.9424
368,0.0835,-0.0852,0.9578
369,-0.0220,-0.1301,1.0425
370,0.0005,-0.0122,1.0444
371,-0.1196,-0.1487,0.8931
372,-0.0701,-0.0466,0.9680
