Sample,X,Y,Z
0,0.0063,-0.0154,0.9807
1,-0.0249,-0.0129,0.9644
2,-0.0032,0.0022,0.9895
3,-0.0054,0.0061,0.9829
4,0.0068,-0.0356,0.9768
5,-0.0022,-0.0032,0.9856
6,0.0024,-0.0391,0.9771
7,-0.0010,-0.0110,0.9771
8,0.0105,-0.0090,0.9741
9,0.0093,0.0366,0.9819
10,0.0068,-0.0073,0.9683
11,0.0161,0.0083,0.9924
12,-0.0212,-0.0364,0.9858
13,-0.0471,-0.0332,0.9856
14,-0.0112,-0.0212,0.9827
15,-0.0029,0.0171,0.9800
16,0.0256,0.0344,0.9797
17,0.0330,-0.0171,0.9690
18,0.0352,-0.0205,0.9868
19,0.0007,-0.0146,0.9741
20,-0.0608,-0.0215,0.9778
21,-0.0486,-0.0237,0.9956
22,-0.0273,-0.0310,0.9817
23,-0.0042,0.0247,0.9866
24,0.0251,-0.0090,0.9644
25,0.0383,-0.0249,0.9797
26,0.0505,0.0349,0.9856
27,0.0076,0.0542,0.9614
28,-0.0137,-0.0713,0.9761
29,-0.0388,0.0107,1.0288
30,-0.0491,-0.0422,0.9585
31,-0.0618,-0.0159,0.9915
32,0.0044,-0.0378,0.9888
33,0.0408,-0.0566,0.9761
34,0.0593,0.0688,0.9946
35,0.0405,0.0369,0.9448
36,0.0112,0.0042,0.9810
37,-0.0500,-0.0127,0.9973
38,-0.0725,-0.0540,0.9680
39,-0.0315,-0.0010,0.9907
40,0.0198,-0.0063,0.9819
41,0.0491,-0.0371,0.9797
42,0.0461,0.0073,0.9995
43,0.0212,-0.0139,0.9631
44,-0.0042,0.0215,0.9788
45,-0.0615,-0.0190,0.9758
46,-0.0784,-0.0420,0.9858
47,-0.0127,0.0325,0.9944
48,-0.0017,-0.0212,0.9475
49,0.0312,-0.0095,0.9966
50,0.0630,-0.0105,0.9790
51,0.0339,-0.0190,0.9712
52,0.0459,0.0447,0.9956
53,-0.0125,-0.0669,0.9604
54,-0.0610,0.0024,1.0161
55,-0.0518,0.0044,0.9651
56,-0.0554,-0.0166,0.9651
57,-0.0195,0.0186,1.0056
58,0.0281,-0.0073,0.9829
59,0.0398,-0.0364,0.9761
60,0.0552,-0.0100,0.9866
61,0.0193,0.0059,0.9771
62,-0.0132,-0.0012,0.9631
63,-0.0088,0.0151,0.9907
64,0.0007,-0.0217,0.9771
65,-0.0278,-0.0154,0.9849
66,-0.0237,-0.0195,0.9846
67,-0.0386,-0.0181,0.9751
68,-0.0352,-0.0308,0.9885
69,0.0039,0.0166,0.9949
70,0.0229,-0.0068,0.9670
71,0.0425,-0.0083,0.9819
72,0.0386,-0.0203,0.9810
73,0.0103,0.0078,0.9749
74,0.0066,0.0291,0.9790
75,-0.0256,0.0100,0.9790
76,-0.0051,0.0105,0.9868
77,-0.0281,-0.0356,0.9700
