Sample,X,Y,Z
0,0.0432,0.0088,0.9888
1,0.0029,-0.0059,0.9670
2,-0.0312,-0.0022,0.9924
3,-0.0352,0.0107,0.9771
4,-0.0503,-0.0505,0.9700
5,-0.0132,0.0144,0.9888
6,0.0088,-0.0393,0.9595
7,0.0183,0.0317,1.0002
8,0.0088,-0.0259,0.9680
9,-0.0281,-0.0120,0.9800
10,-0.0117,-0.0168,0.9885
11,-0.0278,-0.0017,0.9858
12,0.0149,-0.0452,0.9731
13,0.0425,0.0225,1.0024
14,0.0322,-0.0239,0.9741
15,0.0188,-0.0012,0.9797
16,-0.0081,-0.0120,0.9866
17,-0.0532,-0.0229,0.9749
18,-0.0645,-0.0344,0.9829
19,-0.0442,0.0205,0.9924
20,0.0063,-0.0276,0.9653
21,0.0347,0.0046,0.9934
22,0.0544,0.0046,0.9790
23,0.0349,-0.0029,0.9722
24,-0.0042,-0.0095,0.9878
25,-0.0278,-0.0042,0.9839
26,-0.0403,-0.0156,0.9709
27,-0.0281,0.0029,0.9875
28,-0.0061,-0.0032,0.9819
29,0.0039,-0.0247,0.9731
30,0.0129,0.0012,0.9875
31,0.0212,0.0046,0.9778
32,-0.0212,-0.0288,0.9817
33,-0.0022,0.0063,0.9858
34,-0.0159,-0.0203,0.9846
35,-0.0076,-0.0371,0.9878
36,0.0166,-0.0879,0.9797
37,0.0051,0.0398,0.9993
38,0.0039,0.0186,0.9407
39,0.0032,0.0486,0.9817
40,-0.0444,-0.0112,0.9768
41,-0.0164,-0.0088,1.0002
42,-0.0227,-0.0737,0.9661
43,-0.0085,-0.0085,1.0081
44,0.0315,0.0049,0.9846
45,0.0198,-0.0344,0.9751
46,0.0537,0.0396,0.9995
47,-0.0071,-0.0293,0.9680
48,-0.0022,-0.0098,0.9897
49,-0.0627,-0.0647,0.9731
50,-0.0435,0.0186,0.9963
51,-0.0247,-0.0266,0.9426
52,-0.0129,0.0300,1.0012
53,0.0283,-0.0122,0.9653
54,0.0391,-0.0281,0.9849
55,0.0283,-0.0046,0.9973
56,0.0071,-0.0266,0.9749
57,0.0005,-0.0215,0.9985
58,-0.0330,0.0127,0.9856
59,-0.0247,0.0024,0.9741
60,-0.0139,-0.0190,0.9966
61,0.0173,-0.0132,0.9729
62,-0.0015,-0.0159,0.9807
63,0.0098,0.0308,0.9778
64,-0.0139,-0.0730,0.9502
65,-0.0420,0.0432,1.0315
66,0.0051,0.0142,0.9409
67,-0.0005,-0.0535,0.9827
68,0.0347,0.0447,1.0090
69,0.0181,-0.0610,0.9387
70,0.0037,-0.0100,1.0117
