Sample,X,Y,Z
0,0.1333,-0.0510,0.9651
1,0.1675,0.0122,0.9934
2,0.1169,-0.0090,0.9653
3,-0.0017,-0.0310,0.9702
4,-0.1289,-0.0273,0.9858
5,-0.2026,-0.0227,0.9829
6,-0.1599,0.0312,0.9807
7,-0.0176,0.0342,0.9780
8,0.1011,-0.0151,0.9934
9,0.1787,-0.0303,0.9846
10,0.1594,-0.0413,0.9771
11,0.0664,-0.0005,0.9749
12,-0.0752,-0.0244,0.9768
13,-0.1350,-0.0020,0.9907
14,-0.1350,-0.0520,0.9692
15,-0.0737,-0.0156,0.9966
16,0.0125,0.0042,0.9712
17,0.1040,0.0068,0.9651
18,0.0984,0.0137,0.9709
19,0.0830,0.0371,0.9888
20,0.0220,-0.0076,0.9768
21,-0.0679,-0.0134,1.0005
22,-0.1179,-0.0212,1.0044
23,-0.0957,-0.0457,0.9709
24,-0.0286,-0.0330,0.9868
25,0.0505,0.0115,0.9768
26,0.1313,-0.0142,0.9631
27,0.0881,-0.0332,0.9829
28,0.0220,-0.0271,1.0120
29,-0.0881,0.0134,0.9719
30,-0.1372,0.0137,0.9712
31,-0.0732,0.0264,0.9712
32,0.0215,-0.0259,0.9583
33,0.0713,-0.0105,0.9800
34,0.0969,-0.0071,0.9780
35,0.0798,-0.0156,0.9973
36,0.0061,0.0022,0.9946
37,-0.0718,-0.0208,0.9924
38,-0.0737,-0.0247,0.9897
39,-0.0896,-0.0684,0.9631
40,-0.0654,0.0308,0.9778
41,0.0059,0.0403,0.9399
42,0.0825,0.0103,0.9758
43,0.1021,0.0000,0.9929
44,0.0957,-0.0396,0.9924
45,0.0232,-0.0569,0.9946
46,-0.0762,-0.0300,0.9973
47,-0.1350,0.0259,0.9634
48,-0.1079,0.0061,0.9504
49,-0.0315,-0.0068,0.9800
50,0.0549,-0.0132,0.9937
51,0.1187,-0.0005,0.9797
52,0.1045,0.0071,0.9915
53,0.0432,0.0129,0.9966
54,-0.0403,-0.0696,0.9768
55,-0.1111,-0.0513,0.9849
56,-0.0759,-0.0159,0.9631
57,-0.0461,-0.0369,0.9583
58,0.0237,0.0164,0.9905
59,0.0852,0.0671,0.9768
60,0.0654,0.0510,0.9712
61,-0.0056,-0.0154,0.9915
62,-0.0413,-0.0405,1.0005
63,-0.0764,-0.0520,0.9788
64,-0.0251,0.0029,0.9712
65,0.0239,-0.0571,0.9739
66,0.0586,-0.0327,0.9966
67,0.0522,-0.0562,0.9780
68,-0.0107,0.0344,0.9927
69,-0.0066,0.0535,0.9702
70,-0.0444,0.0183,0.9673
71,-0.0571,0.0020,0.9849
