Sample,X,Y,Z
0,0.0549,-0.0457,0.9377
1,0.0466,-0.0547,1.0012
2,0.0159,0.0376,0.9897
3,-0.0176,-0.0527,0.9429
4,-0.0588,0.0112,1.0112
5,-0.0383,-0.0374,0.9800
6,0.0122,0.0242,0.9856
7,0.0137,0.0488,0.9634
8,0.0447,-0.0249,0.9790
9,0.0378,-0.0417,0.9905
10,0.0020,-0.0034,0.9983
11,-0.0105,0.0649,0.9653
12,-0.0496,-0.0127,0.9612
13,-0.0361,-0.0017,1.0007
14,-0.0017,-0.0383,0.9641
15,0.0156,0.0024,0.9788
16,0.0281,0.0127,0.9768
17,0.0310,-0.0315,0.9839
18,-0.0107,0.0066,0.9905
19,-0.0251,0.0217,0.9751
20,-0.0378,-0.0154,0.9673
21,0.0010,-0.0208,0.9934
22,0.0291,-0.0203,0.9875
23,0.0227,0.0078,0.9780
24,0.0266,0.0159,0.9839
25,0.0027,-0.0339,0.9829
26,-0.0291,-0.0178,0.9868
27,-0.0432,-0.0249,0.9731
28,-0.0330,-0.0513,0.9751
29,0.0046,-0.0427,0.9761
30,0.0107,-0.0090,0.9846
31,0.0449,0.0291,0.9622
32,0.0159,0.0273,0.9768
33,-0.0178,0.0007,0.9797
34,-0.0200,-0.0459,0.9751
35,-0.0276,-0.0022,0.9927
36,-0.0378,0.0342,0.9712
37,0.0034,0.0303,0.9905
38,0.0437,-0.0095,0.9800
39,0.0220,-0.0586,0.9946
40,0.0491,-0.0071,0.9800
41,0.0391,-0.0481,0.9536
42,-0.0051,0.0681,1.0110
43,-0.0222,0.0059,0.9426
44,-0.0740,-0.0344,0.9905
45,-0.0642,0.0503,0.9917
46,-0.0347,-0.0408,0.9426
47,0.0188,0.0417,1.0034
48,0.0515,-0.0337,0.9622
49,0.0647,-0.0417,0.9995
50,0.0276,-0.0164,0.9827
51,-0.0054,-0.0159,0.9839
52,-0.0312,-0.0051,0.9768
53,-0.0278,0.0098,0.9956
54,-0.0110,0.0046,0.9614
55,-0.0361,-0.0295,0.9749
56,0.0056,0.0112,0.9946
57,0.0103,-0.0349,0.9670
58,0.0063,0.0278,0.9976
59,0.0283,0.0002,0.9641
60,0.0093,-0.0896,0.9839
61,-0.0034,-0.0342,0.9966
62,-0.0327,-0.0439,0.9653
63,-0.0298,0.0398,0.9839
64,-0.0168,0.0212,0.9680
65,0.0051,0.0076,0.9868
66,0.0168,0.0283,0.9771
67,0.0400,0.0051,0.9771
68,0.0376,0.0222,0.9846
69,0.0237,0.0032,0.9790
70,-0.0195,-0.0068,0.9839
71,-0.0520,-0.0415,0.9878
72,-0.0471,-0.0588,0.9915
73,-0.0078,-0.0022,0.9817
74,-0.0229,0.0464,0.9741
75,0.0229,0.0166,0.9653
76,0.0696,-0.0203,0.9761
77,0.0134,0.0051,0.9856
78,0.0073,0.0569,0.9631
79,-0.0164,-0.0356,0.9690
80,-0.0601,0.0103,1.0288
81,-0.0193,-0.0510,0.9673
82,-0.0212,-0.0815,0.9817
83,0.0244,-0.0151,1.0034
84,0.0310,-0.0803,0.9604
85,0.0317,0.0217,1.0071
86,0.0210,0.0635,0.9673
87,-0.0276,-0.0208,0.9563
88,-0.0435,0.0330,0.9976
89,-0.0317,-0.0427,0.9683
90,-0.0288,0.0222,0.9819
91,0.0142,0.0137,0.9797
92,0.0220,-0.0469,0.9827
93,0.0276,-0.0515,0.9934
94,0.0044,0.0066,0.9934
95,0.0054,0.0210,0.9663
96,-0.0142,0.0020,0.9700
97,0.0188,0.0337,1.0015
98,-0.0044,-0.0186,0.9534
99,-0.0073,0.0320,1.0022
100,0.0061,0.0491,0.9634
101,-0.0295,-0.0339,0.9790
102,-0.0569,-0.0100,1.0198
103,-0.1279,-0.1687,1.0151
104,-0.1184,0.0261,1.0210
105,-0.0261,0.4614,0.9155
106,0.0537,1.1692,0.8596
107,0.1152,1.5493,0.8120
108,0.1384,1.8206,0.9133
109,0.0383,1.7280,0.9312
110,-0.0688,1.3267,0.9136
111,-0.1860,0.8687,0.9966
112,-0.1870,0.7183,1.0884
113,0.0872,0.2883,1.1936
114,0.1909,0.6360,1.1643
115,0.1975,0.9521,0.9497
116,0.0696,1.2629,0.9358
117,-0.2002,1.2747,0.6956
118,-0.4458,1.3813,0.9224
119,-0.4399,1.1313,0.7974
120,-0.3647,0.7622,0.9790
121,-0.0127,0.7317,0.9172
122,0.2341,0.6753,0.9761
123,0.2522,0.5649,1.0488
124,0.1335,0.5728,1.0474
125,-0.0564,0.6978,1.0386
126,-0.2527,1.0549,0.9651
127,-0.2153,1.2183,0.8872
128,-0.0168,1.2456,0.9390
129,0.1978,1.1477,0.9241
130,0.3081,0.9417,0.8977
131,0.2495,0.8030,0.9475
132,0.0264,0.9387,1.0344
133,-0.1155,1.0405,1.0171
134,-0.2017,0.9419,0.9683
135,-0.1641,0.8293,1.0315
136,-0.0532,0.4983,0.9885
137,-0.0229,0.2290,1.0112
138,-0.0322,0.4058,1.0269
139,-0.0073,0.5706,0.9016
140,-0.1292,0.8508,0.8860
141,-0.0994,0.9507,0.8687
142,-0.0312,0.8782,0.8918
143,-0.0410,0.6528,0.9448
144,-0.0688,0.4192,0.9983
145,0.0310,0.2668,1.0325
146,-0.0154,0.5024,1.0698
147,-0.0146,0.6956,1.0012
148,0.1074,0.9622,0.9836
149,0.0193,0.9233,0.9995
150,0.0400,0.9250,0.9622
151,0.0090,0.8186,0.9231
152,-0.0710,0.9243,0.9214
153,-0.0310,1.0100,0.8782
154,0.0813,1.0669,0.9429
155,-0.1423,0.8674,1.0256
156,-0.1003,-0.2881,1.0637
157,-0.1528,-1.4373,1.2075
158,-0.1643,-1.9980,1.1675
159,0.0251,-1.9983,0.9875
160,0.1150,-1.8345,0.9231
161,0.2407,-1.0659,0.9250
162,0.2439,-0.5876,0.8149
163,0.1018,-0.0322,0.8169
164,-0.0139,-0.0137,0.8462
165,-0.0784,-0.4495,0.9790
166,-0.1814,-0.7632,1.1594
167,0.0212,-0.4307,1.2258
168,0.1919,0.2800,1.0481
169,0.2395,1.0532,0.9907
170,0.2109,1.6099,0.9683
171,-0.0271,1.6721,0.8918
172,-0.2886,1.6479,0.8784
173,-0.4197,1.2336,0.8489
174,-0.3340,0.7825,0.8674
175,-0.0984,0.7883,0.9973
176,0.1272,0.8022,0.9546
177,0.2542,0.7847,1.0249
178,0.2256,0.5833,0.9973
179,-0.0181,0.1008,0.9817
180,-0.2222,-0.3640,1.0942
181,-0.2644,-0.6270,1.0891
182,-0.2437,-0.9080,1.0825
183,0.0071,-0.9358,1.0542
184,0.1917,-0.7771,0.9487
185,0.3672,-0.2888,0.9214
186,0.3242,-0.3181,0.7798
187,0.0916,-0.0676,1.0435
188,-0.0730,-0.0376,0.8469
