Sample,X,Y,Z
0,-0.1284,-0.0193,0.9849
1,-0.0598,-0.0291,0.9565
2,-0.0117,0.0579,1.0061
3,0.0850,0.0200,0.9556
4,0.1560,-0.0474,0.9702
5,0.1003,-0.0286,1.0200
6,0.0403,0.0171,0.9956
7,-0.0571,-0.0454,0.9700
8,-0.1323,-0.0088,1.0034
9,-0.1448,-0.0325,0.9661
10,-0.0911,-0.0452,0.9790
11,0.0142,-0.0054,0.9817
12,0.1006,0.0415,0.9595
13,0.1189,0.0500,0.9807
14,0.1106,0.0046,0.9780
15,0.0325,-0.0588,0.9946
16,-0.0400,-0.0090,1.0110
17,-0.0759,-0.0095,0.9553
18,-0.1025,-0.0208,0.9797
19,-0.0701,0.0012,0.9924
20,-0.0107,-0.0327,0.9749
21,0.0508,0.0017,1.0022
22,0.0959,0.0513,0.9722
23,0.0757,0.0024,0.9749
24,0.0088,-0.0251,0.9956
25,-0.0500,-0.0796,0.9607
26,-0.0754,-0.0381,0.9983
27,-0.0691,-0.0027,0.9719
28,-0.0103,-0.0085,0.9673
29,0.0398,0.0354,0.9885
30,0.0530,0.0244,0.9761
31,0.0615,0.0193,0.9778
32,0.0181,-0.0427,0.9917
33,-0.0273,-0.0376,0.9905
34,-0.0952,-0.0364,0.9946
35,-0.0986,-0.0181,0.9875
36,-0.0542,-0.0352,0.9612
37,0.0188,-0.0127,0.9751
38,0.0891,0.0000,0.9683
39,0.1248,-0.0015,0.9768
40,0.0815,0.0154,0.9934
41,-0.0039,0.0393,0.9788
42,-0.0818,0.0242,0.9788
43,-0.1001,-0.0391,0.9634
44,-0.0918,-0.0598,1.0002
45,-0.0537,-0.0229,0.9944
46,0.0115,-0.0051,0.9800
47,0.0508,0.0190,0.9839
48,0.0784,-0.0291,0.9749
49,0.0986,-0.0481,0.9807
50,0.0781,0.0125,0.9905
51,0.0215,0.0212,0.9604
52,-0.0667,0.0059,0.9573
53,-0.1155,0.0046,0.9839
54,-0.1035,0.0056,0.9495
55,-0.0671,0.0049,0.9937
56,0.0098,-0.0022,1.0051
57,0.0503,-0.0586,0.9956
58,0.0837,-0.0317,0.9885
59,0.0745,-0.0198,0.9731
60,0.0566,-0.0396,0.9524
61,0.0095,0.0049,0.9915
62,-0.0293,0.0215,0.9761
63,-0.0850,0.0032,0.9729
64,-0.1025,0.0188,0.9836
65,-0.0881,-0.0342,0.9487
66,-0.0203,-0.0315,0.9875
67,0.0342,0.0012,0.9858
68,0.0852,0.0117,1.0015
69,0.0828,-0.0249,0.9895
70,0.0481,-0.0430,0.9878
71,0.0176,-0.0557,0.9751
72,-0.0037,0.0068,0.9683
73,-0.0679,0.0378,0.9651
74,-0.0759,0.0723,0.9875
75,-0.0618,-0.0222,0.9612
76,-0.0396,-0.0034,1.0103
77,-0.0017,-0.0232,0.9885
78,0.0491,-0.0347,0.9907
79,0.0708,-0.0691,0.9690
80,0.0645,-0.0803,0.9749
81,0.0286,0.0059,1.0083
82,0.0146,0.0171,0.9446
83,-0.0457,-0.0046,0.9788
84,-0.0681,0.0310,1.0002
85,-0.0642,0.0437,0.9592
86,-0.0442,0.0583,0.9800
87,-0.0198,0.0232,0.9583
88,0.0359,-0.0583,0.9878
89,0.0398,-0.0793,0.9995
90,0.0518,-0.0588,1.0022
91,0.0203,-0.0620,0.9807
92,0.0012,-0.0552,0.9954
93,-0.0374,-0.0342,0.9622
94,-0.0432,-0.0012,0.9866
95,-0.0293,0.0210,0.9497
96,-0.0151,0.0820,0.9507
97,-0.0076,0.1016,0.9661
98,0.0125,0.0029,0.9797
99,0.0239,-0.0251,1.0229
100,0.0222,-0.0366,0.9973
101,0.0256,-0.0925,1.0005
102,-0.0515,-0.0925,1.0129
103,-0.1062,0.0842,1.0542
104,-0.1331,0.4653,0.9448
105,-0.0798,0.6760,0.8035
106,0.0225,0.7700,0.8433
107,0.1372,0.8245,0.9143
108,0.2065,1.0510,0.9153
109,0.0854,1.1428,1.0120
110,-0.1023,1.0239,1.0552
111,-0.2888,0.6780,0.9622
112,-0.4077,0.6665,1.0044
113,-0.3772,0.8843,1.0337
114,-0.1323,0.6372,0.9126
115,0.0366,0.6912,0.9612
116,0.2258,1.1106,1.0168
117,0.2502,1.1997,0.9253
118,0.1682,1.2737,0.9299
119,0.1130,1.2805,0.9475
120,0.0642,1.2180,0.9006
121,0.0701,1.3831,1.0002
122,0.0522,1.3167,0.9006
123,0.0049,1.1985,0.9680
124,-0.1079,1.0884,1.0210
125,-0.1431,1.1743,1.0747
