Sample,X,Y,Z
0,0.0166,-0.0073,0.9670
1,-0.0088,0.0439,0.9917
2,-0.0090,-0.0129,0.9526
3,-0.0303,-0.0132,0.9946
4,-0.0422,0.0002,0.9995
5,0.0037,-0.0347,0.9819
6,0.0095,0.0125,0.9993
7,-0.0127,-0.0195,0.9734
8,0.0046,-0.0447,0.9797
9,-0.0032,-0.0349,0.9778
10,0.0188,0.0159,0.9780
11,0.0259,0.0029,0.9885
12,0.0159,-0.0259,0.9768
13,0.0222,-0.0142,0.9712
14,-0.0168,0.0530,0.9790
15,-0.0256,0.0686,0.9778
16,-0.0391,-0.0322,0.9790
17,-0.0242,-0.0356,1.0168
18,-0.0132,-0.0264,0.9719
19,-0.0044,0.0112,0.9907
20,-0.0034,-0.0398,0.9680
21,-0.0085,-0.0557,0.9937
22,-0.0066,-0.0217,0.9858
23,0.0105,-0.0032,0.9565
24,0.0300,0.0229,0.9839
25,0.0354,-0.0198,0.9644
26,0.0154,0.0085,0.9934
27,0.0000,0.0547,0.9790
28,-0.0400,-0.0200,0.9446
29,-0.0693,0.0288,1.0298
30,-0.0364,-0.0369,0.9612
31,-0.0090,-0.0581,0.9993
32,0.0151,0.0051,1.0198
33,0.0503,-0.0300,0.9644
34,0.0513,-0.0457,0.9817
35,0.0164,-0.0210,0.9692
36,-0.0083,0.0125,0.9702
37,-0.0168,0.0361,0.9626
38,-0.0413,-0.0112,0.9680
39,-0.0486,0.0054,0.9897
40,-0.0408,-0.0251,0.9795
41,-0.0210,0.0388,0.9966
42,0.0066,-0.0029,0.9956
43,0.0518,-0.0303,0.9934
44,0.0664,-0.0310,0.9875
45,0.0454,0.0278,0.9778
46,-0.0100,-0.0002,0.9641
47,-0.0759,-0.0476,0.9651
48,-0.1216,-0.0271,0.9985
49,-0.0791,-0.0291,0.9673
50,0.0002,0.0122,0.9788
51,0.0664,0.0037,0.9768
52,0.1111,0.0266,0.9944
53,0.1018,-0.0095,0.9624
54,0.0496,0.0063,1.0042
55,-0.0454,-0.0002,0.9771
56,-0.1377,-0.0061,0.9895
57,-0.1406,-0.0483,0.9805
58,-0.0691,-0.0608,0.9758
59,0.0181,0.0063,0.9719
60,0.1211,0.0266,0.9829
61,0.1790,0.0339,0.9817
62,0.1201,-0.0183,0.9692
63,-0.0254,0.0142,1.0015
64,-0.1062,0.0583,0.9807
65,-0.1765,-0.0776,0.9172
66,-0.1587,-0.0471,1.0354
67,-0.0603,-0.0415,0.9827
68,0.0720,-0.0417,0.9731
69,0.1033,0.0386,1.0090
70,0.1023,-0.0190,0.9631
71,0.1133,-0.0488,0.9858
72,0.0164,0.0103,0.9729
73,-0.0264,0.0637,0.9661
74,-0.0813,0.0298,0.9622
75,-0.1191,-0.0046,0.9827
76,-0.0947,-0.0159,0.9934
77,0.0115,-0.0298,0.9849
78,0.0737,-0.0288,0.9758
79,0.0903,0.0217,1.0042
80,0.0449,0.0039,0.9829
81,-0.0276,-0.0520,0.9739
82,-0.0867,-0.0142,1.0090
83,-0.0708,-0.0400,0.9556
84,-0.0173,-0.0037,0.9963
85,0.0244,-0.0029,0.9534
86,0.0347,-0.0117,0.9634
87,0.0283,0.0000,0.9771
88,0.0159,0.0156,0.9712
89,-0.0310,0.0122,0.9878
90,-0.0232,0.0491,1.0120
91,-0.0110,-0.0469,0.9604
92,-0.0149,0.0239,1.0217
93,-0.0154,-0.0137,0.9749
94,0.0095,-0.0427,0.9858
95,0.0056,-0.0459,0.9778
96,0.0281,-0.0176,0.9758
97,0.0417,-0.0073,0.9604
98,0.0100,0.0063,0.9722
99,-0.0369,0.0439,0.9868
100,-0.0349,-0.0403,0.9739
101,-0.0552,-0.0330,1.0073
102,-0.0691,-0.0261,0.9954
103,-0.0918,0.1292,1.0325
104,-0.0796,0.3572,0.9885
105,0.0708,0.5542,0.8853
106,0.0764,0.5737,0.8843
107,0.1497,0.8052,0.9575
108,0.2224,0.9595,0.9048
109,0.1946,1.2581,1.0002
110,0.0249,1.3364,0.9927
111,-0.1223,1.1741,0.9280
112,-0.1570,1.2551,0.9875
113,-0.1575,1.1567,0.9663
114,-0.0046,0.8157,1.0178
115,0.0444,0.7522,0.9211
116,0.0610,0.9792,1.0959
117,-0.0916,1.1838,0.9553
118,-0.4165,0.8472,1.0571
119,-0.5867,0.8137,0.8879
120,-0.5603,1.0759,0.8860
121,-0.2622,1.3022,0.8618
122,0.1045,1.2515,0.9077
123,0.4058,0.9368,0.8850
124,0.4028,0.7083,1.0139
125,0.1736,0.9329,1.0774
126,-0.0391,0.9263,0.9585
127,-0.1729,0.9387,1.0608
128,-0.1514,0.8674,1.0056
129,0.0317,0.9553,0.9993
130,0.1663,1.3105,1.0024
131,0.1038,1.2104,0.8550
132,-0.0281,1.0481,0.9568
133,-0.1443,0.8196,0.8840
134,-0.2036,0.7834,0.8997
135,-0.1560,0.7434,0.9758
136,-0.0469,0.5913,0.9849
137,-0.0078,0.4417,1.0046
138,0.1030,0.4788,1.0286
139,0.1433,0.6877,1.0051
140,0.0410,0.6216,0.8979
141,-0.1023,0.4797,0.9797
142,-0.1101,0.3235,0.9846
143,-0.0828,0.5715,0.9963
144,0.0369,0.4321,0.9185
145,0.0583,0.5198,1.1047
146,-0.0527,0.1899,0.9146
147,-0.1414,0.3108,1.0637
148,-0.0654,0.8635,1.0100
149,0.0088,1.0002,0.8088
150,0.1250,1.2786,0.9729
151,0.0068,0.7964,0.8345
152,-0.1460,0.8149,1.0474
153,-0.2244,0.8665,0.9250
154,-0.1006,0.8567,0.9280
155,-0.1133,-0.0615,1.0081
156,-0.0642,-0.5349,1.2632
157,-0.0630,-0.5681,1.2056
158,-0.0557,-0.5532,1.0588
159,-0.0405,-0.9070,1.0063
160,-0.0732,-1.1716,0.8296
161,0.0464,-1.0796,0.8157
162,0.1626,-0.7158,0.7961
163,0.3208,-0.6479,0.9211
164,0.3901,-0.9956,0.9993
165,0.3628,-0.9409,1.1604
166,0.1462,-0.4998,1.0649
167,-0.0847,0.0217,1.0002
168,-0.3545,0.2322,1.0112
169,-0.3784,0.3877,1.0444
170,-0.0305,0.3162,0.9062
171,0.1792,0.9045,0.9934
172,0.2607,1.3423,0.6528
173,0.0347,1.6770,0.9192
174,-0.1575,1.2644,0.9993
175,-0.3589,0.8296,1.0776
176,-0.3135,0.5950,1.0549
177,-0.3484,0.5344,1.0305
178,-0.2271,0.8164,1.1460
179,-0.0767,0.6221,1.0034
180,0.1416,-0.0474,0.9390
181,0.2639,0.1938,1.0503
182,0.2573,0.1306,0.6536
183,-0.0127,0.2393,1.0085
184,-0.1787,-0.4868,0.9202
185,-0.2095,-0.9109,1.1079
186,-0.0422,-0.8044,1.2266
187,0.1946,-0.8787,0.8833
188,0.2881,-0.7524,1.0061
189,0.2178,-0.2751,1.0679
190,-0.0520,-0.7954,0.7825
191,-0.2683,-0.4927,1.1926
192,-0.3455,-0.3569,0.7971
193,-0.2415,0.1301,0.8850
194,-0.1274,-0.0330,0.9487
195,0.0422,-0.4763,1.0220
196,0.2546,-0.4456,1.2456
197,0.4385,-0.1553,1.0715
198,0.3921,0.0728,0.9016
199,0.1685,0.0835,0.9712
200,-0.0686,-0.0999,0.8999
201,-0.1846,-0.0630,0.9927
202,-0.1521,0.4963,0.9709
203,-0.0430,0.6135,0.7415
204,0.0476,0.2522,0.9221
205,0.0596,-0.0068,1.1174
206,0.0510,-0.1091,1.0913
207,0.0449,0.2585,1.1799
208,0.0378,0.1116,0.8616
209,-0.0256,0.2151,0.9866
210,-0.0464,0.2646,0.9858
211,-0.0339,0.1389,0.9143
212,0.0444,0.2822,1.0344
213,0.1045,0.3767,0.8069
214,0.0095,0.3633,0.8628
215,-0.1677,0.4436,1.0315
216,-0.2141,-0.3506,0.8889
217,-0.0720,0.1355,1.3508
218,0.1528,0.3843,0.8608
219,0.1431,0.0684,0.8127
220,0.1165,-0.0249,1.1428
221,0.0334,-0.1267,0.9888
222,0.0486,0.1011,1.0728
223,-0.0271,-0.0056,0.9097
224,-0.1331,-0.1875,0.8567
225,-0.2239,0.0889,1.0103
226,-0.1975,0.0381,0.9182
227,-0.1282,-0.1121,1.0481
228,0.1111,-0.1367,0.9905
229,0.2029,-0.2908,0.8579
230,0.0222,-0.1152,1.0793
231,-0.0359,-0.3057,0.9573
232,-0.1311,-0.3738,1.0542
233,0.1094,-0.2102,1.0569
234,0.2676,-0.0813,0.8860
235,0.2439,0.0371,0.9709
236,0.0093,0.3577,0.9602
237,-0.1108,-0.2231,0.8345
238,-0.1804,0.1331,1.1956
239,-0.0020,0.1790,0.6812
240,0.0520,0.2974,0.9653
241,-0.0442,-0.1067,1.0601
242,-0.1577,-0.4031,1.1206
243,-0.1252,-0.0183,1.2222
244,0.1655,0.1255,0.8677
245,0.2732,0.1758,0.9097
246,0.2515,0.2783,1.0120
247,-0.0010,0.0735,0.8909
248,-0.2559,0.2400,1.0591
249,-0.2222,-0.1077,0.7949
250,0.0044,0.1572,0.9243
251,0.2375,0.0967,0.9048
252,0.2151,-0.2598,1.0259
253,-0.0173,-0.3091,1.2258
254,-0.2854,-0.3594,1.0208
255,-0.3923,0.0520,0.9973
256,-0.2544,0.2410,0.9097
257,0.0308,-0.1504,0.8591
258,0.2610,0.0955,1.1763
259,0.3467,0.1726,0.8804
260,0.1470,0.0095,0.7864
261,-0.0244,0.1660,1.0093
262,-0.1157,0.0886,0.8394
263,-0.1472,-0.0728,1.0959
264,-0.0122,-0.3364,1.0911
265,0.0234,-0.2107,0.9983
266,0.0952,0.0137,1.0679
267,0.0591,-0.0537,0.9368
268,0.0242,-0.1719,1.0718
269,0.0955,0.0723,1.0237
270,0.1094,-0.0432,0.7737
271,-0.0278,0.3716,1.0063
272,-0.1624,0.1094,0.7866
273,-0.1216,-0.1501,1.0337
274,-0.0339,-0.2224,1.0903
275,0.0042,-0.1907,1.0063
276,0.0146,0.1648,1.0745
277,-0.0723,-0.3032,0.8596
278,-0.1101,-0.1567,1.1780
279,-0.0400,0.0947,0.9370
