Sample,X,Y,Z
0,0.0505,0.0481,0.9778
1,0.0444,-0.0515,0.9771
2,0.0225,-0.0552,1.0054
3,0.0081,-0.0178,0.9917
4,-0.0193,0.0286,0.9888
5,-0.0391,-0.0193,0.9731
6,-0.0457,-0.0435,0.9829
7,-0.0017,-0.0193,0.9810
8,0.0068,0.0164,0.9602
9,0.0176,0.0798,0.9817
10,0.0105,0.0198,0.9553
11,-0.0051,-0.0337,0.9905
12,-0.0330,-0.0098,1.0063
13,-0.0063,-0.0093,0.9692
14,0.0020,-0.0396,0.9917
15,-0.0095,-0.0574,1.0120
16,0.0134,-0.0378,0.9846
17,0.0161,-0.0303,0.9692
18,-0.0046,0.0356,0.9963
19,-0.0112,0.0383,0.9622
20,-0.0151,-0.0129,0.9534
21,-0.0154,0.0247,0.9927
22,-0.0154,0.0337,0.9622
23,0.0005,0.0195,0.9790
24,0.0007,-0.0105,0.9937
25,-0.0127,-0.0603,0.9915
26,0.0090,-0.0503,1.0066
27,0.0020,-0.0425,0.9944
28,-0.0061,-0.0276,0.9897
29,0.0142,-0.0415,0.9800
30,0.0010,0.0325,0.9768
31,-0.0203,0.0527,0.9658
32,-0.0308,0.0352,0.9644
33,-0.0208,-0.0298,0.9790
34,-0.0125,-0.0127,0.9927
35,0.0110,-0.0056,0.9663
36,0.0474,0.0422,0.9937
37,0.0229,-0.0144,0.9761
38,-0.0134,-0.0474,1.0071
39,-0.0239,-0.0291,1.0024
40,-0.0413,-0.0247,0.9788
41,-0.0227,-0.0366,0.9888
42,-0.0049,-0.0027,0.9846
43,0.0095,-0.0046,0.9507
44,0.0078,0.0176,0.9858
45,0.0044,-0.0200,0.9719
46,0.0002,-0.0378,0.9729
47,0.0110,0.0007,0.9778
48,-0.0100,0.0547,0.9780
49,-0.0242,0.0298,0.9758
50,-0.0269,-0.0046,0.9937
51,-0.0200,-0.0220,1.0063
52,-0.0078,-0.0024,0.9983
53,0.0034,-0.0293,0.9983
54,0.0374,-0.0310,0.9866
55,0.0203,-0.0439,0.9827
56,0.0203,-0.0083,0.9719
57,-0.0474,-0.0137,0.9641
58,-0.0388,-0.0332,0.9644
59,-0.0439,-0.0068,0.9771
60,0.0007,-0.0112,0.9504
61,0.0039,0.0579,0.9885
62,0.0374,-0.0020,0.9634
63,0.0293,0.0571,1.0161
64,0.0127,-0.0486,0.9739
65,-0.0264,0.0037,1.0381
66,-0.0454,-0.0891,0.9800
67,-0.0149,-0.0042,1.0159
68,-0.0093,-0.0278,0.9666
69,-0.0068,-0.0088,0.9856
70,0.0103,-0.0371,0.9661
71,0.0190,-0.0083,0.9631
72,0.0195,0.0598,0.9788
73,-0.0168,0.0310,0.9302
74,-0.0161,-0.0027,0.9856
75,-0.0386,-0.0090,0.9868
76,-0.0149,-0.0225,0.9849
77,-0.0132,0.0247,1.0044
78,0.0256,-0.0642,0.9983
79,0.0129,-0.0273,1.0229
80,0.0391,-0.0627,0.9700
81,0.0176,0.0537,1.0044
82,-0.0254,-0.0310,0.9468
83,-0.0325,0.0193,0.9878
84,-0.0410,-0.0242,0.9563
85,-0.0281,0.0166,0.9790
86,-0.0132,-0.0125,0.9575
87,0.0312,-0.0078,0.9915
88,0.0381,-0.0320,0.9819
89,0.0100,-0.0281,0.9937
90,0.0093,0.0063,0.9973
91,-0.0356,-0.0354,0.9807
92,-0.0310,0.0183,1.0151
93,-0.0242,-0.0181,0.9573
94,0.0010,0.0342,0.9983
95,0.0286,-0.0071,0.9680
96,0.0212,-0.0178,0.9644
97,0.0034,-0.0549,0.9810
98,-0.0032,0.0244,0.9868
99,-0.0359,-0.0110,0.9663
100,-0.0208,-0.0020,0.9866
101,-0.0120,-0.0398,0.9749
102,-0.0264,-0.0261,1.0005
103,-0.0391,0.0596,0.9917
104,0.0269,0.4282,1.0171
105,0.1086,0.7437,0.9390
106,0.1675,1.0305,0.9250
107,0.0918,1.2280,0.8989
108,0.0193,1.4360,0.8882
109,-0.1318,1.5969,0.8948
110,-0.3103,1.6692,0.9270
111,-0.3228,1.6274,0.9819
112,-0.2795,1.4995,1.0327
113,-0.1973,1.4133,1.0383
114,-0.1189,1.3157,1.0159
115,-0.1272,1.1995,1.0139
116,-0.1873,1.1038,1.0100
117,-0.2791,0.7981,0.9387
118,-0.3093,0.6445,1.0317
119,-0.2893,0.4749,0.9631
120,-0.0811,0.4260,0.8831
121,0.1804,0.1909,0.9243
122,0.4072,0.0815,0.9836
123,0.6526,-0.0386,0.9087
124,0.7710,0.1235,0.9983
125,0.6685,0.1077,1.0120
126,0.4124,0.2329,1.0112
127,0.1470,0.4216,0.9592
128,-0.1111,0.8030,0.9934
129,-0.3401,0.8853,0.7456
130,-0.3157,1.1255,1.0366
131,-0.2183,1.0688,0.9595
132,-0.1472,0.5491,1.0657
133,-0.0713,0.8169,1.1997
134,-0.0471,0.9045,0.8254
135,-0.1470,1.4097,0.9644
136,-0.3135,1.2454,0.9329
137,-0.4536,0.7749,1.0044
138,-0.4673,0.7524,1.0376
