Sample,X,Y,Z
0,-0.0444,-0.0049,0.9924
1,-0.0317,-0.0640,0.9731
2,-0.0078,-0.0054,1.0054
3,-0.0010,0.0222,0.9797
4,0.0225,-0.0071,0.9819
5,0.0403,-0.0054,0.9729
6,0.0200,-0.0291,0.9563
7,-0.0146,0.0303,1.0032
8,-0.0208,0.0239,0.9683
9,-0.0352,-0.0381,0.9749
10,-0.0308,-0.0327,1.0024
11,-0.0037,-0.0288,0.9543
12,0.0303,-0.0056,0.9778
13,0.0259,-0.0166,0.9836
14,0.0142,-0.0103,0.9927
15,-0.0132,0.0278,0.9966
16,-0.0195,-0.0139,0.9670
17,-0.0369,-0.0127,0.9839
18,-0.0261,-0.0139,0.9651
19,-0.0137,-0.0042,0.9758
20,0.0310,0.0208,0.9849
21,0.0364,-0.0129,0.9780
22,0.0496,-0.0034,1.0051
23,0.0264,-0.0271,0.9741
24,-0.0061,-0.0237,0.9768
25,-0.0527,-0.0508,0.9905
26,-0.0737,-0.0479,0.9836
27,-0.0745,-0.0176,0.9907
28,-0.0090,0.0405,0.9644
29,0.0374,0.0110,0.9546
30,0.0669,0.0310,0.9934
31,0.0913,-0.0078,0.9827
32,0.0525,-0.0251,0.9819
33,-0.0266,0.0310,0.9985
34,-0.0872,-0.0059,0.9758
35,-0.0881,-0.0493,0.9817
36,-0.0735,-0.0549,0.9817
37,0.0015,-0.0403,0.9875
38,0.0532,-0.0020,0.9868
39,0.0750,0.0168,0.9663
40,0.0364,0.0190,0.9683
41,0.0068,0.0229,0.9934
42,-0.0212,-0.0381,0.9551
43,-0.0334,-0.0479,0.9856
44,-0.0413,0.0134,0.9995
45,-0.0039,0.0059,0.9673
46,-0.0020,-0.0305,0.9917
47,-0.0022,-0.0181,0.9907
48,0.0173,-0.0356,0.9924
49,0.0173,0.0154,0.9961
50,-0.0095,-0.0027,0.9517
51,-0.0100,-0.0208,0.9771
52,-0.0115,-0.0139,0.9771
53,0.0076,0.0076,0.9631
54,0.0020,0.0212,0.9836
55,-0.0051,-0.0005,0.9966
56,-0.0225,-0.0386,0.9670
57,-0.0391,-0.0042,0.9941
58,-0.0020,-0.0010,0.9829
59,0.0276,-0.0376,0.9731
60,0.0254,-0.0334,1.0034
61,0.0295,-0.0178,0.9915
62,0.0125,-0.0212,0.9673
63,-0.0276,0.0144,0.9797
64,-0.0349,0.0037,0.9722
65,-0.0190,-0.0312,0.9817
66,-0.0288,-0.0051,0.9700
67,-0.0034,0.0129,0.9651
68,0.0081,0.0305,0.9858
69,-0.0049,0.0034,0.9780
70,0.0034,0.0085,0.9917
71,0.0256,-0.0486,0.9946
72,0.0017,-0.0811,0.9836
73,-0.0029,-0.0046,1.0159
74,-0.0247,-0.0051,0.9438
75,-0.0222,0.0090,0.9807
76,-0.0078,-0.0308,0.9573
77,-0.0110,-0.0388,1.0129
78,0.0168,0.0430,0.9800
79,0.0425,0.0200,0.9458
80,-0.0005,0.0107,0.9827
81,0.0029,-0.0237,0.9768
82,-0.0042,-0.0012,0.9885
83,-0.0312,0.0430,0.9973
84,-0.0273,-0.0269,0.9592
85,-0.0229,-0.1013,0.9983
86,-0.0327,-0.0132,1.0044
87,0.0154,-0.0105,0.9622
88,0.0249,-0.0032,0.9963
89,0.0361,0.0190,0.9780
90,0.0491,-0.0496,0.9419
91,0.0049,-0.0310,0.9917
92,-0.0342,0.0039,0.9829
93,-0.0469,0.0007,0.9702
94,-0.0393,0.0454,0.9937
95,-0.0193,-0.0173,0.9565
96,0.0195,-0.0005,1.0139
97,0.0442,-0.0251,0.9731
98,0.0195,-0.0200,0.9993
99,-0.0234,0.0244,0.9797
100,-0.0747,0.0115,0.9722
101,-0.0547,-0.0071,0.9924
102,0.0168,-0.0854,0.9722
103,0.0083,0.0049,1.0171
104,0.0178,0.2627,0.9878
105,0.0120,0.2825,0.8596
106,-0.0898,0.3108,0.9436
107,-0.1553,0.3206,0.9407
108,-0.1433,0.3176,0.9485
109,-0.1318,0.3586,1.0374
110,-0.0273,0.2766,1.0081
111,0.1558,0.1953,0.9846
112,0.2610,0.2585,1.0139
113,0.3223,0.3203,0.9673
114,0.2090,0.3950,0.9644
115,0.0061,0.4866,0.9309
116,-0.2024,0.5137,0.8950
117,-0.3982,0.5872,0.9426
118,-0.4246,0.6614,0.9915
119,-0.2576,0.6907,0.9622
120,-0.0298,0.7095,0.9800
121,0.1843,0.7837,0.9507
122,0.3459,0.6997,0.9282
123,0.2944,0.7805,0.9993
124,0.1707,0.7532,0.9534
125,-0.0247,0.7866,0.9937
126,-0.1528,0.8242,1.0200
127,-0.1785,0.7307,0.9329
128,-0.0918,0.7410,1.0022
129,0.0166,0.7039,0.9114
130,0.1230,0.6084,0.9429
131,0.0779,0.5286,1.0071
132,-0.0217,0.3979,1.0054
133,-0.2029,0.3616,0.9944
134,-0.3044,0.2874,0.9993
135,-0.2485,0.1787,0.9897
136,-0.0474,0.1155,0.9500
137,0.1223,0.3467,1.0063
138,0.2620,0.3306,0.9419
139,0.2375,0.1436,0.9399
140,0.0371,0.0859,0.9807
141,-0.1462,0.1147,1.0168
142,-0.1333,0.1116,0.9749
