Sample,X,Y,Z
0,-0.0178,-0.1243,0.9758
1,0.0049,-0.0059,1.0051
2,0.0229,0.0154,0.9553
3,0.0486,0.0156,0.9807
4,0.0144,0.0010,0.9690
5,-0.0176,0.0083,0.9846
6,0.0027,0.0249,0.9653
7,-0.0317,-0.0107,0.9700
8,-0.0271,0.0103,1.0044
9,-0.0056,-0.0537,0.9790
10,0.0054,-0.0247,1.0002
11,0.0046,0.0071,0.9771
12,0.0239,-0.0261,0.9807
13,0.0005,-0.0042,0.9963
14,-0.0017,0.0066,0.9583
15,-0.0090,0.0325,0.9700
16,-0.0271,-0.0149,0.9524
17,-0.0129,-0.0115,0.9915
18,-0.0183,-0.0247,0.9885
19,0.0015,-0.0361,0.9915
20,-0.0208,-0.0315,0.9888
21,-0.0063,-0.0115,0.9917
22,0.0212,0.0051,0.9624
23,0.0251,0.0247,0.9800
24,0.0232,0.0129,0.9614
25,0.0312,0.0022,0.9875
26,0.0034,0.0056,0.9817
27,-0.0378,-0.0078,0.9924
28,-0.0679,-0.0278,0.9839
29,-0.0625,-0.0488,0.9885
30,-0.0237,-0.0369,0.9927
31,0.0283,-0.0186,0.9680
32,0.0437,0.0012,0.9700
33,0.0601,0.0408,0.9768
34,0.0239,0.0151,0.9731
35,-0.0229,-0.0068,0.9973
36,-0.0383,0.0007,0.9778
37,-0.0471,-0.0354,0.9827
38,-0.0295,-0.0139,0.9983
39,-0.0400,-0.0535,0.9875
40,0.0244,0.0093,0.9885
41,0.0481,-0.0049,0.9360
42,0.0396,0.0068,0.9927
43,0.0049,-0.0234,0.9895
44,0.0012,-0.0225,0.9810
45,-0.0349,0.0461,0.9846
46,-0.0359,0.0117,0.9622
47,-0.0386,-0.0166,0.9800
48,-0.0015,-0.0432,0.9800
49,0.0195,0.0068,1.0005
50,0.0352,-0.0151,0.9700
51,0.0283,-0.0022,0.9780
52,-0.0137,-0.0078,0.9819
53,-0.0354,0.0093,0.9937
54,-0.0308,-0.0432,0.9673
55,-0.0505,-0.0327,0.9944
56,-0.0305,-0.0107,0.9797
57,0.0278,0.0029,0.9585
58,0.0190,0.0000,0.9802
59,0.0491,0.0198,0.9927
60,0.0544,-0.0337,0.9548
61,0.0134,-0.0002,1.0022
62,-0.0693,0.0391,0.9885
63,-0.0696,-0.0195,0.9807
64,-0.0696,-0.0601,0.9778
65,-0.0266,-0.0066,1.0090
66,0.0305,0.0039,0.9778
67,0.0789,-0.0237,0.9690
68,0.0481,0.0151,0.9868
69,0.0176,-0.0090,0.9612
70,-0.0076,0.0129,0.9761
71,-0.0474,0.0181,0.9653
72,-0.0381,0.0347,1.0042
73,-0.0388,-0.0623,0.9817
74,-0.0215,-0.0349,1.0161
75,0.0181,-0.0361,0.9624
76,-0.0020,-0.0088,1.0032
77,0.0220,-0.0173,0.9790
78,0.0125,-0.0178,0.9800
79,0.0037,0.0110,0.9651
80,-0.0032,0.0327,0.9624
81,-0.0466,0.0042,0.9771
82,-0.0107,-0.0051,0.9807
83,-0.0205,-0.0298,0.9885
84,0.0188,0.0164,1.0022
85,0.0308,-0.0164,0.9673
86,0.0330,-0.0093,1.0122
87,-0.0061,-0.0337,0.9758
88,-0.0344,-0.0164,0.9778
89,-0.0518,0.0261,0.9771
90,-0.0386,-0.0046,0.9573
91,-0.0007,0.0015,0.9905
92,0.0261,-0.0488,0.9741
