Sample,X,Y,Z
0,-0.0432,0.0042,0.9956
1,-0.0593,0.0002,0.9690
2,-0.0054,-0.0088,0.9673
3,0.0098,0.0405,0.9954
4,0.0137,-0.0479,0.9780
5,0.0330,-0.0542,0.9924
6,0.0149,0.0068,0.9797
7,-0.0210,0.0264,0.9927
8,-0.0332,-0.0312,0.9778
9,-0.0251,-0.0410,0.9905
10,0.0017,0.0076,0.9846
11,0.0322,-0.0210,0.9475
12,0.0305,0.0088,0.9790
13,-0.0056,0.0081,0.9731
14,0.0007,-0.0146,0.9680
15,-0.0227,0.0056,0.9856
16,-0.0481,0.0000,0.9954
17,-0.0347,-0.0171,0.9731
18,0.0056,-0.0090,0.9817
19,-0.0149,0.0090,1.0044
20,-0.0112,-0.0229,0.9653
21,0.0183,-0.0325,0.9937
22,0.0518,0.0347,1.0090
23,0.0525,-0.0608,0.9429
24,0.0276,-0.0037,1.0034
25,-0.0034,0.0183,0.9495
26,-0.0784,0.0129,0.9719
27,-0.0959,0.0266,0.9692
28,-0.0735,0.0110,0.9712
29,0.0027,-0.0198,0.9939
30,0.0337,-0.0295,0.9868
31,0.1030,-0.0354,0.9858
32,0.0803,-0.0369,1.0034
33,0.0171,-0.0527,0.9858
34,-0.0315,-0.0039,0.9944
35,-0.0718,0.0046,0.9709
36,-0.0513,0.0503,0.9768
37,-0.0291,0.0540,0.9485
38,-0.0217,0.0190,0.9807
39,0.0017,-0.0020,0.9719
40,0.0576,-0.0293,0.9690
41,0.0322,-0.0178,1.0178
42,-0.0005,-0.0269,0.9856
43,0.0068,-0.0469,0.9692
44,-0.0427,-0.0303,1.0103
45,-0.0649,-0.0144,0.9924
46,-0.0522,-0.0457,0.9478
47,0.0298,0.0085,0.9963
48,0.0352,0.0510,0.9763
49,0.0657,-0.0078,0.9312
50,0.0398,0.0503,0.9937
51,-0.0222,0.0210,0.9709
52,-0.0452,-0.0630,0.9631
53,-0.0925,-0.0312,1.0149
54,-0.0630,0.0027,0.9836
55,-0.0315,-0.0254,0.9800
56,0.0356,0.0151,1.0024
57,0.0500,-0.0081,0.9768
58,0.0801,-0.0244,0.9875
59,0.0293,-0.0090,0.9768
60,0.0098,0.0271,0.9788
61,-0.0530,-0.0286,0.9604
62,-0.0837,-0.0417,0.9895
63,-0.0798,0.0288,0.9817
64,-0.0217,-0.0525,0.9504
65,0.0330,0.0330,1.0063
66,0.0715,-0.0146,0.9507
67,0.0432,0.0303,1.0142
68,0.0137,-0.0093,0.9663
69,-0.0234,0.0059,1.0051
70,-0.0508,-0.0344,0.9924
71,-0.0627,-0.0210,0.9856
72,-0.0461,-0.0146,0.9731
73,0.0208,-0.0249,0.9778
74,0.0254,0.0000,0.9807
75,0.0493,-0.0503,0.9604
76,0.0225,0.0217,0.9868
77,0.0066,0.0144,0.9673
78,-0.0310,0.0317,0.9771
79,-0.0674,-0.0483,0.9731
80,-0.0498,-0.0071,1.0051
81,-0.0376,-0.0122,0.9741
82,0.0325,0.0154,0.9963
83,0.0237,-0.0066,0.9888
84,0.0566,-0.0632,0.9895
85,0.0281,-0.0076,0.9956
86,0.0122,0.0315,0.9712
87,-0.0547,0.0115,0.9641
88,-0.0479,-0.0767,0.9690
89,-0.0564,0.0232,1.0056
90,-0.0068,-0.0239,0.9387
91,0.0398,0.0549,0.9780
92,0.0256,-0.0269,0.9907
93,0.0215,0.0215,1.0132
94,0.0039,-0.0852,0.9436
95,-0.0010,0.0649,1.0334
96,-0.0510,-0.0215,0.9602
97,-0.0366,-0.0078,0.9966
98,-0.0066,-0.0376,0.9761
99,-0.0022,0.0146,1.0061
100,0.0151,-0.0496,0.9622
101,0.0051,0.0166,0.9917
102,0.0198,-0.0273,0.9612
103,-0.0361,0.0562,0.9973
104,-0.0264,0.2336,0.9719
105,-0.0798,0.3809,0.9478
106,-0.0554,0.3682,0.9573
107,-0.0986,0.3308,0.9661
108,-0.0205,0.4370,0.9868
109,-0.0349,0.5208,0.9524
110,0.0066,0.4282,0.9536
111,0.0034,0.3364,1.0210
112,-0.0305,0.2654,1.0051
113,-0.0066,0.2800,1.0071
114,-0.0454,0.3125,0.9897
115,-0.0684,0.2439,0.9719
116,-0.0999,0.2700,0.9966
117,-0.1118,0.3677,0.9712
118,-0.0464,0.5444,0.9370
119,0.0227,0.7061,0.9233
120,0.0505,0.7522,0.9143
121,0.0083,0.7466,0.9438
122,-0.0457,0.7729,0.9673
123,-0.0640,0.8088,0.9788
124,-0.0400,0.7458,1.0276
125,0.0073,0.7104,1.0435
126,0.1357,0.6868,1.0208
127,0.1853,0.7991,1.0325
128,0.1067,0.7671,0.9575
129,0.0088,0.7092,0.9446
130,-0.1252,0.5806,0.9399
131,-0.1956,0.4673,0.9409
132,-0.1475,0.3232,0.9380
133,-0.0176,0.3479,0.9856
134,0.2009,0.2109,0.9429
135,0.3003,0.2344,1.0344
136,0.2454,0.0923,0.9565
137,0.0586,0.1042,1.0149
138,-0.1118,0.2510,1.0005
139,-0.2397,0.3115,0.9265
140,-0.3025,0.3079,0.9998
141,-0.2263,0.2527,0.9495
142,-0.0500,0.4661,0.9749
143,0.0845,0.3328,0.9065
144,0.0564,0.1272,1.0208
145,0.0310,-0.1296,1.0120
146,-0.1008,0.0479,1.0835
147,-0.1067,0.2456,0.9761
148,-0.0476,0.2942,0.9270
149,0.1550,0.3792,1.0002
150,0.2056,0.4446,0.9309
151,0.1421,0.5425,0.9087
152,-0.0305,0.5952,0.9312
153,-0.1765,0.5481,0.9719
154,-0.1704,0.4380,0.9976
155,-0.1187,0.3169,0.9692
156,-0.0735,0.3186,1.0300
157,0.0232,0.2991,0.9963
158,0.0068,0.2300,1.0054
159,0.0132,0.3972,1.0569
160,0.0725,0.5242,0.8967
161,0.1304,0.6614,0.9348
162,0.0303,0.6790,0.9045
163,-0.1187,0.5806,0.9233
164,-0.2136,0.4771,0.9297
165,-0.1470,0.5298,0.9829
166,-0.0522,0.4263,1.0176
167,0.1006,0.3545,1.0620
168,0.0984,0.2358,0.9995
169,0.0356,0.5029,1.0396
170,-0.1533,0.6226,0.9155
171,-0.2668,0.5391,0.9673
172,-0.2178,0.3862,1.0151
173,0.0344,-0.0542,0.8733
174,0.1562,0.1980,1.1477
175,0.2458,0.3606,0.8811
176,0.0896,0.4397,0.8840
177,-0.1816,0.1919,0.9722
178,-0.3335,0.2261,1.0767
179,-0.2434,0.1575,0.9221
180,-0.0571,0.5454,1.0396
181,0.1506,0.4473,0.9204
182,0.1675,0.2754,1.0608
183,0.1814,0.2678,0.9788
184,0.1572,0.4126,1.0034
185,0.1250,0.5002,1.0178
186,0.0374,0.2649,0.8811
187,-0.0564,0.1785,1.0103
188,-0.1675,0.1509,1.0347
189,-0.1091,0.2288,0.8625
190,-0.1575,0.5864,0.9409
191,-0.1006,0.5271,0.9622
192,-0.0483,0.3752,0.9270
193,-0.0273,0.5200,0.9819
194,0.0244,0.7244,1.0188
195,0.0251,0.3704,0.9387
196,-0.0151,0.4133,1.1047
197,0.0200,0.5017,0.9885
198,0.0308,0.3560,0.9565
199,0.0811,0.4702,1.0513
200,0.1558,0.5637,0.9221
201,0.1311,0.3535,0.8853
202,-0.0134,0.4832,0.9924
203,-0.0894,0.6016,0.8726
204,-0.2271,0.5815,0.9233
205,-0.2993,0.2939,0.9634
206,-0.1851,0.0579,1.0142
207,-0.2017,-0.2615,1.0405
208,-0.1101,-0.3147,1.1213
209,-0.0244,-0.3540,1.0579
210,0.0081,-0.4858,1.0833
211,0.1282,-0.7507,0.9683
212,0.1479,-0.7632,1.0242
213,0.1885,-0.6152,0.9192
214,0.1819,-0.2478,0.8345
215,0.3086,-0.2607,0.8501
216,0.3027,-0.2871,0.9583
217,0.2698,-0.4128,0.9214
218,0.0740,-0.3164,0.9866
219,-0.1387,-0.0239,1.0630
220,-0.2449,0.1829,0.9641
221,-0.3584,0.0544,1.0803
222,-0.2073,0.2727,1.0588
223,-0.0769,0.5825,0.9683
224,0.1050,0.7952,0.9983
225,0.1729,0.7639,0.9407
226,0.1895,0.6870,0.9272
227,0.0254,0.5552,0.9116
228,-0.1328,0.4604,0.9827
229,-0.2039,0.3088,0.8977
230,-0.1042,0.2883,0.9885
231,0.0408,0.2581,1.0178
232,0.1753,-0.0190,0.8586
233,0.2200,0.3110,1.0815
234,0.1089,0.0657,0.9065
235,-0.0862,-0.2317,1.0872
236,-0.1245,-0.3376,1.1421
