Sample,X,Y,Z
0,-0.2036,0.0146,0.9839
1,-0.1904,-0.0105,0.9602
2,-0.1191,-0.0452,1.0032
3,0.0432,0.0002,0.9983
4,0.1680,-0.0938,0.9575
5,0.2073,-0.0054,1.0249
6,0.1470,0.0334,0.9612
7,0.0007,-0.0347,0.9478
8,-0.1521,-0.0071,0.9934
9,-0.2048,-0.0037,0.9543
10,-0.1604,-0.0010,0.9849
11,-0.0637,0.0454,1.0054
12,0.0833,0.0293,0.9817
13,0.1870,-0.0557,0.9663
14,0.1714,-0.0144,0.9954
15,0.0979,0.0308,0.9751
16,-0.0139,0.0054,0.9690
17,-0.1619,-0.0286,1.0012
18,-0.2002,-0.0283,0.9934
19,-0.1414,-0.0664,0.9797
20,-0.0166,-0.0239,0.9751
21,0.1150,0.0115,0.9583
22,0.1929,0.0178,0.9827
23,0.1670,0.0144,0.9780
24,0.0640,-0.0364,0.9624
25,-0.0750,0.0303,1.0276
26,-0.1753,0.0166,0.9644
27,-0.1917,-0.0645,0.9592
28,-0.1050,-0.0139,1.0161
29,0.0229,0.0066,0.9546
30,0.1443,0.0068,0.9927
31,0.1726,0.0425,1.0103
32,0.1045,-0.0005,0.9836
33,0.0146,-0.0251,0.9575
34,-0.0957,-0.0605,0.9778
35,-0.1541,-0.0188,0.9897
36,-0.0950,-0.0457,0.9788
37,-0.0276,-0.0347,0.9651
38,0.0166,0.0632,1.0120
39,0.1050,-0.0029,0.9397
40,0.0955,-0.0142,0.9839
41,0.0327,0.0676,1.0034
42,-0.0308,-0.0156,0.9497
43,-0.0891,-0.0037,1.0295
44,-0.1226,-0.0647,0.9634
45,-0.0454,-0.0569,1.0042
46,0.0581,-0.0103,0.9709
47,0.0989,0.0212,0.9709
48,0.1118,0.0164,0.9983
49,0.0347,-0.0598,0.9614
50,-0.0769,-0.0076,0.9995
51,-0.1079,0.0183,0.9536
52,-0.0854,0.0034,0.9612
53,-0.0752,0.0342,0.9905
54,0.0432,-0.0215,0.9631
55,0.0781,-0.0371,0.9907
56,0.0659,0.0112,1.0276
57,0.0603,-0.0200,0.9663
58,-0.0068,-0.0608,0.9878
59,-0.0557,0.0217,0.9875
60,-0.0569,-0.0256,0.9495
61,-0.0457,-0.0144,0.9897
62,-0.0220,0.0344,0.9927
63,0.0303,-0.0283,0.9507
64,0.0356,-0.0032,1.0042
65,0.0269,0.0239,0.9729
66,0.0396,-0.0459,0.9543
67,0.0044,-0.0437,1.0171
68,-0.0430,0.0046,0.9866
69,-0.0483,-0.0049,0.9688
70,-0.0752,0.0459,1.0139
71,-0.0166,0.0115,0.9333
72,0.0142,-0.0215,0.9866
73,0.0803,0.0103,1.0005
74,0.0898,-0.0671,0.9507
75,0.0012,-0.0337,1.0288
76,-0.0881,0.0063,0.9868
77,-0.0791,-0.0842,0.9368
78,-0.0803,-0.0469,1.0198
79,0.0330,0.0110,0.9644
80,0.1025,0.0298,0.9565
81,0.0969,0.0886,0.9856
82,0.0444,0.0627,0.9495
83,-0.0625,-0.0151,0.9973
84,-0.1450,0.0000,1.0198
85,-0.0923,-0.1113,0.9670
86,-0.0654,-0.1245,1.0159
87,0.0295,-0.0010,1.0015
88,0.1279,0.0073,0.9465
89,0.0889,-0.0039,0.9807
90,0.0547,0.0173,0.9875
91,0.0442,0.0012,0.9312
92,-0.0640,0.0630,0.9995
93,-0.1133,0.0845,0.9663
94,-0.1033,-0.0715,0.9536
95,-0.0774,-0.0679,1.0093
96,0.0146,-0.0312,1.0044
97,0.1172,-0.0349,1.0022
98,0.1335,0.0090,1.0200
99,0.1104,-0.0298,0.9436
100,-0.0129,-0.0413,0.9797
101,-0.1228,0.0488,0.9885
102,-0.1614,0.0381,0.9319
103,-0.2043,0.0073,0.9993
104,-0.1406,0.2107,1.0208
105,0.0310,0.2117,0.8811
106,0.0989,0.2454,0.9507
107,0.0444,0.3101,0.9888
108,0.0549,0.2087,0.9485
109,-0.0371,0.2168,1.0396
110,-0.0852,0.2437,1.0200
111,-0.0256,0.1482,0.9758
112,0.0190,0.1440,1.0200
113,0.0881,0.2507,0.9661
114,0.1584,0.3315,0.9038
115,0.1313,0.5139,0.9495
116,0.0920,0.5310,0.8921
117,0.0027,0.5298,0.9644
118,-0.1589,0.6653,1.0110
119,-0.2317,0.6692,0.9426
120,-0.2427,0.5620,0.9585
121,-0.2432,0.6265,0.9937
122,-0.1086,0.6851,0.9536
123,0.0293,0.6323,0.9790
124,0.0754,0.7388,1.0249
125,0.0811,0.8508,0.9885
126,0.0776,0.9380,0.9312
127,0.0469,0.9731,0.9175
128,0.0564,1.0542,0.9399
129,0.1335,0.8433,0.9253
130,0.1487,0.8833,1.0181
131,0.0747,0.7678,0.9631
132,-0.0964,0.7083,1.0051
133,-0.2632,0.4946,0.9614
134,-0.3696,0.4849,0.9995
135,-0.3267,0.4214,0.9800
136,-0.0959,0.3157,1.0071
137,0.2288,0.3071,1.0083
138,0.4028,0.1978,0.9377
139,0.3696,0.2034,1.0061
140,0.1360,0.0144,0.8970
141,-0.1707,-0.0811,0.9614
142,-0.3545,0.0439,0.9954
143,-0.3010,0.0266,0.9907
144,-0.0767,-0.0168,1.0210
145,0.1328,-0.0349,1.0190
146,0.2395,0.0144,0.9604
147,0.1787,0.1809,0.9534
148,0.0327,0.1978,0.8979
149,-0.0994,0.1975,0.9788
150,-0.1873,0.1846,1.0132
151,-0.1921,0.2307,1.0452
152,-0.0845,0.3528,0.9915
153,0.0669,0.3220,0.9182
154,0.1965,0.3931,0.9888
155,0.2100,0.4563,0.9827
156,0.1516,0.6074,0.9370
157,0.0088,0.7522,0.8967
158,-0.0764,0.5549,0.8577
159,-0.1873,0.6438,1.1038
160,-0.1711,0.4504,0.9885
161,-0.1123,0.3840,1.0598
162,-0.0171,0.3987,0.9719
163,0.0347,0.4834,0.9712
164,0.1064,0.6399,1.0374
165,0.0911,0.6096,0.9534
166,-0.0303,0.6069,0.9321
167,-0.1980,0.4587,0.8508
168,-0.2119,0.6829,0.9797
169,-0.1255,0.6929,0.9409
170,0.0034,0.4207,1.0217
171,0.1370,0.1675,1.0266
172,0.1111,0.2234,1.0393
173,0.0183,0.0957,1.0317
174,0.0574,0.4644,1.0503
175,-0.0518,0.4255,0.8118
176,-0.1750,0.3484,0.9348
177,-0.2534,0.3176,1.0413
178,-0.1516,0.3843,0.8843
179,-0.0212,0.5542,0.8599
180,0.0830,0.4749,0.9690
181,0.2170,0.2744,1.0796
182,0.1997,0.0552,1.0591
183,0.0933,0.0740,1.0044
184,-0.0183,0.1589,1.0552
185,-0.1367,0.3372,1.0051
