Sample,X,Y,Z
0,-0.0835,-0.0015,0.9575
1,-0.0627,-0.0552,0.9614
2,-0.0520,0.0198,0.9927
3,0.0010,-0.0063,0.9807
4,0.0747,-0.0339,0.9856
5,0.0947,-0.0320,0.9846
6,0.0381,0.0205,0.9895
7,-0.0244,-0.0291,0.9788
8,-0.0867,-0.0291,0.9885
9,-0.0918,-0.0081,0.9624
10,-0.0442,0.0159,0.9885
11,0.0242,0.0498,0.9683
12,0.0796,-0.0073,0.9709
13,0.0828,-0.0178,0.9788
14,0.0378,0.0024,0.9966
15,-0.0090,-0.0120,0.9712
16,-0.0513,-0.0403,0.9878
17,-0.1047,-0.0552,0.9917
18,-0.0828,0.0312,1.0063
19,-0.0254,-0.0220,0.9456
20,0.0012,0.0090,1.0012
21,0.0747,-0.0115,0.9856
22,0.1248,-0.0474,0.9419
23,0.0781,0.0298,0.9937
24,0.0017,0.0466,0.9836
25,-0.0542,-0.0488,0.9624
26,-0.1067,-0.0701,0.9954
27,-0.1318,-0.0007,1.0061
28,-0.0366,0.0063,0.9749
29,0.0505,0.0247,0.9553
30,0.0593,0.0366,0.9934
31,0.0671,0.0266,0.9966
32,0.0747,-0.0522,0.9587
33,-0.0046,-0.0376,1.0015
34,-0.0605,-0.0007,0.9856
35,-0.0591,-0.0320,0.9739
36,-0.0442,-0.0154,0.9614
37,-0.0420,-0.0063,0.9797
38,0.0305,-0.0051,0.9917
39,0.0649,-0.0171,0.9622
40,0.0381,0.0283,0.9927
41,0.0002,0.0632,0.9915
42,-0.0254,-0.0249,0.9651
43,-0.0583,-0.0071,0.9954
44,-0.0554,-0.0222,0.9800
45,-0.0010,-0.0339,0.9839
46,0.0327,-0.0007,0.9888
47,0.0493,-0.0107,0.9771
48,0.0239,-0.0295,0.9800
49,0.0078,-0.0459,0.9807
50,-0.0378,-0.0161,0.9641
51,-0.0562,-0.0054,0.9915
52,-0.0383,0.0054,0.9800
53,-0.0095,0.0078,0.9741
54,-0.0034,0.0686,0.9839
55,0.0254,0.0083,0.9749
56,0.0510,-0.0090,0.9751
57,0.0339,-0.0439,0.9634
58,-0.0005,0.0569,1.0178
59,-0.0391,-0.0088,0.9592
60,-0.0605,-0.0840,0.9944
61,-0.0344,-0.0723,1.0022
62,-0.0122,-0.0383,0.9849
63,0.0186,0.0393,0.9868
64,0.0186,0.0154,0.9663
65,0.0356,-0.0034,0.9739
66,0.0198,-0.0151,0.9739
67,0.0061,0.0264,0.9751
68,-0.0173,-0.0044,0.9631
69,-0.0476,-0.0254,0.9749
70,-0.0725,0.0181,1.0122
71,-0.0317,0.0081,0.9751
72,0.0356,-0.0076,0.9827
73,0.0544,0.0007,0.9849
74,0.0574,-0.0151,0.9927
75,0.0332,0.0007,0.9937
76,-0.0229,-0.0139,0.9829
77,-0.0520,-0.0605,0.9768
78,-0.0767,-0.0645,0.9915
79,-0.0513,-0.0208,0.9595
80,-0.0164,0.0320,0.9534
81,0.0271,0.0361,0.9622
82,0.0496,0.0227,0.9836
83,0.0774,0.0146,0.9963
84,0.0474,-0.0061,0.9741
