Sample,X,Y,Z
0,-0.0352,0.0403,0.9546
1,-0.0337,-0.0066,0.9709
2,-0.0249,-0.0093,1.0159
3,-0.0024,-0.0188,0.9749
4,0.0493,0.0337,0.9878
5,0.0442,-0.0181,0.9800
6,0.0276,-0.0229,1.0044
7,-0.0239,-0.0574,0.9739
8,-0.0361,-0.0134,0.9817
9,-0.0645,0.0098,0.9722
10,-0.0537,-0.0432,0.9680
11,0.0056,-0.0090,0.9895
12,0.0508,0.0276,0.9683
13,0.0630,0.0845,0.9700
14,0.0293,-0.0208,0.9797
15,0.0061,-0.0308,1.0100
16,-0.0527,-0.0063,0.9888
17,-0.0659,-0.0059,0.9780
18,-0.0420,-0.0422,0.9966
19,-0.0364,-0.0906,1.0044
20,0.0232,-0.0459,0.9937
21,0.0354,-0.0208,0.9546
22,0.0466,0.0925,0.9915
23,0.0295,0.0217,0.9543
24,0.0156,0.0037,0.9797
25,-0.0356,0.0161,0.9829
26,-0.0598,0.0264,0.9634
27,-0.0325,0.0032,0.9839
28,-0.0457,-0.0786,1.0149
29,0.0112,-0.0435,1.0188
30,0.0454,-0.0679,0.9497
31,0.0508,0.0508,1.0181
32,-0.0110,-0.0002,0.9683
33,-0.0205,-0.0500,0.9585
34,-0.0393,0.0173,1.0129
35,-0.0457,0.0273,0.9722
36,-0.0098,-0.0024,0.9622
37,0.0139,-0.0564,0.9915
38,0.0708,-0.0205,1.0002
39,0.0452,-0.0315,0.9478
40,-0.0059,0.0149,1.0002
41,-0.0322,0.0083,0.9673
42,-0.0679,-0.0083,0.9807
43,-0.0686,0.0200,1.0042
44,-0.0408,-0.0083,0.9604
45,0.0273,0.0005,0.9976
46,0.0479,-0.0544,1.0005
47,0.0891,-0.0010,0.9817
48,0.0129,-0.0317,0.9722
49,-0.0310,-0.0044,1.0151
50,-0.0535,-0.0735,0.9485
51,-0.0708,-0.0378,1.0093
52,-0.0337,0.0261,0.9800
53,0.0339,0.0054,0.9292
54,0.0786,0.0801,0.9946
55,0.0383,0.0059,0.9612
56,0.0044,0.0359,0.9712
57,-0.0522,-0.0439,0.9768
58,-0.0645,-0.0356,1.0269
59,-0.0444,-0.0820,0.9739
60,-0.0259,-0.0398,0.9985
61,0.0208,0.0198,1.0051
62,0.0435,-0.0161,0.9585
63,0.0535,-0.0276,0.9993
64,0.0408,0.0166,0.9797
65,-0.0012,-0.0139,0.9565
66,-0.0061,0.0183,0.9836
67,-0.0645,-0.0132,0.9565
68,-0.0647,0.0474,0.9875
69,-0.0491,-0.0500,0.9651
70,-0.0122,-0.0105,1.0012
71,0.0483,-0.0100,0.9778
72,0.0688,-0.0237,0.9817
73,0.0474,-0.0205,1.0042
74,0.0022,-0.0369,0.9741
75,-0.0398,0.0034,0.9849
76,-0.0803,0.0225,0.9849
77,-0.0537,0.0085,0.9810
78,-0.0129,-0.0747,0.9856
79,0.0303,-0.0166,1.0054
80,0.0576,-0.0122,0.9436
81,0.0278,0.0378,0.9956
82,0.0405,0.0156,0.9612
83,-0.0183,0.0027,0.9763
84,-0.0522,-0.0117,0.9917
85,-0.0430,-0.0476,0.9731
86,-0.0198,-0.0073,0.9956
87,0.0381,-0.0391,0.9810
88,-0.0002,0.0222,0.9868
89,0.0264,-0.0039,0.9683
90,-0.0125,0.0305,1.0061
91,-0.0144,-0.0337,0.9768
92,-0.0391,-0.0459,0.9875
93,-0.0054,-0.0432,0.9885
94,0.0203,-0.0083,0.9761
95,0.0188,0.0095,0.9778
96,0.0200,-0.0032,0.9739
97,0.0095,-0.0244,0.9702
98,0.0034,-0.0005,0.9817
99,-0.0303,0.0156,0.9741
100,-0.0422,-0.0125,0.9641
101,-0.0237,-0.0032,0.9973
102,-0.0488,-0.0107,0.9846
103,0.0029,0.0271,0.9973
104,0.0320,0.1873,0.9939
105,0.0413,0.2612,0.9761
106,-0.0081,0.2378,0.9683
107,-0.0767,0.2043,0.9827
108,-0.1177,0.4507,0.9800
109,-0.0750,0.5906,0.9075
110,-0.0488,0.7322,0.9631
111,-0.0632,0.6653,0.9270
112,-0.0056,0.6213,0.9651
113,-0.0400,0.6917,1.0071
114,-0.0239,0.6614,0.9299
115,-0.0217,0.6631,0.9819
116,-0.0625,0.5654,1.0239
117,-0.1230,0.5122,0.9937
118,-0.1636,0.4937,0.9888
119,-0.1765,0.4846,0.9993
120,-0.0979,0.4768,0.9670
121,-0.0298,0.5042,0.9622
122,-0.0020,0.5530,0.9700
123,0.0173,0.5037,0.9319
124,-0.0137,0.4680,0.9836
125,0.0288,0.4446,0.9875
126,0.1658,0.4585,0.9702
127,0.2964,0.4373,0.9963
128,0.3281,0.2493,1.0090
129,0.2688,0.1094,0.9829
130,0.0964,0.0500,0.9780
131,-0.1267,0.2195,0.9924
132,-0.2000,0.1965,0.8872
133,-0.1951,0.3223,0.9905
134,-0.0117,0.2922,0.9719
135,0.1782,0.3069,0.9465
