Sample,X,Y,Z
0,-0.0723,0.0005,0.9966
1,-0.0195,-0.0684,0.9514
2,-0.0193,-0.0625,0.9907
3,0.0139,0.0339,0.9788
4,0.0500,-0.0002,0.9299
5,0.0508,0.0654,1.0022
6,0.0166,0.0383,0.9507
7,-0.0176,-0.0415,0.9819
8,-0.0361,-0.0139,1.0042
9,-0.0542,-0.0264,0.9583
10,-0.0242,0.0310,1.0259
11,0.0002,-0.0591,0.9631
12,0.0107,-0.0398,1.0061
13,0.0352,-0.0032,0.9797
14,0.0474,0.0190,0.9800
15,0.0393,0.0491,0.9751
16,0.0061,-0.0513,0.9475
17,-0.0605,0.0198,1.0073
18,-0.0637,-0.0142,0.9487
19,-0.0735,-0.0100,0.9800
20,-0.0288,-0.0254,0.9946
21,0.0452,-0.0686,0.9641
22,0.0793,0.0156,1.0100
23,0.0833,0.0662,0.9790
24,0.0625,0.0024,0.9644
25,-0.0273,-0.0283,0.9895
26,-0.1052,-0.0159,0.9871
27,-0.1091,-0.0356,0.9819
28,-0.0369,-0.0366,0.9719
29,0.0195,0.0349,0.9661
30,0.0925,0.0220,0.9700
31,0.1123,0.0452,1.0015
32,0.0693,-0.0144,0.9507
33,-0.0361,-0.0320,0.9888
34,-0.1023,-0.0425,0.9954
35,-0.1365,-0.0515,0.9614
36,-0.1074,0.0178,1.0034
37,0.0071,0.0146,0.9780
38,0.1299,-0.0256,0.9653
39,0.1758,0.0256,0.9993
40,0.1560,0.0544,0.9817
41,0.0688,-0.0027,0.9583
42,-0.1309,-0.0144,0.9719
43,-0.2490,-0.0222,0.9875
44,-0.2080,-0.0786,0.9563
45,-0.1116,-0.0093,1.0015
46,0.0762,0.0649,0.9897
47,0.2249,-0.0457,0.9712
48,0.2354,-0.0430,1.0051
49,0.1619,0.0117,0.9585
50,-0.0103,0.0396,0.9604
51,-0.1863,0.0295,0.9856
52,-0.2332,-0.0635,0.9456
53,-0.2124,-0.0266,1.0229
54,-0.0898,0.0400,0.9917
55,0.1116,-0.0063,0.9663
56,0.2012,-0.0129,1.0032
57,0.2129,-0.0398,0.9741
58,0.1348,0.0122,0.9836
59,0.0054,-0.0056,0.9692
60,-0.1353,-0.0139,0.9585
61,-0.2319,-0.0391,0.9758
62,-0.2146,0.0254,0.9946
63,-0.0774,0.0327,0.9683
64,0.1155,0.0247,0.9790
65,0.2188,-0.0159,0.9866
66,0.2166,0.0071,1.0024
67,0.1106,0.0088,0.9810
68,-0.0605,-0.0195,0.9670
69,-0.2268,-0.0793,0.9556
70,-0.2490,-0.0483,0.9866
71,-0.1230,-0.0154,1.0024
72,0.0754,0.0400,0.9917
73,0.2061,0.0344,0.9702
74,0.2036,0.0452,0.9895
75,0.1189,0.0159,0.9709
76,-0.0095,-0.0303,0.9377
77,-0.1621,-0.0259,0.9934
78,-0.2178,-0.0181,0.9912
79,-0.1689,-0.0549,0.9973
80,-0.0427,-0.0261,0.9993
81,0.0933,-0.0039,0.9722
82,0.1982,0.0315,0.9709
83,0.1987,0.0391,0.9729
84,0.1030,0.0439,0.9690
85,-0.0876,-0.0198,0.9915
86,-0.1772,-0.0168,0.9766
87,-0.2097,-0.0593,0.9644
88,-0.1582,0.0315,1.0178
89,0.0283,-0.0244,0.9517
90,0.1692,-0.0457,0.9927
91,0.1919,0.0171,1.0208
92,0.1582,0.0266,0.9722
93,0.0200,0.0007,0.9858
94,-0.1257,0.0063,0.9729
95,-0.2014,-0.0569,0.9419
96,-0.1716,-0.0205,1.0012
97,-0.0195,0.0498,0.9712
98,0.0898,0.0466,0.9749
99,0.1475,0.0154,1.0090
100,0.1340,-0.0356,1.0010
101,0.0808,0.0044,0.9797
102,-0.0801,-0.0217,0.9778
103,-0.2048,0.0476,1.0334
104,-0.2292,0.1799,0.9592
105,-0.1482,0.3840,0.9094
106,-0.0459,0.4543,0.8938
107,0.0588,0.5422,0.9368
108,0.1301,0.6462,0.9446
109,0.1047,0.7600,1.0051
110,0.0076,0.6497,0.9822
111,-0.1152,0.5461,1.0071
112,-0.2122,0.4956,0.9907
113,-0.1626,0.4863,0.9927
114,-0.0374,0.5969,0.9358
115,0.1128,0.5884,0.9741
116,0.1147,0.7251,0.9731
117,0.0925,0.6223,1.0364
118,-0.0540,0.7173,1.0015
119,-0.1440,0.8354,0.9165
120,-0.1255,0.9058,0.9136
121,0.0720,0.9124,0.9651
122,0.2720,1.0325,0.9836
123,0.4048,0.9622,0.9202
124,0.3303,1.1470,0.9907
125,0.0959,1.2974,0.9731
126,-0.2378,1.1343,0.9253
127,-0.4614,0.9917,1.0728
128,-0.4832,0.9514,0.9885
129,-0.3062,1.0493,0.9497
130,-0.0161,1.0913,0.9912
131,0.2048,0.7629,0.8860
132,0.2354,0.6487,1.0051
133,0.1123,0.6243,0.9729
134,-0.0317,0.3840,0.9182
135,-0.2261,0.4194,1.0435
136,-0.2729,0.2827,0.9771
137,-0.1218,0.1934,0.9653
138,0.0234,0.1216,0.9663
139,0.1899,0.0969,0.9573
140,0.2610,0.1189,0.9885
141,0.1804,0.3025,0.9905
142,0.0366,0.3062,0.9692
143,-0.1028,0.1614,0.9622
144,-0.1548,0.1758,0.9456
145,-0.1104,0.2732,0.9182
146,0.1360,0.6304,1.0317
147,0.2844,0.4351,0.9175
148,0.1860,0.2859,1.0393
149,-0.0603,0.2971,1.0305
150,-0.2158,0.6343,1.0063
151,-0.2737,0.6628,0.9456
152,-0.2769,0.6792,0.9888
153,-0.1252,0.5833,0.8948
154,0.0950,0.3716,0.9829
155,0.0837,0.2742,1.0500
156,-0.0896,-0.0708,0.9895
157,-0.2859,-0.2388,1.0803
158,-0.2556,-0.6206,1.0227
159,0.0352,-0.8357,0.9683
160,0.3098,-0.8855,0.9380
161,0.4211,-0.8660,0.9360
162,0.3987,-0.6389,0.9731
163,0.1250,-0.4399,0.9124
164,-0.2305,-0.5212,0.9722
165,-0.4106,-0.4666,1.0581
166,-0.2869,-0.2891,0.9944
167,-0.0310,0.1279,1.0366
168,0.2283,0.4026,0.9856
169,0.3362,0.6265,0.9409
170,0.2903,0.6470,0.9067
171,0.0637,1.0842,0.9436
172,-0.2229,1.0142,0.8218
173,-0.4163,1.0842,1.0598
174,-0.3530,0.6108,0.9966
175,-0.1709,0.4612,1.0374
176,0.0374,0.5405,1.0786
177,0.1714,0.4846,0.9788
178,0.1792,0.3889,1.0022
179,-0.0610,-0.0754,0.8774
180,-0.2158,-0.1758,1.0510
181,-0.1050,-0.2932,1.0186
182,0.0125,-0.4497,1.0139
183,0.1133,-0.2717,0.9729
184,0.2434,-0.2185,0.9185
185,0.1638,-0.3369,0.8157
186,-0.1514,-0.1355,0.9795
187,-0.1687,-0.2332,0.9495
188,-0.0627,-0.5659,0.9709
189,0.0791,-0.4829,1.1125
190,0.1431,-0.3286,1.0745
191,0.1577,-0.4617,1.0747
192,-0.0049,-0.3306,1.0540
193,-0.1472,-0.2673,0.8989
194,-0.1243,0.0530,0.9573
195,-0.0361,0.0520,0.9309
196,0.0752,-0.0498,0.9436
197,0.0620,0.1440,1.0122
198,0.0466,0.1836,0.8862
199,-0.0461,0.0959,0.9221
200,-0.1106,-0.0056,1.0259
201,-0.0913,-0.1343,1.0178
202,-0.0547,-0.0630,1.0718
203,-0.0315,0.1606,1.0396
204,0.0024,0.0527,0.9761
205,0.0247,0.0112,1.0481
206,0.1167,0.0647,0.9087
207,0.1653,0.3394,0.9116
208,0.0305,0.2830,0.9250
209,-0.0728,0.3833,1.0591
210,-0.1001,0.2131,0.8882
211,-0.0811,0.0981,0.8530
212,-0.0273,0.1599,1.0034
213,0.1013,0.0254,1.0100
214,0.0938,-0.0671,1.0793
215,0.0020,0.0083,1.0806
216,-0.0593,-0.0776,0.9631
217,-0.1208,-0.1011,0.9700
218,-0.1152,-0.0015,0.9700
219,-0.0520,0.1738,0.9604
220,-0.0310,0.0122,0.8879
221,0.0044,0.0251,0.9595
222,0.1187,0.0957,0.9360
223,0.1365,0.0151,0.9924
224,0.0762,-0.1729,1.0637
225,-0.0125,-0.3979,1.0149
226,-0.0452,-0.1841,1.0139
227,-0.1052,-0.0442,0.9524
228,-0.0962,-0.0469,1.0054
229,-0.0396,-0.2146,0.9517
230,0.0378,-0.1704,1.0120
231,0.0938,-0.0308,0.9788
232,0.1033,0.1545,0.9709
233,0.1074,-0.0166,0.8979
234,0.0232,-0.1772,0.9963
235,-0.0867,-0.1938,0.9661
236,-0.2183,0.0227,0.9937
237,-0.1594,0.0310,0.9993
238,-0.0750,-0.0271,1.0002
239,0.0569,-0.0857,0.9934
240,0.1006,0.0552,1.0024
241,0.0798,0.2000,0.9895
242,0.0273,0.2080,0.8853
243,-0.0190,0.2207,0.8979
244,-0.0032,0.0774,0.9653
245,-0.0352,-0.0630,1.0276
246,0.0305,-0.1943,0.9956
247,-0.0134,-0.1169,1.0327
248,-0.0176,-0.0544,1.0688
249,-0.0315,-0.0920,0.9651
250,-0.0774,0.0461,1.0181
251,-0.0466,0.1990,0.9172
252,-0.0083,0.0679,0.8960
253,0.0112,0.0481,0.9954
254,-0.0366,0.0481,0.9553
255,-0.0930,0.0308,1.0139
256,-0.0703,-0.0369,0.9709
257,-0.0547,-0.1975,0.9819
258,-0.0178,-0.0427,1.0354
259,0.0591,0.0149,0.9829
260,0.0784,-0.1599,0.9438
261,0.0078,-0.1548,1.0452
262,0.0811,0.1716,0.9810
263,0.0989,0.3784,0.8950
264,0.0701,0.0295,0.9009
265,-0.0459,-0.0957,1.0491
266,-0.1343,-0.2827,0.9807
267,-0.0862,-0.0281,0.9961
268,-0.0115,0.0874,0.9973
269,0.0522,-0.0466,1.0259
270,0.0833,-0.1541,1.0227
271,-0.0034,-0.1128,0.9146
272,-0.1616,0.2114,0.9849
273,-0.1016,0.1118,0.9224
274,0.0725,-0.2134,0.9006
275,0.0037,-0.0913,1.0657
276,0.0066,0.3362,1.0198
277,-0.0415,0.1084,0.8550
278,-0.1252,-0.1882,1.0264
279,-0.1335,-0.1675,1.0344
280,0.1125,-0.0452,0.9888
281,0.2378,0.0510,1.0042
282,0.1746,-0.0994,1.0249
283,0.1245,0.0103,0.9885
284,0.0283,0.1169,0.8433
285,-0.0439,0.4661,0.9592
286,-0.0767,0.1519,0.8716
287,-0.0239,-0.1021,0.9817
288,-0.0591,-0.2351,1.0718
289,-0.0657,-0.1489,1.1321
290,-0.0718,-0.0049,1.1069
291,-0.0601,-0.0906,1.0015
292,0.0134,-0.1226,0.9243
293,0.0674,0.1045,0.8726
294,0.0667,0.4565,0.9487
295,0.0527,0.2422,0.9136
296,-0.0215,-0.1516,0.9028
297,-0.0681,-0.0850,1.0786
298,0.0352,-0.0208,0.9709
299,0.1333,-0.0186,1.0696
300,0.1282,-0.3020,1.0151
301,-0.0020,-0.2571,1.1030
302,-0.0991,-0.0994,0.9741
303,-0.1460,0.1602,0.9448
304,-0.1353,0.1836,0.9214
305,-0.0400,-0.1973,0.8958
306,0.0969,0.1594,1.0706
307,0.1123,0.2183,0.8735
308,0.0815,0.1479,0.9731
309,-0.0969,-0.1265,1.0090
310,-0.0901,-0.2532,1.0073
311,-0.0679,-0.0063,1.0083
312,0.0088,0.1377,1.0305
