Sample,X,Y,Z
0,-0.1138,0.0085,0.9800
1,-0.1030,-0.0176,0.9761
2,-0.0779,-0.0029,0.9946
3,0.0112,-0.0342,0.9524
4,0.0994,0.0181,0.9934
5,0.0850,0.0161,0.9800
6,0.0676,0.0029,0.9663
7,0.0278,0.0039,0.9819
8,-0.0610,-0.0098,1.0024
9,-0.1086,-0.0251,0.9761
10,-0.0686,-0.0701,0.9702
11,-0.0154,0.0349,1.0178
12,0.0430,-0.0244,0.9497
13,0.0679,0.0269,0.9985
14,0.0735,-0.0344,0.9585
15,-0.0017,0.0029,1.0122
16,-0.0530,-0.0540,0.9683
17,-0.0674,0.0049,0.9836
18,-0.0566,0.0286,0.9800
19,-0.0234,0.0264,0.9661
20,0.0161,0.0276,0.9810
21,0.0535,0.0012,0.9800
22,0.0647,-0.0576,0.9907
23,0.0520,-0.0146,0.9934
24,-0.0107,-0.0161,0.9741
25,-0.0549,0.0073,0.9800
26,-0.0818,-0.0200,0.9800
27,-0.0747,0.0093,0.9995
28,-0.0205,-0.0378,0.9419
29,0.0408,-0.0066,0.9954
30,0.0630,0.0461,1.0005
31,0.0623,-0.0388,0.9321
32,0.0491,0.0225,1.0181
33,-0.0383,0.0237,0.9702
34,-0.0916,-0.0645,0.9614
35,-0.0608,-0.0217,0.9927
36,-0.0137,-0.0193,0.9797
37,0.0393,0.0146,0.9956
38,0.0479,-0.0122,0.9622
39,0.0474,0.0771,1.0022
40,-0.0137,-0.0037,0.9810
41,-0.0283,-0.0459,0.9663
42,-0.0295,-0.0151,0.9978
43,-0.0261,0.0410,0.9780
44,-0.0139,-0.0667,0.9419
45,0.0229,0.0024,1.0129
46,0.0347,-0.0398,0.9719
47,0.0276,-0.0247,0.9758
48,0.0122,0.0010,0.9661
49,-0.0354,0.0564,0.9758
50,-0.0720,-0.0034,0.9719
51,-0.0459,-0.0237,0.9739
52,0.0005,0.0103,1.0090
53,0.0398,0.0208,0.9905
54,0.0620,-0.0649,0.9573
55,0.0801,0.0190,1.0110
56,-0.0066,0.0146,0.9702
57,-0.0569,0.0137,0.9543
58,-0.0796,-0.0078,0.9761
59,-0.0774,0.0129,0.9944
60,0.0032,-0.0581,0.9458
61,0.0195,0.0154,1.0063
62,0.0823,0.0066,0.9585
63,0.0481,0.0015,0.9849
64,0.0132,-0.0085,1.0063
65,-0.0315,-0.0283,0.9595
66,-0.0193,-0.0371,0.9868
67,-0.0535,0.0547,1.0054
68,-0.0154,-0.0491,0.9272
69,-0.0156,0.0132,1.0132
70,-0.0144,0.0251,0.9719
71,0.0037,0.0063,0.9565
72,0.0264,0.0010,0.9846
73,0.0012,0.0161,0.9875
74,0.0054,-0.0276,0.9683
75,0.0081,-0.0381,0.9875
76,-0.0281,0.0112,1.0034
77,-0.0144,-0.0190,0.9614
78,0.0044,-0.0320,0.9888
79,0.0239,0.0098,0.9888
80,-0.0166,-0.0359,0.9573
81,0.0032,-0.0027,0.9856
82,-0.0410,0.0242,0.9729
83,-0.0017,0.0105,0.9709
84,-0.0159,0.0139,0.9810
85,0.0068,0.0317,0.9829
86,0.0215,0.0112,0.9761
87,0.0129,-0.0632,0.9788
88,0.0034,-0.0195,1.0178
89,-0.0168,-0.0195,0.9622
90,-0.0554,-0.0359,0.9924
91,-0.0178,0.0090,0.9807
92,-0.0247,-0.0332,0.9575
93,0.0266,0.0469,1.0034
94,0.0203,0.0227,0.9417
95,0.0457,0.0188,0.9778
96,-0.0007,-0.0112,1.0034
97,-0.0059,-0.0229,0.9614
98,-0.0181,0.0051,0.9993
99,-0.0344,0.0066,0.9934
100,-0.0457,-0.0645,0.9536
101,-0.0349,-0.0034,1.0229
102,-0.0256,-0.0120,0.9722
103,0.0098,0.0693,0.9875
104,0.0393,0.2627,0.9995
105,0.0593,0.5764,0.9504
106,0.0337,0.6975,0.8992
107,-0.0776,0.7219,0.9241
108,-0.1399,0.7874,0.9368
109,-0.1594,0.8938,0.9309
110,-0.2095,0.8521,0.9585
111,-0.2358,0.8306,0.9546
112,-0.1912,0.6335,1.0247
113,-0.2485,0.6714,1.0679
114,-0.1587,0.4839,1.0083
115,-0.2654,0.4963,1.0520
116,-0.2063,0.6750,0.9475
117,-0.1895,0.7512,0.9592
118,-0.0364,0.8843,0.9497
119,0.2200,0.8179,0.8794
120,0.4661,0.8071,0.9443
121,0.6636,0.8425,0.9231
122,0.6851,0.8352,0.9104
123,0.4133,0.5522,0.9614
124,0.0283,0.3232,1.0569
