Sample,X,Y,Z
0,-0.0125,-0.0151,0.9583
1,0.0100,-0.0002,0.9595
2,0.0454,0.0129,0.9788
3,0.0247,0.0032,0.9888
4,0.0181,-0.0020,0.9932
5,-0.0015,-0.0149,0.9771
6,-0.0488,0.0032,1.0120
7,-0.0337,-0.0203,0.9749
8,-0.0356,-0.0781,0.9858
9,-0.0171,0.0042,1.0042
10,0.0562,-0.0137,0.9387
11,0.0601,0.0095,0.9973
12,0.0557,0.0039,0.9868
13,0.0320,-0.0349,0.9573
14,-0.0332,0.0105,0.9788
15,-0.0894,0.0364,0.9817
16,-0.0759,-0.0217,0.9761
17,-0.0508,-0.0251,1.0022
18,0.0337,-0.0059,0.9917
19,0.0771,0.0337,0.9749
20,0.0813,0.0271,0.9761
21,0.0442,-0.0359,0.9797
22,-0.0212,-0.0518,0.9944
23,-0.0549,0.0066,0.9924
24,-0.0554,-0.0381,0.9614
25,-0.0537,-0.0127,1.0005
26,-0.0176,-0.0249,0.9700
27,0.0007,0.0105,0.9819
28,0.0334,0.0142,0.9517
29,0.0366,0.0229,0.9778
30,0.0166,0.0127,0.9771
31,0.0027,-0.0295,0.9797
32,-0.0032,-0.0225,0.9868
33,-0.0181,0.0034,0.9976
34,-0.0278,0.0139,0.9885
35,-0.0190,-0.0652,0.9868
36,0.0088,-0.1013,0.9849
37,0.0066,-0.0242,0.9829
38,0.0059,0.0652,0.9788
39,-0.0278,0.0347,0.9536
40,-0.0364,0.0085,0.9839
41,-0.0010,0.0273,0.9712
42,0.0361,0.0110,0.9622
43,0.0459,0.0486,0.9973
44,0.0222,-0.0137,0.9895
45,-0.0076,-0.0901,0.9917
46,-0.0200,-0.1074,0.9827
47,-0.0381,-0.0483,1.0168
48,-0.0227,-0.0032,0.9827
49,-0.0034,-0.0251,0.9556
50,0.0210,0.0046,0.9634
51,0.0244,0.0901,0.9602
52,0.0249,0.1125,0.9426
53,-0.0195,0.0696,0.9683
54,-0.0298,-0.0247,0.9924
55,-0.0161,-0.0725,0.9946
56,0.0095,-0.0496,1.0103
57,0.0012,-0.0552,1.0149
58,0.0195,-0.0986,1.0005
59,0.0093,-0.1106,0.9712
60,-0.0083,-0.0283,0.9709
61,-0.0251,0.0664,0.9602
62,-0.0127,0.1077,0.9360
63,-0.0259,0.0850,0.9448
64,-0.0171,0.0344,0.9749
65,0.0042,-0.0029,0.9836
66,0.0251,-0.0366,1.0103
67,0.0149,-0.0337,1.0024
68,0.0186,-0.1045,0.9817
69,-0.0071,-0.0664,1.0100
70,-0.0347,-0.0225,0.9927
71,-0.0447,0.0183,0.9749
72,-0.0269,0.0181,0.9604
73,0.0417,0.0183,0.9417
74,0.0378,0.0532,0.9719
75,0.0381,0.0906,0.9875
76,0.0173,-0.0515,0.9387
77,-0.0305,-0.0662,1.0249
78,-0.0630,-0.0225,0.9858
79,-0.0430,-0.0894,0.9749
80,-0.0444,-0.0083,1.0256
81,0.0273,-0.0176,0.9661
82,0.0559,-0.0176,0.9680
83,0.0425,0.0605,1.0022
84,0.0298,0.0364,0.9556
85,0.0090,-0.0098,0.9565
86,-0.0381,0.0076,0.9749
87,-0.0281,0.0005,0.9758
88,-0.0308,-0.0349,0.9771
89,-0.0256,-0.0408,1.0034
90,-0.0215,-0.0420,0.9976
91,0.0320,-0.0479,0.9702
92,0.0042,0.0056,0.9766
93,0.0039,0.0334,0.9868
94,-0.0129,0.0110,0.9771
95,-0.0093,-0.0107,0.9661
96,0.0107,0.0095,0.9749
97,-0.0024,-0.0315,0.9722
98,-0.0156,0.0029,1.0100
99,0.0269,-0.0137,0.9583
100,0.0103,0.0049,0.9731
101,-0.0283,0.0525,0.9875
102,-0.0549,-0.0100,0.9995
103,-0.0923,0.0859,1.0493
104,-0.0776,0.4771,0.9517
105,-0.0171,0.6294,0.8169
106,-0.0037,0.8267,0.8677
107,-0.0471,0.9348,0.9045
108,-0.0393,1.0347,0.9438
109,-0.0054,1.0762,0.9966
