Sample,X,Y,Z
0,-0.0061,-0.0127,0.9739
1,-0.0017,0.0168,0.9739
2,0.0203,-0.0310,0.9602
3,0.0437,-0.0022,0.9983
4,-0.0017,-0.0085,0.9768
5,-0.0312,-0.0454,0.9788
6,-0.0361,-0.0056,1.0024
7,-0.0505,0.0498,0.9985
8,-0.0203,0.0295,0.9719
9,0.0078,-0.0137,0.9836
10,0.0396,-0.0017,0.9951
11,0.0576,-0.0588,0.9585
12,0.0210,-0.0354,0.9963
13,-0.0183,0.0200,0.9829
14,-0.0557,-0.0264,0.9573
15,-0.0798,-0.0049,0.9895
16,-0.0681,0.0417,0.9836
17,-0.0212,0.0044,0.9661
18,0.0339,-0.0679,0.9805
19,0.0691,-0.0188,1.0103
20,0.0586,-0.0308,0.9739
21,0.0430,-0.0029,0.9807
22,-0.0164,0.0464,0.9937
23,-0.0505,-0.0513,0.9495
24,-0.0391,-0.0376,1.0107
25,-0.0298,0.0383,0.9897
26,-0.0161,0.0171,0.9624
27,0.0159,-0.0486,0.9800
28,0.0071,-0.0010,1.0042
29,-0.0208,0.0154,0.9797
30,-0.0098,-0.0122,0.9622
31,-0.0129,-0.0112,0.9866
32,-0.0222,-0.0486,0.9934
33,0.0059,-0.0535,0.9885
34,0.0398,0.0049,0.9858
35,-0.0100,0.0142,0.9839
36,0.0022,-0.0415,0.9614
37,0.0005,0.0532,0.9934
38,-0.0081,0.0396,0.9592
39,0.0127,-0.0120,0.9858
40,-0.0012,-0.0649,0.9856
41,-0.0483,-0.0295,1.0034
42,-0.0203,0.0017,0.9866
43,-0.0518,-0.0095,0.9761
44,-0.0457,-0.0227,0.9924
45,0.0110,-0.0234,0.9829
46,0.0601,-0.0171,0.9673
47,0.0618,0.0242,0.9800
48,0.0671,-0.0239,0.9653
49,0.0059,-0.0032,0.9749
50,-0.0789,-0.0149,0.9739
51,-0.0894,0.0022,1.0112
52,-0.0566,-0.0613,0.9768
53,-0.0337,-0.0225,1.0210
54,0.0435,0.0183,0.9807
55,0.0847,0.0049,0.9634
56,0.0266,0.0203,1.0054
57,0.0051,-0.0464,0.9514
58,-0.0256,-0.0063,0.9651
59,-0.0576,0.0203,0.9819
60,-0.0686,0.0618,0.9993
61,-0.0190,-0.0852,0.9604
62,0.0081,-0.0466,1.0220
63,0.0386,-0.0139,0.9973
64,0.0647,0.0078,0.9670
65,0.0076,-0.0454,0.9661
66,-0.0012,-0.0090,1.0139
67,-0.0359,-0.0557,0.9719
68,-0.0427,0.0312,0.9976
69,-0.0286,0.0649,0.9563
70,-0.0210,-0.0063,0.9526
71,0.0066,-0.0215,0.9751
72,0.0149,0.0137,0.9954
73,0.0442,0.0139,0.9985
74,-0.0063,-0.0586,0.9905
75,-0.0374,-0.0500,1.0093
76,-0.0427,-0.0667,0.9817
77,-0.0532,-0.0305,0.9878
78,0.0002,-0.0010,0.9641
79,0.0378,0.0310,0.9622
80,0.0632,0.0188,0.9683
81,0.0474,0.0088,0.9709
82,0.0193,-0.0298,0.9758
83,-0.0432,0.0073,1.0042
84,-0.0769,0.0085,0.9866
85,-0.0977,0.0166,0.9946
86,-0.0613,-0.0554,0.9866
87,0.0107,-0.0322,1.0063
88,0.0435,-0.0549,0.9856
89,0.0906,0.0093,0.9802
90,0.0837,-0.0183,0.9517
91,0.0232,-0.0024,0.9778
92,-0.0298,0.0120,0.9631
93,-0.0999,0.0171,0.9761
94,-0.0869,0.0439,0.9885
95,-0.0544,-0.0493,0.9768
96,0.0085,-0.0713,0.9995
97,0.0461,-0.0779,1.0181
98,0.0933,0.0066,0.9827
99,0.0371,-0.0198,0.9514
100,-0.0017,0.0383,0.9875
101,-0.0601,0.0347,0.9563
102,-0.0876,0.0151,0.9966
103,-0.0710,0.1882,1.0396
104,0.0046,0.3757,0.9988
105,0.1191,0.7151,0.9290
106,0.1348,0.9060,0.8420
107,0.0500,1.3110,0.9165
108,0.0500,1.3813,0.8599
109,-0.1672,1.6575,1.0061
110,-0.2944,1.7183,0.9912
111,-0.3303,1.6646,1.0239
112,-0.3569,1.5510,1.0598
113,-0.2361,1.4075,0.9319
114,-0.0444,1.3274,0.9641
115,0.0574,1.2729,0.9575
116,0.0542,1.1301,0.9543
117,-0.0049,0.9204,0.9634
118,-0.2517,0.5627,0.9905
119,-0.3389,0.5093,0.9800
120,-0.2488,0.2229,0.8508
121,-0.0544,0.0613,1.0217
122,0.3181,-0.1104,1.0190
123,0.6975,-0.1069,1.0127
124,0.8391,0.1279,1.0503
125,0.7004,0.1758,0.9692
126,0.3296,0.3235,0.9348
127,-0.1655,0.3296,0.9048
128,-0.5330,0.7297,1.0374
129,-0.5508,1.0061,0.7297
130,-0.3394,1.1733,0.9858
131,-0.0635,1.1096,1.0471
132,0.1377,0.6411,1.1665
133,0.1265,0.7307,0.9583
134,-0.0249,1.0132,0.8696
135,-0.2625,1.5452,0.9963
136,-0.4724,1.2610,0.7561
137,-0.4636,0.9211,1.0374
138,-0.2192,0.9058,1.0610
139,0.1555,1.0122,0.7983
140,0.4419,1.2180,1.0442
141,0.4614,0.8713,1.0813
142,0.2317,0.5913,0.9917
143,-0.0728,0.8110,1.0356
144,-0.3110,1.0493,0.9351
145,-0.4624,1.0308,0.7905
146,-0.3237,0.7759,0.9341
147,-0.0244,0.6194,1.0657
148,0.1548,0.8621,0.9495
149,0.2485,0.7952,0.7673
150,0.1479,0.9397,1.0813
151,-0.0762,0.7375,0.9768
152,-0.1111,0.7102,0.9343
153,-0.2480,0.5640,1.0864
154,-0.3621,0.2942,0.9700
155,-0.3206,-0.2158,0.9436
156,-0.3501,-0.6506,1.1655
157,-0.1370,-0.7234,1.2310
158,0.0466,-0.8538,0.9829
159,0.2893,-1.1951,0.9165
160,0.5635,-1.2046,0.9915
161,0.5012,-1.3845,0.7075
162,0.3909,-1.3679,0.8608
163,0.2866,-0.9165,1.1975
164,0.1006,-0.8491,0.8826
165,-0.1099,-0.8728,0.9722
166,-0.2708,-0.5815,1.2229
167,-0.4204,-0.2698,0.9282
168,-0.3096,0.4602,0.9270
169,-0.0315,0.3777,0.9602
170,0.1501,0.7131,1.0227
171,0.3870,1.0522,0.8384
172,0.3809,1.2065,0.9810
173,0.1763,1.4045,1.0208
174,-0.0796,1.4875,0.9163
175,-0.2905,1.4116,0.9819
176,-0.4021,1.0452,0.8811
177,-0.4351,1.1294,0.9976
178,-0.1809,0.9409,0.9751
179,-0.0425,0.5215,1.0757
180,0.0007,0.3477,1.0679
181,0.0779,-0.1118,0.8489
182,-0.1006,0.0295,1.0894
183,-0.1089,-0.0911,0.9497
184,0.0576,-0.3345,0.9329
185,0.1338,-0.5669,1.0657
186,0.2979,-0.5730,0.9282
187,0.3628,-0.2236,0.7190
188,0.1086,-0.1091,0.9438
189,0.0212,-0.8083,1.0728
190,0.0474,-0.8892,1.2561
191,0.0542,-0.9077,0.8860
192,-0.0825,-0.3757,1.1079
193,-0.3237,-0.5593,1.0327
194,-0.4187,-0.7505,1.0227
195,-0.2888,-0.6030,1.1985
196,0.2014,0.0898,0.9185
197,0.5120,0.4482,0.6968
198,0.4663,0.3269,0.8088
199,0.1741,-0.1550,0.9810
200,-0.1558,0.0488,1.1147
201,-0.3306,0.1086,0.8394
202,-0.3188,0.0256,1.0610
203,-0.1335,-0.1101,1.1458
204,0.0837,-0.4333,1.0278
205,0.1462,0.0173,1.2446
206,0.1721,0.4595,0.9634
207,0.1064,0.6343,0.7134
208,-0.0493,0.5527,0.8296
209,-0.0972,0.3145,0.8784
210,-0.0635,0.4524,1.0032
211,0.0745,0.4409,0.8608
212,0.1394,0.1206,0.8896
213,0.1565,-0.0764,1.1841
214,0.1187,-0.2515,1.0940
215,-0.0825,-0.0371,1.0952
216,-0.2429,-0.0305,1.0920
217,-0.3013,0.1396,1.0063
218,-0.2566,0.2180,0.7756
219,-0.1987,0.0608,0.8081
220,0.0461,0.1743,1.0933
