Sample,X,Y,Z
0,-0.0796,-0.0447,0.9556
1,-0.0242,-0.0059,0.9954
2,0.0439,0.0374,0.9758
3,0.1062,0.0024,0.9478
4,0.0889,0.0095,0.9934
5,0.0564,0.0278,0.9731
6,-0.0049,-0.0061,0.9622
7,-0.0742,-0.0183,0.9993
8,-0.1321,-0.0120,0.9927
9,-0.1082,-0.0259,0.9966
10,-0.0466,-0.0071,0.9915
11,0.0569,-0.0059,0.9751
12,0.1536,-0.0386,0.9819
13,0.1707,-0.0181,1.0054
14,0.0906,0.0159,0.9583
15,-0.0449,-0.0022,0.9641
16,-0.1594,-0.0242,0.9644
17,-0.2036,0.0015,0.9634
18,-0.1504,0.0068,0.9866
19,0.0142,0.0159,0.9944
20,0.1252,-0.0234,0.9712
21,0.1924,0.0110,1.0090
22,0.1841,0.0010,0.9829
23,0.0669,-0.0469,0.9832
24,-0.0549,-0.0317,0.9895
25,-0.1409,-0.0374,0.9749
26,-0.2146,0.0193,0.9934
27,-0.1533,0.0432,0.9583
28,-0.0142,0.0205,0.9536
29,0.0747,0.0100,0.9810
30,0.1470,0.0479,1.0103
31,0.1890,-0.0388,0.9612
32,0.1084,-0.0867,0.9976
33,-0.0264,-0.0400,0.9846
34,-0.1160,-0.0332,0.9868
35,-0.1704,-0.0059,0.9897
36,-0.1367,-0.0068,0.9604
37,-0.0476,-0.0012,0.9856
38,0.0662,0.0549,0.9983
39,0.1404,0.0405,0.9446
40,0.1147,0.0667,0.9963
41,0.0144,-0.0022,0.9690
42,-0.0610,-0.0500,0.9790
43,-0.0945,-0.0679,1.0042
44,-0.0750,-0.0698,0.9827
45,-0.0286,-0.0632,0.9897
46,0.0527,0.0090,1.0073
47,0.0886,0.0154,0.9504
48,0.0344,0.0422,0.9524
49,0.0090,0.0256,0.9868
50,-0.0193,-0.0269,0.9612
51,-0.0703,0.0254,1.0093
52,-0.0686,0.0649,0.9768
53,-0.0168,-0.0469,0.9507
54,0.0117,-0.0674,1.0005
55,0.0854,-0.0569,1.0159
56,0.0925,-0.0415,0.9702
57,0.0215,0.0103,0.9976
58,-0.0496,0.0508,0.9612
59,-0.1008,0.0164,0.9602
60,-0.1201,0.0098,0.9797
61,-0.0408,-0.0137,0.9751
62,0.0425,-0.0437,0.9836
63,0.0933,0.0654,1.0100
64,0.1133,-0.0054,0.9487
65,0.0603,-0.0518,0.9963
66,-0.0027,-0.0239,0.9937
67,-0.0488,-0.0229,0.9700
68,-0.0952,0.0164,1.0044
69,-0.1267,-0.0122,0.9712
70,-0.0784,0.0054,0.9690
71,-0.0073,-0.0183,0.9683
72,0.0532,0.0288,0.9810
73,0.0874,-0.0361,0.9827
74,0.1145,-0.0193,1.0034
75,0.0752,-0.0139,0.9604
76,-0.0203,0.0237,0.9780
77,-0.0967,-0.0354,0.9915
78,-0.1035,-0.0491,0.9819
79,-0.0977,0.0005,0.9832
80,-0.0498,0.0625,0.9846
81,0.0291,0.0217,0.9807
82,0.0964,-0.0332,0.9817
83,0.0828,-0.0459,0.9800
84,0.0627,0.0029,0.9897
85,0.0203,-0.0024,0.9583
86,-0.0623,-0.0054,0.9771
87,-0.0999,0.0073,0.9922
88,-0.0669,-0.0366,0.9641
89,-0.0581,-0.0137,1.0088
90,0.0212,0.0388,1.0100
91,0.1145,-0.0439,0.9253
92,0.0764,-0.0254,0.9937
93,0.0483,0.0708,1.0103
