Sample,X,Y,Z
0,0.0789,0.0261,0.9915
1,0.0520,-0.0063,0.9573
2,-0.0156,-0.0276,0.9788
3,-0.0315,-0.0596,0.9788
4,-0.0750,-0.0117,0.9878
5,-0.0337,0.0168,0.9741
6,0.0027,0.0122,0.9573
7,0.0381,0.0168,0.9963
8,0.0276,0.0034,0.9907
9,0.0171,-0.0115,0.9771
10,0.0088,0.0498,1.0122
11,-0.0408,-0.0112,0.9778
12,-0.0498,-0.0374,1.0044
13,-0.0308,-0.0764,0.9670
14,-0.0242,-0.0435,0.9973
15,0.0229,-0.0225,0.9690
16,0.0635,0.0068,0.9709
17,0.0713,0.0547,0.9868
18,0.0159,-0.0110,0.9543
19,-0.0154,0.0464,0.9856
20,-0.0693,-0.0142,0.9690
21,-0.0793,0.0117,1.0027
22,-0.0237,-0.0198,0.9771
23,0.0188,-0.0081,1.0100
24,0.0415,-0.0337,0.9934
25,0.0691,-0.0984,0.9741
26,0.0566,0.0347,1.0259
27,-0.0334,0.0154,0.9343
28,-0.0864,-0.0276,0.9670
29,-0.1130,0.0029,1.0034
30,-0.0786,-0.0205,0.9536
31,0.0327,0.0610,0.9709
32,0.0979,0.0269,0.9839
33,0.1138,0.0212,0.9954
34,0.1011,-0.0723,0.9604
35,0.0312,0.0115,1.0200
36,-0.0720,-0.0178,0.9797
37,-0.1377,-0.0432,0.9817
38,-0.1362,-0.0359,1.0061
39,-0.0964,-0.0239,0.9729
40,-0.0098,-0.0425,0.9614
41,0.1079,0.0115,0.9788
42,0.1458,0.0520,0.9641
43,0.1257,-0.0010,0.9653
44,0.0549,0.0144,0.9873
45,-0.0708,0.0056,0.9819
46,-0.1072,-0.0054,0.9817
47,-0.1179,0.0027,0.9797
48,-0.0854,0.0164,1.0051
49,-0.0073,-0.0007,0.9624
50,0.0620,-0.0557,0.9819
51,0.0884,0.0034,1.0344
52,0.0566,-0.0659,0.9368
53,0.0288,-0.0056,1.0032
54,-0.0867,0.0176,0.9866
55,-0.0972,-0.0813,0.9341
56,-0.0684,0.0024,1.0022
57,-0.0149,0.0291,0.9670
58,0.0977,0.0396,0.9526
59,0.1345,-0.0076,0.9771
60,0.1030,0.0486,1.0110
61,0.0020,0.0022,0.9583
62,-0.0837,0.0051,1.0002
63,-0.1567,0.0425,1.0103
64,-0.1621,-0.0818,0.9663
65,-0.0664,-0.0667,1.0220
66,0.0388,-0.0376,0.9883
67,0.1511,-0.0076,0.9683
68,0.1316,-0.0383,0.9749
69,0.0933,0.0000,0.9702
70,-0.0251,0.0044,0.9553
71,-0.0769,0.0339,0.9497
72,-0.1240,0.0457,0.9612
73,-0.0925,0.0181,0.9651
74,-0.0002,0.0142,0.9907
75,0.0566,0.0105,1.0012
76,0.0540,-0.0090,1.0122
77,0.0820,-0.0779,0.9878
78,-0.0156,-0.0051,1.0393
79,-0.0593,-0.0537,0.9646
80,-0.0835,-0.0579,0.9653
81,-0.0376,0.0171,0.9976
82,-0.0049,0.0549,0.9465
83,0.0781,-0.0237,0.9214
84,0.0720,0.0378,0.9924
85,0.0437,0.0117,0.9456
86,-0.0439,-0.0046,0.9595
87,-0.0884,-0.0186,0.9985
88,-0.0935,0.0000,1.0149
89,-0.0173,-0.0696,0.9897
90,0.0305,-0.0103,1.0308
91,0.0989,-0.0056,0.9883
92,0.0796,-0.0483,0.9866
93,0.0183,0.0251,1.0034
94,-0.0803,0.0110,0.9351
95,-0.0825,0.0056,0.9644
96,-0.1001,-0.0264,0.9504
97,-0.0505,-0.0015,0.9773
98,0.0420,0.0029,0.9309
99,0.1111,0.0142,0.9963
100,0.1003,0.0540,0.9983
101,0.0383,-0.1008,0.9604
102,-0.0334,0.0112,1.0659
103,-0.1785,0.0544,1.0081
104,-0.0867,0.4207,1.0237
105,-0.0173,0.6479,0.9321
106,0.0828,0.8577,0.9573
107,0.0486,0.8137,0.8655
108,0.0342,1.0334,0.9075
109,-0.0588,1.2854,0.8938
110,-0.2361,1.2864,0.8782
111,-0.2700,1.1831,0.8975
112,-0.2651,1.2271,1.0874
113,-0.0552,0.9763,1.0461
114,0.0083,0.7856,1.1001
115,0.0178,0.9390,1.0581
116,-0.0540,1.1282,0.9407
117,-0.2446,1.0752,0.9653
118,-0.4048,1.1343,0.9136
119,-0.1360,1.1440,0.9019
120,0.0530,0.8872,0.9673
121,0.3479,0.8599,0.9429
122,0.4937,0.5876,0.8977
123,0.3892,0.6252,1.0178
124,0.2009,0.7905,0.9741
125,0.0562,0.8384,0.9106
126,-0.0576,0.8040,1.0422
127,-0.0664,0.8445,1.0120
128,-0.0308,1.1509,0.9565
129,-0.0012,1.3782,0.9026
130,-0.0471,1.2856,0.9175
131,-0.1326,0.9495,1.0305
132,-0.2690,0.8306,1.0562
133,-0.2886,0.8975,0.9644
134,-0.2434,0.9009,0.9546
135,-0.1689,0.6516,1.0090
136,-0.0181,0.7114,0.9731
137,0.0339,0.7180,0.8704
138,0.0415,0.8801,0.9856
139,0.0115,0.6929,0.9302
140,0.0925,0.5530,0.9397
141,0.1807,0.4277,0.9839
142,0.1265,0.5989,1.0247
143,-0.0193,0.6692,0.9114
144,-0.2063,0.4895,0.9524
145,-0.3313,0.5652,1.1365
146,-0.2275,0.5540,0.9934
147,0.0093,0.3438,0.8530
148,0.1533,0.7454,1.1829
149,0.2043,0.9233,0.8120
150,0.0908,0.7532,0.7776
151,-0.2231,0.8804,1.1050
152,-0.3242,0.6389,0.8684
153,-0.2439,0.5637,0.9944
154,-0.0486,0.4739,0.9963
155,0.0520,-0.0813,0.9829
156,-0.1082,-0.6880,1.1575
157,-0.2742,-0.8340,1.1604
158,-0.3220,-0.8335,1.0530
159,-0.2136,-0.7283,1.1147
160,0.2681,-0.7026,0.9456
161,0.5168,-0.9011,0.8247
162,0.5356,-1.0747,0.9709
163,0.3999,-0.8540,0.8782
164,0.2429,-0.6814,0.7827
165,0.1021,-0.3931,1.0530
166,0.1665,-0.6040,0.8997
167,-0.0059,-0.2463,1.0161
168,-0.1667,0.2000,0.9407
169,-0.2161,0.7827,1.0474
170,-0.2224,0.8254,0.9426
171,-0.0518,1.0540,1.0491
172,0.1155,1.4829,1.0425
173,0.2043,1.5532,0.9888
174,0.0288,1.2600,0.9631
175,-0.1672,1.3342,1.1096
176,-0.2817,1.0552,0.8550
177,-0.3997,0.5291,0.9202
178,-0.4956,0.5059,1.1099
179,-0.3269,0.2471,0.7815
180,-0.1492,0.0723,0.9009
181,0.1790,0.1147,1.1079
182,0.4204,-0.4146,0.8997
183,0.2554,-0.6411,1.1721
184,0.0801,-0.4290,1.0754
185,-0.0698,-0.1121,0.9221
186,-0.0066,-0.3511,0.9260
187,0.0999,-0.6616,0.9866
188,0.2271,-0.7651,1.0276
189,0.2732,-0.6340,0.9272
190,0.3586,-0.4685,0.9155
191,0.1030,-0.5864,1.0325
192,-0.0867,-0.9419,1.0178
193,-0.4011,-0.7134,0.9846
194,-0.4927,-0.0066,1.0454
195,-0.4109,0.2385,0.8987
196,-0.1272,0.0710,0.9575
197,0.3247,-0.0054,1.0286
198,0.5364,0.2354,1.0063
199,0.4438,0.2131,0.9836
200,0.1934,0.0112,1.0044
201,-0.1086,-0.0845,1.0686
202,-0.1995,-0.2100,0.9329
203,-0.2166,-0.0366,1.0103
204,-0.2004,0.2134,0.9419
205,-0.0647,0.3752,0.8137
206,-0.0261,0.4678,0.9624
207,0.0737,0.6802,0.9302
208,0.1379,0.6997,0.8579
209,0.0413,0.4653,1.0337
210,-0.0935,0.0864,1.1038
211,-0.1279,-0.0684,1.0862
