Sample,X,Y,Z
0,0.0417,-0.0337,0.9731
1,0.0879,-0.0176,0.9905
2,0.0425,0.0332,0.9866
3,0.0071,0.0088,0.9712
4,-0.0217,-0.0623,0.9888
5,-0.0657,0.0281,1.0012
6,-0.0918,-0.0024,0.9690
7,-0.0496,0.0044,0.9683
8,-0.0005,-0.0225,0.9858
9,0.0557,-0.0256,0.9817
10,0.0696,-0.0276,0.9709
11,0.0322,0.0300,0.9937
12,0.0039,-0.0027,0.9702
13,-0.0388,-0.0303,0.9897
14,-0.0613,-0.0020,0.9875
15,-0.0706,-0.0005,0.9778
16,-0.0139,0.0071,0.9731
17,0.0159,-0.0024,0.9739
18,0.0498,0.0271,1.0015
19,0.0803,-0.0430,0.9602
20,0.0120,-0.0105,0.9983
21,-0.0222,0.0139,0.9790
22,-0.0603,-0.0203,0.9817
23,-0.0767,0.0034,0.9858
24,-0.0747,-0.0007,0.9819
25,0.0012,-0.0100,0.9773
26,0.0520,-0.0193,0.9790
27,0.0833,0.0298,0.9907
28,0.0979,-0.0046,0.9614
29,0.0112,-0.0088,0.9885
30,-0.0486,-0.0071,0.9797
31,-0.0991,-0.0217,0.9836
32,-0.1001,0.0159,0.9849
33,-0.0620,-0.0029,0.9829
34,0.0264,-0.0291,0.9807
35,0.0718,-0.0173,0.9810
36,0.0986,0.0186,0.9858
37,0.0520,0.0103,0.9758
38,-0.0083,0.0261,0.9790
39,-0.0591,0.0049,0.9868
40,-0.0894,-0.0186,0.9829
41,-0.0664,-0.0173,0.9829
42,-0.0127,-0.0049,0.9749
43,0.0410,0.0054,0.9807
44,0.0408,-0.0217,0.9771
45,0.0518,-0.0366,0.9885
46,0.0278,-0.0142,0.9758
47,-0.0457,0.0300,0.9937
48,-0.0398,-0.0032,0.9575
49,-0.0491,-0.0225,0.9868
50,-0.0383,0.0366,0.9849
51,-0.0012,-0.0054,0.9768
52,0.0413,-0.0085,0.9907
53,0.0220,-0.0208,0.9802
54,0.0164,0.0032,0.9878
55,0.0063,-0.0476,0.9741
56,-0.0117,0.0161,0.9868
57,-0.0320,0.0159,0.9712
58,-0.0227,-0.0103,0.9778
59,-0.0122,-0.0063,0.9907
60,0.0093,0.0115,0.9856
61,0.0188,-0.0115,0.9641
62,-0.0012,-0.0056,0.9978
63,0.0105,-0.0017,0.9729
64,-0.0237,-0.0286,0.9751
65,-0.0403,0.0227,0.9897
66,-0.0342,-0.0112,0.9731
67,-0.0039,0.0017,0.9944
68,0.0271,0.0144,0.9731
69,0.0356,0.0024,0.9895
70,0.0430,-0.0327,0.9771
71,0.0010,-0.0081,0.9800
72,-0.0286,0.0159,0.9836
73,-0.0593,-0.0181,0.9700
74,-0.0435,-0.0134,0.9976
75,-0.0044,0.0095,0.9827
76,0.0281,0.0205,0.9761
77,0.0403,-0.0059,0.9680
78,0.0078,0.0103,0.9976
79,0.0042,-0.0176,0.9622
80,-0.0645,-0.0193,0.9875
81,-0.0327,-0.0071,0.9800
82,-0.0227,-0.0210,0.9817
83,0.0039,-0.0164,0.9856
84,0.0303,-0.0071,0.9751
85,0.0386,-0.0042,0.9897
86,0.0066,-0.0090,0.9722
87,-0.0005,0.0222,0.9839
88,-0.0032,0.0320,0.9797
89,-0.0625,-0.0122,0.9641
90,-0.0298,-0.0042,0.9946
91,-0.0137,-0.0283,0.9868
92,0.0068,0.0015,0.9846
93,0.0295,-0.0210,0.9800
94,0.0203,-0.0273,0.9878
95,0.0105,-0.0083,0.9683
96,-0.0259,0.0073,0.9885
97,-0.0300,-0.0066,0.9641
98,-0.0344,-0.0044,0.9868
99,-0.0071,0.0232,0.9758
100,0.0081,-0.0042,0.9800
101,0.0234,0.0095,0.9817
102,0.0330,0.0012,1.0015
103,0.1682,-0.0515,1.0383
104,0.3716,-0.0747,1.0286
105,0.6206,0.2429,1.0500
106,0.7876,0.5374,0.9329
107,0.8882,0.6321,0.8948
108,0.7651,0.5569,0.8772
109,0.4563,0.5483,0.9282
110,0.1299,0.6353,0.9419
111,-0.1780,0.6794,0.9670
112,-0.2229,0.6968,1.0103
113,-0.0408,0.6372,1.0229
114,0.3872,0.6233,1.0022
115,0.7212,0.7366,0.9719
116,0.8655,0.7798,0.9858
117,0.7573,0.4661,1.0217
118,0.5068,0.4192,1.0715
119,0.2886,0.2366,1.0530
120,0.1313,0.2949,0.9954
121,0.2629,0.3013,0.9390
122,0.5530,0.4351,0.9536
123,0.7710,0.4807,0.8850
124,0.9302,0.5867,0.9075
125,0.8176,0.6235,0.9116
126,0.5132,0.4426,0.9094
127,0.2656,0.2688,0.9995
128,0.0854,0.1184,1.0256
129,0.0747,0.2327,1.0229
130,0.2698,0.5039,0.9995
131,0.4534,0.5867,0.9546
132,0.6382,0.6311,0.9954
133,0.6116,0.6040,0.9966
134,0.4465,0.5771,0.9839
135,0.2898,0.4983,0.9709
136,0.0723,0.4084,1.0022
137,0.0635,0.4019,0.9956
138,0.1548,0.4583,0.9968
139,0.3589,0.4163,0.9631
140,0.4927,0.3186,0.9690
141,0.5513,0.2844,1.0022
142,0.5620,0.1472,0.9856
143,0.4182,0.1506,0.9985
144,0.3132,0.2659,0.9724
145,0.3147,0.2891,0.9604
146,0.3716,0.2605,0.9583
147,0.4219,0.3801,0.9507
148,0.4878,0.4602,0.9250
149,0.5051,0.4116,0.9233
150,0.4729,0.4678,0.9731
151,0.3303,0.3755,0.9429
152,0.1802,0.3352,1.0090
153,-0.0999,0.3899,0.9885
154,-0.4460,0.3926,0.9885
155,-0.7290,0.2144,0.9702
156,-1.0457,-0.1655,1.0500
157,-1.0837,-0.5747,1.1057
158,-0.8374,-0.8376,1.1685
159,-0.3872,-0.6267,1.0923
160,0.2463,-0.5222,0.9253
161,0.7856,-0.5630,0.8743
162,1.0393,-0.5344,0.8433
163,0.9292,-0.4282,0.8665
164,0.5449,-0.2468,0.9272
165,0.0640,-0.1047,0.9280
166,-0.2883,-0.1938,0.9426
167,-0.3462,-0.2761,1.0103
168,-0.1924,-0.1516,1.0383
169,0.0977,0.2422,1.0483
170,0.2266,0.6604,1.0071
171,0.2830,1.0295,0.9954
172,0.2720,1.1501,0.9426
173,0.0823,1.0120,0.9172
174,0.0132,0.8342,0.9807
175,-0.0266,0.4944,1.0452
176,0.0042,0.3440,1.0901
177,0.1987,0.4202,1.0803
178,0.2610,0.2502,1.0063
179,0.2336,0.0767,0.9971
180,0.1072,0.0906,0.9055
181,-0.2300,-0.0352,1.0142
182,-0.3882,-0.2039,0.8960
183,-0.3857,-0.4697,0.9329
184,-0.2141,-0.5637,0.9800
185,-0.0391,-0.2742,0.9751
186,0.0762,-0.5029,0.8616
187,0.0930,-0.6228,0.9917
188,0.0979,-0.7104,1.0139
189,-0.1016,-0.5789,1.0093
190,-0.1760,-0.4111,1.0149
191,-0.2788,-0.4558,1.0044
192,-0.2280,-0.4534,1.0669
193,-0.0969,-0.2363,1.0344
194,0.0171,-0.0989,0.9250
195,0.0063,0.0940,0.9534
196,0.0334,0.2715,0.9341
197,-0.0830,0.2334,0.9546
