Sample,X,Y,Z
0,0.0276,-0.0183,0.9692
1,0.0266,-0.0342,0.9839
2,0.0059,-0.0269,0.9944
3,-0.0059,0.0139,0.9819
4,-0.0471,-0.0256,0.9729
5,-0.0425,-0.0142,0.9944
6,-0.0325,-0.0144,0.9917
7,-0.0088,-0.0051,0.9634
8,0.0076,0.0105,0.9758
9,0.0269,-0.0122,0.9790
10,0.0308,-0.0303,0.9927
11,0.0029,0.0513,0.9868
12,-0.0154,-0.0291,0.9524
13,-0.0203,-0.0247,1.0083
14,-0.0176,-0.0378,0.9966
15,-0.0159,-0.0347,0.9839
16,-0.0168,0.0322,0.9934
17,-0.0198,-0.0232,0.9641
18,0.0024,0.0168,0.9875
19,0.0066,0.0286,0.9790
20,-0.0032,-0.0256,0.9644
21,-0.0046,-0.0317,0.9944
22,0.0107,0.0054,1.0042
23,-0.0115,-0.0061,0.9683
24,0.0061,0.0261,0.9788
25,0.0073,-0.0476,0.9946
26,0.0005,-0.0759,0.9907
27,-0.0271,-0.0103,0.9907
28,-0.0471,0.0249,0.9719
29,-0.0449,0.0093,0.9709
30,0.0068,0.0198,0.9819
31,0.0288,-0.0327,0.9817
32,0.0405,-0.0244,0.9829
33,0.0234,-0.0356,0.9778
34,-0.0095,0.0381,1.0037
35,-0.0374,0.0186,0.9771
36,-0.0520,-0.0215,0.9819
37,-0.0393,-0.0381,0.9985
38,0.0059,-0.0354,0.9817
39,0.0254,-0.0134,0.9719
40,0.0317,0.0227,0.9729
41,0.0249,-0.0183,0.9875
42,0.0076,0.0071,0.9973
43,-0.0232,0.0042,0.9729
44,-0.0439,-0.0061,0.9641
45,-0.0525,-0.0120,0.9983
46,-0.0176,-0.0242,0.9858
47,-0.0032,-0.0024,0.9907
48,0.0317,0.0239,0.9875
49,0.0300,-0.0586,0.9788
50,0.0261,-0.0161,1.0032
51,-0.0022,-0.0242,0.9702
52,-0.0325,-0.0181,0.9719
53,-0.0513,-0.0044,0.9866
54,-0.0405,-0.0273,0.9829
55,-0.0171,0.0063,0.9788
56,0.0173,0.0125,0.9731
57,0.0298,-0.0020,0.9729
