Sample,X,Y,Z
0,-0.0205,-0.0657,0.9692
1,-0.1147,-0.0469,0.9993
2,-0.1423,-0.0242,0.9868
3,-0.1174,-0.0264,0.9731
4,-0.0005,0.0505,0.9771
5,0.0986,0.0200,0.9592
6,0.1489,0.0251,0.9829
7,0.1182,-0.0149,0.9749
8,0.0476,-0.0332,0.9917
9,-0.0613,-0.0103,0.9995
10,-0.1584,0.0034,0.9839
11,-0.1472,0.0015,0.9856
12,-0.1150,-0.0576,0.9788
13,0.0093,-0.0432,0.9827
14,0.1213,-0.0098,0.9829
15,0.1128,0.0229,0.9731
16,0.1160,0.0137,0.9683
17,0.0383,0.0535,0.9885
18,-0.0684,0.0862,0.9683
19,-0.0786,-0.0071,0.9741
20,-0.0916,-0.0889,1.0015
21,-0.1057,-0.1470,1.0002
22,-0.0500,-0.0850,1.0051
23,-0.0049,0.0417,0.9895
24,0.0532,0.1116,0.9624
25,0.1074,0.0403,0.9517
26,0.1099,0.0374,0.9788
27,0.0771,-0.0273,0.9673
28,0.0044,-0.0962,0.9895
29,-0.0879,-0.0464,0.9993
30,-0.1375,-0.0017,0.9839
31,-0.1626,0.0237,0.9895
32,-0.1123,0.0247,0.9836
33,0.0159,0.0457,0.9761
34,0.1238,-0.0208,0.9712
35,0.1956,-0.0764,0.9854
36,0.1460,-0.1001,0.9963
37,0.0422,-0.0002,0.9915
38,-0.0713,0.0583,0.9622
39,-0.1628,0.0962,0.9602
40,-0.1785,0.0349,0.9749
41,-0.1099,-0.0286,0.9731
42,-0.0427,-0.0923,0.9927
43,0.0859,-0.0793,1.0090
44,0.1362,-0.0208,0.9915
45,0.1086,0.0664,0.9810
46,0.0654,0.0378,0.9575
47,0.0015,-0.0022,0.9878
48,-0.0918,-0.0371,0.9878
49,-0.1023,-0.0601,0.9661
50,-0.1240,-0.0137,0.9849
51,-0.0400,0.0750,0.9780
52,0.0327,0.0378,0.9631
53,0.0833,0.0293,0.9966
54,0.1040,-0.0488,1.0032
55,0.0659,-0.0901,0.9976
56,-0.0205,-0.0781,0.9866
57,-0.0549,-0.0203,0.9719
58,-0.1187,0.0232,0.9575
59,-0.1299,0.0278,0.9546
60,-0.0669,0.0168,0.9758
61,0.0413,0.0796,0.9868
62,0.1179,0.0303,0.9758
63,0.1599,-0.0190,0.9946
64,0.1050,-0.0681,0.9973
65,-0.0103,-0.0442,0.9983
66,-0.0935,-0.0449,0.9771
67,-0.1724,-0.0398,0.9888
68,-0.1765,-0.0276,0.9839
69,-0.0698,-0.0183,0.9780
70,0.0286,0.0261,0.9741
71,0.1345,0.0601,0.9536
72,0.1724,0.0349,0.9514
73,0.0935,0.0510,0.9761
74,-0.0154,-0.0291,0.9722
75,-0.0945,-0.0598,1.0081
76,-0.1487,-0.0215,1.0142
77,-0.0930,-0.0386,0.9907
78,-0.0239,-0.0508,0.9885
79,0.0552,-0.0156,0.9875
80,0.0664,-0.0405,0.9751
81,0.0566,0.0361,0.9819
82,0.0381,0.0303,0.9651
83,0.0046,0.0693,0.9656
84,-0.0132,0.0208,0.9497
85,-0.0322,-0.0190,0.9839
86,-0.0750,-0.0237,0.9917
87,-0.1057,-0.0706,0.9956
88,-0.0732,-0.0339,1.0098
89,-0.0085,-0.0249,0.9958
90,0.0776,-0.0247,0.9749
91,0.1172,0.0156,0.9741
92,0.1162,0.0491,0.9670
93,0.0449,0.0063,0.9683
94,-0.0308,-0.0242,0.9858
95,-0.1133,0.0083,0.9993
96,-0.1506,0.0090,0.9810
97,-0.1001,-0.0449,0.9749
98,-0.0195,-0.0369,1.0015
99,0.0317,0.0200,0.9827
100,0.1094,-0.0222,0.9507
101,0.1025,-0.0479,0.9917
102,0.0588,-0.0369,1.0044
103,0.0188,0.0327,0.9729
104,-0.0708,0.0513,0.9573
105,-0.0923,0.0256,0.9719
106,-0.1311,-0.0220,1.0034
107,-0.0872,0.0046,0.9849
108,0.0129,-0.0750,0.9800
109,0.0793,0.0110,1.0103
110,0.1074,-0.0010,0.9741
111,0.1116,-0.0020,0.9731
112,0.0376,-0.0554,0.9875
113,-0.0178,-0.0225,0.9868
114,-0.1257,-0.0110,0.9670
115,-0.1663,-0.0063,0.9619
116,-0.1404,-0.0054,0.9797
117,-0.0249,0.0608,0.9819
118,0.0901,0.0881,0.9556
119,0.1665,0.0122,0.9573
120,0.1355,-0.0996,1.0005
121,0.0681,-0.0535,1.0366
122,-0.0542,-0.0271,0.9995
123,-0.1472,-0.0310,0.9827
124,-0.1714,-0.0337,0.9888
125,-0.0989,0.0142,0.9778
126,-0.0251,-0.0010,0.9497
127,0.1057,0.0210,0.9487
128,0.1741,0.0112,0.9614
129,0.1021,0.0117,0.9858
130,0.0491,0.0432,0.9885
131,-0.0781,0.0056,0.9985
132,-0.1660,-0.0125,0.9868
133,-0.1375,-0.0439,0.9963
134,-0.0930,-0.0496,1.0090
135,0.0261,-0.0598,0.9690
136,0.1421,-0.0281,0.9758
137,0.1465,0.0039,0.9858
138,0.1006,0.0251,0.9839
139,-0.0181,-0.0159,0.9729
140,-0.1111,-0.0088,0.9836
141,-0.1541,0.0447,0.9749
142,-0.1072,0.0635,0.9563
143,-0.0513,0.0315,0.9585
144,0.0479,-0.0442,0.9800
145,0.1255,-0.0913,1.0061
146,0.1069,-0.0225,1.0168
147,0.0586,-0.0447,0.9946
148,-0.0132,-0.0461,1.0120
149,-0.0771,-0.0088,0.9907
150,-0.0872,0.0330,0.9524
151,-0.1042,0.0317,0.9290
152,-0.0437,0.0386,0.9546
153,-0.0020,0.0129,0.9778
154,0.0422,0.0156,0.9849
155,0.1077,-0.0288,1.0042
156,0.0693,-0.0122,1.0159
157,0.0049,-0.0632,0.9849
158,-0.0366,-0.0347,0.9956
159,-0.1130,-0.0364,0.9702
160,-0.0850,-0.0310,0.9651
161,-0.0554,-0.0146,0.9741
162,0.0105,0.0444,0.9702
163,0.0720,0.0596,0.9692
164,0.0742,0.0774,0.9888
165,0.0544,0.0332,0.9866
166,0.0288,-0.0386,0.9905
167,-0.0444,-0.1038,0.9966
168,-0.0957,-0.0940,1.0002
169,-0.1121,-0.0671,0.9749
170,-0.0879,-0.0020,0.9768
171,-0.0110,0.0464,0.9644
172,0.0935,0.0686,0.9680
173,0.1165,0.0854,0.9790
174,0.0833,0.0115,0.9653
175,0.0266,-0.0701,0.9927
176,-0.0415,-0.0344,1.0061
177,-0.0896,-0.0134,0.9839
178,-0.1260,-0.0139,0.9651
179,-0.0696,-0.0627,0.9836
180,-0.0276,-0.0317,1.0200
181,0.0454,0.0085,0.9778
182,0.1145,-0.0127,0.9675
183,0.0789,0.0422,0.9768
184,0.0466,0.0078,0.9543
185,-0.0154,0.0664,0.9866
186,-0.0942,0.0452,0.9517
187,-0.0986,-0.0696,0.9800
188,-0.0979,-0.0635,1.0393
189,-0.0305,-0.0188,1.0120
190,0.0435,-0.0781,0.9631
191,0.0786,-0.0686,0.9915
192,0.1011,0.0271,0.9800
193,0.0581,0.1128,0.9546
194,-0.0452,0.0676,0.9377
195,-0.0649,-0.0190,0.9780
196,-0.1038,-0.0403,1.0171
197,-0.0635,0.0024,1.0032
198,-0.0205,-0.0540,0.9592
199,0.0415,-0.0405,0.9963
200,0.0688,-0.0034,0.9963
201,0.0549,0.0100,0.9631
202,0.0361,-0.0537,0.9868
203,0.0139,0.0300,0.9888
204,-0.0813,-0.0430,0.9573
205,-0.1091,0.0437,0.9983
206,-0.0876,0.0305,0.9641
207,-0.0195,0.0056,0.9758
208,0.0691,0.0020,0.9692
209,0.1079,-0.0310,0.9641
210,0.0693,-0.0171,1.0054
211,0.0056,-0.0220,0.9963
212,-0.0435,-0.0310,0.9993
213,-0.1187,-0.0049,1.0083
214,-0.0947,-0.0430,0.9807
215,-0.0291,-0.0229,0.9915
216,0.0205,0.0093,0.9517
217,0.1008,-0.0139,0.9368
218,0.0964,0.0840,0.9858
219,0.0303,0.0222,0.9612
220,-0.0210,0.0483,1.0005
221,-0.0947,-0.0251,0.9829
222,-0.0840,-0.0474,1.0071
223,-0.0708,-0.0725,1.0100
224,-0.0159,-0.0686,0.9917
225,0.0491,-0.0771,0.9692
226,0.0576,-0.0425,0.9670
227,0.0537,0.0688,0.9836
228,0.0054,0.1304,0.9497
229,-0.0393,0.0518,0.9397
230,-0.0212,0.0156,1.0005
231,-0.0288,0.0120,0.9963
232,-0.0085,-0.0310,0.9868
233,0.0034,-0.1343,0.9856
234,0.0024,-0.0945,1.0278
235,-0.0298,-0.0249,0.9907
236,-0.0439,0.0010,0.9631
237,-0.0449,0.0190,0.9749
238,0.0222,0.0640,0.9690
239,0.0549,0.0635,0.9604
240,0.0620,0.0171,0.9495
241,0.0415,-0.0439,0.9790
242,-0.0317,-0.0222,1.0132
243,-0.0764,0.0010,0.9927
244,-0.0613,-0.0181,0.9856
245,-0.0493,-0.0461,0.9878
246,-0.0061,-0.0486,0.9927
247,0.0293,-0.0361,0.9866
248,0.0623,0.0178,0.9829
249,0.0339,0.0051,0.9663
250,0.0291,0.0225,0.9741
251,-0.0156,0.0681,0.9819
252,-0.0574,0.0027,0.9387
253,-0.0393,-0.0393,0.9788
254,-0.0569,0.0125,1.0171
255,-0.0479,-0.0342,0.9839
256,0.0168,-0.0532,0.9905
257,0.0337,-0.0090,1.0122
258,0.0676,0.0022,0.9749
259,0.0591,-0.0303,0.9739
260,-0.0122,-0.0376,0.9712
261,-0.0281,-0.0112,0.9673
262,-0.0317,0.0383,0.9702
263,-0.0876,0.0447,0.9604
264,-0.0459,0.0439,0.9878
265,-0.0281,-0.0493,0.9897
266,0.0190,-0.0012,1.0256
267,0.0652,-0.0244,0.9739
268,0.0691,-0.0583,0.9644
269,0.0312,-0.0515,0.9985
270,-0.0210,-0.0369,0.9810
271,-0.0684,0.0127,0.9751
272,-0.0864,0.0408,0.9778
273,-0.0562,0.0217,0.9771
274,0.0305,0.0308,0.9917
275,0.0708,-0.0034,0.9644
276,0.0735,-0.0359,0.9553
277,0.0269,-0.0232,0.9780
278,-0.0759,-0.0198,0.9993
279,-0.0969,-0.0103,0.9966
280,-0.0806,-0.0271,0.9963
281,0.0061,0.0068,0.9878
282,0.0771,0.0127,0.9780
283,0.0525,-0.0286,0.9717
284,0.0647,-0.0125,0.9790
285,-0.0188,-0.0627,0.9800
286,-0.0808,-0.0042,0.9817
287,-0.0735,0.0571,0.9771
288,-0.0659,0.0732,0.9670
289,0.0232,0.0017,0.9749
290,0.0811,-0.0278,1.0022
291,0.0750,-0.0254,1.0017
292,0.0474,-0.0847,0.9771
293,-0.0437,-0.0864,1.0015
294,-0.0840,-0.0081,0.9915
295,-0.0876,0.0266,0.9556
296,-0.0635,0.0576,0.9722
297,-0.0315,0.0210,0.9604
298,0.0439,0.0315,0.9790
299,0.1172,0.0242,0.9761
300,0.1228,0.0117,0.9858
301,0.0703,-0.0356,0.9827
302,-0.0364,-0.1226,0.9875
303,-0.1489,-0.0771,1.0381
304,-0.1562,0.0027,1.0042
305,-0.1406,0.0105,0.9607
306,-0.0291,0.0081,0.9553
307,0.1265,0.0078,0.9675
308,0.1309,0.0498,0.9631
309,0.1497,0.0437,0.9399
310,0.0645,0.0056,0.9780
311,-0.0776,-0.0254,1.0171
312,-0.0972,-0.0381,1.0083
313,-0.1384,-0.0327,1.0081
314,-0.0837,-0.0249,0.9895
315,-0.0020,-0.0991,0.9768
316,0.0337,-0.0024,0.9993
317,0.0867,-0.0051,0.9507
318,0.0798,0.0171,0.9514
319,0.0229,0.0532,0.9709
320,-0.0085,0.0798,0.9712
321,-0.0681,0.0432,0.9827
322,-0.0776,-0.0117,0.9839
323,-0.0688,-0.0652,1.0044
324,-0.0159,-0.0498,0.9993
325,0.0422,-0.0881,0.9905
326,0.0747,-0.0291,0.9875
327,0.0632,-0.0139,0.9722
328,0.0156,0.0518,0.9849
329,-0.0779,-0.0210,0.9612
330,-0.0647,0.0295,0.9946
331,-0.0815,0.0491,0.9653
332,-0.0303,0.0522,0.9543
333,0.0476,-0.0059,0.9797
334,0.0540,-0.0532,0.9963
335,0.0701,-0.0869,0.9788
336,0.0315,-0.0703,0.9954
337,-0.0435,-0.0369,0.9944
338,-0.0913,-0.0256,0.9937
339,-0.1326,0.0454,0.9878
340,-0.0676,0.0972,0.9624
341,0.0508,0.0679,0.9524
342,0.1165,0.0281,0.9661
343,0.1538,-0.0056,0.9817
344,0.0718,-0.1096,0.9868
345,-0.0479,-0.1394,1.0210
346,-0.1118,-0.0525,1.0171
347,-0.1538,0.0281,0.9810
348,-0.1079,0.0427,0.9492
349,-0.0210,0.0659,0.9592
350,0.0540,0.0549,0.9573
351,0.1326,0.0264,0.9614
352,0.1309,-0.0303,0.9866
353,0.0442,-0.0532,1.0129
354,-0.0044,-0.0757,0.9983
355,-0.1162,-0.1006,1.0012
356,-0.1614,0.0132,0.9924
357,-0.0754,0.0938,0.9475
358,-0.0540,0.0342,0.9517
359,0.0220,0.0103,0.9858
360,0.1440,-0.0425,0.9875
361,0.1047,-0.0405,0.9966
362,0.0874,-0.0549,0.9836
363,0.0134,-0.0164,0.9888
364,-0.1145,0.0188,0.9780
365,-0.1531,-0.0288,0.9524
366,-0.1548,0.0361,0.9946
367,-0.0569,0.1079,0.9702
368,0.0676,-0.0469,0.9553
369,0.1787,-0.0667,1.0247
370,0.1487,-0.0466,1.0151
371,0.0684,0.0112,0.9788
372,-0.0273,-0.0242,0.9624
373,-0.1423,-0.0237,1.0129
374,-0.1724,0.0376,0.9673
375,-0.1113,-0.0181,0.9417
376,-0.0295,-0.0232,0.9761
