Sample,X,Y,Z
0,0.1055,0.0063,0.9788
1,0.0500,0.0134,0.9700
2,0.0049,-0.0896,0.9712
3,-0.0645,-0.0461,1.0051
4,-0.1216,0.0303,0.9790
5,-0.0769,0.0361,0.9456
6,-0.0447,-0.0195,0.9722
7,-0.0151,-0.0271,1.0210
8,0.1008,0.0105,0.9673
9,0.1160,0.0039,0.9563
10,0.0583,0.0020,0.9995
11,-0.0012,-0.0850,0.9966
12,-0.0647,0.0164,0.9963
13,-0.0759,0.0457,0.9360
14,-0.0803,0.0293,0.9917
15,-0.0693,-0.0398,0.9946
16,0.0430,-0.1206,0.9690
17,0.0769,0.0120,1.0005
18,0.0505,0.0916,0.9585
19,0.0222,-0.0703,0.9426
20,-0.0205,-0.0200,1.0327
21,-0.0129,0.0210,0.9731
22,-0.0256,0.0344,0.9680
23,-0.0217,-0.0122,0.9663
24,-0.0139,-0.0740,1.0093
25,-0.0115,0.0464,0.9946
26,-0.0276,0.0261,0.9387
27,-0.0115,0.0122,0.9924
28,-0.0105,-0.0774,0.9888
29,0.0071,-0.0027,1.0090
30,0.0139,-0.0396,0.9426
31,0.0571,-0.0352,0.9976
32,0.0542,-0.0085,0.9946
33,-0.0117,-0.0081,0.9563
34,-0.0579,0.0500,0.9670
35,-0.0979,0.0334,0.9790
36,-0.0505,-0.0115,0.9722
37,-0.0103,0.0042,0.9905
38,0.0425,0.0234,0.9866
39,0.0635,-0.0615,0.9788
40,0.0461,-0.0576,1.0081
41,0.0029,-0.0437,0.9856
42,-0.0461,0.0229,0.9797
43,-0.0681,0.0481,0.9670
44,-0.0593,-0.0068,0.9670
45,-0.0005,-0.0195,0.9961
46,0.0518,-0.0305,0.9641
47,0.0771,-0.0002,0.9915
48,0.0542,-0.0154,0.9624
49,-0.0210,-0.0474,0.9915
50,-0.0764,-0.0220,0.9849
51,-0.1062,-0.0005,0.9807
52,-0.0535,0.0984,0.9780
53,0.0002,0.0205,0.9592
54,0.0300,-0.0154,1.0024
55,0.0581,-0.0757,0.9946
56,0.0776,0.0020,0.9861
57,0.0398,0.0068,0.9653
58,-0.0066,-0.0322,0.9873
59,-0.0435,-0.0806,0.9885
60,-0.0574,-0.0295,0.9856
61,-0.0664,0.0615,0.9585
62,-0.0508,0.0454,0.9399
63,-0.0212,0.0046,0.9788
64,0.0088,-0.0215,0.9937
65,0.0332,-0.0022,0.9761
66,0.0378,0.0352,0.9924
67,0.0542,-0.0005,0.9810
68,0.0476,-0.0862,1.0100
69,-0.0044,-0.0486,1.0054
70,-0.0420,-0.0166,0.9700
71,-0.0447,0.0317,0.9712
72,-0.0515,-0.0281,0.9700
73,-0.0552,-0.0200,1.0122
74,-0.0300,0.0679,0.9634
75,0.0242,0.0696,0.9341
76,0.0339,0.0288,0.9927
77,0.0283,-0.1123,0.9946
78,0.0437,-0.0730,1.0002
79,0.0139,-0.0071,0.9810
80,-0.0032,-0.0227,0.9797
81,-0.0530,-0.0657,1.0046
82,-0.0562,0.0088,0.9917
83,-0.0269,0.0615,0.9370
84,-0.0215,0.0879,0.9670
85,-0.0134,0.0439,0.9846
86,0.0391,-0.0273,0.9810
87,0.0110,-0.0127,0.9954
88,0.0222,-0.0388,0.9956
89,0.0269,-0.0613,0.9954
90,0.0015,-0.0625,0.9907
91,0.0122,-0.0466,0.9729
92,-0.0259,-0.0117,0.9751
93,-0.0730,0.0706,0.9670
94,-0.0334,0.0347,0.9543
95,-0.0051,0.0330,0.9661
96,0.0137,0.0037,0.9778
97,0.0112,-0.0259,0.9885
98,0.0088,-0.0334,0.9915
99,0.0249,-0.0603,0.9746
100,-0.0098,-0.0454,1.0168
101,-0.0247,-0.0076,0.9907
102,-0.0493,-0.0200,0.9592
103,-0.0962,0.2578,1.0325
104,-0.0442,0.5637,0.9495
105,0.0288,0.8306,0.8755
106,0.0327,1.2590,0.9280
107,-0.1052,1.5012,0.8518
108,-0.2563,1.5249,0.8442
109,-0.4370,1.4546,0.9458
110,-0.5740,1.2844,1.0227
111,-0.4617,1.2522,1.0559
112,-0.1941,1.2356,1.0354
113,0.1331,1.2219,1.0364
114,0.3247,1.0217,0.9963
115,0.3438,0.8833,0.9868
116,0.1614,0.8755,0.9595
117,0.0364,0.8218,0.9365
118,-0.0098,0.5833,0.9270
119,0.1816,0.4055,1.0002
120,0.3674,0.5684,0.7778
121,0.3379,0.4131,0.9722
122,0.1455,0.1670,0.9795
123,-0.1384,-0.1519,1.0881
124,-0.2781,0.0652,1.0413
125,-0.1968,0.9185,0.9292
126,0.0608,1.2280,0.7798
127,0.1357,1.2981,0.9299
128,0.0762,1.1519,0.7739
129,-0.0874,1.2339,1.0737
130,-0.0984,1.1711,0.9114
131,-0.2583,0.5005,1.1274
132,-0.1692,0.3516,1.2241
133,-0.1140,0.4253,1.1196
134,-0.0046,0.7144,0.9966
135,0.0212,0.9487,0.8901
136,0.0674,0.9038,0.8950
137,0.0078,1.0376,0.8364
138,-0.0300,1.1216,0.7954
139,-0.1636,1.1382,0.8159
140,-0.1719,1.1089,0.9194
141,-0.0564,0.7610,0.9563
142,-0.0032,0.3999,1.0190
143,-0.0391,0.5833,1.1492
144,0.0142,0.5364,1.0256
145,-0.0676,0.7053,1.0208
146,-0.0737,0.7698,1.0422
147,-0.0037,0.8469,0.9866
148,0.0603,0.8618,0.8979
149,0.0261,1.0190,0.9155
150,-0.0090,0.9272,0.8940
151,-0.0894,0.9116,0.9019
152,-0.0061,0.7717,0.9719
153,0.0950,0.7297,0.9592
154,0.0449,0.1257,0.9565
155,-0.1514,-0.3191,1.1646
156,-0.3633,-0.5496,1.1665
157,-0.2371,-1.3054,0.9692
158,0.1296,-1.0837,1.2358
159,0.5559,-1.0945,1.0083
160,0.7466,-1.0688,0.8977
161,0.6226,-0.9761,0.8752
162,0.1326,-1.1479,0.9075
163,-0.3521,-1.1384,0.8774
164,-0.6287,-0.6841,0.9309
165,-0.5298,-0.0681,0.9507
166,-0.1316,0.1316,0.8586
167,0.3118,0.6411,1.0132
168,0.5300,0.8618,0.9087
169,0.4670,0.9321,0.9165
170,0.0801,1.5581,1.0259
171,-0.3921,1.5679,0.8833
172,-0.6772,1.3433,0.9517
173,-0.7292,1.4573,1.1917
174,-0.4185,1.0825,1.0396
175,0.0786,0.6880,1.0356
176,0.3950,0.5247,1.1721
177,0.5530,0.0037,1.0796
178,0.4563,-0.1606,1.0728
179,0.2385,-0.2380,1.0112
180,-0.0291,-0.2676,0.9253
181,-0.1138,-0.3608,0.8535
182,-0.0884,-0.2446,0.8313
183,-0.0193,-0.5007,0.7632
184,0.0283,-0.5737,0.9006
185,-0.0793,-0.6704,0.9290
186,-0.0745,-0.4907,0.9993
187,-0.0935,-0.5007,0.9731
188,-0.0659,-0.6150,1.0562
189,0.0093,-0.3108,1.1333
190,-0.0308,-0.1304,1.0198
191,-0.0625,-0.0247,0.9917
192,-0.1443,-0.0542,1.0588
193,-0.1248,0.1172,1.0835
194,0.0410,0.0293,0.9099
195,0.1492,-0.1436,0.9827
196,0.2104,-0.1401,1.0432
197,0.1831,-0.1304,0.9622
198,0.0051,-0.0876,0.8958
199,-0.1328,0.0037,0.9897
200,-0.2361,-0.1104,0.9556
201,-0.2695,-0.0154,0.9563
202,-0.1084,0.0696,0.9739
203,0.0581,0.1443,0.9846
204,0.1709,0.3967,0.9797
205,0.3374,0.0195,0.8840
206,0.2292,0.2041,1.0933
207,0.0483,0.2246,0.9888
208,-0.2073,0.1663,0.9211
209,-0.3098,0.1987,1.0222
210,-0.2681,0.0195,1.0132
211,-0.0845,0.2229,0.9915
212,0.0051,0.1528,0.8989
213,0.0745,0.3267,1.0562
214,-0.0034,0.1592,0.8948
215,-0.0186,0.0754,1.0090
216,0.0010,0.1995,0.9778
217,-0.0510,0.0212,0.9429
218,-0.1003,-0.0444,0.9895
219,-0.1306,-0.3438,0.9436
220,-0.0815,0.0757,1.1255
221,-0.0325,-0.2258,0.8638
222,0.1079,-0.5903,0.9856
223,0.0837,-0.4285,1.1558
224,0.1091,-0.2639,0.9116
225,0.1355,0.0166,0.8530
226,0.1033,0.4158,1.0129
227,0.0645,-0.1807,0.8333
228,0.0088,-0.1396,1.0620
229,-0.1479,0.1216,1.0471
230,-0.1167,-0.0276,0.9497
231,-0.0232,-0.1194,1.0022
232,0.0686,-0.0725,1.1235
233,0.0642,-0.0811,0.9956
234,0.0320,0.1101,0.9377
235,-0.1169,0.1204,0.9341
236,-0.1501,-0.0098,1.0002
237,-0.1155,0.0933,0.9429
238,-0.1121,-0.0676,0.8879
239,-0.0112,0.1755,1.0210
240,0.0146,0.1372,0.9456
241,0.0269,0.0361,0.9370
242,0.1028,0.0093,1.0063
243,0.0981,0.0447,1.0686
244,0.0901,-0.1179,0.9182
245,0.0420,-0.1736,1.0413
246,-0.0867,-0.0566,1.0676
247,-0.1267,-0.1958,0.8938
248,-0.1582,0.0601,1.0142
249,-0.1104,0.0244,0.8550
250,0.0029,0.1716,0.9739
251,0.0999,0.3328,0.9392
252,0.1582,-0.0132,0.9204
253,0.1233,-0.1941,1.0532
254,0.0239,0.0225,1.0171
255,0.0134,0.2561,1.0012
256,-0.0166,0.0095,0.9468
257,0.0100,-0.2468,1.0513
258,-0.0154,-0.1519,1.0715
259,-0.1638,0.1091,0.9319
260,-0.1440,0.2285,0.8794
261,-0.0889,-0.0745,0.9644
262,-0.0676,-0.2156,1.0542
263,0.0901,-0.0913,0.9622
264,0.1414,0.1086,1.0022
265,0.0110,0.1506,0.9290
266,-0.0107,-0.2256,0.9927
267,-0.0493,-0.0500,1.0532
268,0.0029,0.0183,0.9084
269,0.0479,0.3003,0.9146
270,-0.1074,0.1562,0.9458
271,-0.0479,0.0024,1.0198
272,0.0137,-0.1760,0.9692
273,0.0632,-0.1912,1.0239
274,0.1389,-0.0381,1.0415
275,0.0320,-0.1882,0.9709
276,-0.0947,-0.1936,1.0344
277,-0.1223,0.0332,1.0266
278,-0.1763,0.0173,0.9390
279,0.0000,0.2358,0.8989
280,0.0974,-0.0554,0.8921
281,0.1179,0.3894,1.0686
282,0.2034,0.0613,0.8267
283,0.0129,-0.1431,1.0149
284,-0.0728,-0.1208,1.0767
285,-0.0803,-0.0376,0.9758
286,-0.1155,0.0664,0.9641
287,-0.0210,0.0208,0.9810
288,0.0303,-0.0444,1.0151
289,-0.0015,0.1682,0.9807
290,-0.0349,0.1409,0.9436
291,-0.0374,-0.0063,0.9739
292,-0.0034,0.0430,1.0181
293,0.0789,0.2432,0.9917
294,0.0891,0.0605,0.9331
295,0.0896,-0.0864,1.0269
296,0.0205,-0.1907,1.0376
297,0.0073,-0.1448,1.0520
298,-0.0837,-0.1392,0.9290
299,-0.0615,0.0034,0.9624
300,-0.0027,0.2546,0.9622
301,-0.0977,0.2971,0.8547
302,-0.0432,0.1177,0.9097
303,0.0515,0.0994,1.0676
304,0.0596,-0.1670,0.9749
305,0.1050,-0.1262,1.0364
306,0.0930,0.0337,1.0649
307,-0.0217,-0.1230,0.9360
308,-0.0239,0.0728,1.0132
309,-0.0649,0.1868,0.9934
310,-0.0596,0.0627,0.8557
311,-0.0422,0.1392,0.9302
312,-0.0183,0.2166,1.0374
313,0.0105,-0.2068,0.9155
314,0.0239,-0.2114,1.0610
315,0.0776,-0.1602,1.0627
316,-0.0234,-0.3806,1.0093
317,-0.0979,-0.2017,1.0344
318,-0.1311,-0.2297,1.0168
319,-0.0596,-0.0718,0.9429
320,-0.0073,-0.0430,0.9019
321,0.0708,0.1372,0.9426
322,0.0730,0.1714,0.8901
323,-0.0002,-0.1147,0.9153
324,-0.0295,-0.0120,1.0735
325,-0.0425,-0.3008,0.9202
326,-0.0244,-0.0115,1.1345
327,-0.0400,0.0898,0.9866
328,-0.0852,-0.0317,0.9731
329,-0.0342,0.0232,1.0383
330,-0.0266,0.0076,1.0491
331,0.0393,0.0947,0.9727
332,0.0024,-0.0823,0.9106
333,0.0137,-0.0303,1.0364
334,0.0325,0.0225,0.9106
335,0.0232,0.4270,0.9436
336,-0.0024,0.1738,0.8254
337,-0.0425,-0.1028,1.0188
338,-0.0740,-0.2385,1.0803
339,0.0054,0.2236,1.0383
340,0.1077,0.0784,0.8501
341,0.1501,-0.0154,1.0776
342,0.0750,-0.2429,1.0239
343,-0.0779,0.0752,1.0356
344,-0.1082,0.2405,0.9241
345,-0.0615,0.2166,0.9253
346,-0.0066,-0.1089,0.9800
347,0.0308,-0.1899,1.0190
348,0.0569,-0.0474,0.9673
349,0.0232,0.0747,0.9124
350,-0.0256,-0.0579,0.9829
351,0.0078,-0.2898,0.9927
352,-0.1287,-0.2180,1.0198
353,-0.1492,0.0955,0.9514
354,-0.1753,0.0762,0.9438
355,-0.1492,-0.0312,0.9973
356,-0.0571,-0.0774,1.0188
357,-0.0305,-0.0603,0.9907
358,-0.0107,-0.0400,0.9937
359,0.0847,0.0022,1.0444
360,0.1130,-0.1863,0.9839
361,0.0581,-0.4312,0.9827
362,0.1145,0.1814,1.1077
363,0.0933,0.3599,0.8247
364,0.0632,0.2920,0.8638
365,-0.0759,0.1111,1.0334
366,-0.1919,-0.2668,0.9604
367,-0.1631,0.0496,1.0129
368,-0.0542,0.2883,0.9749
369,0.0474,-0.0354,0.9702
370,0.1057,-0.2654,1.0396
371,0.1707,-0.1980,1.0679
372,0.1753,0.1863,0.9221
373,-0.0215,0.3660,0.8762
374,-0.0198,0.0652,0.9497
375,-0.0681,-0.1475,1.0403
376,-0.0405,-0.1113,0.9780
377,0.0884,0.0579,0.9507
378,0.1187,-0.0029,0.9436
379,0.0356,-0.0942,1.0334
380,-0.0212,-0.1973,1.0159
381,-0.1096,0.0798,0.9954
382,-0.1313,-0.0530,0.8833
383,-0.0857,0.0129,1.0093
384,-0.1084,0.0242,1.0073
385,-0.1396,-0.1465,0.9197
386,-0.0525,0.0020,1.0044
387,0.1023,-0.0410,0.9868
388,0.1458,-0.2361,0.9771
389,0.1919,-0.2080,1.0286
390,0.1440,-0.0879,1.0256
391,-0.0356,-0.0547,0.9495
392,-0.1128,0.0737,1.0132
393,-0.1140,0.0950,0.9592
394,-0.0754,-0.1526,0.9390
395,0.0415,-0.0510,1.0229
396,0.0823,0.3499,1.0198
397,0.0620,0.1472,0.8264
398,0.0288,-0.1531,0.9692
399,0.0042,-0.1577,1.0803
400,0.0461,-0.0115,0.9915
401,0.0791,0.0293,0.9016
402,-0.0408,-0.0742,1.0168
403,-0.0869,-0.0327,1.0422
404,-0.1406,0.1072,0.9270
405,-0.0986,0.3096,0.9575
406,0.0391,0.1138,0.9263
407,0.1514,-0.0676,1.0081
408,0.1414,0.1626,1.0308
409,0.0208,0.0981,0.9380
410,-0.0090,0.1448,1.0415
411,0.0310,-0.0969,0.9175
412,0.0569,-0.2708,1.0688
413,0.0837,-0.0134,0.9797
414,-0.0945,0.0173,0.9065
415,-0.2168,0.1323,0.9907
416,-0.2544,-0.0793,0.9790
417,-0.0583,-0.1604,0.9954
418,0.1880,-0.1707,0.9446
419,0.2937,0.0933,1.0503
420,0.2058,-0.1643,0.8821
421,0.0569,-0.0876,1.0657
422,-0.1816,-0.0437,1.0142
423,-0.2539,-0.1191,0.9387
424,-0.1006,-0.0017,0.9797
425,0.0696,0.1377,0.9875
426,0.2263,0.0659,0.9165
427,0.1509,-0.1833,0.9399
428,0.0049,0.2622,1.0767
429,-0.1663,0.0559,0.8706
430,-0.1318,0.0176,1.0188
431,-0.0938,-0.2593,1.0432
432,-0.0020,-0.1343,1.0413
433,0.0708,0.2234,0.9573
434,0.1155,0.1931,0.9243
435,0.1228,0.0146,0.9983
436,0.1973,0.0623,1.0286
437,0.2573,0.0913,0.9280
438,0.1509,0.1240,0.9377
439,-0.0337,0.0574,0.9800
440,-0.1609,-0.2368,1.0178
441,-0.1155,-0.1353,1.0461
442,-0.0330,0.0310,0.9299
443,0.0471,0.3628,0.9849
444,0.0969,-0.1379,0.8511
445,-0.1099,-0.0596,1.0776
446,-0.2622,0.0359,0.9878
447,-0.3091,0.0442,0.9712
448,-0.1404,-0.0964,0.9797
449,0.0559,-0.3010,1.0200
450,0.1399,-0.3706,1.0442
451,0.1738,0.1863,1.0325
452,0.0601,-0.0049,0.8804
453,-0.0874,-0.4065,0.9644
454,-0.0559,-0.2002,1.1125
455,-0.0352,-0.0583,0.8811
456,0.0481,0.3066,0.9028
457,0.0161,0.2554,0.9419
458,-0.0786,-0.1724,0.9807
459,-0.1187,-0.2156,1.0317
460,-0.0823,0.1711,1.0417
461,0.0508,0.1753,0.9495
462,0.1582,0.0193,0.9634
463,0.0918,-0.4551,0.9856
464,-0.0127,-0.0422,1.1489
465,-0.0996,0.2554,0.8403
466,-0.0942,0.0701,0.9517
467,0.0239,-0.3052,1.0334
468,0.0437,-0.3167,1.0471
469,0.0120,0.0137,0.9534
470,-0.1123,0.4595,0.9028
471,-0.1560,0.1624,0.8694
472,-0.0688,-0.1748,1.0686
473,0.0271,-0.0496,1.0483
474,0.0669,0.1582,0.9592
475,0.0229,0.1838,0.9514
476,-0.0354,-0.1226,1.0051
477,-0.0894,-0.2798,1.1282
478,0.0371,-0.1528,1.0334
479,0.0735,0.0945,0.9526
480,0.0977,-0.0173,0.8813
481,-0.0488,-0.0193,1.0161
482,-0.1223,-0.0303,0.9299
483,-0.1206,0.1997,0.9302
484,-0.0178,0.1150,0.9243
485,0.0962,-0.0745,0.9221
486,0.0884,-0.0554,1.0940
487,0.0347,0.0747,0.9878
488,-0.0547,0.0098,1.0071
489,-0.0696,-0.2258,1.0239
490,-0.0557,-0.3472,1.0657
491,0.0308,-0.1348,1.0403
492,0.0159,-0.1140,0.9172
493,0.0469,0.0542,0.9458
494,0.0149,0.2786,0.9729
495,0.0034,0.2173,0.8481
496,-0.0991,0.0312,0.9558
497,-0.1292,-0.0916,1.0396
498,-0.0151,-0.0435,0.9937
499,0.0847,0.0864,0.9722
500,0.1470,0.0327,0.9429
501,0.0745,-0.0476,1.0552
502,-0.0410,-0.0781,1.0237
503,-0.1118,-0.1736,0.9946
504,-0.2036,-0.1482,1.0396
505,-0.0854,-0.1353,0.9712
506,0.0269,-0.1758,0.9683
507,0.0193,0.0422,1.0288
508,0.1018,0.0466,0.8911
509,0.0225,0.0056,0.9624
510,0.0022,0.0559,0.9739
511,-0.0164,-0.1152,0.9409
512,-0.0042,0.1021,0.9937
513,0.0620,0.0984,0.9514
514,0.0884,0.2004,1.0393
515,0.0425,-0.2529,0.9045
516,-0.0691,-0.1704,1.1360
517,-0.1770,0.1062,1.0151
518,-0.1482,0.0510,0.9094
519,0.0112,-0.1289,0.9885
520,0.0989,-0.2024,1.0630
521,0.1538,-0.1560,0.9465
522,0.0081,0.3157,0.9026
523,-0.1238,0.5002,0.9114
524,-0.0940,0.0515,0.9172
525,-0.0466,-0.2280,1.0227
526,0.0222,0.0525,1.0491
527,0.0325,0.3015,0.9575
528,0.0112,0.1050,0.9602
529,0.0208,-0.3657,1.0471
530,0.0808,-0.3455,1.1558
531,0.0225,-0.1396,0.9478
532,-0.0417,-0.0144,0.9036
533,-0.1191,0.1152,0.9944
534,-0.1428,-0.1211,0.9407
535,-0.0833,-0.0835,0.9524
536,0.0012,0.1577,0.8901
537,0.0906,0.2776,0.8977
538,0.1201,-0.0203,0.9614
539,0.1160,-0.2007,1.0647
540,0.0911,-0.0820,1.1128
541,-0.0022,-0.2214,0.9644
542,-0.0547,0.0212,1.0688
543,-0.0974,-0.1343,0.9663
544,-0.0845,-0.1284,1.0627
545,0.0085,-0.2393,0.9155
546,0.0527,0.3843,1.0220
547,0.0171,0.3618,0.7866
548,-0.0571,0.2583,0.9409
549,-0.0527,-0.0615,0.9446
550,-0.0229,-0.1482,1.0540
551,0.1279,0.2559,1.0239
552,0.1870,0.1882,0.8948
553,0.1294,-0.0649,1.0386
554,-0.0430,-0.1013,1.1392
555,-0.0974,-0.2717,0.9341
556,-0.1489,0.2097,1.0237
557,-0.0994,0.2234,0.8499
558,-0.0491,0.0046,0.9377
559,0.0842,-0.0400,0.9917
560,0.1345,-0.1096,0.9517
561,0.1360,0.1228,1.0217
562,0.0210,0.0303,0.8987
563,-0.0955,-0.1792,0.9868
564,-0.1355,0.0386,1.0959
565,-0.0969,0.0085,0.9058
566,-0.0320,0.1589,1.0168
567,0.1135,0.1731,0.8977
568,0.1479,0.0159,1.0149
569,0.1182,-0.1060,1.0073
570,-0.0366,-0.0911,1.0286
571,-0.1575,0.0535,1.0598
572,-0.1450,-0.2625,0.8899
573,-0.0715,-0.2651,1.1021
574,0.0552,-0.1282,0.9368
575,0.0325,0.0159,0.9172
576,0.0466,0.2424,0.9553
577,-0.0828,0.0017,0.9214
578,-0.0945,-0.3992,0.9663
579,-0.0789,-0.1501,1.0425
580,-0.0166,0.2104,1.0132
581,0.1250,0.0894,0.8657
582,-0.0181,-0.0334,1.0288
583,-0.0635,-0.1516,1.0454
584,-0.1255,-0.2019,1.0259
585,-0.0508,0.0730,1.0129
586,0.0042,0.0295,0.8928
587,0.0435,0.0159,1.0120
588,0.0574,-0.1184,0.8848
589,-0.0422,-0.0144,1.0715
590,-0.0083,-0.1206,0.9016
591,0.0200,-0.1021,0.9915
592,0.1016,0.1550,1.0122
593,0.0608,-0.0466,0.8589
594,-0.0276,-0.0679,1.0559
595,-0.0735,0.0168,0.9729
596,-0.0691,0.0920,1.0071
597,0.0571,0.2434,0.9827
598,0.0940,0.0544,0.9426
599,0.0828,-0.0457,1.0034
600,-0.0205,0.0513,1.0405
601,-0.0720,0.1704,0.9966
602,-0.0876,0.0925,0.9749
603,0.0828,-0.0977,0.9387
604,0.1597,-0.2234,1.0295
605,0.0635,0.2434,1.0061
606,-0.0823,0.1824,0.8557
607,-0.1746,0.0239,0.9631
608,-0.2195,-0.0830,0.9905
609,-0.0767,-0.0464,1.0139
610,0.0054,0.0068,0.9045
611,0.0554,0.0220,0.9734
612,0.1118,0.1907,1.0598
613,0.0122,0.0232,0.9575
614,-0.0327,-0.2527,0.9653
615,-0.0713,-0.1755,1.1594
616,-0.0261,-0.0793,0.9849
617,-0.0244,0.1150,0.9973
618,0.0195,-0.0068,0.9241
619,-0.0149,-0.1299,1.0239
620,-0.0220,-0.2009,0.9331
621,0.0029,-0.0442,0.9651
622,-0.0059,0.3076,0.9429
623,-0.0969,0.0618,0.8306
624,-0.1072,-0.0603,1.0396
625,-0.1707,-0.0813,1.0117
626,-0.1465,0.0408,0.9426
627,0.0034,0.0171,1.0054
628,0.1787,-0.0396,1.0627
629,0.1924,-0.0701,1.0071
630,0.0728,0.0088,0.9749
631,-0.0081,-0.0454,1.0142
632,0.0537,-0.0571,1.0208
633,0.0432,-0.1843,0.9233
634,0.1125,0.0542,0.9761
635,0.0396,0.2935,0.8862
636,-0.0654,0.1831,0.9260
637,-0.0649,-0.0913,1.0198
638,-0.0676,-0.3328,1.0396
639,0.0520,-0.0188,1.0891
640,0.0640,-0.0361,0.8909
641,-0.0090,0.0640,1.0393
642,0.0066,0.1589,1.0054
643,0.0347,-0.1523,0.9963
644,0.0325,-0.1392,1.0054
645,0.0039,0.0757,0.9709
646,-0.0120,0.1382,0.8999
647,-0.0745,0.0491,0.9260
648,-0.0862,-0.1575,0.9797
649,-0.0190,-0.0437,1.0845
650,0.0479,0.0657,0.8687
651,-0.0027,0.1121,0.9858
652,-0.0361,-0.1167,0.9885
653,-0.0898,-0.0552,1.0884
654,-0.0510,0.1284,0.9810
655,-0.0073,0.1604,0.9153
656,0.0347,0.1804,0.9885
657,0.0530,0.1389,0.9338
658,0.0999,0.0364,0.9917
659,0.1172,0.0166,1.0132
660,-0.0066,-0.2085,0.9280
661,-0.0732,-0.1753,1.0647
662,-0.0791,0.0305,1.0051
663,-0.0762,0.0300,0.9575
664,-0.0032,-0.1663,0.9312
665,0.0486,0.1125,1.0745
666,0.0293,0.2031,0.8726
667,-0.0269,0.1714,0.9507
668,0.0559,-0.0012,0.9680
669,0.0769,-0.2573,1.0337
670,0.1643,-0.0681,0.9946
671,0.1511,0.1443,0.9241
672,0.0422,-0.0078,0.9751
673,0.0024,0.0342,1.0686
674,-0.1006,-0.1465,0.9993
675,-0.1147,-0.0005,0.9963
676,-0.0715,0.1423,0.9602
677,-0.0066,0.2498,0.9905
678,0.0171,0.0310,0.9585
679,0.0139,-0.1594,1.0288
680,-0.0833,-0.0972,1.0100
681,-0.0483,0.0024,0.9895
682,0.0813,-0.0906,0.9272
