Sample,X,Y,Z
0,-0.0020,-0.0232,0.9573
1,-0.0112,0.0073,0.9692
2,-0.0330,0.0215,0.9631
3,-0.0320,-0.0161,0.9729
4,-0.0176,-0.0088,0.9985
5,-0.0176,-0.0735,1.0024
6,0.0452,0.0208,0.9885
7,0.0081,-0.0410,0.9836
8,-0.0083,0.0173,1.0081
9,0.0120,-0.0195,0.9573
10,-0.0193,0.0559,0.9807
11,-0.0369,0.0415,0.9419
12,-0.0239,-0.0283,0.9849
13,0.0159,-0.0645,0.9885
14,0.0049,-0.0100,0.9827
15,0.0066,-0.0146,0.9863
16,0.0156,-0.0400,0.9915
17,-0.0164,-0.0259,1.0015
18,-0.0586,0.0244,0.9768
19,-0.0408,0.0200,0.9683
20,-0.0281,-0.0317,0.9739
21,-0.0071,0.0098,0.9875
22,0.0354,0.0076,0.9624
23,0.0732,0.0242,0.9722
24,0.0264,-0.0159,0.9771
25,0.0146,0.0173,0.9976
26,-0.0308,-0.0417,0.9946
27,-0.0552,-0.0083,1.0024
28,-0.0774,-0.0347,0.9712
29,-0.0503,-0.0369,0.9897
30,-0.0071,-0.0186,0.9663
31,0.0178,0.0364,0.9739
32,0.0432,-0.0020,0.9634
33,0.0688,-0.0107,0.9817
34,0.0442,0.0027,0.9829
35,0.0012,0.0347,0.9829
36,-0.0332,-0.0422,0.9915
37,-0.0493,-0.0361,0.9888
38,-0.0750,0.0076,0.9866
39,-0.0728,0.0276,0.9663
40,-0.0154,-0.0398,0.9683
41,0.0173,-0.0002,1.0032
42,0.0330,-0.0266,0.9800
43,0.0596,-0.0002,0.9888
44,0.0415,-0.0125,0.9751
45,-0.0078,-0.0168,0.9795
46,-0.0073,0.0032,0.9751
47,-0.0591,-0.0034,0.9827
48,-0.0227,0.0249,0.9680
49,-0.0488,-0.0310,0.9731
50,-0.0149,0.0259,0.9924
51,0.0171,-0.0459,0.9592
52,0.0073,-0.0034,1.0139
53,-0.0002,-0.0002,0.9700
54,0.0042,-0.0073,0.9917
55,0.0000,0.0015,0.9946
56,0.0010,0.0054,0.9565
57,0.0249,0.0154,0.9780
58,0.0078,-0.0225,0.9663
59,-0.0046,-0.0225,0.9790
60,-0.0444,-0.0344,0.9854
61,-0.0513,-0.0332,0.9849
62,-0.0566,-0.0276,0.9866
63,-0.0261,-0.0017,0.9810
64,0.0095,0.0322,0.9788
65,0.0618,0.0474,0.9849
66,0.0627,-0.0156,0.9819
67,0.0518,0.0105,0.9966
68,0.0054,-0.0386,0.9739
69,-0.0425,-0.0137,0.9761
70,-0.0837,-0.0291,0.9702
71,-0.0615,0.0112,0.9719
72,-0.0310,-0.0073,0.9827
73,0.0037,0.0054,0.9751
74,0.0217,-0.0378,0.9956
75,0.0461,-0.0068,0.9866
76,0.0413,0.0081,0.9788
77,0.0068,0.0215,0.9868
78,0.0063,-0.0264,0.9868
79,-0.0334,-0.0315,0.9973
80,-0.0427,-0.0513,0.9507
81,-0.0752,0.0205,0.9966
82,-0.0122,-0.0134,0.9468
83,-0.0015,0.0183,0.9897
84,0.0327,0.0435,0.9810
85,0.0579,-0.0073,0.9761
86,0.0068,-0.0068,1.0110
87,0.0029,-0.0464,0.9683
88,-0.0364,0.0051,1.0203
89,-0.0388,-0.0339,0.9670
90,-0.0388,-0.0195,0.9741
91,-0.0134,-0.0029,0.9800
92,0.0005,-0.0273,0.9641
93,0.0161,-0.0122,0.9866
94,0.0464,-0.0103,0.9717
95,0.0439,0.0623,0.9751
96,0.0051,0.0298,0.9739
97,-0.0237,0.0156,0.9934
98,-0.0715,-0.0544,1.0024
99,-0.0806,-0.0225,1.0073
100,-0.0315,-0.0452,0.9651
101,-0.0083,-0.0049,0.9985
102,0.0671,-0.0232,0.9712
103,0.2073,-0.0098,1.0317
104,0.3245,0.0127,1.0093
105,0.3997,0.1597,0.9819
106,0.5522,0.4407,0.9475
107,0.6431,0.4534,0.8752
108,0.6899,0.5383,0.9846
109,0.7063,0.4175,0.9634
110,0.6558,0.4299,1.0012
111,0.4895,0.4497,0.9702
112,0.3347,0.5679,0.9731
113,0.2607,0.5959,0.9963
114,0.2327,0.7444,0.9963
115,0.2678,0.8364,0.9780
116,0.3599,0.7815,0.9641
117,0.3264,0.7024,0.9739
118,0.3518,0.6343,0.9780
119,0.3215,0.5396,0.9673
120,0.2551,0.5432,1.0071
121,0.2903,0.5205,0.9146
122,0.3821,0.4712,1.0493
123,0.6179,0.5688,0.9771
124,0.8267,0.5569,0.9192
125,0.9028,0.6399,1.0100
126,0.9243,0.6614,0.9446
127,0.7256,0.4038,0.9585
128,0.5120,0.3511,1.0630
129,0.3865,0.2151,0.9290
130,0.2505,0.3123,1.0159
131,0.2415,0.3394,0.9712
132,0.2415,0.3560,0.9546
133,0.2688,0.4976,0.9800
134,0.1968,0.5100,0.8840
135,0.1113,0.2969,0.9565
136,0.0857,0.2068,1.0403
137,0.0542,0.1672,1.0034
138,0.1702,0.3049,1.0393
139,0.3879,0.3740,0.9849
140,0.5049,0.4419,0.9888
141,0.6189,0.4915,0.9856
142,0.5972,0.3279,0.9641
143,0.5168,0.2568,1.0122
144,0.4456,0.1387,0.9624
145,0.3254,0.2471,0.9966
146,0.3020,0.2773,0.9114
147,0.3826,0.3892,0.9780
148,0.3928,0.4683,0.9888
149,0.3936,0.4480,0.8967
150,0.3481,0.5129,0.9856
151,0.2576,0.5261,0.9924
152,0.2202,0.2795,0.9358
153,0.0981,0.2571,1.0081
154,-0.1008,0.3311,1.0034
155,-0.3198,0.0823,0.9543
156,-0.5991,-0.0576,1.1162
157,-0.8728,-0.2661,1.0540
158,-0.9988,-0.5205,1.0500
159,-0.9001,-0.6113,1.0325
160,-0.6316,-0.6177,0.9104
