Sample,X,Y,Z
0,-0.0034,-0.0029,0.9680
1,0.0005,-0.0061,0.9983
2,-0.0115,-0.0127,0.9680
3,-0.0183,-0.0273,0.9897
4,-0.0200,0.0042,0.9878
5,0.0051,-0.0183,0.9790
6,0.0066,-0.0059,0.9670
7,0.0007,0.0039,1.0083
8,0.0024,-0.0264,0.9729
9,-0.0198,-0.0386,0.9827
10,-0.0293,0.0603,1.0002
11,-0.0078,-0.0042,0.9504
12,-0.0085,-0.0398,0.9905
13,0.0037,0.0144,0.9983
14,-0.0002,-0.0454,0.9653
15,-0.0049,-0.0137,0.9897
16,-0.0159,0.0007,0.9985
17,-0.0046,-0.0386,0.9712
18,-0.0151,-0.0051,0.9778
19,-0.0002,0.0740,0.9836
20,0.0063,-0.0266,0.9487
21,-0.0200,-0.0195,1.0002
22,-0.0090,-0.0022,1.0012
23,-0.0193,-0.0447,0.9751
24,-0.0029,-0.0061,0.9946
25,0.0022,-0.0090,0.9836
26,0.0029,-0.0132,0.9985
27,0.0066,0.0120,0.9536
28,-0.0125,0.0173,0.9802
29,-0.0144,-0.0068,0.9797
30,-0.0298,-0.0713,0.9758
31,-0.0220,-0.0371,0.9888
32,-0.0132,0.0388,0.9788
33,0.0120,0.0339,0.9604
34,0.0293,0.0137,0.9956
35,0.0095,-0.0149,0.9956
36,-0.0308,-0.0410,0.9856
37,-0.0229,-0.0007,0.9995
38,-0.0322,-0.0269,0.9739
39,-0.0210,-0.0442,0.9927
40,0.0261,0.0234,0.9741
41,0.0315,-0.0129,0.9670
42,0.0132,0.0571,0.9983
43,0.0034,-0.0337,0.9495
44,-0.0359,-0.0210,1.0132
45,-0.0374,-0.0322,0.9663
46,-0.0493,-0.0413,0.9780
47,-0.0071,0.0256,0.9995
48,0.0427,-0.0034,0.9741
49,0.0566,-0.0051,0.9956
50,0.0073,-0.0076,0.9875
51,-0.0276,-0.0381,0.9897
52,-0.0603,-0.0327,0.9700
53,-0.0764,0.0164,0.9934
54,-0.0171,0.0112,0.9700
55,0.0164,-0.0176,0.9634
56,0.0437,0.0403,1.0032
57,0.0647,0.0029,0.9722
58,0.0261,-0.0737,0.9788
59,-0.0491,-0.0132,1.0120
60,-0.0693,-0.0623,0.9807
61,-0.0632,-0.0142,0.9778
62,-0.0596,0.0432,0.9690
63,0.0608,0.0757,0.9771
64,0.0713,-0.0369,0.9622
65,0.0715,-0.0203,0.9995
66,0.0396,-0.0288,0.9973
67,-0.0662,-0.0359,0.9839
68,-0.0828,-0.0427,0.9836
69,-0.0845,0.0129,1.0015
70,-0.0669,-0.0012,0.9731
71,0.0100,0.0283,0.9680
72,0.0696,-0.0098,0.9749
73,0.0803,0.0054,0.9807
74,0.0547,-0.0361,0.9822
75,-0.0032,0.0371,0.9905
76,-0.0613,-0.0488,0.9739
77,-0.0840,-0.0015,1.0022
78,-0.0754,-0.0444,0.9829
79,0.0139,-0.0134,0.9875
80,0.0315,-0.0183,0.9849
81,0.0801,0.0193,0.9895
82,0.0659,-0.0591,0.9604
