Sample,X,Y,Z
0,0.0073,-0.0244,0.9944
1,-0.0020,-0.0640,0.9800
2,-0.0044,-0.1025,1.0171
3,-0.0098,-0.0684,1.0044
4,0.0122,0.0017,0.9729
5,-0.0042,0.0430,0.9546
6,-0.0371,0.0388,0.9485
7,-0.0117,0.0605,0.9817
8,-0.0356,-0.0186,0.9771
9,-0.0063,-0.0300,1.0093
10,0.0444,-0.0125,0.9790
11,0.0376,-0.0085,0.9878
12,0.0461,-0.0542,0.9722
13,0.0127,-0.0737,0.9993
14,-0.0378,0.0229,1.0051
15,-0.0889,-0.0190,0.9592
16,-0.1018,0.0063,0.9915
17,-0.0647,0.0312,0.9712
18,0.0225,0.0527,0.9751
19,0.0842,-0.0193,0.9663
20,0.1240,-0.0220,0.9810
21,0.0947,-0.0183,0.9712
22,0.0068,-0.0459,1.0002
23,-0.0757,-0.0098,1.0149
24,-0.1609,-0.0310,0.9768
25,-0.1389,-0.0251,0.9888
26,-0.0579,-0.0078,0.9670
27,0.0347,0.0205,0.9790
28,0.1130,0.0132,0.9702
29,0.1545,-0.0059,0.9761
30,0.1050,-0.0120,0.9729
31,-0.0046,0.0149,0.9778
32,-0.0947,-0.0105,0.9663
33,-0.1628,-0.0046,1.0073
34,-0.1108,0.0085,1.0034
35,-0.0332,-0.0615,0.9856
36,0.0474,-0.0667,0.9917
37,0.1155,-0.0237,0.9800
38,0.0659,0.0046,0.9719
39,0.0303,0.0093,0.9722
40,-0.0217,0.0596,0.9788
41,-0.0881,-0.0042,0.9592
42,-0.0559,0.0281,0.9875
43,-0.0212,0.0232,0.9817
44,-0.0068,-0.0530,0.9849
45,0.0310,-0.1145,0.9907
46,0.0354,-0.0249,1.0112
47,-0.0037,0.0430,0.9829
48,-0.0342,-0.0295,0.9553
49,-0.0264,-0.0010,1.0054
50,-0.0383,0.0356,0.9690
51,0.0068,-0.0010,0.9583
52,0.0413,-0.0056,0.9946
53,0.0361,-0.0244,0.9641
54,0.0337,-0.0466,0.9819
55,-0.0237,0.0359,1.0015
56,-0.0649,-0.0032,0.9478
57,-0.0769,0.0002,1.0020
58,-0.0557,-0.0098,1.0051
59,-0.0051,-0.0229,0.9761
60,0.0513,-0.0415,0.9983
61,0.0896,-0.0474,0.9819
62,0.0491,-0.0586,0.9709
63,0.0105,0.0125,0.9761
64,-0.0242,0.0471,0.9592
65,-0.0647,0.0884,0.9878
66,-0.0681,0.0400,0.9395
67,-0.0459,-0.0229,0.9895
68,-0.0166,-0.0269,1.0239
69,0.0154,-0.1301,0.9807
70,0.0376,-0.0483,1.0337
71,0.0325,-0.0605,0.9526
72,0.0344,-0.0093,0.9875
73,0.0454,0.0918,0.9768
74,-0.0010,0.0295,0.9221
75,-0.0396,0.0315,0.9863
76,-0.0864,-0.0012,0.9612
77,-0.1140,-0.0027,1.0012
78,-0.0613,-0.0325,1.0129
79,0.0115,-0.0667,0.9829
80,0.0830,-0.0571,0.9937
81,0.1182,-0.0149,0.9810
82,0.0789,-0.0337,0.9722
83,-0.0002,0.0107,0.9917
84,-0.0654,0.0203,0.9524
85,-0.1113,0.0469,0.9758
86,-0.0957,0.0486,0.9846
87,-0.0408,-0.0083,0.9680
88,0.0417,-0.0537,1.0100
89,0.0903,-0.0154,0.9839
90,0.0845,-0.0688,0.9573
91,0.0588,-0.0168,1.0278
92,-0.0503,-0.0247,0.9670
93,-0.1133,-0.0012,0.9707
94,-0.0894,0.0488,0.9878
95,-0.0732,0.0171,0.9661
96,0.0120,0.0002,0.9985
97,0.0879,-0.0457,0.9631
98,0.1060,-0.0613,0.9985
99,0.0891,0.0029,1.0015
100,0.0017,-0.0005,0.9536
101,-0.0764,0.0342,0.9780
102,-0.1382,0.0022,0.9673
103,-0.1011,-0.0059,0.9924
104,-0.0498,-0.0168,1.0022
105,0.0310,-0.0276,0.9895
106,0.1021,-0.0466,0.9817
107,0.0913,-0.0237,0.9856
108,0.0557,0.0269,0.9712
109,-0.0022,-0.0300,0.9670
110,-0.0627,0.0281,1.0159
111,-0.0674,-0.0188,0.9524
112,-0.0847,0.0149,0.9973
113,-0.0378,0.0393,0.9771
114,-0.0193,-0.0305,0.9563
115,0.0278,-0.0339,1.0132
116,0.0674,-0.0425,0.9778
117,0.0791,-0.0312,1.0122
118,0.0444,0.0010,0.9836
119,-0.0076,-0.0664,0.9399
120,-0.0581,0.0657,1.0168
121,-0.0969,0.0164,0.9358
122,-0.0947,0.0125,0.9895
123,-0.0371,0.0054,0.9922
124,-0.0027,-0.0396,0.9622
125,0.0530,-0.0132,1.0073
126,0.0818,-0.0164,0.9836
127,0.0242,-0.0654,0.9927
128,0.0281,0.0137,0.9854
129,0.0186,-0.0054,0.9485
