Sample,X,Y,Z
0,-0.0149,-0.1450,1.0198
1,-0.0100,-0.0828,1.0051
2,0.0063,-0.0544,0.9700
3,0.0337,0.0359,0.9780
4,0.0056,0.0564,0.9495
5,-0.0525,0.1001,0.9380
6,-0.0535,0.1047,0.9563
7,-0.0415,-0.0059,0.9788
8,0.0249,-0.0737,1.0256
9,0.0515,-0.1235,1.0051
10,0.0613,-0.0664,1.0132
11,0.0183,-0.0132,0.9983
12,-0.0261,0.0276,0.9644
13,-0.0742,0.0117,0.9514
14,-0.1072,0.0361,0.9514
15,-0.0552,0.0098,0.9683
16,0.0146,-0.0078,1.0068
17,0.0947,-0.0073,0.9849
18,0.1145,-0.0337,0.9619
19,0.0969,-0.0063,0.9878
20,0.0146,0.0098,0.9888
21,-0.0898,0.0203,0.9963
22,-0.1821,-0.0388,0.9751
23,-0.1626,-0.0537,0.9700
24,-0.0637,-0.0493,1.0005
25,0.0586,-0.0081,0.9722
26,0.1636,0.0483,0.9836
27,0.1792,0.0591,0.9583
28,0.1155,0.0073,0.9719
29,0.0032,0.0481,0.9897
30,-0.1436,0.0127,0.9644
31,-0.1980,-0.0576,0.9993
32,-0.1775,-0.1294,1.0081
33,-0.0684,-0.0962,1.0032
34,0.0930,0.0251,0.9907
35,0.1711,0.0505,0.9517
36,0.1743,0.0581,0.9729
37,0.0967,0.0413,0.9651
38,-0.0381,0.0249,0.9692
39,-0.1475,-0.0164,0.9739
40,-0.1853,-0.0430,0.9792
41,-0.1082,-0.0574,1.0015
42,-0.0095,-0.0632,0.9985
43,0.0947,-0.0085,1.0022
44,0.1497,0.0586,0.9849
45,0.1011,0.0063,0.9487
46,0.0195,-0.0171,0.9934
47,-0.0593,-0.0222,0.9768
48,-0.1130,-0.0315,0.9885
49,-0.1084,0.0220,0.9653
50,-0.0549,0.0198,0.9507
51,0.0161,0.0044,0.9868
52,0.0652,-0.0376,0.9839
53,0.0623,0.0237,1.0227
54,0.0474,0.0117,0.9631
55,0.0085,-0.0276,0.9819
56,-0.0427,-0.0125,0.9954
57,-0.0500,-0.0349,0.9575
58,-0.0559,0.0266,1.0071
59,-0.0498,0.0066,0.9749
60,-0.0261,-0.0588,0.9688
61,0.0100,-0.0034,0.9788
62,0.0601,0.0657,0.9595
63,0.0562,0.0276,0.9768
64,0.0337,-0.0376,1.0051
65,0.0015,-0.0291,0.9956
66,-0.0432,-0.0176,0.9839
67,-0.0818,0.0083,0.9709
68,-0.0535,-0.0293,0.9719
69,-0.0181,-0.0088,1.0051
70,0.0366,0.0186,0.9683
71,0.0332,-0.0044,0.9644
72,0.0388,-0.0076,0.9819
73,-0.0059,-0.0012,0.9817
74,-0.0361,-0.0134,0.9885
75,-0.0491,-0.0034,0.9849
76,-0.0269,-0.0032,0.9729
77,-0.0100,0.0146,0.9846
78,0.0000,-0.0461,0.9700
79,0.0217,-0.0239,0.9956
80,-0.0010,-0.0288,0.9741
81,-0.0071,0.0254,0.9788
82,-0.0017,0.0515,0.9709
83,0.0085,0.0256,0.9644
84,-0.0146,-0.0125,1.0015
85,-0.0010,-0.0261,0.9934
86,-0.0061,-0.0183,1.0012
87,-0.0100,-0.0249,0.9690
88,-0.0083,-0.0425,0.9797
89,-0.0144,-0.0708,0.9575
90,-0.0225,0.0322,0.9976
91,-0.0151,0.1023,0.9624
92,-0.0088,0.0027,0.9739
93,0.0312,-0.0149,0.9817
94,0.0161,-0.0195,0.9946
95,0.0271,0.0198,0.9934
96,0.0061,-0.0554,0.9807
97,-0.0366,-0.0349,1.0059
98,-0.0444,-0.0383,0.9526
99,-0.0425,0.0500,1.0005
100,-0.0347,0.0312,0.9751
101,-0.0159,-0.0708,0.9749
102,-0.0396,0.0049,1.0500
103,-0.0713,0.1294,1.0217
104,-0.1006,0.4556,1.0161
105,-0.1499,0.6116,0.8333
106,-0.0928,0.7004,0.7649
107,0.0103,0.8682,0.8735
108,0.0742,1.1165,0.9739
109,0.0972,1.2004,1.0901
110,0.0757,1.1128,1.0962
111,-0.0383,1.0100,0.8948
112,-0.0491,1.1743,1.0835
113,-0.0549,0.9878,0.9136
114,-0.0413,0.6284,0.9956
115,-0.0205,0.6975,1.0569
116,0.1101,0.9880,0.9592
117,0.1377,1.1370,0.9895
118,0.1082,0.9878,0.8687
119,0.1230,1.1624,0.9729
120,-0.0071,1.1233,0.8743
121,-0.2124,1.3403,0.9448
122,-0.3823,1.1226,0.8188
123,-0.3564,0.9426,0.9719
124,-0.1780,0.9487,1.0503
125,0.0081,0.9924,1.0344
126,0.0667,1.0483,1.0396
127,0.0784,1.0002,0.9993
128,0.0669,0.9475,0.9963
129,0.0852,1.0667,1.0081
130,0.0789,1.1077,0.9211
131,0.0024,1.0435,0.9146
132,-0.0894,0.9692,0.8550
133,-0.1589,0.8538,0.8528
134,-0.1482,0.9036,1.0149
135,-0.1284,0.5972,0.9517
136,-0.0386,0.4956,1.1304
137,0.0642,0.4468,1.0815
138,0.0754,0.5366,1.0259
139,0.1436,0.6050,1.0015
140,0.0669,0.2119,0.8547
141,-0.1589,0.5200,1.0513
142,-0.2300,0.7349,0.8052
143,-0.2417,0.8586,0.8918
144,-0.0911,0.7632,0.9966
145,0.1072,0.5698,0.9146
146,0.2578,0.5325,1.0149
147,0.1562,0.4758,1.0090
148,-0.0879,0.5396,1.0171
149,-0.1384,0.6941,1.0793
150,-0.1528,0.7866,1.0151
151,-0.1438,0.6584,0.9485
152,-0.0046,0.8472,0.9282
153,-0.0010,1.0356,0.7720
154,-0.0076,0.8889,0.7219
155,0.1086,0.1399,0.9788
156,0.0435,-0.3701,1.4446
157,-0.0398,-0.5115,1.3999
158,-0.3247,-1.1638,0.9829
159,-0.6174,-1.0349,0.9771
160,-0.5562,-0.9968,0.7671
161,-0.2690,-0.9548,0.9263
162,0.0674,-0.8784,1.0168
163,0.2747,-0.8230,0.9043
164,0.4355,-0.6235,0.8469
165,0.5110,-0.2346,0.8706
166,0.5884,-0.1841,0.9368
167,0.5864,-0.0696,1.1135
168,0.4397,0.0503,1.1050
169,-0.0259,0.2104,0.9800
170,-0.4019,0.5435,0.9526
171,-0.5408,0.8381,0.8342
172,-0.5081,1.1147,1.0171
173,-0.1924,1.3547,1.0745
174,0.0020,1.0852,0.9075
175,0.1089,1.1553,0.9492
176,0.1494,1.3101,0.8618
177,0.0647,0.6799,0.8782
178,0.0098,0.3806,1.2229
179,-0.1184,0.1206,1.1050
180,-0.2158,0.0762,0.9277
181,-0.0981,-0.2625,0.7734
182,-0.2092,-0.0403,1.2004
183,0.0020,-0.4341,1.0139
184,0.0278,-0.4373,1.1001
185,0.0073,-0.6060,1.0217
186,0.0730,-0.3794,0.8850
187,0.1428,-0.5183,0.7710
188,-0.0012,-0.3796,1.0308
189,0.0137,-0.4021,1.0884
190,-0.0312,-0.6340,0.9517
191,0.0945,-0.6929,0.9622
192,0.2283,-0.4197,0.9370
193,0.1975,-0.2693,0.9819
194,0.0679,-0.1909,1.0718
195,-0.0874,-0.1382,1.0852
196,-0.1233,-0.1150,0.9290
197,-0.0046,-0.0652,0.9155
198,0.0781,-0.0093,0.9700
199,0.1580,-0.1104,0.9954
200,0.1086,-0.0315,1.0132
201,-0.0532,0.0237,0.9399
202,-0.0632,0.0710,0.8635
203,-0.1233,0.2419,0.9504
204,-0.1013,0.3167,1.0032
205,-0.0862,0.3787,1.0461
206,-0.1787,0.3335,1.0308
207,-0.1106,0.2871,0.8911
208,0.0352,0.2358,1.0356
209,0.2827,0.4690,1.1233
210,0.2883,0.1267,0.9497
211,0.0938,-0.1648,0.9749
212,0.0061,-0.0332,0.9604
213,-0.1177,0.1692,0.9641
214,-0.2620,0.2603,0.9741
215,-0.1348,0.2512,0.9954
216,-0.0977,0.0989,0.9290
217,-0.0862,-0.0422,0.8384
218,0.0527,0.0300,1.0354
219,0.0388,-0.0090,1.0012
220,0.0957,0.1719,1.1226
221,0.1077,-0.4670,0.9077
222,0.0193,-0.2942,1.1646
223,0.1033,-0.2441,0.8823
224,-0.0027,0.0710,0.9429
225,0.0234,0.1946,0.9719
226,-0.0391,-0.1011,0.9329
227,-0.0044,-0.0149,0.9897
228,-0.0479,-0.0837,0.8511
229,-0.0847,-0.0981,0.9875
230,-0.1846,-0.0530,1.1047
231,-0.1304,-0.1956,0.9624
232,0.0337,-0.1443,1.0469
233,0.1555,-0.0664,0.9875
234,0.1702,-0.3201,0.9478
235,0.0925,-0.1738,1.1001
236,0.0183,0.0044,0.9282
237,0.0601,0.1887,0.9075
238,0.0610,0.0862,0.8674
239,0.0520,-0.2319,1.0129
240,-0.0339,-0.2935,1.0383
241,-0.2661,-0.0801,1.0063
242,-0.1848,0.1035,0.9387
243,0.0076,-0.0203,0.9556
244,0.1025,-0.0076,1.0308
245,0.1370,0.1235,0.9897
246,-0.0259,0.2102,0.9348
247,-0.2251,-0.0215,0.9097
248,-0.1782,0.2061,1.0676
249,0.1138,0.1179,0.9214
250,0.2595,0.2449,1.0210
251,0.1863,0.1145,0.9343
252,-0.0566,-0.1040,0.9729
253,-0.0745,0.0017,1.0005
254,-0.2268,0.1101,1.0142
255,-0.1414,0.2263,1.0471
256,-0.0249,-0.1577,0.9426
257,-0.0593,-0.1572,0.9534
258,0.1006,0.1650,0.9573
259,0.1431,0.1921,0.9622
260,0.1392,0.1060,1.0071
261,0.1589,-0.0708,1.0532
262,0.0015,-0.0498,0.9692
263,-0.0396,-0.0750,0.8762
264,-0.0320,-0.1079,0.9749
265,0.0264,-0.1067,1.0735
266,0.0437,-0.1013,0.9995
267,0.0352,-0.0393,0.9563
268,-0.0112,0.0166,0.8857
269,0.0117,-0.0874,0.9165
270,-0.1218,-0.2544,1.0100
271,-0.1396,0.0764,1.1770
272,-0.2490,-0.0740,0.9097
273,-0.2219,-0.0244,0.9243
274,0.0049,0.0544,1.0093
275,0.1030,0.0596,0.9670
276,0.2986,0.1494,1.0796
277,0.2502,-0.2290,0.9006
278,-0.0398,0.0110,1.0256
279,-0.1394,0.2712,0.8528
280,-0.2368,0.0920,0.9019
281,-0.1370,-0.0759,1.1841
282,-0.0327,0.0020,1.0435
283,0.0210,-0.2351,0.7974
284,0.1167,-0.0681,0.9475
285,0.1785,0.3303,1.1008
286,0.1782,-0.0508,0.9358
287,-0.0273,-0.1682,1.0901
288,-0.2073,-0.0696,1.0188
289,-0.1541,0.0811,0.8508
290,-0.0535,0.0559,0.9448
291,0.0691,0.0693,1.0415
292,0.1938,-0.0745,1.0344
293,0.0610,-0.0032,1.0054
294,0.0586,0.1089,0.8608
295,-0.1194,-0.0215,0.8752
296,-0.1501,0.2295,1.1487
297,-0.0732,0.0283,1.0403
298,-0.1536,-0.2764,1.0347
299,-0.0298,-0.0957,0.8970
300,0.1245,0.1592,0.8970
301,0.2104,0.2776,0.9504
302,0.1128,-0.1482,1.0522
303,0.0493,-0.0020,1.1360
304,-0.0476,-0.0681,0.7844
305,-0.0144,0.1636,0.9517
306,0.0054,0.1436,0.9729
307,0.1316,-0.3706,0.9875
308,0.0310,-0.0432,1.2358
309,-0.0354,0.0090,0.8169
310,-0.1250,0.0505,0.8511
311,-0.0925,-0.0505,1.0071
312,-0.1072,-0.1787,1.1028
313,-0.1206,-0.2319,1.0686
314,-0.1919,-0.0869,0.9644
315,-0.0867,0.2014,0.8958
