Sample,X,Y,Z
0,-0.0598,-0.0078,0.9771
1,-0.0586,0.0020,0.9749
2,-0.0442,0.0117,0.9680
3,-0.0068,0.0049,0.9888
4,0.0356,-0.0254,0.9836
5,0.0864,-0.0195,0.9797
6,0.0645,-0.0103,0.9810
7,0.0225,-0.0203,0.9858
8,-0.0266,-0.0317,0.9895
9,-0.0803,-0.0300,0.9937
10,-0.0618,0.0088,0.9868
11,-0.0535,-0.0049,0.9719
12,-0.0049,-0.0195,0.9719
13,0.0364,-0.0015,0.9778
14,0.0408,0.0188,0.9709
15,0.0291,0.0298,0.9761
16,0.0134,0.0024,0.9788
17,-0.0215,-0.0078,0.9868
18,-0.0386,-0.0054,0.9897
19,-0.0547,-0.0190,0.9827
20,-0.0261,-0.0398,0.9966
21,0.0100,-0.0459,0.9917
22,0.0488,-0.0144,0.9800
23,0.0603,-0.0046,0.9680
24,0.0110,-0.0149,0.9758
25,-0.0469,0.0000,0.9875
26,-0.0640,0.0051,0.9768
27,-0.0640,0.0222,0.9719
28,0.0000,0.0217,0.9797
29,0.0205,-0.0098,0.9768
30,0.0549,-0.0044,0.9846
31,0.0388,-0.0056,0.9778
32,-0.0044,-0.0015,0.9885
33,-0.0449,-0.0193,0.9819
34,-0.0586,-0.0493,0.9897
35,-0.0286,-0.0232,0.9866
36,-0.0154,-0.0134,0.9800
37,0.0347,0.0005,0.9807
38,0.0261,-0.0076,0.9827
39,0.0266,0.0005,0.9758
40,-0.0005,0.0078,0.9829
41,-0.0171,0.0032,0.9729
42,-0.0559,-0.0068,0.9827
43,-0.0237,-0.0059,0.9709
44,-0.0291,-0.0200,0.9690
45,-0.0266,0.0200,0.9836
46,0.0078,-0.0112,0.9663
47,0.0190,-0.0369,0.9895
48,0.0359,0.0020,0.9985
49,0.0227,-0.0242,0.9839
50,0.0261,0.0005,0.9944
51,-0.0073,-0.0234,0.9778
52,-0.0227,0.0049,0.9856
53,-0.0439,-0.0029,0.9624
54,-0.0513,-0.0122,0.9829
55,-0.0046,0.0105,0.9780
56,0.0098,-0.0139,0.9592
57,0.0078,0.0283,0.9817
58,0.0044,0.0044,0.9800
59,-0.0034,-0.0315,0.9878
60,-0.0154,-0.0276,0.9954
61,-0.0168,-0.0137,0.9880
62,0.0039,-0.0110,0.9836
63,0.0039,-0.0261,0.9819
64,0.0044,0.0005,0.9900
65,-0.0132,-0.0015,0.9790
66,0.0068,0.0017,0.9788
67,-0.0010,-0.0161,0.9690
68,-0.0500,0.0073,0.9846
69,-0.0149,0.0122,0.9614
70,-0.0139,0.0078,0.9768
71,-0.0129,0.0061,0.9888
72,0.0056,-0.0229,0.9888
73,0.0312,-0.0266,0.9836
74,0.0251,0.0059,0.9927
75,0.0093,0.0056,0.9868
76,0.0022,-0.0422,0.9758
77,-0.0276,-0.0300,0.9973
78,-0.0371,-0.0032,0.9807
79,-0.0481,-0.0061,0.9739
80,-0.0198,0.0029,0.9729
81,0.0039,0.0142,0.9790
82,0.0310,0.0264,0.9800
83,0.0417,-0.0154,0.9700
84,0.0222,-0.0212,0.9846
85,-0.0232,-0.0088,0.9800
86,-0.0266,-0.0066,0.9800
87,-0.0466,-0.0161,0.9778
88,-0.0115,-0.0037,0.9915
89,0.0120,-0.0171,0.9888
90,0.0244,-0.0186,0.9768
91,0.0066,0.0007,0.9937
92,-0.0054,-0.0017,0.9866
93,-0.0525,-0.0171,0.9802
94,-0.0259,-0.0012,0.9875
95,-0.0332,-0.0051,0.9739
96,-0.0015,-0.0098,0.9758
97,0.0464,0.0195,0.9729
98,0.0305,-0.0063,0.9653
99,0.0310,0.0076,0.9849
100,-0.0168,-0.0007,0.9790
101,-0.0264,-0.0271,0.9810
102,-0.0491,-0.0071,0.9976
103,0.0977,-0.0298,1.0178
104,0.3240,-0.0371,1.0217
105,0.5950,0.1235,1.0220
106,0.9253,0.4133,0.9846
107,1.1694,0.4592,0.9250
108,1.3452,0.5930,0.8625
109,1.1235,0.0632,0.7805
110,0.4973,1.7234,1.2017
111,0.1995,1.4409,0.3315
112,-0.0515,1.7395,0.8752
113,0.0845,1.2173,0.8804
114,0.2578,0.0706,0.9377
115,0.3037,0.3621,1.1926
116,0.2808,0.1174,0.9495
117,0.1428,0.3943,1.2209
118,-0.0740,0.6809,1.1653
119,-0.2432,0.4956,1.0522
120,-0.1821,0.5630,1.1792
121,0.1123,0.1436,1.0940
122,0.4788,-0.3699,1.1333
123,0.7395,-0.3904,1.0767
124,0.8098,-0.2527,1.0181
125,0.8733,-0.1013,1.1089
126,0.6067,0.1943,0.9692
127,0.4094,0.5425,0.9321
128,0.4072,0.7961,0.8782
129,0.4761,0.4363,0.8176
130,0.5972,0.2656,0.8977
131,0.6243,0.3711,0.8257
132,0.5774,0.6865,0.8110
133,0.3733,0.7563,0.7769
134,0.0984,0.7476,0.8242
135,-0.0149,0.7915,0.8657
136,-0.0107,0.7502,0.8870
137,0.1028,0.5303,0.9595
138,0.3098,0.2612,1.0083
139,0.4805,0.1370,1.0413
140,0.5120,0.3218,1.1064
141,0.4478,0.3281,1.0569
142,0.3391,0.2297,1.1733
143,0.2766,0.4067,1.1030
144,0.4116,0.4700,1.0256
145,0.5811,0.2786,1.0735
146,0.6448,0.1077,1.1001
147,0.6919,0.0474,1.0569
148,0.6626,0.4290,1.0061
149,0.4026,0.6812,0.8872
150,0.2642,0.7915,0.9165
151,0.1980,0.6995,0.9338
152,0.1643,0.5854,0.9233
153,0.1934,0.6182,0.9233
154,0.1465,0.5127,0.8684
155,-0.1240,0.2495,0.9497
156,-0.4985,0.0071,0.9995
157,-0.8835,-0.2896,1.0354
158,-1.1140,-0.6587,1.0325
159,-1.1082,-0.8433,1.0520
160,-0.8862,-0.5349,1.0571
161,-0.5396,0.1191,0.9478
162,0.1208,0.1033,0.8433
163,0.7063,-1.2722,0.7759
164,0.5461,-1.3601,1.4106
165,0.3423,-1.4585,0.8870
166,0.1589,-0.5039,1.1226
167,0.2117,0.3137,1.0618
168,0.4304,0.0408,0.9683
169,0.8792,0.1445,1.0210
170,1.0940,0.2251,0.9370
171,0.9905,0.0466,0.8696
172,0.6045,0.0251,0.9099
173,0.0503,0.1455,0.9077
174,-0.3511,0.8105,0.9663
175,-0.2654,0.8538,0.7971
176,-0.4363,0.7205,0.6584
177,-0.4363,1.9563,1.3049
178,-0.2910,1.4309,0.4231
179,-0.2808,1.5112,0.9146
180,-0.0840,0.5391,0.9573
181,-0.1453,-0.8901,1.1565
182,-0.2371,-0.4978,1.3550
183,-0.2683,-0.8232,1.0442
184,-0.0344,-0.5017,1.3921
185,0.1982,-0.0444,1.2717
186,0.4487,0.0725,1.0090
187,0.6057,0.2344,1.0688
188,0.4885,-0.2070,1.0696
189,0.1797,-0.8103,1.0444
190,-0.2112,-0.7905,0.9934
191,-0.6663,-0.3682,0.9133
192,-0.6333,0.1504,0.7847
193,-0.2603,0.5020,0.7280
194,0.2288,-0.1755,0.6772
195,0.3220,0.0017,1.0962
196,0.1709,-0.2546,0.7720
197,-0.1323,-0.1890,0.9475
198,-0.3298,0.4661,1.1018
199,-0.4597,-0.0818,0.8911
200,-0.2402,-0.2078,1.0989
201,0.0759,-0.2151,0.9692
202,0.3206,-0.6121,0.9785
203,0.4597,-0.5312,1.0305
204,0.2390,-0.5583,1.0005
205,-0.0530,-0.2554,1.0500
206,-0.2800,0.1208,0.9700
207,-0.3679,0.3069,0.9519
208,-0.1680,0.4182,0.9797
209,0.0425,0.2454,0.9592
210,0.1399,0.0991,1.0073
211,0.1411,-0.0044,0.9749
212,-0.0842,0.0947,0.9985
213,-0.2410,0.2625,0.9719
214,-0.2415,0.3188,0.9604
215,-0.1707,0.1443,0.9563
216,0.0991,0.0244,0.9934
217,0.3245,-0.0989,0.9604
218,0.3997,0.0728,1.0024
219,0.3337,0.2107,0.9563
220,0.1636,0.3088,1.0002
