Sample,X,Y,Z
0,-0.0571,-0.0342,0.9478
1,-0.0271,0.0039,0.9985
2,-0.0210,-0.0071,0.9565
3,-0.0132,-0.0103,0.9863
4,0.0081,0.0266,0.9807
5,-0.0042,-0.0164,0.9644
6,0.0137,0.0002,1.0002
7,0.0117,0.0107,0.9790
8,-0.0017,-0.0403,0.9839
9,-0.0088,-0.0017,0.9866
10,-0.0190,-0.0447,0.9858
11,-0.0188,-0.0120,0.9917
12,-0.0159,0.0242,0.9771
13,-0.0049,0.0081,0.9585
14,0.0002,0.0183,0.9836
15,0.0205,-0.0051,0.9780
16,0.0090,-0.0242,0.9846
17,-0.0093,-0.0095,0.9739
18,-0.0261,-0.0144,0.9897
19,-0.0378,-0.0146,0.9875
20,-0.0369,-0.0112,0.9897
21,0.0098,0.0208,0.9827
22,0.0122,-0.0198,0.9729
23,0.0410,-0.0020,0.9924
24,0.0098,-0.0483,0.9712
25,-0.0344,-0.0015,0.9915
26,-0.0176,0.0374,0.9741
27,-0.0063,-0.0105,0.9673
28,-0.0137,-0.0063,0.9937
29,0.0059,0.0078,0.9807
30,-0.0208,-0.0229,0.9683
31,-0.0159,0.0151,0.9944
32,-0.0317,-0.0183,0.9788
33,-0.0112,-0.0205,0.9924
34,0.0107,-0.0005,0.9729
35,0.0007,-0.0234,0.9797
36,0.0288,0.0044,0.9954
37,-0.0078,-0.0405,0.9680
38,-0.0176,0.0134,0.9924
39,-0.0352,0.0225,0.9661
40,-0.0068,0.0000,0.9797
41,0.0039,0.0005,0.9819
42,0.0005,-0.0100,0.9875
43,0.0120,-0.0044,0.9819
44,-0.0085,-0.0056,0.9771
45,-0.0046,0.0098,0.9839
46,-0.0239,-0.0242,0.9709
47,-0.0193,0.0054,1.0022
48,-0.0183,-0.0452,0.9712
49,0.0017,-0.0144,1.0022
50,-0.0193,-0.0183,0.9719
51,0.0044,0.0007,0.9827
52,0.0103,-0.0034,0.9778
53,0.0032,0.0256,0.9832
54,0.0117,-0.0078,0.9712
55,0.0032,0.0193,0.9895
56,-0.0168,-0.0234,0.9702
57,-0.0120,0.0283,0.9983
