Sample,X,Y,Z
0,0.0264,-0.0266,0.9202
1,0.0886,0.0071,1.0093
2,0.1213,0.0095,0.9751
3,0.0779,-0.0095,0.9771
4,0.0112,0.0105,1.0046
5,-0.0837,0.0012,0.9719
6,-0.1221,-0.0276,0.9780
7,-0.1040,-0.0635,0.9858
8,-0.0405,-0.0625,0.9868
9,0.0481,-0.0173,0.9985
10,0.0940,0.0723,0.9683
11,0.0835,0.0264,0.9653
12,0.0581,-0.0195,0.9895
13,-0.0266,-0.0718,0.9673
14,-0.0708,-0.0015,0.9858
15,-0.1047,0.0139,0.9592
16,-0.0762,0.0256,0.9768
17,0.0164,0.0151,0.9875
18,0.0510,-0.0559,0.9983
19,0.0952,-0.0037,1.0190
20,0.0620,-0.0374,0.9651
21,-0.0249,-0.0530,0.9819
22,-0.0759,-0.0408,0.9807
23,-0.0889,0.0342,0.9661
24,-0.0510,0.0437,0.9612
25,0.0234,0.0308,0.9866
26,0.0684,-0.0212,0.9895
27,0.0850,-0.0129,0.9949
28,0.0234,-0.0720,0.9597
29,-0.0310,-0.0320,0.9971
30,-0.0859,0.0518,0.9771
31,-0.1069,0.0183,0.9548
32,-0.0469,0.0020,1.0005
33,0.0256,-0.0664,0.9905
34,0.1062,-0.0288,1.0083
35,0.1023,-0.0239,0.9700
36,0.0352,0.0229,0.9739
37,-0.0229,-0.0122,0.9692
38,-0.1143,-0.0437,0.9778
39,-0.1147,0.0229,0.9897
40,-0.0488,0.0479,0.9602
41,0.0144,0.0042,0.9749
42,0.0725,-0.0154,0.9976
43,0.0911,-0.0552,1.0020
44,0.0698,-0.0452,0.9983
45,0.0063,-0.0020,0.9790
46,-0.0662,0.0012,0.9778
47,-0.1111,-0.0447,0.9680
48,-0.0886,-0.0325,0.9810
49,-0.0225,0.0564,0.9846
50,0.0393,0.0154,0.9683
51,0.0894,-0.0068,0.9878
52,0.0830,-0.0735,0.9761
53,0.0500,-0.0007,1.0054
54,-0.0227,-0.0022,0.9534
55,-0.0950,0.0237,0.9807
56,-0.0823,0.0208,0.9895
57,-0.0864,-0.0437,0.9829
58,-0.0210,-0.0168,1.0090
59,0.0854,-0.0042,0.9866
60,0.0999,-0.0469,0.9780
61,0.0642,-0.0679,0.9983
62,0.0154,-0.0190,0.9700
63,-0.0420,0.0144,0.9631
64,-0.0850,0.0610,0.9602
65,-0.0913,0.0337,0.9780
66,-0.0496,0.0256,1.0034
67,0.0010,-0.0374,0.9729
68,0.0532,-0.0774,0.9878
69,0.0894,-0.0364,1.0110
70,0.0776,-0.0339,0.9768
71,0.0200,-0.0083,0.9731
72,-0.0474,0.0271,0.9702
73,-0.0830,0.0305,0.9963
74,-0.0793,-0.0259,0.9878
75,-0.0381,-0.0195,0.9768
76,-0.0127,-0.0281,0.9712
77,0.0439,-0.0220,0.9973
78,0.0969,-0.0354,0.9592
79,0.0408,-0.0215,0.9692
80,0.0278,0.1121,1.0032
81,-0.0359,0.0486,0.9514
82,-0.1003,-0.0310,1.0073
83,-0.0522,-0.0581,1.0002
84,-0.0344,-0.1306,0.9780
85,0.0032,-0.0427,1.0139
86,0.0659,-0.0186,0.9563
87,0.0273,0.0002,0.9866
88,0.0071,0.0747,0.9758
89,-0.0037,0.0627,0.9517
90,-0.0115,0.0825,0.9944
91,-0.0110,-0.0376,0.9478
92,-0.0002,-0.0774,1.0190
93,-0.0098,-0.0591,0.9995
94,-0.0212,-0.0913,0.9790
95,-0.0059,-0.0645,1.0022
96,-0.0229,-0.0139,0.9651
97,-0.0061,0.1042,0.9829
98,-0.0088,0.0842,0.9509
99,-0.0298,-0.0256,0.9702
100,0.0127,-0.0171,1.0022
101,0.0359,-0.0876,0.9807
102,0.0496,-0.0273,1.0005
103,0.0420,-0.0391,0.9602
104,-0.0166,0.0344,0.9927
105,-0.0693,0.0093,0.9556
106,-0.1003,-0.0066,0.9817
107,-0.0493,0.0298,0.9927
108,-0.0103,-0.0220,0.9700
109,0.0449,-0.0327,1.0083
110,0.0957,-0.0950,0.9819
111,0.0757,-0.0613,1.0015
112,0.0417,0.0220,0.9622
113,-0.0522,0.0317,0.9448
114,-0.1216,0.0718,0.9849
115,-0.0964,0.0432,0.9565
116,-0.0593,-0.0530,0.9875
117,0.0227,-0.0579,1.0171
118,0.0762,-0.0837,0.9849
119,0.0801,-0.0486,0.9907
120,0.0801,0.0176,0.9692
121,0.0015,0.0491,0.9680
122,-0.0608,0.0376,0.9839
123,-0.0903,-0.0178,0.9624
124,-0.0938,-0.0081,0.9973
125,-0.0378,0.0371,0.9868
126,0.0376,-0.0518,0.9719
127,0.0698,-0.0972,0.9885
128,0.0642,-0.0686,0.9905
129,0.0447,0.0552,0.9905
130,-0.0386,0.0098,0.9478
131,-0.0825,-0.0188,0.9878
132,-0.0583,-0.0251,0.9839
133,-0.0312,0.0198,0.9858
134,0.0212,0.0586,0.9556
135,0.0369,-0.0061,0.9749
136,0.0344,-0.0212,1.0022
137,0.0088,-0.0796,0.9761
138,-0.0181,-0.0391,1.0093
139,-0.0342,-0.0227,0.9829
140,-0.0476,0.0300,0.9895
141,-0.0325,-0.0046,0.9524
142,-0.0161,-0.0579,0.9829
143,0.0454,0.0276,1.0061
144,0.0549,-0.0054,0.9282
145,0.0234,0.0237,0.9995
146,-0.0095,0.0151,0.9692
147,-0.0642,-0.0664,0.9895
148,-0.0703,0.0071,1.0120
