Sample,X,Y,Z
0,0.0605,-0.0234,0.9739
1,0.0083,0.0098,0.9839
2,-0.0415,-0.0171,0.9631
3,-0.0750,0.0361,0.9993
4,-0.0610,-0.0208,0.9543
5,-0.0273,-0.0342,0.9915
6,0.0176,0.0049,0.9807
7,0.0549,0.0188,0.9749
8,0.0786,0.0273,0.9719
9,0.0259,-0.0293,0.9937
10,-0.0107,0.0027,1.0066
11,-0.0391,-0.0354,0.9702
12,-0.0779,-0.0076,0.9866
13,-0.0664,-0.0415,0.9761
14,-0.0022,-0.0349,0.9751
15,0.0173,0.0134,0.9817
16,0.0344,0.0164,0.9722
17,0.0342,-0.0042,0.9915
18,0.0156,-0.0247,0.9800
19,-0.0007,0.0068,0.9829
20,-0.0352,0.0171,0.9683
21,-0.0486,0.0127,0.9680
22,-0.0193,-0.0095,0.9878
23,0.0015,-0.0210,0.9817
24,0.0283,-0.0193,0.9875
25,0.0562,0.0039,0.9934
26,0.0156,-0.0027,0.9915
27,-0.0239,0.0005,0.9829
28,-0.0554,-0.0293,0.9680
29,-0.0398,0.0071,0.9800
30,-0.0283,0.0029,0.9661
31,0.0002,0.0361,0.9800
32,0.0095,-0.0242,0.9690
33,0.0288,-0.0266,1.0005
34,0.0142,-0.0073,0.9946
35,0.0037,-0.0061,0.9875
36,-0.0020,-0.0344,0.9690
37,-0.0205,0.0027,0.9885
38,-0.0266,0.0146,0.9712
39,0.0081,-0.0164,0.9658
40,-0.0002,-0.0215,0.9875
41,0.0203,0.0256,0.9956
42,0.0010,-0.0107,0.9556
43,-0.0383,0.0352,1.0161
44,-0.0569,-0.0081,0.9583
45,-0.0466,-0.0259,0.9856
46,-0.0071,-0.0864,0.9673
47,0.0662,-0.0278,1.0073
48,0.1030,0.0090,0.9744
49,0.0605,0.0308,0.9663
50,-0.0176,0.0583,0.9917
51,-0.0825,-0.0239,0.9602
52,-0.1018,0.0107,1.0063
53,-0.0728,-0.0210,0.9507
54,0.0029,-0.0010,0.9946
55,0.0566,-0.0007,0.9700
56,0.0759,-0.0078,0.9722
57,0.0396,-0.0015,0.9934
58,0.0244,-0.0293,0.9692
59,-0.0063,-0.0647,0.9917
60,-0.0300,0.0017,0.9966
61,-0.0415,-0.0210,0.9565
62,-0.0698,0.0161,0.9888
63,-0.0737,-0.0042,0.9692
64,-0.0391,0.0100,0.9573
65,0.0012,0.0559,0.9778
66,0.0649,0.0388,0.9663
67,0.1042,-0.0374,1.0173
68,0.1079,-0.0732,0.9875
69,0.0129,-0.0210,1.0063
70,-0.0371,0.0537,0.9719
71,-0.1011,-0.0615,0.9475
72,-0.0947,0.0122,1.0005
73,-0.0579,-0.0667,0.9319
74,0.0151,0.0254,1.0032
75,0.0601,0.0549,0.9739
76,0.0752,0.0203,0.9722
77,0.0264,-0.0032,0.9895
78,-0.0076,-0.0159,0.9683
79,-0.0527,-0.0049,0.9858
80,-0.0471,-0.0156,0.9702
81,-0.0249,-0.0566,0.9907
82,0.0256,-0.0349,1.0071
83,0.0322,-0.0464,0.9614
84,0.0034,0.0483,0.9956
85,-0.0037,0.0398,0.9683
86,-0.0242,-0.0474,0.9644
87,-0.0518,0.0046,1.0100
88,-0.0125,0.0164,0.9514
89,0.0015,0.0122,0.9797
90,0.0166,0.0378,0.9817
91,0.0183,-0.0623,0.9653
92,0.0232,0.0269,0.9995
93,-0.0100,0.0044,0.9465
94,-0.0115,-0.0127,1.0100
95,-0.0234,-0.0554,1.0063
96,-0.0171,-0.0405,1.0010
97,-0.0107,-0.0017,0.9819
98,-0.0159,-0.0142,0.9507
99,-0.0129,-0.0037,0.9700
100,-0.0112,-0.0178,0.9497
101,0.0164,0.0249,0.9866
102,0.0439,-0.0027,0.9771
103,-0.0273,0.1016,0.9976
104,-0.0525,0.4915,1.0208
105,-0.0288,0.7141,0.9104
106,-0.0806,0.6753,0.8950
107,-0.1465,0.7241,0.9390
108,-0.1497,0.9331,0.8384
109,-0.0520,1.5015,0.8311
110,0.0901,1.5435,0.7378
111,0.1770,1.2817,0.8628
