Sample,X,Y,Z
0,-0.0095,-0.0095,0.9702
1,-0.0027,-0.0139,0.9915
2,0.0078,-0.0193,0.9692
3,0.0186,0.0322,0.9673
4,0.0029,0.0225,0.9604
5,-0.0166,-0.0046,0.9788
6,-0.0015,-0.0381,0.9819
7,-0.0093,0.0103,0.9878
8,-0.0356,0.0037,0.9780
9,-0.0193,-0.0146,0.9927
10,-0.0127,-0.0718,0.9915
11,0.0183,0.0239,0.9995
12,0.0249,0.0239,0.9531
13,0.0015,0.0088,0.9788
14,-0.0256,-0.0278,0.9915
15,-0.0154,-0.0239,0.9836
16,-0.0217,0.0188,0.9771
17,-0.0100,0.0200,0.9729
18,0.0105,-0.0574,0.9849
19,0.0227,0.0005,0.9976
20,-0.0105,0.0078,0.9612
21,-0.0391,0.0469,0.9919
22,-0.0337,-0.0471,0.9810
23,0.0020,-0.0369,1.0005
24,0.0229,0.0203,0.9683
25,0.0183,0.0154,0.9641
26,0.0098,-0.0254,0.9827
27,0.0066,-0.0334,0.9888
28,-0.0076,0.0227,0.9939
29,-0.0286,0.0332,0.9651
30,-0.0212,-0.0503,0.9917
31,0.0007,-0.0386,1.0042
32,-0.0249,-0.0322,0.9663
33,-0.0259,0.0540,0.9729
34,-0.0063,0.0215,0.9641
35,0.0330,-0.0002,0.9866
36,0.0000,-0.0059,0.9731
37,0.0054,0.0295,0.9868
38,0.0017,-0.0425,0.9749
39,-0.0149,-0.0422,1.0042
40,-0.0315,-0.0200,0.9888
41,-0.0259,0.0249,0.9829
42,0.0076,0.0281,0.9661
43,0.0120,-0.0112,0.9878
44,0.0339,-0.0173,1.0012
45,-0.0210,-0.0662,0.9722
46,-0.0151,-0.0088,0.9875
47,-0.0422,0.0161,0.9670
48,-0.0298,0.0376,0.9741
49,-0.0098,0.0125,0.9602
50,0.0171,0.0303,0.9846
51,0.0217,0.0132,0.9790
52,0.0181,-0.0171,0.9817
53,-0.0110,-0.0566,0.9954
54,-0.0134,-0.0447,1.0012
55,-0.0129,-0.0437,0.9966
56,-0.0298,-0.0029,0.9934
57,-0.0032,0.0332,0.9722
58,0.0068,0.0300,0.9788
59,0.0366,0.0413,0.9692
60,-0.0171,-0.0291,0.9622
61,-0.0056,-0.0054,0.9939
62,-0.0422,-0.0520,0.9670
63,-0.0244,0.0107,1.0015
64,0.0024,0.0156,0.9700
65,0.0273,-0.0386,0.9907
66,0.0317,0.0068,0.9944
67,-0.0159,-0.0249,0.9683
68,-0.0059,0.0388,0.9924
69,-0.0657,-0.0166,0.9644
70,-0.0146,-0.0107,0.9927
71,-0.0181,-0.0103,0.9741
72,0.0317,0.0117,0.9866
73,0.0305,-0.0066,0.9751
74,0.0120,-0.0068,0.9905
75,-0.0029,0.0095,0.9817
76,-0.0222,-0.0178,0.9827
77,-0.0452,-0.0269,0.9817
78,-0.0339,-0.0251,0.9917
79,0.0171,0.0181,0.9690
80,-0.0010,-0.0159,0.9673
81,0.0264,0.0420,0.9866
82,-0.0002,-0.0139,0.9614
83,-0.0105,0.0322,0.9946
84,-0.0273,0.0120,0.9758
85,-0.0293,-0.0408,0.9976
86,0.0042,-0.0417,0.9858
87,-0.0198,-0.0161,0.9905
88,0.0337,0.0225,0.9817
89,0.0193,-0.0437,0.9758
90,0.0156,-0.0217,0.9983
91,-0.0017,0.0115,0.9771
92,-0.0334,0.0081,0.9702
93,-0.0610,0.0127,0.9700
94,-0.0493,0.0173,0.9758
95,0.0073,0.0208,0.9702
96,0.0127,0.0059,0.9663
97,0.0532,-0.0029,0.9856
98,0.0103,-0.0259,0.9895
99,0.0149,-0.0073,0.9983
100,-0.0127,-0.0137,0.9829
101,-0.0266,-0.0269,0.9954
102,-0.0127,-0.0559,0.9917
103,0.0645,-0.0176,1.0134
104,0.1519,0.0166,0.9780
105,0.2561,0.1125,0.9897
106,0.4106,0.3015,0.9563
107,0.4631,0.3833,0.9204
108,0.4670,0.4731,0.9399
109,0.4092,0.3999,0.9087
110,0.3367,0.3186,0.9338
111,0.2490,0.3606,0.9397
112,0.1926,0.3501,0.9390
113,0.1936,0.3452,0.9663
114,0.2295,0.3682,0.9868
115,0.2700,0.3694,0.9885
116,0.3389,0.4514,1.0168
117,0.3752,0.4141,0.9858
118,0.4304,0.4810,1.0327
119,0.4224,0.4924,0.9866
120,0.4526,0.5774,0.9846
121,0.4375,0.5767,0.9526
122,0.3958,0.5884,0.9839
123,0.3613,0.5208,0.9504
124,0.3240,0.4690,0.9885
125,0.3035,0.4482,1.0122
126,0.3530,0.3469,1.0012
127,0.4297,0.3411,1.0422
128,0.4497,0.3879,1.0286
129,0.4797,0.3711,1.0171
130,0.4231,0.3726,1.0171
131,0.2632,0.3237,1.0034
132,0.1184,0.2524,1.0005
133,0.0264,0.1428,0.9993
134,0.0339,0.1260,0.9819
135,0.1118,0.1921,0.9534
136,0.1733,0.2937,0.9417
137,0.2134,0.0791,0.9417
138,0.2317,-0.0432,1.0728
139,0.2312,-0.0247,1.0239
140,0.2095,0.1147,0.9543
141,0.2249,0.1445,0.9653
142,0.2410,0.0186,0.9729
143,0.3342,0.1528,0.9897
144,0.3774,0.3323,0.8635
145,0.3723,0.4561,0.8550
146,0.3425,0.3333,0.8958
147,0.2092,0.2246,0.9746
148,0.1660,0.2593,0.9536
149,0.1646,0.3137,0.9592
150,0.1567,0.2620,1.0139
151,0.2603,0.2749,1.0540
152,0.3567,0.3667,1.0083
153,0.2727,0.5039,0.9702
154,0.0415,0.5520,0.9504
155,-0.1890,0.3643,0.9468
156,-0.4463,0.1343,1.0005
157,-0.6492,-0.0879,1.0510
158,-0.7078,-0.4692,1.0881
159,-0.5698,-0.7839,1.1362
160,-0.3787,-0.8843,1.1467
161,-0.1191,-0.6843,1.1235
162,0.0933,-0.5251,1.0884
163,0.2439,-0.4207,1.0864
164,0.3323,-0.3958,1.0522
165,0.3701,-0.2959,1.0139
166,0.3633,-0.1296,0.9370
167,0.4275,-0.0063,0.8420
168,0.4172,0.2607,0.7642
169,0.3948,0.5645,0.6909
170,0.3533,0.7075,0.6685
171,0.2725,0.7476,0.7661
172,0.1406,0.7847,0.7896
173,0.0386,0.5989,0.8284
174,-0.0703,0.4741,0.9341
175,-0.2097,0.2505,0.9768
176,-0.2075,0.2954,1.0610
177,-0.2078,0.2825,1.0598
178,-0.2888,-0.0356,1.1418
179,-0.2390,-0.1567,1.2366
180,-0.1487,-0.1787,1.2085
181,-0.1267,-0.1487,1.1821
182,-0.1001,-0.2742,1.1675
183,-0.0557,-0.5017,1.1216
184,0.0515,-0.3931,1.1721
185,0.1387,-0.2837,1.0686
186,0.1599,-0.3474,1.0405
187,0.1565,-0.3162,1.0337
188,0.1565,-0.2136,0.9526
189,0.0730,-0.0928,0.8755
190,0.0220,0.1926,0.8333
191,-0.0530,0.1902,0.7532
192,-0.1270,0.2661,0.7554
193,-0.1765,0.3435,0.7141
194,-0.1904,0.2083,0.7524
195,-0.2246,-0.0352,0.8743
196,-0.1758,-0.2534,0.9397
197,-0.0740,-0.3206,0.9819
198,0.0117,-0.2380,1.0334
199,0.0549,-0.2695,1.0767
200,0.1396,-0.2751,1.0835
201,0.1660,-0.1260,1.1079
202,0.0835,0.0544,1.0803
203,0.0332,-0.0261,1.0471
204,-0.0022,-0.0884,1.0510
205,-0.0535,-0.0125,1.0405
206,-0.0398,0.1692,0.9719
207,-0.0317,0.2651,0.9155
208,-0.0015,0.2278,0.9075
209,0.0466,0.3103,0.9487
210,0.0420,0.4128,0.9302
211,-0.0344,0.3875,0.9016
212,-0.0615,0.2334,0.9731
213,-0.0278,0.1187,1.0425
214,-0.0007,0.0322,1.0364
215,0.0081,-0.0359,1.0159
216,0.0247,-0.0786,1.0471
217,0.0933,-0.1226,1.0608
218,0.0764,-0.1614,1.0054
219,0.0767,-0.1526,0.9993
220,0.0955,-0.0681,0.9858
221,0.1321,-0.0911,0.9741
222,0.1333,-0.0842,0.9526
223,0.0676,-0.1365,0.9380
224,-0.0625,-0.1599,0.9692
225,-0.1089,-0.1375,0.9409
226,-0.1340,-0.0469,0.9514
227,-0.1665,0.1235,0.9419
228,-0.1001,0.0710,0.9065
229,-0.0854,0.0105,0.9602
230,-0.1316,0.0239,0.9885
231,-0.1951,-0.2822,0.9592
232,-0.2815,-0.3232,1.0530
233,-0.2153,-0.3171,1.0161
234,-0.1257,-0.2041,1.0168
235,0.0137,-0.0259,1.0002
236,0.1487,0.0977,0.9692
237,0.2166,0.1760,0.9768
238,0.1536,0.0928,0.9468
239,0.0332,-0.0259,0.9885
240,-0.0315,-0.0852,0.9849
241,-0.0818,-0.0286,0.9817
242,-0.0330,0.0908,0.9551
243,0.0913,0.2190,0.9475
244,0.1221,0.2249,0.9465
245,0.1282,0.1851,0.9692
246,0.0813,0.0630,0.9702
247,0.0024,-0.0151,1.0161
248,-0.0769,-0.0818,1.0286
249,-0.0837,-0.1094,1.0200
250,-0.0166,-0.0457,1.0151
251,0.0527,-0.0195,0.9788
252,0.0452,0.0972,1.0005
253,0.0085,0.0901,0.9563
254,-0.0303,0.0203,0.9690
255,-0.0818,-0.0703,0.9827
256,-0.1021,-0.0317,0.9907
257,-0.0310,0.0354,0.9604
258,0.0750,0.0867,0.9243
259,0.1575,0.0635,0.9614
260,0.1187,0.0327,0.9958
261,0.0581,-0.0325,0.9612
262,-0.0090,-0.0002,0.9971
263,-0.0610,-0.0554,0.9944
264,-0.0989,-0.1946,1.0090
265,-0.0171,-0.0244,1.0161
266,0.0581,0.0361,0.9270
267,0.0583,0.0730,0.9868
268,0.0295,-0.0867,0.9944
269,-0.0178,-0.1409,1.0220
270,-0.0762,-0.0791,0.9761
271,-0.0874,0.0408,0.9661
272,-0.0613,-0.0100,0.9426
273,-0.0315,-0.0303,0.9749
274,0.0007,0.0708,0.9553
275,0.0007,0.0962,0.9487
276,-0.0496,0.0149,0.9719
277,-0.0500,-0.1423,1.0161
278,-0.0703,-0.1675,1.0371
279,-0.0559,0.0007,0.9976
280,0.0337,0.0654,0.9546
281,-0.0181,0.0364,0.9966
282,-0.0308,0.1016,1.0073
283,0.0264,0.1077,0.9465
284,0.0278,0.1672,0.9768
285,0.0054,0.0127,0.9836
286,0.0198,-0.1785,1.0061
287,0.0896,-0.1489,0.9973
288,0.0818,-0.0674,0.9758
289,0.1016,0.0090,0.9915
290,0.1179,-0.0381,0.9810
291,0.0732,0.0664,1.0142
292,0.0610,0.2312,0.9673
293,0.0020,0.1416,0.9233
294,0.0210,0.0608,0.9739
295,-0.0188,-0.0564,0.9712
296,-0.0554,0.0088,0.9680
297,0.0000,0.0452,0.9290
298,-0.0305,0.0479,0.9832
299,-0.0840,0.0571,0.9966
300,-0.0671,-0.0061,0.9788
301,-0.0364,-0.0305,0.9934
302,-0.0940,0.0139,1.0200
303,-0.1091,-0.0391,1.0002
