Sample,X,Y,Z
0,0.0364,0.0056,0.9680
1,-0.0054,-0.0273,0.9702
2,-0.0161,0.0100,0.9958
3,-0.0544,-0.0176,0.9700
4,-0.0496,0.0122,0.9944
5,-0.0151,-0.0115,0.9797
6,-0.0012,-0.0146,0.9807
7,0.0142,-0.0073,0.9788
8,0.0283,-0.0090,0.9805
9,0.0076,-0.0291,0.9924
10,0.0151,-0.0334,0.9934
11,-0.0166,-0.0222,0.9709
12,-0.0447,0.0149,0.9771
13,-0.0276,0.0347,0.9868
14,-0.0112,-0.0190,0.9614
15,0.0078,0.0034,0.9917
16,-0.0020,-0.0002,0.9722
17,-0.0020,0.0044,0.9807
18,0.0022,-0.0259,0.9829
19,0.0010,-0.0068,0.9907
20,-0.0142,-0.0283,0.9722
21,-0.0012,0.0076,0.9888
22,-0.0002,-0.0518,0.9739
23,-0.0342,-0.0168,1.0103
24,-0.0337,-0.0056,0.9761
25,-0.0359,-0.0093,0.9670
26,0.0059,0.0212,0.9768
27,0.0212,0.0100,0.9729
28,0.0444,-0.0063,0.9868
29,0.0273,0.0146,0.9858
30,-0.0142,-0.0171,0.9846
31,-0.0417,-0.0168,0.9907
32,-0.0459,-0.0295,0.9771
33,-0.0168,-0.0134,0.9888
34,-0.0103,-0.0029,0.9761
35,0.0222,-0.0081,0.9778
36,0.0012,-0.0090,0.9700
37,-0.0105,-0.0090,0.9897
38,-0.0093,-0.0107,0.9849
39,-0.0132,-0.0183,0.9800
40,0.0027,-0.0132,0.9858
41,-0.0115,-0.0022,0.9836
42,-0.0032,0.0034,0.9895
43,-0.0149,0.0015,0.9749
44,0.0122,0.0029,0.9885
45,-0.0225,-0.0190,0.9683
46,-0.0022,-0.0149,0.9849
47,0.0369,-0.0090,0.9827
48,0.0032,-0.0256,0.9758
49,-0.0359,-0.0093,1.0005
50,-0.0596,-0.0212,0.9810
51,-0.0361,-0.0015,0.9885
52,-0.0288,0.0103,0.9722
53,0.0154,0.0083,0.9856
54,0.0505,-0.0210,0.9680
55,0.0515,-0.0210,0.9768
56,0.0059,0.0061,0.9817
57,-0.0273,0.0059,0.9907
58,-0.0227,-0.0354,0.9827
59,-0.0364,-0.0378,0.9827
60,-0.0208,0.0222,0.9956
61,-0.0271,-0.0244,0.9634
62,-0.0115,-0.0283,0.9956
63,0.0002,-0.0085,0.9817
64,-0.0081,0.0190,0.9915
65,0.0112,0.0110,0.9631
66,0.0166,-0.0176,0.9771
67,0.0298,0.0066,0.9966
68,-0.0034,-0.0120,0.9839
69,-0.0354,-0.0461,0.9817
70,-0.0308,-0.0244,0.9907
71,-0.0381,-0.0129,0.9800
72,-0.0283,0.0015,0.9866
73,0.0107,0.0154,0.9712
74,0.0354,-0.0342,0.9800
75,0.0327,0.0090,0.9937
76,-0.0061,-0.0225,0.9700
77,-0.0330,-0.0010,0.9846
78,-0.0503,-0.0259,0.9827
79,-0.0554,-0.0061,0.9973
80,-0.0227,-0.0073,0.9771
81,0.0349,0.0112,0.9778
82,0.0532,-0.0234,0.9751
83,0.0547,0.0066,0.9993
84,0.0110,-0.0466,0.9761
85,-0.0425,-0.0225,0.9951
86,-0.0483,-0.0002,0.9829
87,-0.0645,0.0002,0.9790
88,-0.0205,0.0112,0.9790
89,-0.0002,-0.0046,0.9670
90,0.0293,-0.0020,0.9868
91,0.0256,-0.0142,0.9712
92,0.0088,-0.0388,0.9836
93,-0.0266,-0.0107,0.9917
94,-0.0146,0.0034,0.9905
95,-0.0132,-0.0376,0.9751
96,-0.0002,0.0002,1.0073
97,-0.0081,-0.0327,0.9778
98,-0.0027,-0.0068,0.9858
99,0.0054,0.0129,0.9761
100,-0.0139,-0.0002,0.9817
101,-0.0063,0.0076,0.9739
102,0.0562,-0.0015,0.9622
103,0.1848,0.0186,0.9790
104,0.2202,-0.0771,0.9817
105,0.2598,-0.1250,1.0315
106,0.2864,-0.2615,1.0220
107,0.2844,-0.2415,1.0718
108,0.2905,-0.2310,1.0178
109,0.2935,-0.2036,0.9954
110,0.3191,-0.1926,0.9614
111,0.2815,-0.1992,0.9438
112,0.2148,-0.2229,0.9526
113,0.1499,-0.2300,0.9583
114,0.1489,-0.3223,0.9729
115,0.1763,-0.3579,0.9973
116,0.2751,-0.3562,1.0200
117,0.3469,-0.4070,1.0122
118,0.4460,-0.4167,1.0464
119,0.4907,-0.4844,1.0325
120,0.4663,-0.5718,1.0569
121,0.4827,-0.6375,1.0571
122,0.4924,-0.7454,1.0435
123,0.5403,-0.6736,1.0356
124,0.5547,-0.6416,0.9631
125,0.5540,-0.4558,0.9634
126,0.5483,-0.4204,0.8958
127,0.5171,-0.3628,0.9309
128,0.4858,-0.3013,0.9407
129,0.4812,-0.3625,0.9487
130,0.4797,-0.5583,0.9634
131,0.4446,-0.5344,1.0122
132,0.3647,-0.4807,0.9602
133,0.2595,-0.2732,0.9663
134,0.1516,-0.1882,0.9126
135,0.0251,-0.1951,0.9319
136,0.0286,-0.1863,0.9751
137,0.0723,-0.2478,0.9634
138,0.1362,-0.2915,1.0139
139,0.1997,-0.3110,1.0500
140,0.2268,-0.4114,1.0552
141,0.2502,-0.2549,1.0942
142,0.2642,0.0198,1.0227
143,0.2014,0.2070,1.0005
144,0.2039,0.1191,0.9702
145,0.2251,-0.1025,0.9934
146,0.2803,-0.1177,1.0178
147,0.3252,-0.0625,0.9556
148,0.3176,-0.1465,0.9624
149,0.2979,-0.1421,0.9875
150,0.2639,0.0029,0.9937
151,0.1863,0.1326,0.9624
152,0.0867,0.0825,0.9487
153,-0.0142,-0.1868,0.9897
154,-0.1321,-0.2087,1.0581
155,-0.2361,-0.2427,0.9543
156,-0.3513,-0.1870,0.9368
157,-0.4009,-0.1597,0.9185
158,-0.4539,0.0437,0.9084
159,-0.4204,0.2041,0.8589
160,-0.3462,0.3306,0.8755
161,-0.2275,0.2085,0.9683
162,-0.0276,0.1228,1.0454
163,0.1606,-0.0293,1.0696
164,0.2935,-0.0347,1.1106
165,0.3794,-0.1611,1.1292
166,0.4045,-0.1167,1.1323
167,0.3491,-0.0579,1.0588
168,0.2944,0.0850,1.0005
169,0.2588,0.0571,0.9507
170,0.2781,0.0315,0.9331
171,0.2795,-0.0603,0.8999
172,0.2109,-0.0669,0.9065
173,0.1311,-0.0415,0.9136
174,-0.0410,-0.1538,0.9087
175,-0.1724,-0.2371,0.9585
176,-0.2056,-0.2615,0.9995
177,-0.1665,-0.1711,1.0122
178,-0.0752,-0.2249,0.9927
179,0.0657,-0.3408,1.0120
180,0.1096,-0.3481,1.0588
181,0.0837,-0.3054,1.0083
182,-0.0149,-0.3096,0.9673
183,-0.1091,-0.1846,0.9885
184,-0.1880,-0.0972,0.9634
185,-0.1562,-0.0444,0.9419
186,-0.0273,0.1724,0.9624
187,0.0957,0.2864,0.9309
188,0.1167,0.1406,0.9270
189,0.0562,0.2595,1.0090
190,-0.0586,0.3401,0.9485
191,-0.1519,0.2715,0.9429
192,-0.1711,0.2952,1.0159
193,-0.1487,0.1538,0.9856
194,-0.0281,0.2209,1.0432
195,0.0669,0.2454,0.9788
196,0.0527,0.0720,0.9985
197,0.0186,0.0234,1.0562
198,-0.0393,0.0215,1.0188
199,-0.0776,-0.0122,1.0120
200,-0.0383,0.0720,1.0071
201,0.0037,0.0144,0.9885
202,0.0789,0.0002,0.9709
203,0.0845,0.0276,0.9514
204,0.0430,-0.0930,0.9106
205,-0.0220,-0.1357,0.9419
206,-0.1167,-0.1309,0.9282
207,-0.1543,0.0125,0.9426
208,-0.1121,0.0234,0.9302
209,-0.0691,-0.0095,0.9917
210,0.0139,-0.2166,1.0100
211,0.0713,-0.2927,1.0591
212,0.1204,-0.2988,1.0571
213,0.1042,-0.3091,1.0444
214,0.0815,-0.3274,1.0356
215,0.0815,-0.1523,1.0337
216,0.0413,-0.0498,0.9448
217,0.0493,0.0112,0.9211
218,0.0615,-0.0442,0.9087
219,0.0635,0.0227,0.9407
220,0.0603,0.0559,0.9114
221,0.0332,0.0625,0.9329
222,-0.0317,0.0830,0.9868
223,-0.0764,0.2009,0.9985
224,-0.0813,0.1787,0.9768
225,-0.0525,0.1736,0.9954
226,0.0198,0.1255,1.0210
227,0.0425,-0.0300,1.0044
228,-0.0005,-0.0356,1.0227
229,-0.0432,-0.0208,0.9839
230,-0.0754,-0.0581,0.9819
231,-0.0610,0.0974,1.0051
232,-0.0388,0.3293,0.9514
233,-0.0037,0.2964,0.9368
234,0.0068,0.1348,0.9692
235,0.0088,-0.0886,1.0386
236,-0.0369,-0.2793,1.0325
237,-0.0806,-0.2634,1.0532
238,-0.1038,-0.1746,0.9985
239,-0.1736,-0.0977,0.9583
240,-0.1653,0.1025,0.9458
241,-0.1392,0.1626,0.8901
242,-0.0505,0.1440,0.9233
243,0.0361,-0.0386,0.9456
244,0.0759,-0.1885,1.0073
245,0.0349,-0.1899,1.0251
246,0.0234,-0.0847,1.0139
