Sample,X,Y,Z
0,0.0044,-0.0254,0.9739
1,0.0066,0.0002,0.9836
2,-0.0083,-0.0337,0.9739
3,-0.0364,0.0222,0.9993
4,-0.0020,-0.0237,0.9592
5,-0.0193,-0.0188,0.9780
6,-0.0122,0.0247,0.9878
7,-0.0020,-0.0049,0.9692
8,-0.0051,-0.0056,0.9836
9,0.0117,-0.0012,0.9866
10,0.0173,-0.0044,0.9788
11,0.0286,-0.0088,0.9836
12,0.0000,-0.0115,0.9817
13,-0.0315,-0.0244,0.9983
14,-0.0378,0.0037,0.9810
15,-0.0544,-0.0322,0.9758
16,0.0039,0.0254,0.9868
17,0.0027,-0.0234,0.9690
18,0.0264,-0.0066,0.9866
19,0.0269,0.0073,0.9670
20,0.0007,0.0068,0.9819
21,-0.0200,-0.0115,0.9722
22,-0.0283,-0.0144,0.9917
23,-0.0210,0.0085,0.9944
24,0.0010,-0.0042,0.9758
25,0.0005,-0.0364,0.9836
26,0.0393,0.0227,0.9937
27,-0.0056,-0.0437,0.9651
28,-0.0015,0.0042,1.0022
29,-0.0413,-0.0212,0.9758
30,-0.0393,0.0051,0.9966
31,0.0020,-0.0027,0.9614
32,-0.0076,0.0044,0.9856
33,0.0422,0.0139,0.9780
34,-0.0032,-0.0198,0.9634
35,0.0122,0.0056,1.0002
36,-0.0352,-0.0022,0.9670
37,-0.0225,-0.0178,0.9983
38,0.0000,-0.0046,0.9729
39,-0.0188,-0.0254,0.9849
40,0.0027,0.0112,0.9856
41,-0.0137,-0.0493,0.9661
42,-0.0186,0.0178,1.0093
43,0.0088,-0.0205,0.9604
44,0.0115,0.0220,0.9929
45,0.0100,-0.0151,0.9622
46,0.0369,0.0232,0.9966
47,-0.0249,-0.0520,0.9636
48,-0.0176,0.0156,1.0012
49,-0.0530,-0.0381,0.9729
50,-0.0291,0.0300,0.9934
51,-0.0034,-0.0225,0.9631
52,0.0051,0.0200,0.9976
53,0.0442,0.0046,0.9702
54,0.0083,-0.0498,0.9719
55,0.0081,0.0222,0.9983
56,-0.0254,-0.0200,0.9612
57,-0.0044,0.0249,0.9985
58,-0.0488,-0.0481,0.9644
59,-0.0115,0.0303,1.0142
60,-0.0110,-0.0425,0.9497
61,0.0166,0.0034,1.0022
62,-0.0012,-0.0256,0.9702
63,0.0042,0.0229,0.9993
64,-0.0012,-0.0159,0.9595
65,-0.0222,0.0095,0.9934
66,-0.0020,0.0295,0.9700
67,0.0005,-0.0444,0.9670
68,0.0134,-0.0078,0.9878
69,-0.0112,-0.0156,0.9829
70,-0.0027,0.0090,0.9905
71,-0.0115,-0.0171,0.9758
72,-0.0371,0.0068,0.9915
73,-0.0208,-0.0173,0.9817
74,0.0027,-0.0107,0.9790
75,0.0110,-0.0183,0.9771
76,0.0371,0.0063,0.9819
77,-0.0159,-0.0105,0.9836
78,0.0112,0.0173,0.9846
79,-0.0381,-0.0081,0.9709
80,-0.0178,0.0271,1.0034
81,0.0042,-0.0327,0.9583
82,0.0032,-0.0132,0.9934
83,0.0027,-0.0054,0.9761
84,-0.0112,-0.0071,0.9897
85,-0.0156,-0.0188,0.9729
86,-0.0188,0.0032,0.9976
87,-0.0146,-0.0210,0.9836
88,0.0100,0.0100,0.9771
89,0.0317,-0.0107,0.9712
90,0.0127,0.0112,0.9866
91,-0.0105,-0.0166,0.9800
92,-0.0520,-0.0266,0.9846
93,-0.0305,0.0232,0.9937
94,-0.0347,0.0061,0.9680
95,0.0227,-0.0178,0.9905
96,0.0315,-0.0222,0.9702
97,0.0308,0.0071,0.9934
98,0.0271,-0.0083,0.9653
99,-0.0388,-0.0286,0.9868
100,-0.0498,-0.0037,0.9849
101,-0.0325,0.0039,0.9797
102,-0.0173,-0.0144,0.9839
103,0.0107,-0.0139,0.9751
104,0.0232,0.0071,0.9907
105,0.0308,0.0283,0.9817
106,-0.0024,-0.0513,0.9683
107,-0.0129,0.0127,1.0054
108,-0.0566,-0.0125,0.9700
109,-0.0144,0.0037,0.9924
110,-0.0076,-0.0312,0.9700
111,0.0164,-0.0022,1.0061
112,0.0337,-0.0034,0.9641
113,-0.0122,-0.0208,0.9829
114,0.0364,0.0181,0.9905
115,-0.0596,-0.0403,0.9661
116,-0.0251,0.0029,1.0054
117,-0.0330,-0.0247,0.9529
118,0.0100,0.0479,1.0051
119,0.0117,-0.0205,0.9524
120,0.0281,-0.0208,1.0132
121,0.0220,0.0088,0.9702
122,-0.0049,-0.0288,0.9875
123,-0.0308,0.0037,0.9868
124,-0.0564,-0.0222,0.9778
125,0.0042,0.0112,0.9849
126,-0.0093,-0.0320,0.9631
127,0.0261,0.0269,0.9976
128,0.0042,-0.0337,0.9585
129,0.0098,0.0127,0.9927
130,-0.0208,0.0090,0.9778
131,-0.0271,-0.0107,0.9915
132,-0.0093,-0.0291,0.9812
133,0.0156,0.0215,0.9888
134,0.0068,-0.0029,0.9670
135,0.0076,-0.0291,0.9856
136,-0.0237,-0.0090,0.9897
137,-0.0237,-0.0037,0.9749
138,-0.0166,-0.0022,0.9773
139,-0.0193,-0.0066,0.9966
140,0.0288,0.0029,0.9788
141,0.0242,-0.0127,0.9731
142,0.0061,-0.0042,0.9849
143,-0.0005,0.0002,0.9807
144,-0.0481,-0.0276,0.9829
145,-0.0144,0.0105,0.9983
146,-0.0205,-0.0212,0.9651
147,-0.0105,0.0320,0.9963
148,0.0154,-0.0173,0.9614
149,0.0139,0.0015,1.0034
150,0.0115,-0.0359,0.9683
151,-0.0020,-0.0195,0.9868
152,-0.0237,0.0012,0.9778
153,-0.0298,0.0251,0.9817
154,-0.0200,-0.0435,0.9690
155,0.0068,0.0391,0.9956
156,-0.0183,-0.0483,0.9565
157,0.0217,0.0098,1.0005
158,0.0000,-0.0190,0.9761
159,-0.0088,0.0288,0.9990
160,0.0117,-0.0190,0.9565
161,-0.0200,-0.0093,1.0051
162,0.0125,-0.0010,0.9739
163,-0.0212,-0.0432,0.9751
164,-0.0278,0.0090,0.9998
165,-0.0251,-0.0093,0.9680
166,0.0063,0.0071,0.9878
167,0.0083,0.0076,0.9771
168,0.0151,-0.0317,0.9817
169,0.0305,0.0127,0.9829
170,-0.0012,-0.0303,0.9575
171,-0.0283,0.0278,1.0100
172,-0.0356,-0.0542,0.9680
173,-0.0369,-0.0063,1.0002
174,-0.0076,0.0061,0.9768
175,-0.0068,0.0107,0.9797
176,0.0505,-0.0249,0.9768
177,0.0222,-0.0171,0.9702
178,0.0166,0.0264,0.9897
179,-0.0217,-0.0247,0.9604
180,-0.0378,-0.0098,1.0024
181,-0.0442,-0.0027,0.9751
182,-0.0085,0.0039,0.9868
183,0.0093,-0.0127,0.9758
184,0.0293,-0.0103,0.9846
185,0.0471,0.0139,0.9856
186,-0.0222,-0.0244,0.9722
187,-0.0273,-0.0215,0.9966
188,-0.0625,-0.0117,0.9878
189,-0.0408,-0.0022,0.9836
190,-0.0002,-0.0171,0.9651
191,0.0400,0.0359,0.9827
192,0.0417,0.0103,0.9573
193,0.0420,-0.0195,0.9895
194,-0.0254,-0.0127,0.9915
195,-0.0515,-0.0188,0.9895
196,-0.0603,-0.0103,0.9797
197,-0.0288,0.0088,0.9946
198,0.0254,-0.0105,0.9651
199,0.0449,-0.0352,0.9907
200,0.0349,-0.0063,0.9868
201,-0.0022,-0.0283,0.9846
202,-0.0264,0.0134,0.9788
203,-0.0552,0.0088,0.9788
204,-0.0413,0.0310,0.9788
205,0.0017,-0.0276,0.9641
206,0.0400,0.0107,0.9924
207,0.0217,-0.0322,0.9788
208,0.0183,0.0032,0.9983
209,-0.0142,-0.0305,0.9729
210,-0.0210,0.0337,0.9956
211,-0.0581,-0.0525,0.9683
212,-0.0295,-0.0039,1.0051
213,0.0007,-0.0242,0.9604
214,0.0391,0.0242,0.9768
215,0.0383,-0.0073,0.9683
216,0.0208,0.0234,0.9915
217,-0.0020,-0.0303,0.9641
218,-0.0388,0.0298,0.9966
219,-0.0579,-0.0298,0.9673
220,-0.0308,-0.0081,0.9917
221,-0.0330,-0.0288,0.9856
222,0.0327,0.0425,0.9973
223,0.0337,-0.0552,0.9573
224,0.0168,0.0037,1.0081
225,0.0159,-0.0134,0.9614
226,0.0000,0.0039,0.9836
227,-0.0239,-0.0176,0.9709
228,-0.0378,-0.0200,0.9956
229,-0.0315,0.0205,0.9866
230,-0.0183,-0.0120,0.9680
231,-0.0093,0.0063,0.9836
232,0.0129,0.0032,0.9788
233,0.0286,-0.0107,0.9729
234,0.0168,-0.0210,0.9888
235,0.0073,0.0027,0.9819
236,-0.0317,-0.0110,0.9917
237,-0.0383,-0.0234,0.9758
238,-0.0171,0.0210,0.9966
239,-0.0032,-0.0120,0.9741
240,-0.0012,-0.0471,0.9800
241,0.0066,-0.0181,0.9868
242,0.0029,0.0442,0.9729
243,0.0007,0.0002,0.9595
244,-0.0151,-0.0007,0.9944
245,0.0012,0.0063,0.9858
246,0.0022,-0.0210,0.9702
247,0.0037,-0.0232,0.9917
248,-0.0271,-0.0225,1.0012
249,-0.0273,-0.0247,0.9756
250,-0.0320,0.0205,0.9788
251,-0.0103,0.0291,0.9836
252,0.0085,-0.0193,0.9668
253,0.0322,-0.0615,0.9836
254,0.0146,0.0190,0.9868
255,0.0020,-0.0010,0.9719
256,-0.0117,-0.0056,0.9761
257,-0.0371,-0.0220,0.9875
258,-0.0020,0.0439,0.9866
259,-0.0244,-0.0474,0.9614
260,0.0042,-0.0042,1.0015
261,-0.0083,0.0020,0.9790
262,-0.0066,0.0149,0.9895
263,0.0066,-0.0247,0.9712
264,-0.0005,0.0076,0.9934
265,0.0242,-0.0156,0.9673
266,-0.0063,-0.0127,0.9817
267,-0.0063,-0.0327,0.9866
268,-0.0151,0.0310,0.9946
269,-0.0623,-0.0469,0.9778
270,0.0059,0.0503,0.9995
271,-0.0173,-0.0588,0.9556
272,0.0322,0.0417,0.9973
