Sample,X,Y,Z
0,0.0293,-0.0127,0.9771
1,0.0154,-0.0029,0.9673
2,-0.0295,0.0308,0.9897
3,-0.0247,0.0090,0.9634
4,-0.0457,-0.0149,0.9807
5,-0.0068,0.0105,0.9963
6,0.0056,0.0042,0.9702
7,0.0278,-0.0391,0.9858
8,0.0078,-0.0249,0.9993
9,-0.0168,-0.0608,0.9768
10,-0.0334,0.0378,1.0110
11,-0.0095,-0.0017,0.9475
12,-0.0068,0.0344,0.9924
13,0.0098,-0.0425,0.9653
14,0.0188,0.0105,0.9846
15,-0.0054,0.0022,0.9680
16,-0.0088,0.0066,0.9836
17,-0.0164,-0.0093,0.9839
18,-0.0049,0.0044,0.9839
19,-0.0068,-0.0122,0.9771
20,-0.0017,-0.0315,0.9866
21,-0.0032,-0.0254,0.9949
22,0.0022,-0.0161,0.9817
23,0.0227,-0.0112,0.9827
24,0.0027,-0.0137,0.9827
25,-0.0073,0.0063,0.9729
26,-0.0071,0.0273,0.9729
27,-0.0310,-0.0042,0.9653
28,-0.0481,-0.0098,0.9858
29,0.0098,-0.0278,0.9839
30,0.0034,-0.0215,0.9983
31,0.0203,-0.0408,0.9829
32,-0.0005,-0.0085,0.9917
33,-0.0146,-0.0015,0.9771
34,-0.0200,0.0051,0.9749
35,-0.0017,0.0120,0.9800
36,0.0127,-0.0178,0.9641
37,0.0322,0.0168,0.9856
38,0.0146,0.0068,0.9758
39,0.0005,-0.0012,0.9856
40,-0.0498,-0.0205,0.9924
41,-0.0466,-0.0183,0.9836
42,-0.0520,0.0005,0.9917
43,-0.0007,-0.0176,0.9771
44,0.0266,-0.0115,0.9807
45,0.0562,-0.0305,0.9810
46,0.0562,0.0125,0.9836
47,0.0076,-0.0298,0.9653
48,-0.0264,0.0620,0.9973
49,-0.0623,-0.0200,0.9377
50,-0.0413,0.0491,1.0044
51,-0.0132,-0.0176,0.9438
52,-0.0156,-0.0051,0.9915
53,0.0071,-0.0161,0.9878
54,0.0308,-0.0317,0.9797
55,0.0249,-0.0076,1.0110
56,0.0200,-0.0339,0.9771
57,0.0132,-0.0059,0.9990
58,-0.0208,-0.0315,0.9788
59,-0.0623,-0.0059,0.9719
60,-0.0635,0.0205,0.9839
61,-0.0205,-0.0188,0.9651
62,0.0352,0.0095,0.9885
63,0.0469,-0.0129,0.9592
64,0.0542,0.0269,0.9907
65,0.0129,-0.0110,0.9680
66,-0.0291,-0.0134,0.9927
67,-0.0625,-0.0356,0.9807
68,-0.0605,-0.0176,0.9858
69,-0.0200,0.0215,0.9829
70,0.0085,-0.0337,0.9644
