Sample,X,Y,Z
0,-0.0483,0.0188,0.9729
1,-0.0208,0.0073,0.9761
2,-0.0005,-0.0081,0.9810
3,0.0220,-0.0203,0.9944
4,0.0017,-0.0127,0.9839
5,0.0183,-0.0208,0.9761
6,0.0251,-0.0042,0.9875
7,-0.0100,0.0046,0.9768
8,-0.0178,-0.0032,0.9788
9,-0.0327,-0.0034,0.9768
10,-0.0581,-0.0166,0.9839
11,-0.0381,-0.0295,0.9868
12,-0.0034,-0.0222,0.9839
13,0.0300,0.0027,0.9751
14,0.0481,0.0271,0.9797
15,0.0444,-0.0056,0.9758
16,0.0090,0.0015,0.9800
17,-0.0232,0.0161,0.9897
18,-0.0537,-0.0271,0.9749
19,-0.0522,-0.0486,0.9917
20,-0.0461,-0.0251,0.9927
21,-0.0164,-0.0073,0.9741
22,0.0303,0.0154,0.9702
23,0.0425,0.0061,0.9739
24,0.0344,0.0054,0.9839
25,0.0254,0.0151,0.9866
26,-0.0046,-0.0093,0.9739
27,-0.0186,-0.0217,0.9927
28,-0.0479,-0.0305,0.9924
29,-0.0364,-0.0110,0.9741
30,-0.0247,-0.0054,0.9622
31,-0.0161,0.0254,0.9800
32,0.0188,0.0063,0.9788
33,0.0281,-0.0422,0.9839
34,0.0120,-0.0056,0.9963
35,0.0034,0.0027,0.9907
36,-0.0107,-0.0203,0.9819
37,-0.0208,-0.0022,0.9827
38,-0.0332,0.0259,0.9807
39,-0.0039,0.0161,0.9690
40,-0.0017,-0.0256,0.9771
41,0.0059,-0.0435,0.9966
42,0.0117,0.0000,0.9875
43,-0.0051,-0.0315,0.9690
44,-0.0112,0.0090,0.9829
45,-0.0232,0.0173,0.9780
46,-0.0125,0.0227,0.9771
47,-0.0063,0.0024,0.9722
48,0.0161,-0.0500,0.9846
49,0.0225,-0.0396,0.9944
50,-0.0046,-0.0603,0.9846
51,-0.0427,-0.0002,0.9797
52,-0.0303,0.0378,0.9644
53,-0.0193,0.0408,0.9749
54,0.0156,0.0449,0.9829
55,-0.0034,-0.0369,0.9741
56,0.0344,-0.0085,0.9983
57,0.0129,-0.0205,0.9810
58,-0.0232,-0.0234,0.9868
59,-0.0129,-0.0098,0.9915
60,-0.0164,-0.0266,0.9888
61,-0.0002,0.0081,0.9888
62,-0.0295,-0.0457,0.9622
63,-0.0120,-0.0229,0.9875
64,-0.0061,-0.0098,0.9683
65,0.0017,0.0186,0.9788
66,0.0059,0.0339,0.9709
67,0.0244,0.0369,0.9895
68,0.0271,0.0273,0.9778
69,0.0217,-0.0017,0.9810
70,-0.0154,-0.0356,0.9888
71,-0.0664,-0.0583,0.9878
72,-0.0652,-0.0537,0.9963
73,-0.0410,-0.0286,0.9946
74,-0.0144,0.0042,0.9858
75,0.0342,-0.0054,0.9751
76,0.0735,0.0022,0.9790
77,0.0483,0.0137,0.9653
78,-0.0039,0.0208,0.9709
79,-0.0479,0.0039,0.9722
80,-0.0769,-0.0024,0.9800
81,-0.0383,0.0173,0.9866
82,-0.0161,0.0010,0.9839
83,0.0205,-0.0208,0.9924
84,0.0369,-0.0466,0.9932
85,0.0425,-0.0366,0.9915
86,-0.0098,-0.0322,0.9800
87,-0.0151,0.0093,0.9934
88,-0.0286,-0.0024,0.9722
89,-0.0156,0.0210,0.9849
90,-0.0024,0.0264,0.9683
91,-0.0024,0.0063,0.9709
92,-0.0251,-0.0200,0.9653
93,-0.0005,-0.0024,0.9875
94,-0.0071,-0.0095,0.9709
95,-0.0171,-0.0073,0.9875
96,0.0015,0.0032,1.0032
97,-0.0076,-0.0417,0.9868
98,0.0095,-0.0210,0.9993
99,0.0154,-0.0100,0.9849
100,0.0227,-0.0115,0.9749
101,0.0002,-0.0007,0.9712
102,-0.0225,0.0212,0.9800
103,0.0212,-0.0115,0.9829
104,0.0547,-0.0161,0.9944
105,0.1658,0.0427,0.9856
106,0.3140,0.1624,0.9797
107,0.3560,0.2283,0.9436
108,0.3647,0.2512,0.9797
109,0.3188,0.2258,0.9885
110,0.1965,0.2153,0.9819
111,0.1111,0.1982,0.9592
112,0.0444,0.1653,0.9729
113,0.0667,0.1477,0.9856
114,0.1880,0.1506,0.9758
115,0.2761,0.1650,0.9663
116,0.3318,0.1375,0.8860
117,0.2505,0.5286,0.9905
118,0.1577,0.6936,0.8411
119,0.1436,0.5259,0.9214
120,0.2322,0.5435,1.0464
121,0.3931,0.1160,0.9763
122,0.4915,0.1099,1.0796
123,0.5532,0.2688,0.9895
124,0.5132,0.4250,0.9944
125,0.3872,0.6135,0.9973
126,0.1733,0.5933,0.9536
127,0.0127,0.5608,0.9797
128,-0.0586,0.4175,0.9810
129,-0.0410,0.1147,0.9922
130,0.0330,-0.0938,1.0425
131,0.1238,-0.1340,1.0356
132,0.2073,-0.0322,1.0190
133,0.2515,0.0862,0.9875
134,0.1753,0.1794,0.9797
135,0.1230,0.2019,0.9895
136,0.0591,0.1462,0.9819
137,0.0457,-0.0417,1.0044
138,0.0974,-0.1648,1.0220
139,0.2039,-0.1946,1.0063
140,0.3528,-0.0286,0.9702
141,0.3967,0.1611,0.9131
142,0.3501,0.3416,0.9045
143,0.2590,0.3882,0.8896
144,0.0547,0.3552,0.9065
145,0.0244,0.3420,0.9333
146,0.0522,0.1958,0.9331
147,0.1079,0.0457,0.9849
148,0.1968,0.0520,1.0149
149,0.2375,0.1653,0.9971
150,0.2229,0.3318,1.0090
151,0.1301,0.4502,1.0220
152,0.0752,0.3042,1.0034
153,0.0688,0.2717,1.0432
154,0.0330,0.1575,0.9915
