Sample,X,Y,Z
0,-0.0120,0.0007,0.9771
1,0.0090,0.0164,0.9673
2,0.0254,-0.0007,0.9800
3,0.0212,-0.0205,0.9780
4,0.0005,-0.0017,0.9990
5,-0.0017,-0.0269,0.9690
6,-0.0249,-0.0020,0.9888
7,-0.0261,0.0029,0.9702
8,-0.0247,-0.0046,0.9888
9,-0.0203,-0.0132,0.9827
10,-0.0212,0.0037,0.9875
11,-0.0012,-0.0127,0.9790
12,0.0193,0.0203,0.9888
13,0.0386,-0.0205,0.9719
14,-0.0034,-0.0212,0.9810
15,-0.0161,0.0112,0.9907
16,-0.0518,-0.0200,0.9719
17,-0.0310,0.0112,1.0032
18,-0.0186,-0.0159,0.9692
19,0.0332,-0.0076,0.9915
20,0.0408,-0.0286,0.9788
21,0.0149,0.0034,0.9866
22,-0.0334,-0.0090,0.9729
23,-0.0601,0.0210,0.9888
24,-0.0508,-0.0049,0.9692
25,-0.0115,0.0073,0.9897
26,0.0254,-0.0117,0.9780
27,0.0347,-0.0076,0.9846
28,0.0466,-0.0032,0.9790
29,-0.0034,-0.0256,0.9807
30,-0.0376,-0.0186,0.9956
31,-0.0500,-0.0046,0.9907
32,-0.0359,-0.0239,0.9827
33,-0.0044,0.0149,0.9858
34,0.0225,-0.0178,0.9663
35,0.0288,0.0144,0.9866
36,0.0161,0.0042,0.9673
37,-0.0186,0.0083,0.9797
38,-0.0417,0.0142,0.9878
39,-0.0547,-0.0193,0.9683
40,-0.0222,-0.0120,1.0005
41,0.0095,-0.0029,0.9800
42,0.0366,-0.0303,0.9895
43,0.0420,-0.0134,0.9858
44,0.0095,-0.0173,0.9810
45,-0.0227,-0.0193,0.9849
46,-0.0562,0.0083,0.9895
47,-0.0598,-0.0176,0.9653
48,-0.0247,0.0261,0.9846
49,0.0132,0.0132,0.9629
50,0.0281,0.0024,0.9878
51,0.0352,-0.0046,0.9768
52,0.0037,-0.0110,0.9778
53,-0.0107,0.0027,0.9917
54,-0.0342,-0.0229,0.9768
55,-0.0171,-0.0190,1.0034
56,-0.0073,-0.0327,0.9790
57,0.0002,-0.0115,0.9907
58,-0.0056,-0.0178,0.9827
59,-0.0129,-0.0012,0.9836
60,0.0002,0.0186,0.9758
61,-0.0032,0.0317,0.9653
62,0.0010,0.0220,0.9790
63,-0.0020,-0.0117,0.9712
64,-0.0103,-0.0142,0.9944
65,-0.0205,-0.0251,0.9846
66,-0.0200,-0.0198,0.9990
67,-0.0088,-0.0208,0.9866
68,0.0088,0.0007,0.9915
69,0.0151,-0.0183,0.9788
70,0.0173,0.0017,0.9917
71,-0.0156,-0.0398,0.9709
72,-0.0303,0.0142,0.9944
