Sample,X,Y,Z
0,0.0171,0.0308,0.9905
1,0.0232,0.0044,0.9485
2,-0.0352,-0.0281,0.9905
3,-0.0266,-0.0078,0.9827
4,-0.0520,-0.0159,0.9800
5,-0.0081,0.0417,0.9856
6,0.0327,-0.0068,0.9692
7,0.0210,-0.0139,0.9954
8,0.0288,-0.0190,0.9819
9,0.0010,-0.0232,0.9751
10,-0.0603,-0.0146,0.9924
11,-0.0464,-0.0088,0.9836
12,-0.0181,-0.0012,0.9839
13,0.0222,0.0146,0.9741
14,0.0295,-0.0259,0.9758
15,0.0398,-0.0122,0.9829
16,-0.0098,-0.0093,0.9692
17,-0.0413,0.0059,0.9939
18,-0.0352,0.0322,0.9712
19,-0.0481,-0.0181,0.9800
20,0.0220,0.0149,0.9937
21,0.0432,-0.0381,0.9700
22,0.0371,-0.0171,0.9924
23,0.0015,-0.0325,0.9807
24,-0.0320,0.0020,0.9985
25,-0.0481,-0.0149,0.9595
26,-0.0391,0.0090,0.9915
27,-0.0159,0.0081,0.9731
28,0.0256,-0.0017,0.9761
29,0.0549,-0.0281,0.9690
30,0.0225,0.0222,0.9954
31,0.0059,-0.0112,0.9641
32,-0.0444,-0.0110,0.9917
33,-0.0623,0.0127,0.9905
34,-0.0527,-0.0103,0.9758
35,0.0073,-0.0178,0.9866
36,0.0364,-0.0066,0.9700
37,0.0698,-0.0112,0.9810
38,0.0283,-0.0071,0.9790
39,-0.0149,-0.0132,0.9917
40,-0.0671,-0.0056,0.9829
41,-0.0752,-0.0220,0.9897
42,-0.0312,-0.0024,0.9771
43,0.0120,0.0012,0.9653
44,0.0779,0.0042,0.9778
45,0.0271,-0.0056,0.9741
46,0.0176,-0.0061,0.9856
47,-0.0344,0.0110,0.9749
48,-0.0593,-0.0327,0.9944
49,-0.0239,0.0000,0.9849
50,-0.0210,-0.0273,0.9749
51,0.0154,0.0239,0.9749
52,0.0256,-0.0161,0.9692
53,0.0132,0.0137,0.9885
54,0.0146,-0.0486,0.9749
55,-0.0242,0.0044,1.0081
56,-0.0610,-0.0198,0.9741
57,-0.0249,0.0254,0.9810
58,-0.0366,-0.0222,0.9663
59,0.0154,0.0432,0.9973
60,0.0359,-0.0601,0.9517
61,0.0620,0.0217,1.0061
62,0.0098,-0.0435,0.9595
63,-0.0093,0.0171,1.0061
64,-0.0618,-0.0181,0.9614
65,-0.0645,0.0168,1.0093
66,-0.0117,-0.0051,0.9631
67,0.0088,-0.0183,0.9888
68,0.0371,-0.0349,0.9807
69,0.0276,0.0125,0.9924
70,-0.0063,0.0024,0.9644
71,-0.0334,0.0186,0.9839
72,-0.0442,-0.0293,0.9744
73,-0.0291,0.0146,1.0005
74,0.0200,-0.0408,0.9661
75,0.0264,-0.0154,0.9895
76,0.0156,-0.0215,0.9817
77,0.0076,0.0312,0.9917
78,-0.0107,-0.0020,0.9692
79,-0.0308,0.0083,0.9810
80,-0.0220,-0.0366,0.9797
81,-0.0232,-0.0081,0.9849
82,0.0098,-0.0205,0.9741
83,0.0127,0.0242,0.9937
84,-0.0112,-0.0078,0.9722
85,0.0012,-0.0039,0.9946
86,-0.0110,-0.0029,0.9739
87,-0.0210,0.0034,0.9790
88,-0.0276,-0.0310,0.9729
89,-0.0132,-0.0024,0.9954
90,0.0281,0.0137,0.9780
91,0.0366,-0.0105,0.9771
92,0.0166,-0.0168,0.9934
93,-0.0288,-0.0327,0.9819
94,-0.0305,0.0312,0.9885
95,-0.0557,-0.0220,0.9634
96,-0.0210,-0.0024,0.9966
97,0.0098,-0.0264,0.9592
98,0.0361,0.0303,0.9895
99,0.0256,-0.0134,0.9631
100,0.0117,-0.0103,0.9924
101,-0.0149,-0.0317,0.9741
102,-0.0166,0.0334,0.9954
103,-0.0242,-0.0068,0.9700
104,-0.0259,-0.0110,0.9934
105,-0.0098,-0.0178,0.9751
106,-0.0049,0.0295,1.0002
107,0.0073,-0.0381,0.9702
108,0.0178,-0.0266,0.9983
109,0.0107,0.0081,0.9780
110,-0.0176,0.0056,0.9670
111,0.0061,-0.0112,0.9836
112,-0.0315,-0.0168,0.9692
113,-0.0259,-0.0208,0.9846
114,0.0034,0.0159,0.9829
115,-0.0027,-0.0325,0.9839
116,0.0386,0.0281,0.9934
117,-0.0103,-0.0457,0.9761
118,-0.0178,0.0403,1.0042
119,-0.0327,-0.0615,0.9524
120,-0.0159,0.0366,1.0093
121,-0.0188,-0.0332,0.9524
122,0.0430,0.0229,0.9966
123,0.0349,-0.0210,0.9634
124,0.0063,0.0256,1.0051
125,-0.0098,-0.0442,0.9604
126,-0.0371,0.0090,0.9946
127,-0.0474,-0.0369,0.9768
128,-0.0400,0.0115,0.9954
129,-0.0017,-0.0298,0.9673
130,0.0251,0.0178,0.9907
131,0.0212,-0.0015,0.9663
132,0.0251,0.0034,0.9897
133,0.0005,-0.0225,0.9758
134,-0.0168,-0.0037,0.9797
135,-0.0103,-0.0200,0.9885
136,-0.0522,-0.0227,0.9829
137,0.0027,0.0071,0.9946
138,-0.0120,-0.0081,0.9702
139,-0.0090,0.0100,0.9917
140,0.0273,-0.0071,0.9741
141,0.0117,-0.0178,0.9905
142,0.0146,-0.0029,0.9819
143,-0.0261,-0.0315,0.9768
144,-0.0063,0.0193,0.9917
145,-0.0366,-0.0129,0.9644
146,-0.0139,-0.0083,1.0022
147,-0.0088,-0.0095,0.9622
148,0.0132,-0.0005,0.9900
149,0.0251,0.0115,0.9651
150,0.0098,-0.0361,0.9907
151,-0.0083,0.0159,0.9866
152,-0.0366,-0.0339,0.9729
153,-0.0261,0.0105,0.9937
154,-0.0215,-0.0432,0.9700
155,0.0151,0.0413,0.9905
156,0.0330,-0.0327,0.9653
157,0.0491,0.0437,0.9995
158,-0.0137,-0.0525,0.9622
159,-0.0293,0.0088,1.0015
160,-0.0847,-0.0293,0.9673
161,-0.0425,0.0210,1.0005
162,-0.0115,-0.0474,0.9524
163,0.0352,0.0161,1.0051
164,0.0559,-0.0164,0.9631
165,0.0359,-0.0088,0.9846
166,0.0046,0.0020,0.9829
167,-0.0415,-0.0042,0.9839
168,-0.0459,0.0054,0.9817
169,-0.0491,-0.0261,0.9739
170,-0.0049,0.0071,1.0002
171,0.0137,-0.0259,0.9780
172,0.0420,0.0002,0.9836
173,0.0042,-0.0291,0.9722
174,0.0022,0.0295,0.9946
175,-0.0486,-0.0298,0.9612
176,-0.0251,0.0034,0.9927
177,-0.0066,-0.0100,0.9768
178,0.0032,-0.0088,0.9819
179,0.0430,0.0044,0.9807
180,-0.0002,-0.0039,0.9758
181,-0.0032,0.0122,0.9897
182,-0.0308,-0.0371,0.9670
183,-0.0320,0.0020,1.0032
184,-0.0259,-0.0190,0.9712
185,-0.0107,-0.0254,0.9946
186,0.0032,0.0032,0.9800
187,0.0100,-0.0044,0.9780
188,0.0249,0.0256,0.9846
189,0.0066,-0.0500,0.9661
190,0.0264,-0.0046,0.9995
191,-0.0281,-0.0051,0.9612
192,-0.0269,0.0364,0.9946
193,-0.0247,-0.0242,0.9719
194,-0.0146,-0.0093,0.9954
195,-0.0190,-0.0330,0.9858
196,0.0112,0.0242,0.9888
197,0.0068,-0.0239,0.9709
198,0.0149,0.0100,0.9934
199,-0.0081,-0.0085,0.9644
200,-0.0037,-0.0063,0.9858
201,0.0093,-0.0242,0.9624
202,-0.0039,-0.0308,0.9846
203,0.0044,0.0051,0.9849
204,-0.0435,-0.0203,0.9722
205,0.0046,0.0327,1.0002
206,-0.0388,-0.0171,0.9641
207,-0.0161,-0.0122,1.0032
208,0.0071,-0.0171,0.9543
209,0.0029,0.0247,1.0012
210,0.0320,-0.0012,0.9651
211,0.0044,-0.0544,0.9875
212,-0.0095,0.0110,0.9995
213,-0.0149,0.0061,0.9680
214,-0.0151,-0.0125,0.9819
215,-0.0090,0.0000,0.9751
216,-0.0181,-0.0076,0.9868
217,0.0015,-0.0063,0.9751
218,-0.0002,-0.0212,0.9829
219,-0.0161,0.0125,0.9961
220,-0.0071,-0.0081,0.9653
221,0.0112,0.0188,0.9866
222,-0.0027,-0.0159,0.9634
223,-0.0066,-0.0327,0.9907
224,-0.0015,-0.0210,0.9788
225,-0.0154,0.0151,0.9846
226,0.0054,-0.0010,0.9788
227,-0.0042,-0.0081,0.9790
228,-0.0054,-0.0200,0.9885
229,-0.0120,-0.0154,0.9741
230,-0.0146,0.0012,0.9827
231,0.0029,0.0029,0.9768
232,-0.0107,0.0007,0.9829
233,-0.0251,-0.0188,0.9807
234,-0.0029,0.0220,0.9973
235,-0.0122,-0.0122,0.9702
236,0.0178,-0.0083,0.9878
237,0.0195,-0.0327,0.9751
238,0.0098,0.0215,0.9836
239,-0.0037,-0.0188,0.9670
240,-0.0281,-0.0010,0.9937
241,-0.0520,-0.0417,0.9800
242,-0.0259,0.0098,0.9895
243,-0.0027,-0.0068,0.9709
244,0.0095,0.0161,0.9878
245,0.0483,-0.0081,0.9758
246,0.0166,-0.0115,0.9827
