Sample,X,Y,Z
0,-0.0334,-0.0381,0.9683
1,-0.0120,-0.0186,0.9897
2,0.0186,0.0044,0.9790
3,0.0112,0.0044,0.9722
4,0.0281,0.0386,0.9963
5,0.0210,-0.0212,0.9624
6,-0.0034,-0.0234,1.0042
7,-0.0002,-0.0151,0.9849
8,-0.0105,-0.0193,0.9692
9,-0.0247,0.0256,0.9944
10,-0.0085,0.0066,0.9624
11,-0.0200,-0.0037,0.9895
12,0.0107,-0.0200,0.9836
13,0.0188,-0.0237,0.9800
14,-0.0142,-0.0540,0.9944
15,-0.0054,-0.0046,0.9856
16,-0.0251,0.0242,0.9700
17,-0.0325,0.0447,0.9839
18,-0.0164,0.0151,0.9644
19,0.0176,0.0081,0.9878
20,0.0173,-0.0278,0.9839
21,0.0286,-0.0312,0.9895
22,-0.0188,-0.0205,0.9946
23,-0.0215,-0.0039,0.9866
24,-0.0186,0.0037,0.9907
25,-0.0371,-0.0166,0.9868
26,0.0054,-0.0007,0.9768
27,0.0081,-0.0310,0.9722
28,0.0356,0.0095,0.9868
29,0.0110,-0.0234,0.9534
30,-0.0088,0.0347,0.9973
31,-0.0271,0.0159,0.9631
32,-0.0151,0.0007,0.9749
33,-0.0305,0.0007,0.9941
34,-0.0034,-0.0278,0.9722
35,-0.0015,-0.0371,1.0005
36,0.0166,-0.0149,0.9937
37,-0.0002,0.0085,0.9771
38,0.0020,0.0056,0.9956
39,-0.0037,-0.0063,0.9866
40,-0.0029,-0.0005,0.9810
41,-0.0005,0.0000,0.9819
42,-0.0225,-0.0103,0.9722
43,-0.0322,0.0244,0.9751
44,-0.0203,0.0146,0.9729
45,0.0210,0.0210,0.9827
46,0.0068,-0.0161,0.9771
47,0.0181,-0.0259,1.0005
48,0.0112,-0.0693,0.9839
49,0.0034,-0.0149,1.0015
50,-0.0430,-0.0103,0.9661
51,-0.0217,0.0227,0.9849
52,-0.0222,0.0215,0.9780
53,-0.0161,0.0195,0.9717
54,0.0000,0.0256,0.9731
55,0.0271,0.0115,0.9692
56,0.0381,-0.0090,0.9797
57,0.0054,-0.0354,0.9897
58,-0.0220,-0.0183,0.9934
59,-0.0376,-0.0239,0.9907
60,-0.0149,-0.0090,0.9973
61,-0.0295,-0.0457,0.9836
62,-0.0093,0.0095,0.9917
63,0.0161,-0.0010,0.9573
64,0.0044,0.0020,0.9768
65,0.0093,-0.0115,0.9680
66,-0.0090,0.0300,0.9768
67,-0.0044,0.0320,0.9673
68,0.0049,0.0229,0.9673
69,-0.0083,-0.0291,0.9785
70,-0.0181,-0.0271,0.9963
71,-0.0278,-0.0471,0.9856
72,-0.0186,0.0044,1.0015
73,-0.0054,0.0034,0.9771
74,0.0271,-0.0022,0.9907
75,0.0298,-0.0176,0.9934
76,0.0142,-0.0254,0.9849
77,-0.0164,0.0020,0.9788
78,-0.0078,0.0132,0.9683
79,-0.0371,0.0146,0.9739
80,-0.0217,0.0022,0.9778
81,0.0020,0.0125,0.9751
82,0.0083,0.0247,0.9768
83,0.0042,-0.0115,0.9692
84,-0.0093,-0.0479,0.9858
85,-0.0068,-0.0139,0.9944
86,-0.0315,-0.0186,0.9717
87,-0.0188,-0.0208,0.9956
88,-0.0022,-0.0200,0.9905
89,0.0188,-0.0044,0.9888
90,0.0442,-0.0039,0.9807
91,0.0203,0.0183,0.9751
92,-0.0159,0.0215,0.9690
93,-0.0415,0.0110,0.9778
94,-0.0642,-0.0032,0.9790
95,-0.0479,-0.0247,0.9771
96,-0.0125,-0.0039,0.9917
97,0.0481,-0.0129,0.9751
98,0.0684,-0.0037,0.9819
99,0.0303,-0.0083,0.9836
100,-0.0081,-0.0225,0.9827
101,-0.0352,-0.0020,0.9866
102,-0.0776,0.0081,0.9810
103,-0.1174,-0.0186,0.9902
104,-0.0925,-0.0437,0.9897
105,-0.0442,0.0625,0.9702
106,0.0139,0.3591,0.9456
107,-0.0034,0.5776,0.8940
108,0.0093,0.5249,0.9009
109,-0.1392,0.5864,1.0190
110,-0.1667,0.4719,0.8801
111,-0.2119,0.6060,1.0220
112,-0.2224,0.2209,0.9729
113,-0.0249,-0.0886,1.0774
114,0.0554,0.1626,1.1079
115,0.1150,0.4263,0.9429
116,0.1533,0.4873,0.9858
117,0.1033,0.4778,0.9973
118,0.1235,0.7466,0.9546
119,0.0374,0.8381,0.8840
120,0.0522,0.7268,0.9124
121,0.0913,0.5901,0.9377
122,0.0806,0.5115,0.9583
123,0.0332,0.6284,0.9663
124,-0.0752,0.5391,0.8843
125,-0.1201,0.5769,1.0403
126,-0.1174,0.5854,0.9673
127,-0.1584,0.5000,1.0337
128,-0.0806,0.4768,1.0286
129,0.0732,0.5422,0.9700
130,0.1206,0.7317,0.9797
131,0.1633,0.8228,0.9155
132,0.0901,0.8755,0.9272
133,-0.0120,0.8398,0.9067
134,-0.0872,0.6707,0.9270
135,-0.1816,0.4182,1.0032
136,-0.1042,0.1248,1.0181
137,-0.0339,0.1653,1.0833
138,-0.0188,0.0347,1.0286
139,0.0334,0.2136,1.0442
140,-0.0037,0.3884,0.9553
141,-0.0073,0.5725,0.9387
142,-0.0942,0.4436,0.9338
