Sample,X,Y,Z
0,-0.0525,-0.0220,0.9492
1,0.0298,0.0259,0.9575
2,0.1343,0.0085,0.9778
3,0.1431,-0.0103,0.9998
4,0.0664,0.0063,0.9983
5,-0.0042,0.0237,0.9868
6,-0.1094,-0.0286,0.9604
7,-0.1494,-0.0139,0.9995
8,-0.0789,-0.0415,0.9700
9,-0.0330,-0.0713,0.9653
10,0.0605,0.0527,0.9749
11,0.1438,-0.0117,0.9614
12,0.1257,0.0227,0.9778
13,0.0354,-0.0264,0.9780
14,-0.0603,0.0339,0.9956
15,-0.1541,-0.0098,0.9651
16,-0.1675,0.0022,1.0015
17,-0.0791,-0.0356,0.9917
18,0.0315,-0.0457,0.9937
19,0.1077,-0.0078,0.9771
20,0.1597,-0.0122,0.9504
21,0.0872,0.0190,0.9819
22,0.0088,0.0320,0.9788
23,-0.0586,-0.0254,0.9741
24,-0.1221,0.0359,0.9846
25,-0.1189,-0.0298,0.9690
26,-0.0515,-0.0120,0.9778
27,-0.0190,-0.0376,0.9800
28,0.0410,0.0100,0.9797
29,0.0769,-0.0181,0.9670
30,0.0630,0.0312,0.9937
31,0.0591,-0.0034,0.9819
32,0.0342,0.0210,0.9917
33,-0.0300,-0.0005,0.9653
34,-0.0603,-0.0227,0.9829
35,-0.1006,-0.0203,0.9778
36,-0.0867,-0.0393,0.9700
37,-0.0432,-0.0024,0.9778
38,0.0234,-0.0222,0.9573
39,0.0720,0.0156,0.9858
40,0.1003,0.0322,0.9907
41,0.0710,-0.0291,0.9731
42,0.0073,0.0112,0.9995
43,-0.0828,-0.0039,0.9878
44,-0.0933,-0.0166,0.9790
45,-0.0837,-0.0193,0.9607
46,-0.0303,-0.0090,0.9758
47,0.0400,-0.0164,0.9556
48,0.0481,-0.0156,0.9712
49,0.0449,0.0432,0.9956
50,0.0166,0.0044,0.9810
51,0.0208,-0.0027,0.9849
52,-0.0066,-0.0073,1.0042
53,-0.0244,-0.0332,0.9797
54,-0.0371,-0.0691,0.9800
55,-0.0593,0.0088,0.9983
56,-0.0789,-0.0564,0.9465
57,-0.0437,-0.0208,0.9673
58,0.0076,0.0400,0.9692
59,0.0708,0.0476,0.9661
60,0.0825,0.0403,0.9651
61,0.0732,0.0237,1.0032
62,0.0132,0.0024,1.0149
63,-0.0769,-0.0400,0.9827
64,-0.0869,-0.0349,0.9917
65,-0.0688,-0.0835,0.9702
66,-0.0173,-0.0305,0.9895
67,0.0293,0.0100,0.9653
68,0.0693,-0.0020,0.9456
69,0.0320,0.0925,0.9810
