Sample,X,Y,Z
0,-0.0144,-0.0381,0.9751
1,-0.0525,0.0588,0.9790
2,-0.0901,-0.0325,0.9409
3,-0.0591,0.0117,0.9993
4,-0.0271,-0.0310,1.0022
5,0.0474,0.0000,0.9680
6,0.0586,-0.0061,0.9612
7,0.0767,0.0386,1.0027
8,0.0110,-0.0615,0.9670
9,-0.0408,0.0181,1.0005
10,-0.0903,-0.0269,0.9719
11,-0.0564,-0.0029,0.9856
12,-0.0403,-0.0061,0.9741
13,0.0190,0.0266,0.9944
14,0.0481,-0.0229,0.9546
15,0.0657,-0.0066,0.9827
16,0.0437,0.0347,0.9897
17,-0.0220,-0.0430,0.9653
18,-0.0703,0.0078,0.9893
19,-0.0837,-0.0374,0.9856
20,-0.0298,0.0151,0.9934
21,-0.0310,-0.0405,0.9543
22,0.0645,0.0349,0.9856
23,0.0808,-0.0090,0.9780
24,0.0420,0.0190,0.9858
25,-0.0100,-0.0281,0.9653
26,-0.0361,0.0076,1.0061
27,-0.0876,-0.0088,0.9719
28,-0.0457,-0.0242,0.9829
29,-0.0046,0.0000,0.9905
30,-0.0032,-0.0593,0.9778
31,0.0491,0.0339,0.9915
32,0.0344,-0.0193,0.9495
33,0.0371,0.0183,0.9712
34,0.0129,0.0012,0.9866
35,-0.0337,-0.0042,0.9849
36,-0.0569,-0.0574,0.9692
37,-0.0623,0.0454,1.0129
38,-0.0754,-0.0229,0.9563
39,0.0193,-0.0056,0.9778
40,0.0562,-0.0322,0.9739
41,0.0669,-0.0049,0.9915
42,0.0491,0.0244,0.9719
43,-0.0217,-0.0137,0.9758
44,-0.0474,-0.0259,0.9888
45,-0.0762,-0.0310,0.9944
46,-0.0559,0.0454,0.9692
47,-0.0112,-0.0293,0.9438
48,0.0610,0.0342,1.0061
49,0.0369,-0.0632,0.9751
50,0.0474,0.0234,0.9836
51,-0.0215,-0.0137,0.9604
52,-0.0271,0.0005,0.9944
53,-0.0415,-0.0195,0.9868
54,-0.0359,-0.0027,0.9829
55,-0.0225,-0.0059,0.9614
56,0.0010,-0.0110,0.9866
57,0.0308,0.0317,1.0032
58,0.0303,-0.0627,0.9495
59,0.0366,0.0281,0.9944
60,-0.0178,-0.0288,0.9702
61,-0.0403,-0.0068,0.9673
62,-0.0327,0.0081,0.9868
63,-0.0283,-0.0010,0.9878
64,0.0066,-0.0256,0.9739
65,0.0132,-0.0005,0.9915
66,0.0012,0.0088,0.9761
67,0.0117,-0.0449,0.9661
68,-0.0068,0.0278,0.9963
69,-0.0229,-0.0269,0.9810
70,-0.0205,-0.0015,0.9807
71,-0.0327,-0.0095,0.9517
72,0.0144,0.0381,0.9807
73,0.0242,-0.0266,0.9644
74,0.0154,-0.0400,0.9858
75,0.0081,-0.0024,1.0032
76,-0.0330,-0.0088,0.9741
77,-0.0234,-0.0107,0.9731
78,-0.0212,-0.0010,0.9934
79,-0.0081,-0.0276,0.9768
80,0.0146,-0.0017,0.9836
81,0.0127,0.0198,0.9661
82,0.0178,-0.0120,0.9692
83,0.0120,-0.0125,0.9905
84,-0.0181,-0.0188,0.9800
85,-0.0134,-0.0110,0.9771
86,-0.0269,0.0112,0.9680
87,-0.0312,-0.0195,0.9895
88,-0.0208,0.0222,1.0015
89,0.0208,-0.0283,0.9653
90,0.0295,0.0149,0.9927
91,0.0115,-0.0198,0.9722
92,0.0154,-0.0269,0.9768
93,-0.0354,-0.0122,0.9905
94,-0.0471,-0.0132,0.9683
95,-0.0239,-0.0239,0.9719
96,0.0151,0.0137,0.9868
97,0.0371,-0.0337,0.9631
98,0.0427,0.0166,0.9917
99,0.0073,0.0107,0.9722
100,-0.0264,0.0234,0.9817
101,-0.0598,-0.0017,0.9729
102,0.0225,-0.0242,0.9810
103,0.3323,0.0208,0.9702
104,0.6584,-0.0955,0.9702
105,1.0110,-0.1370,1.0610
106,1.2349,-0.5317,1.0549
107,1.2922,-0.5842,1.1343
108,1.0688,-0.7114,1.0432
109,0.7319,-0.7866,0.9417
110,0.3335,-0.8833,0.9358
111,-0.0896,-0.9087,1.0667
112,-0.1841,-1.0242,0.8540
113,-0.2671,-0.6052,0.8521
114,-0.2512,-0.6558,0.8811
115,-0.1257,-0.6226,0.9641
116,-0.0671,-0.6011,1.0413
117,0.0657,-0.3538,1.0259
118,0.2063,-0.3630,0.9810
119,0.3972,-0.1597,1.1323
120,0.6079,-0.1990,1.1184
121,0.8088,-0.1306,1.0376
122,0.9299,0.1113,0.9966
123,0.9878,0.1406,0.9329
124,0.9067,0.1321,0.9231
125,0.7075,0.1609,0.9290
126,0.5725,0.1655,0.9204
127,0.4495,-0.0408,0.9282
128,0.3518,-0.2688,1.0649
129,0.2905,-0.5200,1.0823
130,0.2178,-0.7605,1.0444
